#  aims_uuid : F705CE7E-79D0-4465-A436-4BB4AF1404C5                                
#  angular momentum projected density of states for species W as calculated by FHI-aims 
# The energy reference for this output is the chemical potential, mu =      -5.111215 eV
#      Energy (eV)         total dos     l= 0              l= 1              l= 2              l= 3
       -4.88878503        0.45227452        0.00698982        0.06214371        0.36936664        0.01377434
       -4.87878503        0.66857725        0.01101991        0.13448709        0.50070383        0.02236642
       -4.86878503        0.42839738        0.00518311        0.08584374        0.32342730        0.01394323
       -4.85878503        0.27919103        0.00270264        0.05888194        0.20764119        0.00996525
       -4.84878503        0.14716007        0.00106440        0.02534366        0.11457499        0.00617701
       -4.83878503        0.40842298        0.00330695        0.07423678        0.31664435        0.01423491
       -4.82878503        0.63767056        0.00597126        0.08956748        0.52298820        0.01914363
       -4.81878503        0.62530664        0.00860771        0.08979323        0.50568000        0.02122570
       -4.80878503        0.63077010        0.01113217        0.09459927        0.50532595        0.01971271
       -4.79878503        0.51820424        0.00887682        0.07874461        0.41417899        0.01640382
       -4.78878503        0.38236773        0.00684524        0.06255078        0.29992996        0.01304174
       -4.77878503        0.40887163        0.00648084        0.05912433        0.32818651        0.01507995
       -4.76878503        0.62104764        0.00948753        0.08546313        0.50307010        0.02302687
       -4.75878503        0.84182923        0.01023136        0.09483757        0.70815520        0.02860511
       -4.74878503        1.17193610        0.01515756        0.11808479        1.00224120        0.03645254
       -4.73878503        0.80604245        0.00577103        0.06378905        0.71075575        0.02572662
       -4.72878503        0.87898889        0.00517477        0.07499507        0.77086704        0.02795200
       -4.71878503        0.61131086        0.00585635        0.07679815        0.50980839        0.01884796
       -4.70878503        1.19022335        0.01108028        0.23897966        0.90139563        0.03876778
       -4.69878503        0.56167533        0.00640009        0.06932780        0.47193027        0.01401717
       -4.68878503        0.56857624        0.00781903        0.05634995        0.49040289        0.01400438
       -4.67878503        0.76157777        0.00815611        0.06063426        0.67290964        0.01987776
       -4.66878503        0.74117001        0.00787160        0.05794435        0.65627738        0.01907668
       -4.65878503        0.58352872        0.00745407        0.05539485        0.50333816        0.01734164
       -4.64878503        0.76260756        0.00879442        0.06794519        0.66289057        0.02297738
       -4.63878503        0.55704387        0.00722904        0.05355126        0.47999076        0.01627281
       -4.62878503        0.55646888        0.00591160        0.04989639        0.48379892        0.01686197
       -4.61878503        0.52958533        0.00492580        0.04748890        0.46257969        0.01459093
       -4.60878503        0.79006996        0.00747787        0.07001814        0.69196657        0.02060737
       -4.59878503        1.05224595        0.01130124        0.09671892        0.91784149        0.02638429
       -4.58878503        1.25673677        0.00978868        0.09706507        1.12295929        0.02692374
       -4.57878503        1.08768183        0.00854352        0.06534987        0.98832002        0.02546843
       -4.56878503        0.74284319        0.00666750        0.05068325        0.66816411        0.01732833
       -4.55878503        0.51533071        0.00432006        0.03762075        0.46009444        0.01329545
       -4.54878503        0.57076321        0.00464572        0.04086935        0.51058798        0.01466016
       -4.53878503        0.84813589        0.00620526        0.05970848        0.76148440        0.02073775
