#  aims_uuid : F705CE7E-79D0-4465-A436-4BB4AF1404C5                                
#  angular momentum projected density of states for species W as calculated by FHI-aims 
# The energy reference for this output is the vacuum level =       0.000000 eV
#      Energy (eV)         total dos     l= 0              l= 1              l= 2              l= 3
      -10.00000000        0.39211500        0.00295183        0.07475538        0.30424533        0.01016246
       -9.99000000        0.65453333        0.00669298        0.11583492        0.51715893        0.01484650
       -9.98000000        0.39105343        0.00311646        0.05738474        0.32233754        0.00821468
       -9.97000000        0.25973537        0.00195033        0.03127573        0.22107919        0.00543012
       -9.96000000        0.13210875        0.00165942        0.01510245        0.11195350        0.00339338
       -9.95000000        0.44460932        0.00291760        0.04909030        0.38039929        0.01220212
       -9.94000000        0.49832259        0.00337265        0.05233501        0.42766669        0.01494824
       -9.93000000        0.40982823        0.00520161        0.05657986        0.33427073        0.01377602
       -9.92000000        0.40459413        0.00704048        0.06377301        0.32102956        0.01275108
       -9.91000000        0.29452160        0.00641465        0.05291301        0.22495416        0.01023977
       -9.90000000        0.21371479        0.00487705        0.03852476        0.16290639        0.00740659
       -9.89000000        0.27120138        0.00239446        0.03439054        0.22642105        0.00799533
       -9.88000000        0.48169711        0.00355820        0.05554562        0.40823843        0.01435486
       -9.87000000        0.71396347        0.00416745        0.07163225        0.61763706        0.02052670
       -9.86000000        1.07520987        0.00610891        0.11164647        0.92785520        0.02959928
       -9.85000000        0.73008953        0.00608472        0.08082050        0.62383059        0.01935372
       -9.84000000        0.69722194        0.00731588        0.09913714        0.57174791        0.01902101
       -9.83000000        0.55209994        0.00780821        0.07741809        0.45284523        0.01402840
       -9.82000000        1.22599504        0.02014894        0.19094631        0.98913867        0.02576113
       -9.81000000        0.43394595        0.00816595        0.07304149        0.34012612        0.01261239
       -9.80000000        0.41548463        0.00690298        0.07669021        0.31916110        0.01273034
       -9.79000000        0.54081128        0.00660292        0.07149213        0.44774571        0.01497052
       -9.78000000        0.51776224        0.00600789        0.06237317        0.43657480        0.01280638
       -9.77000000        0.41634903        0.00595956        0.05215234        0.34619240        0.01204474
       -9.76000000        0.52644645        0.00818464        0.06580550        0.43515861        0.01729770
       -9.75000000        0.38859210        0.00666028        0.05161172        0.31735838        0.01296172
       -9.74000000        0.38327758        0.00595366        0.04427095        0.31925094        0.01380204
       -9.73000000        0.36720694        0.00595836        0.04005160        0.30855038        0.01264660
       -9.72000000        0.54070674        0.00893398        0.05371037        0.46035834        0.01770406
       -9.71000000        0.73048711        0.01094245        0.06740126        0.63001493        0.02212848
       -9.70000000        0.77163007        0.01152599        0.06811491        0.66169405        0.03029512
       -9.69000000        0.85608217        0.00634196        0.05753413        0.76661551        0.02559057
       -9.68000000        0.63464078        0.00519426        0.05165121        0.55870423        0.01909108
       -9.67000000        0.46796184        0.00426142        0.03887159        0.41125031        0.01357852
       -9.66000000        0.54220949        0.00472635        0.04276700        0.48046711        0.01424903
       -9.65000000        0.77918511        0.00723558        0.05892991        0.69444242        0.01857721
       -9.64000000        0.79268821        0.00706251        0.05419216        0.71448631        0.01694724
       -9.63000000        0.62749708        0.00335132        0.04363143        0.56830777        0.01220656
       -9.62000000        0.82147509        0.00536488        0.05833409        0.74219192        0.01558420
       -9.61000000        0.86304884        0.00861062        0.05770457        0.78168440        0.01504925
       -9.60000000        0.46575737        0.00352916        0.02394266        0.42902558        0.00925997
       -9.59000000        0.59371753        0.00388014        0.03828062        0.53842176        0.01313501
       -9.58000000        0.67860272        0.00904608        0.04871333        0.60708245        0.01376085
       -9.57000000        0.44953681        0.00439052        0.04651932        0.38776438        0.01086259
       -9.56000000        0.65923929        0.00620087        0.06941881        0.56774599        0.01587363
       -9.55000000        0.42058893        0.00452347        0.05052992        0.35559923        0.00993631
       -9.54000000        0.70811079        0.00880877        0.13600606        0.54557250        0.01772346
       -9.53000000        0.19117730        0.00626212        0.02791960        0.15215199        0.00484359
       -9.52000000        0.33259087        0.00805140        0.03795472        0.27776338        0.00882137
       -9.51000000        0.43819614        0.00949327        0.06034957        0.35588931        0.01246399
       -9.50000000        0.71461581        0.01383283        0.09963358        0.58164209        0.01950731
       -9.49000000        0.66886702        0.01012695        0.07735627        0.56304158        0.01834222
       -9.48000000        0.69889423        0.00841335        0.07288230        0.59926095        0.01833763
       -9.47000000        0.81695156        0.00943800        0.07898902        0.70743041        0.02109413
       -9.46000000        0.88738151        0.01186189        0.08984904        0.76029609        0.02537449
       -9.45000000        0.67208494        0.00834708        0.06704996        0.57654910        0.02013879
       -9.44000000        0.50418310        0.00530632        0.04517801        0.43803203        0.01566674
       -9.43000000        0.47608090        0.00392669        0.03982717        0.41779836        0.01452869
       -9.42000000        0.90492110        0.01466134        0.12750375        0.72886658        0.03388943
       -9.41000000        0.44221734        0.00547876        0.05248176        0.36781076        0.01644606
       -9.40000000        0.23968941        0.00290626        0.02579801        0.20139254        0.00959262
       -9.39000000        0.85121433        0.00607875        0.09872617        0.72207496        0.02433446
       -9.38000000        0.65450242        0.00405495        0.06135477        0.56725698        0.02183571
       -9.37000000        0.36052741        0.00318635        0.04125075        0.30393033        0.01215999
       -9.36000000        0.41925647        0.00394081        0.04842865        0.35269353        0.01419348
       -9.35000000        0.66280403        0.00503709        0.06938023        0.56697363        0.02141307
       -9.34000000        0.88630948        0.00552910        0.07681221        0.77243464        0.03153354
       -9.33000000        0.51461893        0.00315825        0.04475073        0.44968374        0.01702621
       -9.32000000        0.74258919        0.00447452        0.06207812        0.65049486        0.02554169
       -9.31000000        1.47660047        0.00777079        0.15937376        1.25769835        0.05175757
       -9.30000000        0.77000833        0.00353886        0.05948419        0.67947756        0.02750772
       -9.29000000        0.65259866        0.00328960        0.05125302        0.57452004        0.02353599
       -9.28000000        0.58806204        0.00355449        0.04368731        0.51879225        0.02202800
       -9.27000000        0.82372982        0.00541852        0.08950312        0.69863068        0.03017750
       -9.26000000        0.61129744        0.00524241        0.08206246        0.50178014        0.02221242
       -9.25000000        0.91452458        0.00888846        0.12905920        0.74288160        0.03369532
       -9.24000000        0.71941802        0.00759780        0.10166309        0.58438322        0.02577390
       -9.23000000        0.67045910        0.00809690        0.09941943        0.53707386        0.02586891
       -9.22000000        0.75001265        0.01247424        0.15148386        0.55374323        0.03231132
