#  aims_uuid : 5EB025E4-0EAA-46E0-AF37-66F417D41393                                
#  angular momentum projected density of states for species S as calculated by FHI-aims 
# The energy reference for this output is the chemical potential, mu =      -5.245662 eV
#      Energy (eV)         total dos     l= 0              l= 1              l= 2              l= 3
       -4.75433783        0.09154470        0.00136992        0.08086538        0.00792866        0.00138075
       -4.74433783        0.16472337        0.00240248        0.14636970        0.01362116        0.00233002
       -4.73433783        0.24075170        0.00350283        0.21553273        0.01852366        0.00319248
       -4.72433783        0.34143554        0.00450926        0.31014692        0.02297287        0.00380649
       -4.71433783        0.30163318        0.00307171        0.27705440        0.01854736        0.00295970
       -4.70433783        0.36285919        0.00339134        0.33643801        0.01975586        0.00327397
       -4.69433783        0.23896368        0.00192263        0.22341221        0.01173093        0.00189792
       -4.68433783        0.24974511        0.00188621        0.23356780        0.01230209        0.00198901
       -4.67433783        0.27688521        0.00205444        0.25825408        0.01428081        0.00229588
       -4.66433783        0.31155576        0.00207918        0.29007905        0.01676572        0.00263181
       -4.65433783        0.36763343        0.00219572        0.34196737        0.02031369        0.00315665
       -4.64433783        0.47684926        0.00269977        0.44335616        0.02656304        0.00423028
       -4.63433783        0.57713977        0.00321724        0.53816269        0.03100390        0.00475593
       -4.62433783        0.57296738        0.00364414        0.53372435        0.03100624        0.00459266
       -4.61433783        0.54477863        0.00380249        0.50544364        0.03097691        0.00455560
       -4.60433783        0.76098674        0.00563524        0.70369669        0.04530586        0.00634896
       -4.59433783        1.64180425        0.00910330        1.53733781        0.08152348        0.01383967
       -4.58433783        0.28169073        0.00200474        0.26202944        0.01540273        0.00225382
       -4.57433783        0.29931014        0.00201354        0.27761456        0.01723091        0.00245113
       -4.56433783        0.32765255        0.00198412        0.30288333        0.01999606        0.00278904
       -4.55433783        0.45173775        0.00214498        0.41564628        0.03002282        0.00392367
       -4.54433783        0.55509880        0.00310475        0.50776981        0.03837478        0.00584946
       -4.53433783        0.30697007        0.00243670        0.28625541        0.01555694        0.00272102
       -4.52433783        0.29368617        0.00224530        0.27459418        0.01417367        0.00267303
       -4.51433783        0.37754783        0.00249336        0.35221332        0.01904277        0.00379838
       -4.50433783        0.41200344        0.00282786        0.37928717        0.02497916        0.00490925
       -4.49433783        0.44610864        0.00365526        0.40570396        0.03067693        0.00607250
       -4.48433783        0.45778262        0.00421572        0.41353230        0.03338219        0.00665241
       -4.47433783        0.45685953        0.00470152        0.41051753        0.03458566        0.00705482
       -4.46433783        0.29509007        0.00346486        0.25942244        0.02685222        0.00535056
       -4.45433783        0.36611993        0.00328385        0.31767606        0.03740197        0.00775805
       -4.44433783        0.47371689        0.00319359        0.41829686        0.04153062        0.01069583
       -4.43433783        0.17209376        0.00149016        0.16133283        0.00687044        0.00240033
       -4.42433783        0.25595382        0.00154829        0.23691621        0.01335807        0.00413124
       -4.41433783        0.24116054        0.00096817        0.22230928        0.01390452        0.00397857
       -4.40433783        0.30545274        0.00104462        0.28239317        0.01754313        0.00447183
       -4.39433783        0.39609325        0.00141732        0.36917135        0.02086633        0.00463825
       -4.38433783        0.31221050        0.00162636        0.28696727        0.02023795        0.00337893
       -4.37433783        0.45955734        0.00216544        0.41817071        0.03375418        0.00546702
       -4.36433783        0.34137864        0.00150107        0.30537539        0.02941897        0.00508320
       -4.35433783        0.02081656        0.00000488        0.01864143        0.00188414        0.00028611
       -4.34433783        0.06598122        0.00011604        0.05987317        0.00517293        0.00081908
       -4.33433783        0.58753531        0.00253283        0.55921071        0.02107925        0.00471253
       -4.32433783        1.05968586        0.00483305        0.97729506        0.06543270        0.01212505
       -4.31433783        0.23537261        0.00152592        0.21231893        0.01771829        0.00380947
       -4.30433783        0.21507686        0.00100732        0.19346455        0.01754143        0.00306356
       -4.29433783        0.27513364        0.00137433        0.24788382        0.02242718        0.00344831
       -4.28433783        0.44843068        0.00295155        0.40404638        0.03597331        0.00545944
       -4.27433783        0.36004163        0.00252286        0.32131333        0.03140297        0.00480247
       -4.26433783        0.28943794        0.00216179        0.25553561        0.02750471        0.00423583
       -4.25433783        0.23042373        0.00173858        0.20156131        0.02352734        0.00359649
       -4.24433783        0.15653476        0.00112477        0.13628411        0.01653886        0.00258702
       -4.23433783        0.07779902        0.00051417        0.06700090        0.00874374        0.00154022
       -4.22433783        0.26574352        0.00135261        0.23549856        0.02464193        0.00425043
       -4.21433783        0.79488977        0.00608735        0.73165458        0.04988228        0.00726556
       -4.20433783        1.31085125        0.01301607        1.19718350        0.09037754        0.01027413
       -4.19433783        0.58684184        0.00530113        0.54210369        0.03449430        0.00494271
       -4.18433783        0.52569441        0.00523513        0.48584453        0.03045809        0.00415665
       -4.17433783        0.58473707        0.00576855        0.53741995        0.03704161        0.00450696
       -4.16433783        1.13403249        0.00786988        1.03937847        0.07743395        0.00935018
       -4.15433783        1.63492467        0.01062838        1.51448124        0.09790365        0.01191141
       -4.14433783        0.86096066        0.00279185        0.79493610        0.05499839        0.00823433
       -4.13433783        0.77230605        0.00161452        0.71372648        0.04848389        0.00848116
       -4.12433783        0.87064741        0.00203451        0.80622683        0.05095298        0.01143309
       -4.11433783        0.19725202        0.00031267        0.18759313        0.00746227        0.00188396
       -4.10433783        0.82803988        0.00815260        0.73444362        0.07467417        0.01076950
       -4.09433783        0.53810826        0.00446604        0.47453260        0.05163900        0.00747063
       -4.08433783        0.36944554        0.00368041        0.33481235        0.02681248        0.00414029
       -4.07433783        0.24392153        0.00338619        0.22618102        0.01213718        0.00221714
       -4.06433783        0.26397310        0.00206930        0.24744410        0.01246476        0.00199493
       -4.05433783        1.88386737        0.00679526        1.76264695        0.09975052        0.01467464
       -4.04433783        2.02489856        0.00367250        1.89489302        0.11028378        0.01604925
       -4.03433783        1.16792957        0.00214873        1.08702739        0.06880035        0.00995310
       -4.02433783        0.49214555        0.00138349        0.45412509        0.03171802        0.00491895
       -4.01433783        0.87389278        0.00226567        0.80661559        0.05668638        0.00832514
       -4.00433783        0.77564442        0.00179763        0.71116864        0.05455272        0.00812543
       -3.99433783        0.43042322        0.00118338        0.38730679        0.03618019        0.00575286
       -3.98433783        0.40603722        0.00163835        0.36701740        0.03244440        0.00493707
       -3.97433783        0.42587712        0.00191972        0.38665455        0.03237513        0.00492773
       -3.96433783        0.43364978        0.00209153        0.39504431        0.03167753        0.00483642
       -3.95433783        0.42290804        0.00221238        0.38626271        0.02980527        0.00462768
       -3.94433783        0.72893326        0.00357625        0.67517050        0.04296994        0.00721657
       -3.93433783        0.61749855        0.00322112        0.56986535        0.03821314        0.00619894
       -3.92433783        0.41433765        0.00309936        0.38017303        0.02675890        0.00430636
       -3.91433783        0.30713529        0.00325444        0.28061516        0.02000904        0.00325665
       -3.90433783        0.40215301        0.00430653        0.36737492        0.02593996        0.00453160
       -3.89433783        0.40040360        0.00546580        0.36519638        0.02530354        0.00443788
       -3.88433783        0.40254624        0.00652275        0.36677744        0.02486651        0.00437955
       -3.87433783        0.40721535        0.00760774        0.37073414        0.02451858        0.00435488
       -3.86433783        0.41158707        0.00846484        0.37477772        0.02402483        0.00431967
       -3.85433783        0.39545502        0.00848916        0.36119879        0.02174859        0.00401848
