#  aims_uuid : 5EB025E4-0EAA-46E0-AF37-66F417D41393                                
#  angular momentum projected density of states for species W as calculated by FHI-aims 
# The energy reference for this output is the chemical potential, mu =      -5.245662 eV
#      Energy (eV)         total dos     l= 0              l= 1              l= 2              l= 3
       -4.75433783        0.22234907        0.00226934        0.01995064        0.19094846        0.00918063
       -4.74433783        0.33669174        0.00398115        0.03906048        0.28029527        0.01335484
       -4.73433783        0.40570931        0.00508383        0.05701627        0.32792658        0.01568263
       -4.72433783        0.45457894        0.00576256        0.07704318        0.35285308        0.01892012
       -4.71433783        0.34205182        0.00505790        0.05622917        0.27015874        0.01060601
       -4.70433783        0.36081005        0.00436275        0.04949233        0.29692701        0.01002795
       -4.69433783        0.28929366        0.00263032        0.04385823        0.23385271        0.00895241
       -4.68433783        0.31680777        0.00247435        0.04580427        0.25948511        0.00904403
       -4.67433783        0.37673562        0.00289703        0.05329375        0.31080243        0.00974240
       -4.66433783        0.49374080        0.00349465        0.06196320        0.41668237        0.01160058
       -4.65433783        0.66481942        0.00430092        0.07336042        0.57263601        0.01452206
       -4.64433783        0.92742895        0.00535451        0.09211237        0.81079394        0.01916812
       -4.63433783        1.06177442        0.00521960        0.08760624        0.94584920        0.02309939
       -4.62433783        0.97035890        0.00449302        0.08055506        0.86170846        0.02360236
       -4.61433783        0.88678597        0.00410820        0.08116810        0.77709440        0.02441527
       -4.60433783        1.11923155        0.00456502        0.09261131        0.99106006        0.03099515
       -4.59433783        2.83242160        0.00989242        0.24334967        2.48723714        0.09194237
       -4.58433783        0.36530089        0.00187584        0.03005626        0.32109046        0.01227833
       -4.57433783        0.37436510        0.00182232        0.03084551        0.32891241        0.01278485
       -4.56433783        0.39941486        0.00220821        0.03655944        0.34709391        0.01355330
       -4.55433783        0.52201919        0.00422933        0.05769203        0.44393445        0.01616338
       -4.54433783        0.66762691        0.00272862        0.07104772        0.56931131        0.02453927
       -4.53433783        0.32631547        0.00128558        0.02449245        0.28595531        0.01458214
       -4.52433783        0.29756877        0.00106406        0.02304238        0.25943949        0.01402284
       -4.51433783        0.43244093        0.00179442        0.03731491        0.37416338        0.01916822
       -4.50433783        0.50841966        0.00195723        0.04608672        0.43887163        0.02150409
       -4.49433783        0.60578032        0.00219222        0.05646999        0.52118781        0.02593030
       -4.48433783        0.70167328        0.00252565        0.05957733        0.61012172        0.02944858
       -4.47433783        0.77868292        0.00293120        0.06416585        0.67808892        0.03349695
       -4.46433783        0.73368520        0.00271898        0.06040736        0.63926019        0.03129867
       -4.45433783        0.85270429        0.00413646        0.08506561        0.72553084        0.03797138
       -4.44433783        1.05804462        0.00501394        0.10128247        0.91809150        0.03365671
       -4.43433783        0.34287306        0.00175860        0.04902083        0.27881477        0.01327886
       -4.42433783        0.51425395        0.00161381        0.09864396        0.39303266        0.02096352
       -4.41433783        0.43474909        0.00127344        0.04111704        0.37688883        0.01546978
       -4.40433783        0.53193460        0.00192048        0.04628694        0.46394453        0.01978265
       -4.39433783        0.64704487        0.00301966        0.05001357        0.56905369        0.02495795
       -4.38433783        0.75288511        0.00609524        0.06349234        0.66151586        0.02178167
       -4.37433783        1.11800252        0.01126772        0.13230105        0.93941190        0.03502185
       -4.36433783        0.79491776        0.00929268        0.07931880        0.68355611        0.02275017
       -4.35433783        0.07235140        0.00002009        0.00037252        0.07102360        0.00093519
       -4.34433783        0.17532487        0.00013560        0.00387612        0.16884299        0.00247017
       -4.33433783        0.60240325        0.00076906        0.05481577        0.52644483        0.02037358
       -4.32433783        1.53142878        0.00516943        0.13038446        1.35944809        0.03642680
       -4.31433783        0.45298537        0.00359574        0.02435898        0.41506876        0.00996189
       -4.30433783        0.31975515        0.00250647        0.02418879        0.28469096        0.00836893
       -4.29433783        0.35147767        0.00270858        0.03598454        0.30233885        0.01044570
       -4.28433783        0.53585073        0.00373694        0.06496991        0.44784163        0.01930225
       -4.27433783        0.48727917        0.00290859        0.05701335        0.40801531        0.01934192
       -4.26433783        0.44091467        0.00215666        0.05132531        0.36802389        0.01940881
       -4.25433783        0.37126213        0.00147716        0.04572142        0.30569395        0.01836961
       -4.24433783        0.26558801        0.00083212        0.03560013        0.21462308        0.01453268
       -4.23433783        0.17768224        0.00044765        0.02454415        0.14336058        0.00932986
       -4.22433783        0.43765135        0.00774295        0.08200621        0.32228375        0.02561844
       -4.21433783        0.61322246        0.01498248        0.08590804        0.48575020        0.02658174
       -4.20433783        1.25965764        0.05216938        0.31072038        0.84360616        0.05316172
       -4.19433783        0.56489735        0.01383031        0.08050667        0.44752053        0.02303983
       -4.18433783        0.51719585        0.01278118        0.07288221        0.41103539        0.02049707
       -4.17433783        0.56255446        0.01608873        0.07118209        0.45550008        0.01978356
       -4.16433783        0.85614924        0.02082393        0.09163172        0.71942373        0.02426986
       -4.15433783        0.82023786        0.02238815        0.11671146        0.65525056        0.02588769
       -4.14433783        0.57959907        0.00665103        0.06970217        0.48337271        0.01987316
       -4.13433783        0.73925823        0.00455296        0.08900720        0.62070381        0.02499426
       -4.12433783        1.46444917        0.00626141        0.18006813        1.22871483        0.04940480
       -4.11433783        0.13388674        0.00051050        0.00934644        0.11551662        0.00851319
       -4.10433783        1.16425489        0.00999007        0.22996784        0.88184072        0.04245626
       -4.09433783        0.62523905        0.01386872        0.11050603        0.47596833        0.02489598
       -4.08433783        0.32486772        0.01001721        0.03615482        0.26381768        0.01487801
       -4.07433783        0.20636146        0.00362640        0.01487276        0.17721531        0.01064699
       -4.06433783        0.26021848        0.00161470        0.03395157        0.21536960        0.00928261
       -4.05433783        1.15480152        0.00822570        0.06713343        1.04103015        0.03841223
       -4.04433783        1.23580400        0.01199360        0.05725311        1.12693071        0.03962658
       -4.03433783        0.66942952        0.00690534        0.03129657        0.60478877        0.02643883
       -4.02433783        0.38803302        0.00545490        0.01848464        0.34876668        0.01532680
       -4.01433783        0.96141468        0.01379993        0.03360653        0.88809934        0.02590888
       -4.00433783        0.69159482        0.01472080        0.03852798        0.60963325        0.02871279
       -3.99433783        0.62531817        0.01572449        0.04043007        0.54626497        0.02289864
       -3.98433783        0.55960467        0.01334583        0.03617092        0.49015346        0.01993447
       -3.97433783        0.60057519        0.01124800        0.03743170        0.53339061        0.01850489
       -3.96433783        0.61601522        0.00986078        0.03830228        0.55047087        0.01738128
       -3.95433783        0.61087478        0.00881231        0.03829714        0.54732014        0.01644519
       -3.94433783        1.19916278        0.02029952        0.09591259        1.05264030        0.03031038
       -3.93433783        0.92512557        0.01183837        0.05726661        0.83578950        0.02023109
       -3.92433783        0.54805278        0.00800448        0.03276784        0.49210758        0.01517288
       -3.91433783        0.38637869        0.00464911        0.02595330        0.34311468        0.01266160
       -3.90433783        0.53615244        0.00571307        0.03272996        0.48262701        0.01508240
       -3.89433783        0.53124188        0.00517309        0.03428618        0.47546048        0.01632212
       -3.88433783        0.53507379        0.00482371        0.03690406        0.47557772        0.01776830
       -3.87433783        0.54291272        0.00468913        0.03947576        0.47950871        0.01923911
       -3.86433783        0.55272967        0.00479802        0.04419265        0.48306873        0.02067027
       -3.85433783        0.54659246        0.00455350        0.04717734        0.47417136        0.02069026
       -3.84433783        0.64108093        0.00427796        0.06389089        0.54311584        0.02979624
       -3.83433783        0.58622626        0.00350557        0.05683991        0.50007650        0.02580427
       -3.82433783        0.54058833        0.00272947        0.05281905        0.46138337        0.02365644
       -3.81433783        0.58788019        0.00280189        0.05280817        0.50763394        0.02463619
       -3.80433783        0.94154188        0.00522072        0.07362907        0.82167472        0.04101737
       -3.79433783        0.74321044        0.00564802        0.11610544        0.58972201        0.03173497
       -3.78433783        0.59898352        0.00452753        0.08038775        0.48971591        0.02435233
       -3.77433783        0.62902736        0.00522218        0.07641588        0.52266695        0.02472235
       -3.76433783        0.71151041        0.00697378        0.08392550        0.59389465        0.02671648
       -3.75433783        1.09159662        0.01375688        0.13571745        0.90218189        0.03994040
       -3.74433783        0.65477610        0.00950197        0.08931823        0.53234192        0.02361397
       -3.73433783        0.66786188        0.00522680        0.10125480        0.53553524        0.02584504
       -3.72433783        1.79748915        0.01463406        0.29343050        1.41579702        0.07362757
       -3.71433783        0.39588662        0.00490226        0.05836066        0.31792346        0.01470024
       -3.70433783        0.51585959        0.00846414        0.05418424        0.42783174        0.02537947
       -3.69433783        0.39406682        0.00243747        0.04188023        0.33067563        0.01907350
       -3.68433783        0.43524591        0.00392242        0.04798869        0.36155107        0.02178373
       -3.67433783        0.59101695        0.00754072        0.06132409        0.49630020        0.02585194
       -3.66433783        0.63420615        0.01147087        0.07840856        0.51635172        0.02797500
       -3.65433783        1.14794354        0.02398290        0.19233220        0.88617624        0.04545220
       -3.64433783        0.96260207        0.02256832        0.21535546        0.67261275        0.05206554
       -3.63433783        0.46603521        0.00883693        0.13475678        0.29963318        0.02280832
       -3.62433783        0.78414764        0.00699884        0.19847760        0.53601637        0.04265484
       -3.61433783        0.43218978        0.00189101        0.06468094        0.33984697        0.02577086
       -3.60433783        1.04634689        0.00427008        0.23652305        0.72871667        0.07683710
       -3.59433783        0.38590414        0.00145608        0.15806310        0.19539058        0.03099438
       -3.58433783        0.68293016        0.00307958        0.17812508        0.46110543        0.04062007
       -3.57433783        0.89269208        0.01675391        0.13608126        0.68434864        0.05550827
       -3.56433783        0.83857750        0.00718113        0.12873091        0.65234317        0.05032229
       -3.55433783        0.37087153        0.00258557        0.09195538        0.25589912        0.02043147
       -3.54433783        0.37361352        0.00174483        0.06805178        0.27772983        0.02608708
       -3.53433783        0.19467649        0.00043998        0.02760981        0.15511386        0.01151284
       -3.52433783        0.06957834        0.00011309        0.01482781        0.04909009        0.00554735
       -3.51433783        0.69947701        0.00558064        0.18866600        0.45539644        0.04983393
       -3.50433783        2.18971845        0.02794514        0.32002612        1.67071879        0.17102840
       -3.49433783        0.78772131        0.00387970        0.15039824        0.58568915        0.04775422
       -3.48433783        0.52585757        0.00336041        0.15372613        0.34601889        0.02275215
       -3.47433783        0.50661319        0.00551766        0.14615380        0.32282751        0.03211421
       -3.46433783        0.44044142        0.00169075        0.09528470        0.32265764        0.02080832
       -3.45433783        0.20351949        0.00181019        0.04520566        0.14699787        0.00950577
       -3.44433783        0.45500309        0.00296356        0.06300948        0.36710911        0.02192094
       -3.43433783        0.51624224        0.00310742        0.18614902        0.28708795        0.03989786
       -3.42433783        0.39815365        0.00135764        0.08409013        0.28918377        0.02352212
       -3.41433783        0.63308441        0.00325241        0.13430083        0.45717535        0.03835583
       -3.40433783        0.43933167        0.00311797        0.10274414        0.30420946        0.02926010
       -3.39433783        0.89812815        0.00284736        0.19786744        0.64554357        0.05186978
       -3.38433783        0.60457220        0.00274475        0.10563248        0.46128460        0.03491036
       -3.37433783        0.38510093        0.00226933        0.07944523        0.27822935        0.02515702
       -3.36433783        0.33091195        0.00229362        0.06950295        0.23731035        0.02180503
       -3.35433783        0.40874753        0.00331965        0.10105751        0.28182463        0.02254573
       -3.34433783        0.67566733        0.00525237        0.14458696        0.49428119        0.03154681
       -3.33433783        0.51256053        0.00301422        0.10100765        0.37931552        0.02922315
       -3.32433783        0.47599553        0.00272481        0.11643974        0.32925393        0.02757705
       -3.31433783        0.45207918        0.00175167        0.11826563        0.30724271        0.02481916
       -3.30433783        0.51795266        0.00209633        0.15469048        0.33194636        0.02921949
       -3.29433783        0.38600186        0.00162146        0.11115805        0.25014305        0.02307930
       -3.28433783        0.34176730        0.00150685        0.08512266        0.23501768        0.02012011
       -3.27433783        0.36443833        0.00170750        0.09194433        0.24816856        0.02261794
       -3.26433783        0.38687907        0.00195508        0.09917631        0.26132460        0.02442308
       -3.25433783        0.41492633        0.00229385        0.10820748        0.27832189        0.02610310
       -3.24433783        0.44865390        0.00227393        0.11498688        0.30360262        0.02779047
       -3.23433783        0.49751263        0.00216579        0.13695801        0.32710641        0.03128242
       -3.22433783        0.39342374        0.00198244        0.11045111        0.25586237        0.02512782
       -3.21433783        0.36726502        0.00225786        0.12418761        0.21503951        0.02578003
       -3.20433783        0.37706715        0.00273764        0.12943227        0.21742566        0.02747159
       -3.19433783        0.40050407        0.00341556        0.13186940        0.23530206        0.02991705
       -3.18433783        0.48439085        0.00445749        0.15066657        0.29217838        0.03708840
       -3.17433783        0.43080969        0.00446058        0.14490392        0.24747736        0.03396782
       -3.16433783        0.45446848        0.00522956        0.15640700        0.25658804        0.03624389
       -3.15433783        0.41067590        0.00458397        0.14285520        0.23009058        0.03314615
       -3.14433783        0.33325593        0.00346622        0.12559528        0.17835316        0.02584127
       -3.13433783        0.31555241        0.00330765        0.12946544        0.15842634        0.02435298
       -3.12433783        0.31156913        0.00293625        0.11653554        0.16680228        0.02529507
       -3.11433783        0.51619237        0.00241565        0.21636504        0.25416448        0.04324719
       -3.10433783        0.37698260        0.00185205        0.13553581        0.20594647        0.03364828
       -3.09433783        0.39015051        0.00200957        0.16259369        0.18909687        0.03645038
       -3.08433783        0.34967956        0.00183017        0.14204770        0.17256116        0.03324053
       -3.07433783        0.31541597        0.00176681        0.12330053        0.16030657        0.03004207
