#  aims_uuid : 6A93FA1A-43B8-4545-A992-DF38DA6C2ADF                                
#  angular momentum projected density of states for species S as calculated by FHI-aims 
# The energy reference for this output is the chemical potential, mu =      -5.630768 eV
#      Energy (eV)         total dos     l= 0              l= 1              l= 2              l= 3              l= 4
       -4.36923212        2.07572129        0.19727443        1.74727872        0.11851456        0.01162021        0.00103337
       -4.35922211        1.69512946        0.17842506        1.40601601        0.09911047        0.01071137        0.00086656
       -4.34921210        0.83269242        0.07975849        0.69856886        0.04816351        0.00574597        0.00045560
       -4.33920209        0.84885730        0.09078293        0.70931400        0.04281615        0.00555438        0.00038985
       -4.32919208        0.73201699        0.07931083        0.61315466        0.03485008        0.00424789        0.00045353
       -4.31918207        1.10722558        0.08302208        0.95365082        0.06267053        0.00700466        0.00087749
       -4.30917206        0.77058441        0.06353301        0.66219066        0.03942482        0.00480395        0.00063198
       -4.29916205        0.53609011        0.05002290        0.45673858        0.02523096        0.00361335        0.00048431
       -4.28915204        0.45995522        0.04493913        0.38899618        0.02199270        0.00360056        0.00042666
       -4.27914203        0.37453482        0.03147153        0.31815840        0.02136735        0.00315432        0.00038321
       -4.26913202        0.62068651        0.02668591        0.55768365        0.03253480        0.00315516        0.00062699
       -4.25912201        1.47448689        0.14975872        1.26266780        0.05409690        0.00727317        0.00069029
       -4.24911200        1.15880372        0.09476566        1.01163623        0.04657976        0.00495812        0.00086395
       -4.23910199        0.40341365        0.03824398        0.34860158        0.01478772        0.00149236        0.00028801
       -4.22909198        0.37925740        0.03635167        0.32809426        0.01327898        0.00121996        0.00031252
       -4.21908197        0.35810797        0.03396818        0.31141804        0.01142132        0.00097089        0.00032954
       -4.20907196        0.69404887        0.05722461        0.61936597        0.01535557        0.00147315        0.00062957
       -4.19906195        0.69705419        0.05006612        0.62564066        0.01816707        0.00244258        0.00073776
       -4.18905194        1.01396923        0.06933955        0.91036177        0.02871189        0.00450915        0.00104687
       -4.17904193        0.95928380        0.05895159        0.86139629        0.03325883        0.00465241        0.00102468
       -4.16903192        0.72746260        0.03894757        0.65387010        0.03003680        0.00377434        0.00083380
       -4.15902191        0.42070532        0.03203747        0.36890028        0.01674435        0.00259293        0.00043030
       -4.14901190        0.39870328        0.02905536        0.34807520        0.01826827        0.00282497        0.00047948
       -4.13900189        0.43901481        0.02850641        0.38316798        0.02315322        0.00355652        0.00063069
       -4.12899188        0.41118274        0.02197963        0.35744097        0.02713582        0.00391256        0.00071376
       -4.11898187        0.18675039        0.00970673        0.16124354        0.01361154        0.00183468        0.00035391
       -4.10897186        0.14081582        0.00583361        0.12373222        0.00969106        0.00131123        0.00024770
       -4.09896185        0.58292008        0.02955495        0.51785237        0.03012944        0.00472310        0.00066022
       -4.08895184        0.66526472        0.02652207        0.59473443        0.03742652        0.00572103        0.00086068
       -4.07894183        0.50553945        0.01850706        0.45202551        0.03004659        0.00428919        0.00067109
       -4.06893182        0.31738519        0.01102877        0.28252392        0.02049628        0.00286965        0.00046656
       -4.05892181        0.23908536        0.00895570        0.21362539        0.01411292        0.00198967        0.00040168
       -4.04891180        0.23540295        0.00873142        0.21257283        0.01212863        0.00154130        0.00042877
       -4.03890179        0.29745110        0.00933224        0.26753407        0.01801909        0.00200330        0.00056241
       -4.02889178        0.70432076        0.01970152        0.62578948        0.05131961        0.00615740        0.00135275
       -4.01888177        0.49325133        0.00851007        0.45110297        0.02958606        0.00337520        0.00067704
       -4.00887176        0.22985093        0.00513001        0.21047313        0.01261393        0.00133233        0.00030154
       -3.99886175        0.20176928        0.00646813        0.18190343        0.01167223        0.00142314        0.00030234
       -3.98885174        0.16698210        0.00702504        0.14833986        0.00993872        0.00138357        0.00029491
       -3.97884173        0.14731360        0.00754126        0.12954825        0.00856230        0.00135568        0.00030610
       -3.96883172        0.93048051        0.06435391        0.81104395        0.04739753        0.00687511        0.00081000
       -3.95882171        0.86697180        0.04467624        0.76992147        0.04386606        0.00711520        0.00139283
       -3.94881170        0.14375006        0.00484505        0.13366447        0.00446282        0.00061013        0.00016758
       -3.93880169        0.27019422        0.01165974        0.24959881        0.00757786        0.00107370        0.00028411
       -3.92879168        0.37048794        0.01728511        0.34069259        0.01054370        0.00157317        0.00039338
       -3.91878167        0.44463125        0.02172117        0.40694581        0.01336034        0.00210852        0.00049540
       -3.90877166        0.49831333        0.02511512        0.45379598        0.01609076        0.00271403        0.00059745
       -3.89876165        0.60429159        0.02653007        0.55255640        0.02078534        0.00361943        0.00080034
       -3.88875164        0.27153959        0.00970922        0.25072919        0.00886263        0.00181347        0.00042509
       -3.87874163        0.20214176        0.00633415        0.18773459        0.00630667        0.00140439        0.00036196
       -3.86873162        0.04963459        0.00110355        0.04695582        0.00120742        0.00030149        0.00006631
       -3.85872161        0.09787889        0.00417483        0.08988355        0.00319625        0.00049098        0.00013327
       -3.84871160        0.15831042        0.00765813        0.14383877        0.00578412        0.00081318        0.00021622
       -3.83870159        0.21752308        0.01075653        0.19677838        0.00850403        0.00119564        0.00028851
       -3.82869158        0.27551687        0.01347001        0.24870238        0.01135595        0.00163838        0.00035014
       -3.81868157        0.45130284        0.02685925        0.39696140        0.02318457        0.00368591        0.00061172
       -3.80867156        0.48778673        0.02204072        0.43973754        0.02203174        0.00340180        0.00057492
       -3.79866155        0.47912926        0.01564620        0.43768458        0.02167757        0.00353560        0.00058532
       -3.78865154        0.46535305        0.01293490        0.42919642        0.01949631        0.00316069        0.00056472
       -3.77864153        0.46593159        0.01209732        0.43225108        0.01812950        0.00289370        0.00056000
       -3.76863152        0.47485662        0.01230231        0.44099435        0.01800727        0.00295195        0.00060074
       -3.75862151        0.35173862        0.01300640        0.32271419        0.01332090        0.00220537        0.00049177
       -3.74861150        1.04145467        0.05443340        0.94361128        0.03770154        0.00471025        0.00099819
       -3.73860149        0.83976920        0.03862719        0.76172342        0.03374410        0.00472336        0.00095112
       -3.72859148        1.03248755        0.04235661        0.93613119        0.04666532        0.00614005        0.00119437
       -3.71858147        1.31394545        0.03777099        1.21791160        0.04803723        0.00848054        0.00174508
       -3.70857146        1.08538794        0.02902310        1.00527453        0.04151249        0.00802352        0.00155431
       -3.69856145        1.05118664        0.02191858        0.98171553        0.03644761        0.00917337        0.00193154
       -3.68855144        0.67538008        0.01247415        0.63206256        0.02202343        0.00722659        0.00159336
       -3.67854143        0.61379795        0.01074142        0.56993131        0.02296209        0.00859688        0.00156624
       -3.66853142        0.43361228        0.00811632        0.40265710        0.01373881        0.00791264        0.00118741
       -3.65852141        0.91904709        0.01392400        0.87672559        0.02068403        0.00660026        0.00111321
       -3.64851140        1.30176469        0.04223261        1.19141653        0.05169353        0.01384575        0.00257627
       -3.63850139        0.29075587        0.00659618        0.27314553        0.00820870        0.00226278        0.00054268
       -3.62849138        1.07786117        0.04056932        0.99514769        0.03057545        0.00924893        0.00231978
       -3.61848137        0.80761964        0.01135394        0.77420676        0.01893194        0.00238591        0.00074109
       -3.60847136        2.36570269        0.02910922        2.23504029        0.07919818        0.01851242        0.00384258
       -3.59846135        1.79287882        0.02268992        1.68940345        0.06777634        0.01061604        0.00239307
       -3.58845134        3.82746866        0.05108135        3.60517692        0.14145702        0.02410442        0.00564895
       -3.57844133        1.61022124        0.02005424        1.51597325        0.06203965        0.01005143        0.00210268
       -3.56843132        1.51616840        0.02233320        1.43289906        0.05042577        0.00831358        0.00219679
       -3.55842131        2.42116717        0.04585105        2.28064632        0.08169853        0.00974620        0.00322507
       -3.54841130        1.42315599        0.02030178        1.35189084        0.04344067        0.00569646        0.00182624
       -3.53840129        2.10184808        0.01656045        1.99643866        0.07281322        0.01312462        0.00291112
       -3.52839128        2.24012025        0.02239162        2.11285912        0.08932254        0.01230103        0.00324594
       -3.51838127        2.04690533        0.01803952        1.92282324        0.09562548        0.00785375        0.00256335
       -3.50837126        1.55714148        0.01784600        1.45992418        0.07136501        0.00631258        0.00169371
       -3.49836125        1.31961205        0.01657184        1.24037427        0.05599845        0.00526115        0.00140634
       -3.48835124        1.61444694        0.02971671        1.52192121        0.05519954        0.00542683        0.00218265
       -3.47834123        2.59787599        0.02536401        2.47676195        0.08369681        0.00938138        0.00267184
       -3.46833122        1.65642678        0.01581846        1.58454961        0.04852486        0.00617952        0.00135432
       -3.45832121        0.99307433        0.01368320        0.93291398        0.04022937        0.00523187        0.00101591
       -3.44831120        0.61757134        0.01052780        0.56868554        0.03364164        0.00386579        0.00085057
       -3.43830119        1.43677781        0.01841200        1.34494355        0.06302357        0.00831846        0.00208023
       -3.42829118        0.81555600        0.00695509        0.75940635        0.04305091        0.00492964        0.00121401
       -3.41828117        0.80222036        0.00793586        0.74447115        0.04525951        0.00357013        0.00098371
       -3.40827116        0.97213023        0.00919587        0.91211705        0.04457229        0.00492191        0.00132311
       -3.39826115        0.73913745        0.00783473        0.68227432        0.04404833        0.00387052        0.00110955
       -3.38825114        0.83160766        0.01364479        0.75744996        0.05349003        0.00542811        0.00159477
       -3.37824113        0.36032143        0.00518163        0.32029097        0.03042019        0.00360870        0.00081995
       -3.36823112        0.49344126        0.01231499        0.44359309        0.03199879        0.00455231        0.00098208
       -3.35822111        1.01455533        0.02942774        0.91670342        0.05762888        0.00890655        0.00188873
       -3.34821110        0.54444519        0.01111264        0.49041893        0.03624219        0.00533588        0.00133555
       -3.33820109        0.56804484        0.01206975        0.51503879        0.03427421        0.00541111        0.00125097
       -3.32819108        0.72687967        0.01714607        0.66165489        0.03985100        0.00685302        0.00137467
       -3.31818107        0.87335007        0.02017409        0.79291941        0.04890896        0.00954155        0.00180605
       -3.30817106        0.66365850        0.01359401        0.59583242        0.04524706        0.00760301        0.00138199
       -3.29816105        1.03250029        0.02439127        0.91172064        0.08192841        0.01250338        0.00195659
       -3.28815104        0.57592425        0.01370027        0.50800263        0.04648498        0.00666131        0.00107507
       -3.27814103        0.88746736        0.01498040        0.78712477        0.07285212        0.01072735        0.00178272
       -3.26813102        0.67418921        0.01073810        0.59480892        0.05957001        0.00793023        0.00114195
       -3.25812101        0.56685956        0.01034737        0.50206356        0.04743900        0.00617812        0.00083150
       -3.24811100        0.37381618        0.00694757        0.33630851        0.02539989        0.00446846        0.00069174
       -3.23810099        0.51961623        0.00800144        0.46779453        0.03629553        0.00644612        0.00107861
       -3.22809098        0.48400702        0.00698081        0.43817590        0.03245030        0.00562957        0.00077044
       -3.21808097        0.54676186        0.00775898        0.49996978        0.03290357        0.00546838        0.00066114
       -3.20807096        0.59878638        0.00890917        0.54900593        0.03497787        0.00531056        0.00058285
       -3.19806095        0.36766239        0.00853226        0.33386409        0.02243803        0.00257489        0.00025311
       -3.18805094        0.44399908        0.00919351        0.40283014        0.02771371        0.00385284        0.00040887
       -3.17804093        0.49171947        0.00869513        0.44563935        0.03139305        0.00538054        0.00061140
       -3.16803092        0.59596172        0.00778644        0.53602008        0.04369183        0.00760830        0.00085506
       -3.15802091        0.38458832        0.00547532        0.35092146        0.02254122        0.00489353        0.00075677
       -3.14801090        0.32566116        0.00332399        0.29979589        0.01874287        0.00335026        0.00044814
       -3.13800089        0.38390648        0.00349850        0.35531213        0.02088251        0.00371511        0.00049822
       -3.12799088        0.44388459        0.00384998        0.41128306        0.02386077        0.00429225        0.00059853
       -3.11798087        0.50128630        0.00447171        0.46333088        0.02762082        0.00511306        0.00074983
       -3.10797086        0.54681259        0.00530341        0.50346696        0.03132710        0.00581020        0.00090492
       -3.09796085        0.58413083        0.00618856        0.53492605        0.03552568        0.00645145        0.00103910
       -3.08795084        0.62450252        0.00724091        0.56791895        0.04088117        0.00727550        0.00118598
       -3.07794083        0.54592890        0.00691970        0.49617818        0.03574299        0.00607217        0.00101586
       -3.06793082        0.49232775        0.00614165        0.44325027        0.03626113        0.00582876        0.00084594
       -3.05792081        0.80231216        0.01007575        0.71741453        0.06367944        0.00979863        0.00134380
       -3.04791080        0.27839875        0.00335659        0.25168800        0.01974329        0.00310261        0.00050826
       -3.03790079        0.34402994        0.00404389        0.31151868        0.02428721        0.00360163        0.00057853
       -3.02789078        0.41696707        0.00478198        0.37813289        0.02929143        0.00411224        0.00064853
       -3.01788077        0.65461212        0.00775771        0.59478131        0.04503767        0.00606699        0.00096843
       -3.00787076        0.76705854        0.01488893        0.69571975        0.04755013        0.00759154        0.00130819
       -2.99786075        0.24042057        0.00272924        0.22027674        0.01404498        0.00296571        0.00040391
       -2.98785074        0.59557008        0.00622349        0.54065463        0.04037323        0.00735588        0.00096285
       -2.97784073        0.83368612        0.01430659        0.75859264        0.04840281        0.01096363        0.00142045
       -2.96783072        0.29236535        0.00380522        0.26702672        0.01735863        0.00367039        0.00050438
       -2.95782071        0.34328682        0.00432681        0.31487003        0.01920824        0.00433233        0.00054942
       -2.94781070        0.42525207        0.00516788        0.39211338        0.02211461        0.00523950        0.00061669
       -2.93780069        0.51149047        0.00552917        0.46974068        0.02875888        0.00679269        0.00066905
       -2.92779068        0.59492427        0.00667317        0.53983349        0.03822535        0.00925632        0.00093593
       -2.91778067        0.71513312        0.00905023        0.64449093        0.04863801        0.01173231        0.00122165
       -2.90777066        0.50760132        0.00485922        0.46389942        0.03163694        0.00657251        0.00063323
       -2.89776065        0.40058690        0.00281588        0.36822487        0.02414586        0.00492462        0.00047567
       -2.88775064        0.20812408        0.00204225        0.18777209        0.01465211        0.00331651        0.00034112
       -2.87774063        0.52829226        0.00795769        0.47760549        0.03403651        0.00763517        0.00105740
       -2.86773062        1.02397894        0.01089537        0.94424732        0.05556019        0.01154187        0.00173419
       -2.85772061        0.56982014        0.00445108        0.52235947        0.03646517        0.00571609        0.00082832
       -2.84771060        0.38957493        0.00146845        0.36484173        0.02002058        0.00280955        0.00043463
       -2.83770059        0.13469290        0.00218927        0.12641977        0.00452259        0.00138484        0.00017643
       -2.82769058        0.28477994        0.00505438        0.26323120        0.01254079        0.00352156        0.00043202
       -2.81768057        0.46579991        0.00875767        0.42226910        0.02744402        0.00649352        0.00083560
       -2.80767056        0.43379067        0.00970047        0.38637562        0.03002539        0.00684635        0.00084284
       -2.79766055        0.19106047        0.00443154        0.16965407        0.01390068        0.00273843        0.00033575
       -2.78765054        0.14415475        0.00180243        0.13102376        0.00975816        0.00140722        0.00016318
       -2.77764053        0.35909373        0.00390531        0.32163208        0.02793159        0.00508076        0.00054399
       -2.76763052        0.45073261        0.00414171        0.40434584        0.03492184        0.00661712        0.00070610
       -2.75762051        0.51561933        0.00411674        0.46187830        0.04057484        0.00813048        0.00091896
       -2.74761050        0.76260102        0.00754109        0.65585338        0.08034135        0.01656635        0.00229885
       -2.73760049        0.22896289        0.00186359        0.20273162        0.02005660        0.00367957        0.00063152
       -2.72759048        0.07862567        0.00051562        0.07245332        0.00463549        0.00083649        0.00018476
       -2.71758047        1.57964318        0.01831927        1.46876973        0.07836545        0.01310852        0.00108022
       -2.70757046        1.49995789        0.01752358        1.38202771        0.08576821        0.01318291        0.00145547
       -2.69756045        0.81920226        0.00588556        0.73339022        0.07225625        0.00698726        0.00068297
