# total density of states output by FHI-aims 
# The energy reference for this output is the vacuum level
#    Energy (eV)      DOS 
        -10.00000000         68.58743431
         -9.98998999         18.36391014
         -9.97997998         34.89558101
         -9.96996997         21.55773051
         -9.95995996         29.45430314
         -9.94994995         23.68704699
         -9.93993994         25.48448503
         -9.92992993         28.09793893
         -9.91991992         30.84936820
         -9.90990991         39.25499777
         -9.89989990         22.51889384
         -9.88988989         27.19303965
         -9.87987988         31.86718546
         -9.86986987         36.54133126
         -9.85985986         41.21547707
         -9.84984985         38.51040143
         -9.83983984         48.85051723
         -9.82982983         58.51395373
         -9.81981982          9.91353052
         -9.80980981         41.88839428
         -9.79979980         21.00351468
         -9.78978979         26.81612564
         -9.77977978         26.68688270
         -9.76976977         26.55763976
         -9.75975976         26.42839681
         -9.74974975         30.15516375
         -9.73973974         30.91321691
         -9.72972973         31.67127006
         -9.71971972         32.42932321
         -9.70970971         40.37857648
         -9.69969970         44.87821814
         -9.68968969         28.50635886
         -9.67967968         24.34344836
         -9.66966967         27.59246635
         -9.65965966         37.48019133
         -9.64964965         17.36195599
         -9.63963964          7.60728169
         -9.62962963         17.28201288
         -9.61961962         17.31646708
         -9.60960961         18.27994275
         -9.59959960         19.66459919
         -9.58958959         24.23241948
         -9.57957958         36.91421159
         -9.56956957         34.39668992
         -9.55955956         32.90709195
         -9.54954955         29.49786195
         -9.53953954         34.47194537
         -9.52952953         32.80396363
         -9.51951952         37.23684001
         -9.50950951         96.64922674
         -9.49949950         39.47841875
         -9.48948949         31.34925151
         -9.47947948         56.60058796
         -9.46946947         91.95839391
         -9.45945946         42.97397280
         -9.44944945         20.45914185
         -9.43943944         14.35120402
         -9.42942943         42.31117452
         -9.41941942         60.37828469
         -9.40940941         69.45168330
         -9.39939940        101.43598394
         -9.38938939         68.45943978
         -9.37937938         62.08645572
         -9.36936937         58.62462421
         -9.35935936         53.13036257
         -9.34934935        127.71819736
         -9.33933934         73.49148056
         -9.32932933        112.27653896
         -9.31931932         96.02781965
         -9.30930931        140.08897755
         -9.29929930        131.20104950
         -9.28928929        101.12120065
         -9.27927928        121.73336360
         -9.26926927         49.06458148
         -9.25925926        109.82000015
         -9.24924925        104.18157923
         -9.23923924        101.55207069
         -9.22922923        277.95222939
         -9.21921922         36.65781316
         -9.20920921         96.16448183
         -9.19919920         28.56142745
         -9.18918919         27.91798380
         -9.17917918        194.09209697
         -9.16916917        252.75589008
         -9.15915916         58.55922840
         -9.14914915         35.47087452
         -9.13913914         75.16784827
         -9.12912913         87.02299243
         -9.11911912         80.17681082
         -9.10910911         78.67171731
         -9.09909910         73.63347732
         -9.08908909         52.69085346
