#  aims_uuid : AF712275-4C0E-435B-AEA8-2E0FA7A4E086                                
#  angular momentum projected density of states for species W as calculated by FHI-aims 
# The energy reference for this output is the vacuum level =       0.000000 eV
#      Energy (eV)         total dos     l= 0              l= 1              l= 2              l= 3              l= 4
      -10.00000000        0.80389668        0.09328363        0.12121799        0.56915678        0.01914863        0.00108964
       -9.98998999        0.18122903        0.01421161        0.03018502        0.13191459        0.00470358        0.00021423
       -9.97997998        0.35468103        0.00774182        0.03737794        0.30103754        0.00803002        0.00049372
       -9.96996997        0.27107472        0.02023550        0.02669404        0.21848897        0.00530284        0.00035337
       -9.95995996        0.40243929        0.05136370        0.03403549        0.30923441        0.00729884        0.00050684
       -9.94994995        0.29668412        0.01994315        0.02817678        0.24148749        0.00674722        0.00032949
       -9.93993994        0.32751150        0.01932384        0.03099187        0.26894548        0.00788992        0.00036039
       -9.92992993        0.37483017        0.01952723        0.03513585        0.31033801        0.00940026        0.00042881
       -9.91991992        0.42486712        0.01920853        0.03993967        0.35408018        0.01113659        0.00050214
       -9.90990991        0.57409671        0.05002102        0.05019450        0.45877679        0.01435862        0.00074580
       -9.89989990        0.35338456        0.05559033        0.02809387        0.26327960        0.00583330        0.00058746
       -9.88988989        0.43302707        0.06167364        0.03638651        0.32672906        0.00754003        0.00069784
       -9.87987988        0.51124444        0.06381275        0.04574971        0.39141826        0.00946810        0.00079561
       -9.86986987        0.58803665        0.06200765        0.05618349        0.45734721        0.01161753        0.00088078
       -9.85985986        0.66340373        0.05625835        0.06768784        0.52451590        0.01398830        0.00095335
       -9.84984985        0.60540214        0.05861966        0.05774185        0.47913204        0.00904071        0.00086788
       -9.83983984        0.80892012        0.11129180        0.09830458        0.58816799        0.00996891        0.00118684
       -9.82982983        1.03560577        0.12494128        0.12844035        0.77037596        0.01041775        0.00143043
       -9.81981982        0.33005232        0.05301628        0.01300255        0.26204640        0.00164841        0.00033868
       -9.80980981        0.93095622        0.08811672        0.06360233        0.76597166        0.01220216        0.00106334
       -9.79979980        0.42397025        0.03650131        0.03167675        0.34887174        0.00640989        0.00051055
       -9.78978979        0.52598291        0.04336660        0.03925055        0.43518041        0.00755973        0.00062561
       -9.77977978        0.53293174        0.04421346        0.03818502        0.44256475        0.00733434        0.00063416
       -9.76976977        0.54166525        0.04444506        0.03784599        0.45160128        0.00712770        0.00064522
       -9.75975976        0.55218345        0.04406140        0.03823345        0.46229001        0.00693982        0.00065877
       -9.74974975        0.63463287        0.04761401        0.05180347        0.52706947        0.00738975        0.00075616
       -9.73973974        0.66224028        0.04651237        0.05533312        0.55208225        0.00752107        0.00079147
       -9.72972973        0.69018302        0.04457728        0.05906575        0.57800104        0.00771038        0.00082857
       -9.71971972        0.71846110        0.04180874        0.06300137        0.60482587        0.00795768        0.00086745
       -9.70970971        0.89381988        0.04878622        0.11107913        0.72337053        0.00939455        0.00118945
