#  aims_uuid : AF712275-4C0E-435B-AEA8-2E0FA7A4E086                                
#  angular momentum projected density of states for species W as calculated by FHI-aims 
# The energy reference for this output is the chemical potential, mu =      -5.498133 eV
#      Energy (eV)         total dos     l= 0              l= 1              l= 2              l= 3              l= 4
       -4.50186654        0.81125738        0.09538931        0.12039403        0.57511598        0.01927143        0.00108663
       -4.49185653        0.18117910        0.01432702        0.03017703        0.13174410        0.00471638        0.00021457
       -4.48184652        0.35555553        0.00772456        0.03740443        0.30191753        0.00801603        0.00049297
       -4.47183651        0.27221669        0.02021497        0.02698242        0.21938609        0.00528281        0.00035040
       -4.46182650        0.40369870        0.05138046        0.03438643        0.31015285        0.00727564        0.00050332
       -4.45181649        0.29749702        0.01994545        0.02846800        0.24202234        0.00673460        0.00032663
       -4.44180648        0.32840204        0.01943336        0.03113167        0.26958488        0.00789318        0.00035895
       -4.43179647        0.37570749        0.01971697        0.03520504        0.31093935        0.00941769        0.00042844
       -4.42178646        0.42578103        0.01947130        0.03999884        0.35463979        0.01116857        0.00050253
       -4.41177645        0.57501833        0.05037931        0.05021126        0.45927420        0.01440627        0.00074729
       -4.40176644        0.35624277        0.05588631        0.02875865        0.26516842        0.00584630        0.00058309
       -4.39175643        0.43515464        0.06188095        0.03681593        0.32821491        0.00754798        0.00069487
       -4.38174642        0.51185033        0.06385714        0.04568837        0.39204118        0.00946797        0.00079567
       -4.37173641        0.58632984        0.06181488        0.05537597        0.45664724        0.01160625        0.00088550
       -4.36172640        0.65859317        0.05575416        0.06587874        0.52203308        0.01396284        0.00096435
       -4.35171639        0.61626170        0.05640541        0.05671804        0.49321306        0.00905367        0.00087153
       -4.34170638        0.87881922        0.09863474        0.09313147        0.67578506        0.01006606        0.00120189
       -4.33169637        1.01659853        0.12811336        0.12989784        0.74673319        0.01042327        0.00143086
       -4.32168636        0.33024686        0.05270888        0.01310339        0.26244582        0.00165054        0.00033823
