#  aims_uuid : FD8869DA-820A-4411-A4C8-9C06D52AFE31                                
#  angular momentum projected density of states for species S as calculated by FHI-aims 
# The energy reference for this output is the chemical potential, mu =      -6.158519 eV
#      Energy (eV)         total dos     l= 0              l= 1              l= 2              l= 3
       -3.84148106        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
       -3.83148106        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
       -3.82148106        0.26792482        0.01205075        0.24088204        0.01240688        0.00258515
       -3.81148106        0.38094085        0.01141057        0.34856782        0.01801413        0.00294833
       -3.80148106        0.25004074        0.00876442        0.22594474        0.01327832        0.00205326
       -3.79148106        0.34488186        0.01151614        0.31324073        0.01757591        0.00254907
       -3.78148106        0.46980862        0.01512132        0.42944570        0.02211880        0.00312279
       -3.77148106        0.32280147        0.01200928        0.29207890        0.01638107        0.00233223
       -3.76148106        0.34338425        0.01325511        0.31057150        0.01717554        0.00238209
       -3.75148106        0.36592872        0.01457650        0.33094110        0.01798462        0.00242651
       -3.74148106        0.39043487        0.01597344        0.35318768        0.01880828        0.00246546
       -3.73148106        0.41690271        0.01744595        0.37731126        0.01964655        0.00249896
       -3.72148106        0.58730484        0.02906456        0.52068736        0.03363815        0.00391477
       -3.71148106        0.97688836        0.04945549        0.87206409        0.04961012        0.00575866
       -3.70148106        1.51565495        0.09332887        1.35052322        0.06260617        0.00919668
       -3.69148106        0.50930522        0.02939529        0.45574472        0.02127076        0.00289445
       -3.68148106        0.72096234        0.03359788        0.62930453        0.05066216        0.00739778
       -3.67148106        0.54681945        0.02472395        0.49667504        0.02160653        0.00381394
       -3.66148106        0.73078195        0.02768124        0.66551742        0.03130735        0.00627593
       -3.65148106        1.02905132        0.02676617        0.94324066        0.04952180        0.00952269
       -3.64148106        0.45292288        0.00911277        0.41389121        0.02536704        0.00455186
       -3.63148106        0.48262175        0.00819128        0.44080154        0.02897727        0.00465166
       -3.62148106        0.59325076        0.01139342        0.53331845        0.04301398        0.00552491
       -3.61148106        0.53655024        0.00961234        0.48293117        0.03908119        0.00492554
       -3.60148106        0.80652613        0.01385798        0.73146618        0.05469098        0.00651099
       -3.59148106        0.88929594        0.02304269        0.76900202        0.08733117        0.00992005
       -3.58148106        0.48593062        0.01310488        0.41175337        0.05465321        0.00641915
       -3.57148106        0.15212110        0.00275056        0.13128413        0.01615092        0.00193550
       -3.56148106        0.15428835        0.00248817        0.13266404        0.01717039        0.00196576
       -3.55148106        0.16362287        0.00227200        0.14066079        0.01868954        0.00200054
       -3.54148106        0.23716470        0.00206195        0.21435291        0.01810957        0.00264026
       -3.53148106        0.21179804        0.00166163        0.19158222        0.01625647        0.00229772
       -3.52148106        0.18439958        0.00127524        0.16718936        0.01396650        0.00196848
       -3.51148106        0.15496932        0.00090278        0.14117433        0.01123966        0.00165254
       -3.50148106        0.28894431        0.00054222        0.26856753        0.01706013        0.00277443
       -3.49148106        0.23726357        0.00035969        0.22104612        0.01343690        0.00242086
       -3.48148106        0.20249550        0.00044549        0.18767810        0.01213129        0.00224061
       -3.47148106        0.17060341        0.00050675        0.15717227        0.01086632        0.00205807
       -3.46148106        0.15385644        0.00079782        0.13948432        0.01152790        0.00204639
       -3.45148106        0.38486674        0.00257321        0.34456527        0.03324200        0.00448626
       -3.44148106        0.58126427        0.00396914        0.52087670        0.04925855        0.00715988
       -3.43148106        0.42684224        0.00303491        0.38615136        0.03314156        0.00451440
       -3.42148106        0.45174531        0.00435115        0.40666424        0.03503204        0.00569788
       -3.41148106        0.72039196        0.00575648        0.65979359        0.04645342        0.00838847
       -3.40148106        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
       -3.39148106        0.19331885        0.00477061        0.17051208        0.01510646        0.00292969
       -3.38148106        0.24708640        0.00631181        0.21831203        0.01895361        0.00350895
       -3.37148106        0.30554630        0.00780796        0.27097453        0.02274578        0.00401804
       -3.36148106        0.32149352        0.00883640        0.28684597        0.02216359        0.00364756
       -3.35148106        0.25891616        0.00955300        0.22914303        0.01794633        0.00227380
       -3.34148106        0.12557715        0.00531715        0.10691477        0.01220113        0.00114410
       -3.33148106        0.02440726        0.00121968        0.01963022        0.00332375        0.00023361
       -3.32148106        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
       -3.31148106        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
       -3.30148106        0.60293427        0.00291610        0.55930783        0.03601684        0.00469351
       -3.29148106        1.32459016        0.01480530        1.19947002        0.09838477        0.01193007
       -3.28148106        0.45416771        0.00647094        0.41506676        0.02856932        0.00406069
       -3.27148106        0.23454533        0.00505275        0.21492526        0.01243545        0.00213187
       -3.26148106        0.23213250        0.00324954        0.21754129        0.00947463        0.00186704
       -3.25148106        0.24281159        0.00274739        0.22286277        0.01511739        0.00208404
       -3.24148106        0.40736246        0.00408722        0.36215191        0.03521442        0.00590891
       -3.23148106        0.38613436        0.00326279        0.34424042        0.03376367        0.00486749
       -3.22148106        0.43055860        0.00324599        0.38662134        0.03583922        0.00485206
       -3.21148106        0.58977357        0.00455118        0.53451848        0.04450109        0.00620281
       -3.20148106        1.46829451        0.00921737        1.36008176        0.08404814        0.01494725
       -3.19148106        0.59191336        0.00434626        0.53415569        0.04556380        0.00784761
       -3.18148106        0.45837886        0.00308112        0.40468215        0.04312866        0.00748693
       -3.17148106        1.24504030        0.02928090        1.14041278        0.06077074        0.01457589
       -3.16148106        0.98762235        0.03096736        0.90035450        0.04593469        0.01036579
       -3.15148106        0.89555485        0.02609683        0.81307451        0.04699201        0.00939149
       -3.14148106        0.33941653        0.00192618        0.30839483        0.02439953        0.00469599
       -3.13148106        0.34867295        0.00189839        0.31865511        0.02347471        0.00464473
       -3.12148106        0.35354036        0.00204726        0.32485481        0.02218583        0.00445247
       -3.11148106        0.36507643        0.00237614        0.33679122        0.02160202        0.00430705
       -3.10148106        0.53633749        0.00407893        0.49772028        0.02901806        0.00552022
       -3.09148106        0.92781283        0.00936702        0.86768830        0.04324359        0.00751392
       -3.08148106        0.51713879        0.00754452        0.48006156        0.02499169        0.00454102
       -3.07148106        0.11626626        0.00027978        0.10859434        0.00623690        0.00115523
       -3.06148106        0.00579916        0.00000240        0.00539733        0.00033401        0.00006541
       -3.05148106        0.33603234        0.01357314        0.30416296        0.01528270        0.00301354
       -3.04148106        0.62129806        0.01688427        0.56063492        0.03695006        0.00682881
       -3.03148106        0.63032960        0.01385825        0.57208578        0.03717287        0.00721269
       -3.02148106        0.29076476        0.01264268        0.24425711        0.03032038        0.00354459
       -3.01148106        0.32479054        0.01974719        0.28665620        0.01548153        0.00290561
       -3.00148106        0.69485802        0.05048684        0.61855161        0.02219097        0.00362860
       -2.99148106        0.24568659        0.01764826        0.21386350        0.01239911        0.00177571
       -2.98148106        0.86450641        0.02118295        0.77659881        0.05710923        0.00961542
       -2.97148106        0.76691928        0.01841448        0.69309231        0.04772350        0.00768899
       -2.96148106        1.27187809        0.02127795        1.14737444        0.08730118        0.01592452
       -2.95148106        0.86049934        0.01732011        0.77997349        0.05345156        0.00975419
       -2.94148106        0.70997439        0.01320113        0.64530080        0.04351812        0.00795435
       -2.93148106        1.54151117        0.03742616        1.41913803        0.07110861        0.01383837
       -2.92148106        1.04336352        0.03158986        0.95320564        0.04860525        0.00996277
       -2.91148106        0.74840114        0.02529281        0.68646980        0.03124564        0.00539289
       -2.90148106        0.70343220        0.03403440        0.64271587        0.02279800        0.00388394
       -2.89148106        0.86466751        0.04598891        0.79260259        0.02295750        0.00311851
       -2.88148106        0.37288652        0.01106648        0.34313712        0.01499591        0.00368700
       -2.87148106        0.79662094        0.02199094        0.73196972        0.03552281        0.00713747
       -2.86148106        1.22700473        0.04208565        1.13348182        0.04181757        0.00961969
       -2.85148106        1.67840317        0.06697772        1.56616301        0.03605880        0.00920364
       -2.84148106        1.29770984        0.03902350        1.20818899        0.04184475        0.00865261
       -2.83148106        0.95641980        0.02625824        0.88844708        0.03469643        0.00701806
       -2.82148106        0.74603662        0.02099959        0.69081618        0.02846468        0.00575617
       -2.81148106        0.78642417        0.02143309        0.72462782        0.03363915        0.00672411
       -2.80148106        1.18161244        0.02964171        1.07803096        0.06179774        0.01214203
       -2.79148106        1.08353193        0.03747206        0.99125559        0.04492895        0.00987533
       -2.78148106        0.98843976        0.03435352        0.90245356        0.04233775        0.00929494
       -2.77148106        0.95367632        0.03722201        0.87675507        0.03232810        0.00737114
       -2.76148106        0.70038234        0.02468133        0.64839104        0.02233682        0.00497314
       -2.75148106        0.89755991        0.03203730        0.83200045        0.02725499        0.00626717
       -2.74148106        1.04172453        0.03803105        0.96781541        0.02908293        0.00679514
       -2.73148106        1.08247367        0.03993134        1.00316208        0.03224737        0.00713287
       -2.72148106        1.18732941        0.04451799        1.10368405        0.03193129        0.00719608
       -2.71148106        1.06784818        0.03738138        0.99378382        0.03015832        0.00652467
       -2.70148106        0.94852639        0.03089457        0.88458517        0.02703271        0.00601394
       -2.69148106        0.89748535        0.02851148        0.83615559        0.02679843        0.00601985
       -2.68148106        1.02181173        0.03049948        0.94876284        0.03498148        0.00756793
       -2.67148106        1.02898843        0.03083914        0.95404399        0.03612886        0.00797643
       -2.66148106        0.93131647        0.02942150        0.86303187        0.03175538        0.00710772
       -2.65148106        0.81154898        0.02686624        0.75406865        0.02475763        0.00585647
       -2.64148106        0.85620005        0.02991674        0.79653353        0.02393549        0.00581429
       -2.63148106        0.99458007        0.03574739        0.92321145        0.02888817        0.00673306
       -2.62148106        0.84343861        0.02932664        0.78348346        0.02487021        0.00575830
       -2.61148106        0.70671015        0.02365909        0.65651442        0.02153836        0.00499828
       -2.60148106        0.78306090        0.02616537        0.72478916        0.02618765        0.00591871
       -2.59148106        0.79908684        0.02349653        0.74457296        0.02497643        0.00604092
       -2.58148106        0.66909329        0.01980135        0.62110836        0.02282911        0.00535448
       -2.57148106        0.91334457        0.02710312        0.85087995        0.02861820        0.00674329
       -2.56148106        0.91621934        0.03079780        0.85239603        0.02675840        0.00626711
       -2.55148106        1.35652390        0.04422258        1.24592748        0.05446680        0.01190704
       -2.54148106        1.01684376        0.03485218        0.95263711        0.02377550        0.00557897
       -2.53148106        0.80765636        0.03006585        0.76431027        0.00998783        0.00329240
       -2.52148106        1.04550839        0.03964349        0.98858945        0.01301077        0.00426468
       -2.51148106        1.22322371        0.04588351        1.15193097        0.01965993        0.00574931
       -2.50148106        0.84457575        0.03366253        0.79412485        0.01275824        0.00403014
       -2.49148106        0.65855482        0.02459583        0.61261512        0.01755403        0.00378984
       -2.48148106        0.19635479        0.00758247        0.18441356        0.00296395        0.00139482
       -2.47148106        0.37455055        0.01100198        0.34548501        0.01532517        0.00273839
       -2.46148106        0.50177806        0.01310397        0.46017861        0.02379591        0.00469957
       -2.45148106       25.44578040        0.85318124       23.89511908        0.58930741        0.10817268
       -2.44148106        1.41736294        0.04285464        1.30972444        0.05412957        0.01065429
       -2.43148106        1.23359244        0.03782648        1.11016835        0.06906701        0.01653061
       -2.42148106        0.42242923        0.01208173        0.39323379        0.01376582        0.00334790
       -2.41148106        0.39536063        0.01077276        0.36781927        0.01361971        0.00314889
       -2.40148106        0.73421439        0.01607044        0.69137698        0.02090441        0.00586256
       -2.39148106        0.83942827        0.02534529        0.78054851        0.02704748        0.00648699
       -2.38148106        0.75106984        0.02111529        0.69820872        0.02558384        0.00616199
       -2.37148106        0.83026656        0.02202265        0.77292624        0.02835963        0.00695804
       -2.36148106        1.44495051        0.04574603        1.30461671        0.07757944        0.01700832
       -2.35148106        0.65000627        0.02114339        0.60208135        0.02185106        0.00493047
       -2.34148106        0.72819862        0.02374970        0.67725789        0.02209801        0.00509301
       -2.33148106        0.72404803        0.02507737        0.67805601        0.01672047        0.00419418
       -2.32148106        1.29621372        0.03792888        1.20597225        0.04298445        0.00932814
       -2.31148106        1.02587251        0.03493806        0.95918511        0.02589982        0.00584952
       -2.30148106        1.19014371        0.04118781        1.11469974        0.02759922        0.00665694
       -2.29148106        1.32209541        0.04416425        1.24156525        0.02869956        0.00766635
       -2.28148106        0.76359861        0.02519249        0.71422329        0.01937291        0.00480991
       -2.27148106        0.70986208        0.02167735        0.66302300        0.02013533        0.00502640
       -2.26148106        0.75684470        0.02295911        0.70565807        0.02217665        0.00605088
       -2.25148106        0.65626482        0.02037006        0.61131483        0.01947327        0.00510666
       -2.24148106        0.64877247        0.02104570        0.60128073        0.02103959        0.00540645
       -2.23148106        0.64910742        0.02270585        0.59761078        0.02309521        0.00569558
       -2.22148106        0.65376447        0.01993001        0.60767522        0.02006559        0.00609366
       -2.21148106        0.64991624        0.01965004        0.60370705        0.02083011        0.00572903
       -2.20148106        0.75397507        0.02181370        0.70131181        0.02465208        0.00619748
       -2.19148106        0.77489697        0.02286396        0.72515471        0.02132747        0.00555083
       -2.18148106        0.83008588        0.02427581        0.77925769        0.02097891        0.00557347
       -2.17148106        0.85259575        0.02475251        0.80142105        0.02074429        0.00567790
       -2.16148106        0.74250227        0.02127056        0.70002447        0.01676133        0.00444591
       -2.15148106        0.71060059        0.01977996        0.67177522        0.01501698        0.00402844
       -2.14148106        0.57998237        0.01711030        0.54742847        0.01221052        0.00323308
       -2.13148106        0.60610197        0.01729593        0.57345163        0.01211883        0.00323559
