#  aims_uuid : FD8869DA-820A-4411-A4C8-9C06D52AFE31                                
#  angular momentum projected density of states for species W as calculated by FHI-aims 
# The energy reference for this output is the chemical potential, mu =      -6.158519 eV
#      Energy (eV)         total dos     l= 0              l= 1              l= 2              l= 3
       -3.84148106        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
       -3.83148106        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
       -3.82148106        0.37332191        0.00921141        0.02222776        0.33431248        0.00757026
       -3.81148106        0.45045728        0.00572078        0.02205305        0.41465485        0.00802861
       -3.80148106        0.32958583        0.00454521        0.02077132        0.29769207        0.00657723
       -3.79148106        0.41223859        0.00471384        0.02816544        0.37109129        0.00826802
       -3.78148106        0.49352134        0.00498865        0.03645328        0.44227322        0.00980619
       -3.77148106        0.37286732        0.00448488        0.03608087        0.32467612        0.00762545
       -3.76148106        0.38284230        0.00464004        0.04307313        0.32712842        0.00800071
       -3.75148106        0.39216822        0.00488750        0.05102850        0.32784568        0.00840654
       -3.74148106        0.40084509        0.00522727        0.05994698        0.32682790        0.00884295
       -3.73148106        0.40887290        0.00565934        0.06982857        0.32407508        0.00930992
       -3.72148106        0.60362173        0.01109606        0.11903603        0.45928949        0.01420014
       -3.71148106        0.88802312        0.01272271        0.16704999        0.68557549        0.02267493
       -3.70148106        1.45046768        0.01476838        0.22164282        1.18295808        0.03109840
       -3.69148106        0.48047883        0.00672460        0.08047955        0.38078852        0.01248616
       -3.68148106        0.99132176        0.00830503        0.17795904        0.78843044        0.01662724
       -3.67148106        0.46963596        0.00752132        0.07909314        0.36937728        0.01364422
       -3.66148106        0.70536042        0.01247991        0.11002367        0.56356582        0.01929102
       -3.65148106        1.09568485        0.01636018        0.14585869        0.90291707        0.03054890
       -3.64148106        0.59878551        0.00266307        0.02853062        0.55239870        0.01519312
       -3.63148106        0.64461162        0.00291534        0.02968976        0.59410307        0.01790345
       -3.62148106        0.76046595        0.00831398        0.07756234        0.65449258        0.02009706
       -3.61148106        0.69976305        0.00654493        0.07320278        0.60136595        0.01864939
       -3.60148106        0.94197253        0.00931940        0.13485352        0.77208692        0.02571270
       -3.59148106        1.37876311        0.01641970        0.17320022        1.15301985        0.03612333
       -3.58148106        0.98039551        0.00357104        0.06121844        0.89289803        0.02270799
       -3.57148106        0.29347350        0.00186014        0.01929208        0.26521793        0.00710336
       -3.56148106        0.29426320        0.00193955        0.02016680        0.26538289        0.00677396
       -3.55148106        0.29189187        0.00229214        0.02347144        0.25984624        0.00628204
       -3.54148106        0.42529339        0.00142701        0.01798514        0.39534421        0.01053703
       -3.53148106        0.36203952        0.00096106        0.01456654        0.33758181        0.00893011
       -3.52148106        0.30140118        0.00061837        0.01151277        0.28182830        0.00744174
       -3.51148106        0.24337839        0.00039894        0.00882384        0.22808368        0.00607194
       -3.50148106        0.41003292        0.00047796        0.01025175        0.38864056        0.01066265
       -3.49148106        0.33546373        0.00063246        0.00908795        0.31697306        0.00877025
       -3.48148106        0.29152983        0.00079189        0.00965595        0.27368564        0.00739635
       -3.47148106        0.25021296        0.00091317        0.00997917        0.23317519        0.00614543
       -3.46148106        0.23478754        0.00103853        0.01174532        0.21664938        0.00535432
       -3.45148106        0.46920348        0.00566879        0.06316614        0.38740669        0.01296186
       -3.44148106        0.69648718        0.00962240        0.09669289        0.57044624        0.01972564
       -3.43148106        0.44285703        0.00835703        0.07108379        0.34814525        0.01527097
       -3.42148106        0.55881718        0.00812452        0.05216768        0.48198171        0.01654326
       -3.41148106        0.93780415        0.00350171        0.03402834        0.87725137        0.02302273
       -3.40148106        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
       -3.39148106        0.22040953        0.00578941        0.03459622        0.17302450        0.00699940
       -3.38148106        0.28911887        0.00660586        0.05537923        0.21834442        0.00878936
       -3.37148106        0.35493726        0.00763098        0.07824292        0.25864766        0.01041570
       -3.36148106        0.32576059        0.00754100        0.08474770        0.22340402        0.01006787
       -3.35148106        0.18967626        0.00638450        0.06253613        0.11309248        0.00766316
       -3.34148106        0.12100673        0.00451894        0.03337125        0.07901101        0.00410553
       -3.33148106        0.03141973        0.00126567        0.00731409        0.02193613        0.00090384
       -3.32148106        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
       -3.31148106        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
       -3.30148106        0.44239119        0.00710611        0.05262125        0.35257695        0.03008689
       -3.29148106        1.06232043        0.03520384        0.27087551        0.70321459        0.05302649
       -3.28148106        0.35483704        0.00740574        0.09344426        0.23453581        0.01945123
       -3.27148106        0.17214800        0.00402734        0.04206153        0.11547452        0.01058461
       -3.26148106        0.16521631        0.00039961        0.00355165        0.14820513        0.01305993
       -3.25148106        0.20139843        0.00128170        0.00927517        0.17953196        0.01130960
       -3.24148106        0.52293855        0.00341139        0.02080046        0.48256328        0.01616341
       -3.23148106        0.46040885        0.00306362        0.01949053        0.42488150        0.01297320
       -3.22148106        0.48420166        0.00279258        0.01940577        0.44931301        0.01269030
       -3.21148106        0.69131205        0.00256537        0.02594591        0.64660409        0.01619667
       -3.20148106        1.65106860        0.00829709        0.16429696        1.44254529        0.03592926
       -3.19148106        0.77220777        0.00674053        0.07365609        0.67524450        0.01656664
       -3.18148106        0.71355917        0.00710881        0.05446676        0.63844688        0.01353672
       -3.17148106        1.38519412        0.00619892        0.09530085        1.25514500        0.02854934
       -3.16148106        1.04043783        0.00512364        0.06744367        0.94449730        0.02337322
       -3.15148106        0.96688055        0.00511005        0.06562110        0.87391375        0.02223565
       -3.14148106        0.44875580        0.00204173        0.03160871        0.40665419        0.00845117
       -3.13148106        0.44739557        0.00189282        0.03525287        0.40101669        0.00923319
       -3.12148106        0.44026262        0.00202732        0.04264139        0.38506831        0.01052560
       -3.11148106        0.44680354        0.00247965        0.05387948        0.37796206        0.01248235
       -3.10148106        0.54063504        0.00389700        0.06696291        0.45440075        0.01537438
       -3.09148106        0.65441009        0.00922725        0.08738109        0.53905101        0.01875074
       -3.08148106        0.40101388        0.00881231        0.05867821        0.32092467        0.01259869
       -3.07148106        0.11516141        0.00026947        0.00647175        0.10485388        0.00356630
       -3.06148106        0.00668033        0.00000415        0.00019099        0.00625691        0.00022828
       -3.05148106        0.46073027        0.00414408        0.03820079        0.40590380        0.01248160
       -3.04148106        0.79927101        0.01132123        0.08139590        0.68468141        0.02187247
       -3.03148106        0.75209468        0.01303579        0.08466188        0.63286216        0.02153485
       -3.02148106        0.42183456        0.00464758        0.05417001        0.35316465        0.00985231
       -3.01148106        0.39878004        0.00163282        0.04356906        0.34257509        0.01100307
       -3.00148106        0.67362608        0.00182969        0.06127200        0.59132277        0.01920163
       -2.99148106        0.32019818        0.00083749        0.02778361        0.28243736        0.00913972
       -2.98148106        0.72923450        0.01810082        0.13573215        0.54110441        0.03429713
       -2.97148106        0.80543484        0.01566490        0.12282930        0.63786502        0.02907562
       -2.96148106        1.44269332        0.01964186        0.18989628        1.18273606        0.05041912
       -2.95148106        0.95213077        0.01010468        0.12260549        0.78698639        0.03243421
       -2.94148106        0.74493227        0.00823797        0.10423782        0.60725992        0.02519656
       -2.93148106        1.30273191        0.01115664        0.16346278        1.08010397        0.04800853
       -2.92148106        0.91173259        0.01089585        0.10618413        0.76145226        0.03320034
       -2.91148106        0.51313059        0.00611141        0.07558322        0.41043444        0.02100152
       -2.90148106        0.41830665        0.00299935        0.04905422        0.34688786        0.01936523
       -2.89148106        0.44335251        0.00245603        0.05272492        0.36496383        0.02320773
       -2.88148106        0.38825354        0.00145873        0.07043934        0.30083249        0.01552298
       -2.87148106        0.76872751        0.00357085        0.09668543        0.63536019        0.03311104
       -2.86148106        0.85411474        0.00853063        0.12576034        0.67780619        0.04201758
       -2.85148106        0.91519633        0.00874950        0.10376091        0.76488215        0.03780377
       -2.84148106        0.90766042        0.00689185        0.10475103        0.76396438        0.03205316
       -2.83148106        0.70688460        0.00601365        0.07867876        0.59846809        0.02372410
       -2.82148106        0.58413003        0.00538935        0.07281502        0.48555151        0.02037415
       -2.81148106        0.64224119        0.00678546        0.08212957        0.53175846        0.02156770
       -2.80148106        1.08201484        0.01284927        0.12671064        0.90753636        0.03491857
       -2.79148106        0.97534867        0.00895258        0.13759865        0.79649749        0.03229996
       -2.78148106        0.96579640        0.00940584        0.13257258        0.79427637        0.02954161
       -2.77148106        0.75861833        0.00647614        0.10246745        0.62192066        0.02775407
       -2.76148106        0.53167913        0.00486591        0.06456718        0.44169823        0.02054781
       -2.75148106        0.65437943        0.00605557        0.07915225        0.54366530        0.02550631
       -2.74148106        0.72274857        0.00655576        0.08014846        0.60749074        0.02855362
       -2.73148106        0.74149026        0.00807849        0.08463128        0.61973261        0.02904788
       -2.72148106        0.76419774        0.00757366        0.08745534        0.63949137        0.02967736
       -2.71148106        0.72887910        0.00642967        0.08194264        0.61183622        0.02867058
       -2.70148106        0.66676152        0.00517987        0.08080828        0.55431643        0.02645695
       -2.69148106        0.65898850        0.00538206        0.08331346        0.54413945        0.02615354
       -2.68148106        0.83390092        0.00860230        0.10504806        0.68775658        0.03249398
       -2.67148106        0.84773922        0.00875750        0.11174045        0.69446204        0.03277924
       -2.66148106        0.76584155        0.00738756        0.10843980        0.61998681        0.03002739
       -2.65148106        0.65155988        0.00502972        0.09679667        0.52339712        0.02633636
       -2.64148106        0.65233019        0.00476635        0.10192351        0.51869034        0.02694998
       -2.63148106        0.74609666        0.00641178        0.12815892        0.58084614        0.03067983
       -2.62148106        0.66199918        0.00544574        0.11297875        0.51614991        0.02742477
       -2.61148106        0.59102969        0.00492167        0.09773449        0.46374756        0.02462597
       -2.60148106        0.69973610        0.00635137        0.11419749        0.54941650        0.02977074
       -2.59148106        0.67444814        0.00709427        0.10361993        0.53531605        0.02841789
       -2.58148106        0.58810516        0.00800161        0.09280152        0.46299922        0.02430282
       -2.57148106        0.75860934        0.01116663        0.11744468        0.59921672        0.03078131
       -2.56148106        0.67842606        0.00988729        0.10197997        0.54005853        0.02650026
       -2.55148106        1.10620796        0.02321212        0.15835210        0.88673814        0.03790560
       -2.54148106        0.60822074        0.00602798        0.09297386        0.48541089        0.02380801
       -2.53148106        0.39716980        0.00273435        0.05825949        0.31762655        0.01854942
       -2.52148106        0.49853927        0.00370659        0.07678554        0.39461908        0.02342805
       -2.51148106        0.66116498        0.00574444        0.10113169        0.52486861        0.02942024
       -2.50148106        0.48528327        0.00448705        0.06845919        0.39077457        0.02156247
       -2.49148106        0.42100108        0.00662516        0.07506195        0.32145187        0.01786209
       -2.48148106        0.15050649        0.00127412        0.02396530        0.11952763        0.00573945
       -2.47148106        0.26620199        0.00277777        0.05367880        0.19543819        0.01430723
       -2.46148106        0.39641614        0.00409771        0.06730326        0.30850213        0.01651304
       -2.45148106       13.09591971        0.11033677        1.03802723       11.42072411        0.52683159
       -2.44148106        1.01972128        0.01990921        0.18084739        0.77028292        0.04868176
       -2.43148106        1.44717160        0.01789926        0.13583836        1.24028556        0.05314841
       -2.42148106        0.33392874        0.00366760        0.04030158        0.27388822        0.01607135
       -2.41148106        0.31630600        0.00337606        0.03499603        0.26384973        0.01408418
       -2.40148106        0.70903266        0.00500671        0.06557293        0.60843979        0.03001323
       -2.39148106        0.65873752        0.00744508        0.08826663        0.53483248        0.02819332
       -2.38148106        0.62636114        0.00656825        0.07821620        0.51636080        0.02521588
       -2.37148106        0.70590310        0.00696053        0.08768469        0.58445763        0.02680026
       -2.36148106        1.65020667        0.01611980        0.15143456        1.42909249        0.05355981
       -2.35148106        0.48464114        0.00360418        0.07721692        0.38401991        0.01980012
       -2.34148106        0.49158606        0.00339397        0.08005380        0.38761758        0.02052070
       -2.33148106        0.39463927        0.00281198        0.07379503        0.29953135        0.01850090
       -2.32148106        0.81100775        0.01198121        0.16275890        0.59944282        0.03682481
       -2.31148106        0.52035704        0.00659514        0.10547162        0.38320541        0.02508488
       -2.30148106        0.61547303        0.00773474        0.12316726        0.45542688        0.02914415
       -2.29148106        0.75692408        0.00843188        0.14206883        0.57245317        0.03397020
       -2.28148106        0.45971447        0.00672797        0.08852731        0.34331392        0.02114527
       -2.27148106        0.48832680        0.00751776        0.09101476        0.36756782        0.02222645
       -2.26148106        0.57506896        0.00711014        0.09857216        0.44463150        0.02475516
       -2.25148106        0.47359972        0.00630716        0.08358740        0.36233741        0.02136775
       -2.24148106        0.49062064        0.00679876        0.08628821        0.37488190        0.02265177
       -2.23148106        0.50211282        0.00743397        0.08917388        0.38133914        0.02416583
       -2.22148106        0.63187116        0.00752809        0.10303206        0.49385373        0.02745729
       -2.21148106        0.57305624        0.00743773        0.09867961        0.44019262        0.02674628
       -2.20148106        0.61487209        0.00805280        0.11149902        0.46484546        0.03047481
       -2.19148106        0.51814815        0.00667037        0.09963932        0.38521286        0.02662560
       -2.18148106        0.50543868        0.00612007        0.10072202        0.37174304        0.02685355
       -2.17148106        0.49945158        0.00575388        0.10122557        0.36507021        0.02740192
       -2.16148106        0.40891619        0.00435350        0.08506848        0.29698190        0.02251231
       -2.15148106        0.37362681        0.00361709        0.07947984        0.26953920        0.02099068
       -2.14148106        0.29940082        0.00271830        0.06278606        0.21702483        0.01687164
       -2.13148106        0.30856394        0.00239117        0.06309978        0.22552283        0.01755016
