#  aims_uuid : C048206E-C2CB-4AD9-AD99-FAB6E88F31F2                                
#  angular momentum projected density of states for species S as calculated by FHI-aims 
# The energy reference for this output is the chemical potential, mu =      -5.717739 eV
#      Energy (eV)         total dos     l= 0              l= 1              l= 2              l= 3
       -4.28226052        0.27284548        0.00397957        0.23543579        0.02866018        0.00476993
       -4.27226052        0.43758526        0.00737226        0.37849016        0.04452779        0.00719506
       -4.26226052        0.59591472        0.01143970        0.51722959        0.05808424        0.00916120
       -4.25226052        0.64505118        0.01162849        0.55966412        0.06248319        0.01127538
       -4.24226052        0.54473422        0.00731866        0.50775880        0.02454242        0.00511434
       -4.23226052        0.20628063        0.00315055        0.19185259        0.00942739        0.00185010
       -4.22226052        0.21620832        0.00379237        0.19883926        0.01153551        0.00204117
       -4.21226052        0.24528530        0.00457487        0.22418371        0.01418443        0.00234229
       -4.20226052        0.28625555        0.00520699        0.26215035        0.01627601        0.00262220
       -4.19226052        0.33911906        0.00568871        0.31273918        0.01781025        0.00288091
       -4.18226052        0.43037055        0.00659679        0.39548847        0.02465748        0.00362780
       -4.17226052        0.31084440        0.00479197        0.27782543        0.02488376        0.00334324
       -4.16226052        0.34004314        0.00489967        0.30173882        0.02954459        0.00386006
       -4.15226052        0.37253738        0.00499210        0.32975025        0.03342268        0.00437235
       -4.14226052        0.31898936        0.00517789        0.27833392        0.03138444        0.00409311
       -4.13226052        0.41162082        0.00648566        0.36381144        0.03627644        0.00504728
       -4.12226052        0.50698991        0.00780411        0.45237511        0.04077595        0.00603474
       -4.11226052        0.45516125        0.00607134        0.40398864        0.03903641        0.00606486
       -4.10226052        0.52313238        0.00663669        0.46366483        0.04560854        0.00722231
       -4.09226052        0.63318530        0.00776349        0.56110098        0.05530715        0.00901368
       -4.08226052        0.74425924        0.00917373        0.65783883        0.06631550        0.01093118
       -4.07226052        0.53864199        0.00689720        0.47179529        0.05281159        0.00713790
       -4.06226052        0.60754407        0.00818429        0.52863146        0.06236912        0.00835919
       -4.05226052        0.39680582        0.00818883        0.36890387        0.01570194        0.00401119
       -4.04226052        0.45218246        0.01027532        0.41962664        0.01773320        0.00454731
       -4.03226052        0.35992803        0.00561066        0.33696061        0.01372120        0.00363556
       -4.02226052        0.43790066        0.00546962        0.41150419        0.01667601        0.00425083
       -4.01226052        0.55263253        0.00480440        0.52106522        0.02155636        0.00520655
       -4.00226052        0.75155286        0.00445894        0.70149442        0.03705981        0.00853970
       -3.99226052        0.49553272        0.00294652        0.45220412        0.03361474        0.00676734
       -3.98226052        0.25781260        0.00229014        0.23169556        0.02039817        0.00342872
