#  aims_uuid : C048206E-C2CB-4AD9-AD99-FAB6E88F31F2                                
#  angular momentum projected density of states for species S as calculated by FHI-aims 
# The energy reference for this output is the vacuum level =       0.000000 eV
#      Energy (eV)         total dos     l= 0              l= 1              l= 2              l= 3
      -10.00000000        0.18217696        0.00171145        0.15211964        0.02527344        0.00307244
       -9.99000000        0.37400193        0.00385993        0.32367747        0.04143082        0.00503371
       -9.98000000        0.62180981        0.00673980        0.55254903        0.05554882        0.00697215
       -9.97000000        0.70715480        0.00509626        0.62956452        0.06227090        0.01022311
       -9.96000000        0.51138535        0.00598102        0.48051050        0.01977205        0.00512178
       -9.95000000        0.20057523        0.00263513        0.18845906        0.00771313        0.00176791
       -9.94000000        0.23986592        0.00324363        0.22410292        0.01062407        0.00189530
       -9.93000000        0.28422531        0.00410981        0.26417587        0.01381166        0.00212798
       -9.92000000        0.31150310        0.00508553        0.28824260        0.01583704        0.00233793
       -9.91000000        0.32169927        0.00617079        0.29630311        0.01670020        0.00252517
       -9.90000000        0.35640768        0.00773748        0.32636185        0.01927040        0.00303796
       -9.89000000        0.29486466        0.00553530        0.26965232        0.01706868        0.00260836
       -9.88000000        0.31345515        0.00594168        0.28542842        0.01910403        0.00298102
       -9.87000000        0.33120061        0.00627205        0.30042189        0.02109346        0.00341320
       -9.86000000        0.31692581        0.00434088        0.28789156        0.02110747        0.00358590
       -9.85000000        0.37857281        0.00556482        0.34342920        0.02509896        0.00447983
       -9.84000000        0.44974441        0.00668130        0.40800076        0.02958501        0.00547734
       -9.83000000        0.38787339        0.00555573        0.34939327        0.02787931        0.00504507
       -9.82000000        0.45844019        0.00586589        0.41332437        0.03328841        0.00596153
       -9.81000000        0.57932744        0.00614520        0.52367747        0.04209209        0.00741269
       -9.80000000        0.71473146        0.00638441        0.64735745        0.05207069        0.00891891
       -9.79000000        0.50395748        0.00379515        0.45654668        0.03854467        0.00507098
       -9.78000000        0.58448216        0.00368296        0.52899140        0.04607885        0.00572895
       -9.77000000        0.35102260        0.00381026        0.32410045        0.02012979        0.00298210
       -9.76000000        0.40211650        0.00442705        0.37092436        0.02352185        0.00324324
       -9.75000000        0.28362981        0.00304958        0.26112586        0.01694572        0.00250865
       -9.74000000        0.31794544        0.00315761        0.29112621        0.02072802        0.00293360
       -9.73000000        0.37187144        0.00343152        0.33858887        0.02619196        0.00365909
       -9.72000000        0.50052962        0.00418906        0.45117596        0.03867352        0.00649108
       -9.71000000        0.39863620        0.00317209        0.35872863        0.03104432        0.00569116
       -9.70000000        0.29474241        0.00331208        0.26963703        0.01867266        0.00312064
       -9.69000000        0.30878684        0.00443955        0.28639824        0.01530656        0.00264249
       -9.68000000        0.15031618        0.00162203        0.13760392        0.00941432        0.00167592
       -9.67000000        0.14655822        0.00147454        0.13398594        0.00927969        0.00181805
       -9.66000000        0.16340610        0.00174434        0.14981800        0.00974429        0.00209947
       -9.65000000        0.23626948        0.00302689        0.21830733        0.01211497        0.00282030
       -9.64000000        0.31316822        0.00386843        0.28899728        0.01644244        0.00386007
       -9.63000000        0.71118589        0.00526084        0.64592340        0.04880471        0.01119693
       -9.62000000        0.30586321        0.00358576        0.28062485        0.01829265        0.00335995
       -9.61000000        0.38416071        0.00315823        0.34831974        0.02801056        0.00467218
       -9.60000000        0.46717301        0.00225387        0.41884070        0.03990819        0.00617025
       -9.59000000        3.06295238        0.00390995        2.72008760        0.29848405        0.04047078
       -9.58000000        0.03660960        0.00005570        0.03267707        0.00307382        0.00080302
       -9.57000000        0.12860224        0.00060808        0.11496905        0.01049736        0.00252775
       -9.56000000        0.22078552        0.00175530        0.19765624        0.01754466        0.00382931
       -9.55000000        0.39484140        0.00421447        0.35440063        0.03023219        0.00599410
       -9.54000000        0.35665139        0.00466242        0.31862717        0.02818243        0.00517936
       -9.53000000        0.31334286        0.00477729        0.27880123        0.02540876        0.00435559
       -9.52000000        0.26491583        0.00455907        0.23492279        0.02191118        0.00352279
       -9.51000000        0.21137029        0.00400777        0.18699186        0.01768970        0.00268095
       -9.50000000       12.62674689        0.30330444       11.03557260        1.13516965        0.15270020
       -9.49000000        0.01988962        0.00014444        0.01851814        0.00094006        0.00028698
       -9.48000000        0.01450725        0.00010236        0.01356781        0.00062736        0.00020973
       -9.47000000        0.00952335        0.00006504        0.00895028        0.00037005        0.00013797
       -9.46000000        0.71863277        0.01665473        0.63865326        0.05894353        0.00438126
