#  aims_uuid : C048206E-C2CB-4AD9-AD99-FAB6E88F31F2                                
#  angular momentum projected density of states for species W as calculated by FHI-aims 
# The energy reference for this output is the vacuum level =       0.000000 eV
#      Energy (eV)         total dos     l= 0              l= 1              l= 2              l= 3
      -10.00000000        0.35152235        0.01525038        0.04039130        0.28594588        0.00993478
       -9.99000000        0.54436155        0.02449118        0.07513485        0.42754596        0.01718956
       -9.98000000        0.71912435        0.03266145        0.11506520        0.54700888        0.02438883
       -9.97000000        1.11489772        0.03797162        0.09247944        0.96114391        0.02330276
       -9.96000000        0.67221976        0.00064565        0.00882413        0.63621838        0.02653161
       -9.95000000        0.24140995        0.00068790        0.00936277        0.22206442        0.00929486
       -9.94000000        0.24275710        0.00244025        0.01709287        0.21314451        0.01007947
       -9.93000000        0.25699242        0.00409388        0.02520271        0.21655520        0.01114063
       -9.92000000        0.27051305        0.00489383        0.03079048        0.22311247        0.01171627
       -9.91000000        0.28331899        0.00484009        0.03385618        0.23281631        0.01180640
       -9.90000000        0.33401316        0.00446060        0.04503052        0.27193393        0.01258811
       -9.89000000        0.29833554        0.00358466        0.04014203        0.24471776        0.00989109
       -9.88000000        0.35475277        0.00352746        0.04371610        0.29692194        0.01058726
       -9.87000000        0.42377991        0.00340474        0.04457302        0.36435463        0.01144752
       -9.86000000        0.44800724        0.00338304        0.04050648        0.39339487        0.01072285
       -9.85000000        0.57239574        0.00387632        0.04284271        0.51181889        0.01385782
       -9.84000000        0.71757427        0.00427238        0.04294875        0.65313039        0.01722275
       -9.83000000        0.62750666        0.00481330        0.04513573        0.56369264        0.01386499
       -9.82000000        0.74352002        0.00557971        0.05174066        0.67034671        0.01585294
       -9.81000000        0.91240838        0.00648303        0.06078202        0.82579954        0.01934379
       -9.80000000        1.09997482        0.00752326        0.07212726        0.99686889        0.02345542
       -9.79000000        0.67371795        0.00529278        0.07991792        0.56889916        0.01960809
       -9.78000000        0.77954217        0.00604270        0.09580263        0.65477375        0.02292309
       -9.77000000        0.42710792        0.00000003        0.00265860        0.40551955        0.01892974
       -9.76000000        0.50238601        0.00000003        0.00302377        0.47591881        0.02344340
       -9.75000000        0.39068002        0.00000002        0.00221687        0.37275338        0.01570975
       -9.74000000        0.44054830        0.00142362        0.01045173        0.41180361        0.01686934
       -9.73000000        0.51029730        0.00356875        0.02330577        0.46570049        0.01772229
       -9.72000000        0.79328652        0.00489166        0.03298261        0.73592976        0.01948250
       -9.71000000        0.69652396        0.00523955        0.03388012        0.64665026        0.01075403
       -9.70000000        0.37249703        0.00445657        0.02985359        0.33128968        0.00689718
       -9.69000000        0.30366102        0.00280303        0.02290070        0.27027577        0.00768152
       -9.68000000        0.18076104        0.00188567        0.01477051        0.16066932        0.00343555
       -9.67000000        0.19817523        0.00137590        0.01253955        0.18106562        0.00319417
       -9.66000000        0.22442023        0.00099040        0.01131490        0.20874212        0.00337281
       -9.65000000        0.28743994        0.00088083        0.01291243        0.26894988        0.00469680
       -9.64000000        0.37353709        0.00111383        0.01708835        0.34913455        0.00620036
       -9.63000000        1.05689714        0.00289734        0.04612037        0.99329831        0.01458111
       -9.62000000        0.37955840        0.00309629        0.03148077        0.33685560        0.00812575
       -9.61000000        0.51485375        0.00554987        0.05383631        0.44531147        0.01015609
       -9.60000000        0.65037025        0.00879301        0.08297254        0.54664362        0.01196109
       -9.59000000        3.89029945        0.07699004        0.70671480        3.03053973        0.07605488
       -9.58000000        0.07912240        0.00007464        0.00093123        0.07751984        0.00059670
       -9.57000000        0.27797530        0.00095487        0.00530753        0.26819337        0.00351955
       -9.56000000        0.44754025        0.00282461        0.01242716        0.42390444        0.00838404
       -9.55000000        0.75836888        0.00672945        0.02863797        0.70389626        0.01910521
       -9.54000000        0.63118782        0.00960609        0.03808743        0.56678926        0.01670504
       -9.53000000        0.51265227        0.01123861        0.04336542        0.44374103        0.01430720
       -9.52000000        0.40276222        0.01162701        0.04447193        0.33475159        0.01191169
       -9.51000000        0.30151768        0.01077128        0.04140697        0.23982093        0.00951849
       -9.50000000       13.67239989        0.87903946        2.44876059        9.74666363        0.59793621
       -9.49000000        0.05878067        0.00066121        0.00796068        0.04886788        0.00129090
       -9.48000000        0.04517353        0.00057630        0.00689164        0.03675880        0.00094678
       -9.47000000        0.03130227        0.00044570        0.00530173        0.02492960        0.00062525
       -9.46000000        0.42720220        0.02674650        0.14837337        0.23173700        0.02034533
       -9.45000000        0.06114050        0.00086779        0.02116472        0.03733170        0.00177629
       -9.44000000        0.01290048        0.00040827        0.00180349        0.01039479        0.00029393
       -9.43000000        0.75515483        0.00443731        0.03811045        0.66682787        0.04577920
       -9.42000000        0.75767582        0.01283455        0.14215503        0.55440720        0.04827904
       -9.41000000        0.59366207        0.01794683        0.21961005        0.31424425        0.04186094
       -9.40000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
       -9.39000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
       -9.38000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
       -9.37000000        1.07909777        0.01312632        0.12541907        0.90815465        0.03239772
       -9.36000000        0.59744174        0.00395299        0.05501513        0.51191658        0.02655703
       -9.35000000        0.31777101        0.00000259        0.00726379        0.29589338        0.01461125
       -9.34000000        0.56681950        0.00000858        0.01668221        0.51992103        0.03020768
       -9.33000000        0.57755520        0.00587658        0.06479867        0.47932518        0.02755477
