#  aims_uuid : 64350EFF-2CD9-4BA4-AF23-B5CB3EE2F0A3                                
#  angular momentum projected density of states for species W as calculated by FHI-aims 
# The energy reference for this output is the vacuum level =       0.000000 eV
#      Energy (eV)         total dos     l= 0              l= 1              l= 2              l= 3              l= 4
      -10.00000000        0.29226821        0.01147696        0.02982568        0.24521105        0.00556269        0.00019182
       -9.98998999        0.43327271        0.02660776        0.04167270        0.35559634        0.00900545        0.00039045
       -9.97997998        0.24665711        0.01073854        0.01980406        0.21067157        0.00515411        0.00028882
       -9.96996997        0.25792923        0.00983342        0.01764909        0.22451398        0.00557751        0.00035523
       -9.95995996        0.26748278        0.00871628        0.01554274        0.23679405        0.00603410        0.00039561
       -9.94994995        0.27531777        0.00738711        0.01348503        0.24751176        0.00652389        0.00040998
       -9.93993994        0.48563181        0.02937035        0.02591629        0.41983401        0.00964448        0.00086668
       -9.92992993        0.55366770        0.03713996        0.03133644        0.47234253        0.01188954        0.00095924
       -9.91991992        0.60941935        0.04131816        0.03730464        0.51514547        0.01464289        0.00100820
       -9.90990991        0.36341470        0.04195477        0.03808038        0.27348372        0.00908955        0.00080628
       -9.89989990        0.39535570        0.04133944        0.04695923        0.29396954        0.01220373        0.00088375
       -9.88988989        0.41673102        0.03734473        0.05633749        0.30631214        0.01579300        0.00094365
       -9.87987988        0.42754066        0.02997064        0.06621517        0.31051151        0.01985737        0.00098596
       -9.86986987        0.19095166        0.02080268        0.02982058        0.13347704        0.00629667        0.00055468
       -9.85985986        1.64082286        0.03607498        0.19705080        1.35357642        0.05055668        0.00356398
       -9.84984985        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
       -9.83983984        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
       -9.82982983        0.17181698        0.00997019        0.02651116        0.13213807        0.00281181        0.00038574
       -9.81981982        0.52937130        0.03436952        0.07332679        0.41017278        0.01050101        0.00100120
       -9.80980981        0.74535289        0.06446939        0.10983995        0.55449773        0.01517989        0.00136593
       -9.79979980        0.40457435        0.02199120        0.04624864        0.32743367        0.00818887        0.00071198
       -9.78978979        0.40683172        0.02103201        0.04079511        0.33620197        0.00807427        0.00072836
       -9.77977978        0.40534572        0.02023755        0.03598044        0.34047571        0.00791863        0.00073339
       -9.76976977        0.44868017        0.02277988        0.04731288        0.36777991        0.00990811        0.00089939
       -9.75975976        0.44965920        0.02250815        0.04579581        0.37017051        0.01027954        0.00090519
       -9.74974975        0.44910250        0.02228630        0.04460979        0.37061895        0.01069157        0.00089589
       -9.73973974        0.44701006        0.02211433        0.04375482        0.36912522        0.01114419        0.00087150
       -9.72972973        0.44338190        0.02199224        0.04323091        0.36568932        0.01163741        0.00083201
       -9.71971972        0.47108538        0.02406428        0.04489896        0.38869348        0.01255376        0.00087491
       -9.70970971        0.28412460        0.00825037        0.03047929        0.23407164        0.01084782        0.00047548
       -9.69969970        0.25872293        0.00487022        0.02738384        0.21502474        0.01105066        0.00039348
       -9.68968969        0.24055072        0.00239673        0.02486154        0.20183766        0.01113219        0.00032260
       -9.67967968        0.22960796        0.00082991        0.02291238        0.19451038        0.01109242        0.00026286
       -9.66966967        0.50559865        0.00006306        0.03288201        0.45260065        0.01968307        0.00036986
       -9.65965966        0.19633486        0.00001472        0.00545221        0.18701300        0.00373190        0.00012303
       -9.64964965        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
       -9.63963964        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
       -9.62962963        0.15094363        0.00041184        0.00256609        0.14412185        0.00378213        0.00006171
       -9.61961962        0.31224679        0.00238064        0.01227953        0.28958165        0.00781264        0.00019232
       -9.60960961        0.43565393        0.00600523        0.03117439        0.38670880        0.01137350        0.00039200
       -9.59959960        0.52776044        0.01174316        0.06025526        0.44056720        0.01450924        0.00068558
       -9.58958959        0.61083647        0.01992107        0.09661176        0.47485868        0.01835216        0.00109280
       -9.57957958        0.22258479        0.00601352        0.02591992        0.18272184        0.00754395        0.00038556
       -9.56956957        0.26470199        0.00765335        0.03043716        0.21688332        0.00923926        0.00048888
       -9.55955956        0.30432116        0.00925455        0.03479010        0.24885020        0.01083620        0.00059011
       -9.54954955        0.34144230        0.01081711        0.03897874        0.27862246        0.01233476        0.00068924
       -9.53953954        0.37606543        0.01234104        0.04300308        0.30620011        0.01373493        0.00078627
       -9.52952953        0.42416351        0.01558038        0.04939477        0.34295514        0.01531614        0.00091708
       -9.51951952        0.41413325        0.02125299        0.05411423        0.32511049        0.01267622        0.00097932
       -9.50950951        0.53947393        0.03443799        0.07843056        0.41074512        0.01449833        0.00136193
       -9.49949950        0.68640359        0.05588682        0.11421907        0.50004360        0.01435392        0.00190018
       -9.48948949        1.36478142        0.02810861        0.20031796        1.08693424        0.04708266        0.00233795
       -9.47947948        1.74402568        0.01022980        0.09324848        1.59197632        0.04608318        0.00248790
       -9.46946947        0.32066356        0.00712596        0.03423553        0.27074800        0.00791765        0.00063642
       -9.45945946        0.23040983        0.00479082        0.03191708        0.18747912        0.00577010        0.00045272
       -9.44944945        1.15539700        0.07257199        0.19585061        0.85993833        0.02357119        0.00346487
       -9.43943944        0.64906587        0.03197459        0.13223720        0.46752142        0.01540435        0.00192832
       -9.42942943        0.45210258        0.02810703        0.08800821        0.32507702        0.00952391        0.00138641
       -9.41941942        1.05877315        0.02637119        0.19677005        0.81067579        0.02126457        0.00369155
       -9.40940941        2.58582201        0.02450664        0.21411230        2.31546233        0.02672522        0.00501552
       -9.39939940        1.10504053        0.02251335        0.18415924        0.87924647        0.01609764        0.00302383
       -9.38938939        1.25874676        0.02040227        0.20340023        1.01486925        0.01648403        0.00359099
       -9.37937938        1.47783376        0.00000026        0.14215735        1.31598835        0.01590550        0.00378230
       -9.36936937        0.94657101        0.00000003        0.10364158        0.82323095        0.01417942        0.00551903
       -9.35935936        0.33431099        0.00000000        0.05823403        0.26919915        0.00615381        0.00072400
       -9.34934935        0.40995291        0.00000001        0.06789894        0.33376959        0.00707102        0.00121335
       -9.33933934        0.95605887        0.00000002        0.12415849        0.80904918        0.01717207        0.00567911
       -9.32932933        1.09510772        0.00000003        0.15326599        0.91966835        0.01635263        0.00582073
       -9.31931932        1.19658336        0.04258322        0.15431750        0.95884598        0.03556762        0.00526904
       -9.30930931        2.42923262        0.03119545        0.23285505        2.12018876        0.04022714        0.00476622
       -9.29929930        2.13584415        0.03689829        0.25920459        1.80459947        0.02867818        0.00646362
       -9.28928929        0.65912458        0.00000002        0.07442019        0.57471352        0.00723532        0.00275552
       -9.27927928        2.42239154        0.00000063        0.26575337        2.11983639        0.02241009        0.01439107
       -9.26926927        2.08664888        0.01706631        0.23651584        1.80055601        0.02050852        0.01200220
       -9.25925926        0.91666817        0.06723553        0.20507779        0.61886703        0.02087701        0.00461081
       -9.24924925        1.80738863        0.03312609        0.24959596        1.48985117        0.02306077        0.01175464
       -9.23923924        1.51370289        0.00329370        0.11497968        1.36524405        0.01771644        0.01246902
       -9.22922923        0.04593999        0.00008237        0.01452091        0.02931999        0.00175743        0.00025929
       -9.21921922        2.78852546        0.00000003        0.54442972        2.19795899        0.02731253        0.01882420
       -9.20920921        0.08439626        0.00000000        0.01286823        0.07102879        0.00016401        0.00033522
       -9.19919920        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
       -9.18918919        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
       -9.17917918        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
       -9.16916917        2.00112230        0.00000002        0.20679778        1.77200047        0.01607003        0.00625401
