#  aims_uuid : F597D26E-B45D-436A-A7F5-8AD891046F93                                
#  angular momentum projected density of states for species S as calculated by FHI-aims 
# The energy reference for this output is the chemical potential, mu =      -5.036917 eV
#      Energy (eV)         total dos     l= 0              l= 1              l= 2              l= 3              l= 4
       -4.96308263        0.65394105        0.07155675        0.54575950        0.03201452        0.00429847        0.00031183
       -4.95307262        1.03966453        0.03979679        0.93442300        0.05866373        0.00561010        0.00117092
       -4.94306261        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
       -4.93305260        0.14298859        0.01014238        0.12280269        0.00893927        0.00095239        0.00015186
       -4.92304259        0.67012453        0.01828597        0.61717442        0.02899422        0.00441664        0.00125329
       -4.91303258        0.15030527        0.00967048        0.13122118        0.00826616        0.00095660        0.00019085
       -4.90302257        0.14725604        0.00905510        0.12858602        0.00837651        0.00103423        0.00020418
       -4.89301256        0.14475663        0.00849924        0.12642498        0.00850620        0.00110943        0.00021678
       -4.88300255        0.14280705        0.00800291        0.12473806        0.00865524        0.00118219        0.00022865
       -4.87299254        0.14140729        0.00756611        0.12352526        0.00882363        0.00125251        0.00023978
       -4.86298253        0.19169189        0.00767651        0.17194285        0.01025363        0.00147712        0.00034178
       -4.85297252        0.29039279        0.00908044        0.26550739        0.01340529        0.00187698        0.00052269
       -4.84296251        0.36788651        0.01128802        0.33672499        0.01685573        0.00234525        0.00067251
       -4.83295250        0.41754864        0.01267412        0.38123495        0.02003859        0.00282405        0.00077693
       -4.82294249        0.46414317        0.01434761        0.42174369        0.02377409        0.00339999        0.00087779
       -4.81293248        0.50767007        0.01630848        0.45825120        0.02806223        0.00407307        0.00097508
       -4.80292247        0.54812936        0.01855674        0.49075750        0.03290300        0.00484330        0.00106881
       -4.79291246        0.38706270        0.01304623        0.34908210        0.02111991        0.00305757        0.00075689
       -4.78290245        0.38148167        0.01322872        0.34269192        0.02165775        0.00315174        0.00075154
       -4.77289244        0.37653811        0.01351402        0.33664625        0.02236026        0.00327293        0.00074465
       -4.76288243        0.37223200        0.01390213        0.33094507        0.02322743        0.00342114        0.00073624
       -4.75287242        0.22742538        0.00691918        0.20515921        0.01304631        0.00183355        0.00046713
       -4.74286241        0.18881197        0.00538665        0.17082213        0.01071967        0.00148932        0.00039419
       -4.73285240        0.15161912        0.00402149        0.13769923        0.00842357        0.00115551        0.00031932
       -4.72284239        0.11584683        0.00282369        0.10579050        0.00615800        0.00083213        0.00024252
       -4.71283238        0.08149512        0.00179325        0.07509595        0.00392296        0.00051917        0.00016379
       -4.70282237        0.05354299        0.00099990        0.05017052        0.00201873        0.00025716        0.00009668
       -4.69281236        0.34060268        0.02271674        0.29968672        0.01565431        0.00227332        0.00027159
       -4.68280235        0.69107169        0.02050718        0.63871128        0.02706749        0.00371268        0.00107307
       -4.67279234        0.16412008        0.00434070        0.14924956        0.00912609        0.00109569        0.00030804
       -4.66278233        0.37214058        0.01280254        0.34239751        0.01460270        0.00179377        0.00054406
       -4.65277232        0.28204155        0.01557063        0.25249698        0.01188406        0.00174868        0.00034119
       -4.64276231        0.23025417        0.01674933        0.20207536        0.00953409        0.00168235        0.00021305
       -4.63275230        0.20445187        0.01615920        0.17912119        0.00746730        0.00155635        0.00014784
       -4.62274229        0.11930106        0.00243655        0.11357144        0.00256813        0.00057516        0.00014977
       -4.61273228        0.18608023        0.00391892        0.17671176        0.00429290        0.00091756        0.00023909
       -4.60272227        0.25417368        0.00567203        0.24046803        0.00639505        0.00130611        0.00033247
       -4.59271226        0.33292091        0.00811795        0.31325556        0.00929273        0.00181420        0.00044048
       -4.58270225        0.41277416        0.01068129        0.38667576        0.01251018        0.00235173        0.00055520
       -4.57269224        0.43262397        0.01250433        0.40161405        0.01541188        0.00253720        0.00055650
       -4.56268223        0.54732205        0.01846661        0.50159571        0.02321203        0.00338143        0.00066627
       -4.55267222        0.55549019        0.01997056        0.50710558        0.02442635        0.00334924        0.00063847
       -4.54266221        0.80877276        0.02882691        0.73686369        0.03717354        0.00495014        0.00095848
       -4.53265220        0.67108106        0.02288924        0.61544872        0.02815689        0.00375300        0.00083322
       -4.52264219        2.78586954        0.10977708        2.52934502        0.12286931        0.01969541        0.00418273
       -4.51263218        0.88066673        0.02441543        0.81324343        0.03651023        0.00521583        0.00128181
       -4.50262217        1.26071596        0.02715171        1.17740973        0.04845961        0.00578712        0.00190778
       -4.49261216        0.82157499        0.02013982        0.76208362        0.03429921        0.00379179        0.00126055
       -4.48260215        0.55375732        0.01488525        0.51324833        0.02211050        0.00270166        0.00081158
       -4.47259214        0.41845036        0.01155592        0.38961082        0.01454171        0.00215329        0.00058862
       -4.46258213        0.59832219        0.01358301        0.55782763        0.02258989        0.00334459        0.00097708
       -4.45257212        0.61228749        0.01454376        0.57159311        0.02192216        0.00322820        0.00100026
       -4.44256211        0.48844986        0.01173325        0.45699023        0.01668043        0.00230910        0.00073685
       -4.43255210        0.32385166        0.00788911        0.30340655        0.01075288        0.00135894        0.00044417
       -4.42254209        1.20466051        0.02009871        1.12452809        0.05347469        0.00492262        0.00163640
       -4.41253208        0.87476255        0.01666381        0.81219258        0.04036128        0.00426404        0.00128085
       -4.40252207        1.33625902        0.02927493        1.24565437        0.05300003        0.00644837        0.00188131
       -4.39251206        1.08528050        0.02478300        1.00457366        0.04786151        0.00648564        0.00157668
       -4.38250205        1.09281232        0.03311459        0.99606689        0.05491999        0.00704316        0.00166769
       -4.37249204        0.89365064        0.03117712        0.81055766        0.04506533        0.00546355        0.00138698
       -4.36248203        0.77172054        0.02832219        0.69271591        0.04368477        0.00562303        0.00137464
       -4.35247202        0.81213593        0.02639735        0.74024756        0.03911403        0.00494834        0.00142864
       -4.34246201        0.79152462        0.02365528        0.72473453        0.03628717        0.00532169        0.00152596
       -4.33245200        1.28642603        0.03407987        1.18148445        0.06057040        0.00808175        0.00220957
       -4.32244199        0.89901016        0.02349158        0.83558022        0.03410140        0.00440826        0.00142870
       -4.31243198        1.68009674        0.05318034        1.55215602        0.06434878        0.00782092        0.00259069
       -4.30242197        1.71163100        0.05216943        1.57223824        0.07609983        0.00880349        0.00232001
       -4.29241196        1.78265947        0.04325557        1.65852658        0.06833360        0.01003182        0.00251190
       -4.28240195        1.07413371        0.02528176        0.99527959        0.04514399        0.00684386        0.00158452
       -4.27239194        1.28781309        0.03033244        1.19673588        0.05026923        0.00864054        0.00183500
       -4.26238193        1.11652894        0.02722363        1.03498325        0.04415300        0.00840319        0.00176586
       -4.25237192        1.69086958        0.04100947        1.57139991        0.06444320        0.01133188        0.00268512
       -4.24236191        1.64675800        0.03173517        1.53820963        0.06165769        0.01232642        0.00282909
       -4.23235190        1.50091488        0.02406351        1.40538108        0.05683089        0.01205368        0.00258572
       -4.22234189        0.95227592        0.01057783        0.89284087        0.03889286        0.00831399        0.00165037
       -4.21233188        1.59480708        0.02365749        1.49511530        0.05975362        0.01372700        0.00255368
       -4.20232187        1.71455059        0.03006945        1.59171071        0.07051967        0.01908524        0.00316551
       -4.19231186        1.60203302        0.01598804        1.50347960        0.05966883        0.02020767        0.00268888
       -4.18230185        0.31987876        0.00391414        0.29994833        0.01197331        0.00348744        0.00055553
       -4.17229184        1.09205398        0.01226707        1.02793968        0.04158155        0.00870262        0.00156306
       -4.16228183        0.66829717        0.01049000        0.62270583        0.02846640        0.00549020        0.00114473
       -4.15227182       42.24398311        0.61290777       39.68330659        1.67607981        0.21411748        0.05757145
       -4.14226181        0.44431271        0.00698930        0.40134870        0.02883577        0.00604024        0.00109871
       -4.13225180        0.30047160        0.00510463        0.26911421        0.02097797        0.00451086        0.00076393
       -4.12224179        0.61344936        0.01368890        0.55974418        0.03270555        0.00616737        0.00114336
       -4.11223178        0.92763332        0.02232654        0.84448520        0.05215061        0.00713572        0.00153526
       -4.10222177        1.29039746        0.02306188        1.19607110        0.05891052        0.01028184        0.00207212
       -4.09221176        0.66505802        0.01200839        0.61768607        0.03037254        0.00403978        0.00095124
       -4.08220175        1.50729911        0.02045951        1.41502689        0.05795366        0.01170557        0.00215348
       -4.07219174        1.34822564        0.02247831        1.26291078        0.05068593        0.01020852        0.00194210
       -4.06218173        0.97129215        0.01663521        0.90835578        0.03918826        0.00588081        0.00123210
       -4.05217172        0.83185742        0.01235322        0.78130548        0.03216804        0.00495580        0.00107488
       -4.04216171        0.76471981        0.01194794        0.70665463        0.03880841        0.00609143        0.00121741
       -4.03215170        0.54206569        0.00913157        0.49415223        0.03254372        0.00524668        0.00099149
       -4.02214169        0.58711826        0.01173264        0.54202461        0.02811815        0.00426613        0.00097674
       -4.01213168        0.67489448        0.01101664        0.62560968        0.03207941        0.00508127        0.00110748
       -4.00212167        0.54900193        0.00818814        0.50815076        0.02709339        0.00460643        0.00096320
       -3.99211166        0.59585287        0.00718125        0.55475874        0.02808605        0.00480351        0.00102332
       -3.98210165        0.39836579        0.00554472        0.37021046        0.01849251        0.00339516        0.00072294
       -3.97209164        0.36443923        0.00867077        0.33255938        0.01908885        0.00347711        0.00064313
       -3.96208163        0.55215096        0.01319850        0.50981582        0.02501715        0.00347629        0.00064319
       -3.95207162        0.41116465        0.00293277        0.38262224        0.02118943        0.00379240        0.00062781
       -3.94206161        1.29915206        0.01617808        1.21165964        0.06001391        0.00974907        0.00155135
       -3.93205160        0.19552206        0.00293628        0.18201257        0.00916908        0.00114830        0.00025584
       -3.92204159        0.25084802        0.00418553        0.23540146        0.00964558        0.00131435        0.00030110
       -3.91203158        0.33692513        0.00510262        0.31056160        0.01880725        0.00204696        0.00040669
       -3.90202157        0.35639499        0.00536176        0.32619860        0.02181830        0.00254889        0.00046744
       -3.89201156        0.39233145        0.00581047        0.35726801        0.02544195        0.00324949        0.00056153
       -3.88200155        0.43846626        0.00624403        0.39811884        0.02931206        0.00411296        0.00067836
       -3.87199154        0.48381537        0.00643026        0.43925353        0.03228773        0.00503842        0.00080544
       -3.86198153        0.23882339        0.00370728        0.21159263        0.02023390        0.00289274        0.00039685
       -3.85197152        0.60038304        0.00649357        0.53085746        0.05023406        0.01130806        0.00148988
       -3.84196151        0.57774337        0.01009098        0.51540580        0.04295139        0.00822721        0.00106799
       -3.83195150        0.51151847        0.01029467        0.45947114        0.03518956        0.00580968        0.00075342
       -3.82194149        0.40170834        0.00710465        0.36305348        0.02694855        0.00405548        0.00054619
       -3.81193148        0.32036449        0.00425960        0.29099981        0.02148660        0.00317356        0.00044493
       -3.80192147        0.93390609        0.02148292        0.84480106        0.06082042        0.00617450        0.00062720
       -3.79191146        0.71364131        0.01279809        0.64435227        0.04996472        0.00582325        0.00070298
       -3.78190145        0.37918392        0.00492932        0.34199109        0.02755078        0.00415529        0.00055744
       -3.77189144        0.32788147        0.00360688        0.29484728        0.02561744        0.00334853        0.00046134
       -3.76188143        0.92671510        0.00962208        0.84149661        0.06615621        0.00812813        0.00131207
       -3.75187142        1.83697195        0.01646503        1.67192770        0.13073537        0.01557522        0.00226863
       -3.74186141        0.05417382        0.00028539        0.05016052        0.00305330        0.00059581        0.00007880
       -3.73185140        0.17190638        0.00129455        0.15898457        0.00939393        0.00195207        0.00028126
       -3.72184139        0.38171889        0.00417181        0.35052929        0.02302850        0.00345799        0.00053130
       -3.71183138        0.45643753        0.00398227        0.42022381        0.02799074        0.00373183        0.00050887
       -3.70182137        0.57469364        0.00517719        0.53110117        0.03323115        0.00453842        0.00064571
       -3.69181136        0.39607809        0.00371635        0.36656611        0.02224997        0.00310213        0.00044353
       -3.68180135        0.36867009        0.00425938        0.33834633        0.02274509        0.00288660        0.00043269
       -3.67179134        0.43393241        0.00538499        0.39749137        0.02714415        0.00338771        0.00052420
       -3.66178133        0.51066462        0.00672273        0.46806192        0.03128262        0.00396300        0.00063435
       -3.65177132        0.59886674        0.00827259        0.55005798        0.03516052        0.00461249        0.00076317
       -3.64176131        0.50310459        0.00710174        0.46231026        0.02916227        0.00388783        0.00064249
       -3.63175130        0.42391183        0.00575201        0.39004559        0.02426180        0.00332800        0.00052443
       -3.62174129        0.27793408        0.00319373        0.25465626        0.01707494        0.00258738        0.00042177
       -3.61173128        0.27250047        0.00315177        0.24971282        0.01662344        0.00258922        0.00042321
       -3.60172127        0.26731487        0.00310515        0.24497470        0.01621972        0.00259129        0.00042400
       -3.59171126        0.26237729        0.00305386        0.24044189        0.01586380        0.00259360        0.00042415
       -3.58170125        0.17482887        0.00215227        0.15906438        0.01115046        0.00212015        0.00034161
       -3.57169124        0.68999986        0.00982217        0.63806121        0.03557903        0.00566695        0.00087050
       -3.56168123        0.59021220        0.00935932        0.54138526        0.03287756        0.00572313        0.00086693
       -3.55167122        0.62899614        0.00905924        0.57395394        0.03796992        0.00698832        0.00102472
       -3.54166121        0.41580903        0.00543034        0.38224033        0.02429408        0.00338053        0.00046374
       -3.53165120        0.92481852        0.01039814        0.84285855        0.05947672        0.01071462        0.00137050
       -3.52164119        0.65463813        0.00690078        0.59494703        0.04304020        0.00865434        0.00109577
       -3.51163118        0.67266820        0.00470582        0.61068242        0.04733060        0.00876156        0.00118780
       -3.50162117        1.13153838        0.00821776        1.03566578        0.07310582        0.01295153        0.00159749
       -3.49161116        1.50209054        0.02009971        1.36808370        0.09916538        0.01274862        0.00199313
       -3.48160115        1.04018318        0.01157092        0.95222973        0.06557742        0.00927214        0.00153297
       -3.47159114        0.60086017        0.00920227        0.54733082        0.03794672        0.00549723        0.00088314
       -3.46158113        0.09976763        0.00238191        0.09297905        0.00377779        0.00052473        0.00010414
       -3.45157112        0.56131569        0.01672234        0.51075231        0.02864137        0.00459265        0.00060702
       -3.44156111        0.32513879        0.00772921        0.29685263        0.01695863        0.00322019        0.00037813
       -3.43155110        0.13203730        0.00254627        0.12115384        0.00674229        0.00143880        0.00015609
       -3.42154109        0.55890176        0.01568884        0.50827051        0.02802960        0.00614990        0.00076291
       -3.41153108        0.52971170        0.01973331        0.48229263        0.02248675        0.00462888        0.00057013
       -3.40152107        0.42694941        0.00839919        0.39294511        0.02038089        0.00449680        0.00072742
       -3.39151106        0.57090956        0.00943460        0.52922899        0.02619967        0.00514843        0.00089787
       -3.38150105        0.72442237        0.01037965        0.67398048        0.03334308        0.00566693        0.00105223
       -3.37149104        0.73541310        0.01006738        0.68974086        0.02997698        0.00467955        0.00094833
       -3.36148103        0.16880543        0.00309950        0.15262300        0.01127425        0.00155401        0.00025466
       -3.35147102        0.13447297        0.00244958        0.12176094        0.00876852        0.00126900        0.00022493
       -3.34146101        0.10346731        0.00186721        0.09384757        0.00655559        0.00100411        0.00019284
       -3.33145100        0.43247980        0.00732215        0.39522432        0.02286231        0.00590014        0.00117086
       -3.32144099        0.67069220        0.00977530        0.61396524        0.03521420        0.00989698        0.00184048
       -3.31143098        5.58810416        0.09308321        5.33002732        0.12115176        0.03838461        0.00545727
       -3.30142097        0.87429906        0.01111632        0.81814714        0.03603005        0.00779922        0.00120633
       -3.29141096        0.70786636        0.00959210        0.66315099        0.02771609        0.00633634        0.00107084
       -3.28140095        0.49706855        0.00678991        0.45907772        0.02472599        0.00547292        0.00100201
       -3.27139094        0.23772110        0.00252633        0.21431692        0.01686330        0.00342374        0.00059081
       -3.26138093        0.15607724        0.00118362        0.14065846        0.01164197        0.00224102        0.00035217
       -3.25137092        1.36812158        0.00931401        1.24929391        0.09367856        0.01403218        0.00180292
       -3.24136091        0.76543144        0.01019709        0.69757211        0.04899000        0.00755359        0.00111865
       -3.23135090        0.61392359        0.01314276        0.55795986        0.03628606        0.00563235        0.00090255
       -3.22134089        0.46447010        0.00301143        0.42295481        0.03301522        0.00465977        0.00082887
       -3.21133088        0.81417400        0.01081024        0.73786818        0.05705598        0.00725231        0.00118729
       -3.20132087        0.63105138        0.01066644        0.57234498        0.04135170        0.00587401        0.00081425
       -3.19131086        0.82141806        0.01230527        0.74429271        0.05549819        0.00815389        0.00116800
       -3.18130085        0.73423925        0.01075080        0.66797179        0.04672476        0.00764378        0.00114812
       -3.17129084        0.60795031        0.00998660        0.55438375        0.03627382        0.00629419        0.00101195
       -3.16128083        0.55548629        0.01196455        0.50752753        0.02972021        0.00527018        0.00100381
       -3.15127082        0.64918703        0.01572776        0.59464603        0.03170639        0.00591836        0.00118849
       -3.14126081        0.78638119        0.02092732        0.72311134        0.03418232        0.00672264        0.00143757
       -3.13125080        0.74418471        0.02128627        0.68569273        0.02985277        0.00602542        0.00132752
       -3.12124079        0.92321906        0.02516226        0.85231425        0.03648254        0.00762754        0.00163247
       -3.11123078        0.96243058        0.02999143        0.89092764        0.03300135        0.00697529        0.00153487
       -3.10122077        0.84137414        0.02432607        0.77884762        0.03065314        0.00622996        0.00131736
       -3.09121076        0.60290292        0.01699223        0.55895880        0.02170045        0.00432896        0.00092248
       -3.08120075        1.09419312        0.02596985        1.01310907        0.04342445        0.00992810        0.00176164
       -3.07119074        2.25165881        0.05194053        2.10703167        0.07250166        0.01707766        0.00310729
       -3.06118073        1.70326426        0.07507784        1.58629238        0.03077408        0.00889652        0.00222344
       -3.05117072        1.50419559        0.05037382        1.39485952        0.04606709        0.01081474        0.00208042
       -3.04116071        1.06339430        0.03946620        0.98154417        0.03378486        0.00706330        0.00153577
       -3.03115070        0.85517425        0.02951291        0.78516411        0.03236343        0.00677491        0.00135889
       -3.02114069        0.81924921        0.03229380        0.75405162        0.02474001        0.00664943        0.00151435
       -3.01113068        1.06513421        0.03657486        0.98220091        0.03509542        0.00923595        0.00202707
       -3.00112067        0.98740233        0.03747950        0.91226460        0.02847836        0.00748056        0.00169931
       -2.99111066        1.28293556        0.05174144        1.18798397        0.03229756        0.00895291        0.00195968
       -2.98110065        1.33043439        0.05824614        1.23095457        0.03042714        0.00885274        0.00195381
