#  aims_uuid : F597D26E-B45D-436A-A7F5-8AD891046F93                                
#  angular momentum projected density of states for species S as calculated by FHI-aims 
# The energy reference for this output is the vacuum level =       0.000000 eV
#      Energy (eV)         total dos     l= 0              l= 1              l= 2              l= 3              l= 4
      -10.00000000        0.46660444        0.03642505        0.39858241        0.02853274        0.00279198        0.00027226
       -9.98998999        1.22579943        0.08397422        1.07565864        0.05802699        0.00697810        0.00116148
       -9.97997998        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
       -9.96996997        0.19872563        0.01755839        0.16890355        0.01069943        0.00138945        0.00017480
       -9.95995996        0.79405286        0.02564358        0.72933751        0.03277185        0.00507701        0.00122292
       -9.94994995        0.19479931        0.01929985        0.16550343        0.00862027        0.00120820        0.00016757
       -9.93993994        0.18427571        0.01829742        0.15563746        0.00891979        0.00123636        0.00018468
       -9.92992993        0.17474387        0.01732258        0.14674794        0.00920663        0.00126632        0.00020039
       -9.91991992        0.16620378        0.01637532        0.13883488        0.00948078        0.00129809        0.00021470
       -9.90990991        0.15865546        0.01545566        0.13189827        0.00974225        0.00133167        0.00022761
       -9.89989990        0.19428606        0.01611614        0.16497145        0.01136639        0.00152127        0.00031081
       -9.88988989        0.29375582        0.01858801        0.25818701        0.01459744        0.00190300        0.00048035
       -9.87987988        0.38072773        0.02049447        0.33961036        0.01768244        0.00231443        0.00062602
       -9.86986987        0.42832360        0.02196495        0.38230143        0.02057336        0.00276226        0.00072160
       -9.85985986        0.47139340        0.02365942        0.41969765        0.02391428        0.00330886        0.00081319
       -9.84984985        0.50993715        0.02557790        0.45179902        0.02770522        0.00395423        0.00090078
       -9.83983984        0.54395483        0.02772037        0.47860553        0.03194617        0.00469837        0.00098438
       -9.82982983        0.42998850        0.01549629        0.38860057        0.02198956        0.00318961        0.00071246
       -9.81981982        0.43027568        0.01424976        0.38909950        0.02283937        0.00337707        0.00070999
       -9.80980981        0.42921825        0.01312785        0.38782920        0.02394936        0.00360491        0.00070693
       -9.79979980        0.42681620        0.01213058        0.38478966        0.02531952        0.00387314        0.00070330
       -9.78978979        0.27273542        0.00696710        0.24995334        0.01332400        0.00206049        0.00043049
       -9.77977978        0.23067389        0.00542972        0.21228737        0.01090127        0.00169297        0.00036257
       -9.76976977        0.18691333        0.00403496        0.17270407        0.00855354        0.00132701        0.00029375
       -9.75975976        0.14145374        0.00278284        0.13120344        0.00628081        0.00096261        0.00022403
       -9.74974975        0.09429512        0.00167336        0.08778549        0.00408308        0.00059977        0.00015342
       -9.73973974        0.05265310        0.00090315        0.04924031        0.00214067        0.00027925        0.00008972
       -9.72972973        0.45110336        0.03649454        0.39477887        0.01711670        0.00250053        0.00021272
       -9.71971972        0.65774240        0.02848057        0.59931155        0.02534063        0.00376602        0.00084364
       -9.70970971        0.13632177        0.00422640        0.12362142        0.00699942        0.00125332        0.00022122
       -9.69969970        0.33141959        0.01398813        0.30241937        0.01266328        0.00192750        0.00042132
       -9.68968969        0.28585579        0.01861982        0.25448993        0.01063899        0.00185865        0.00024839
       -9.67967968        0.26554594        0.02145888        0.23313841        0.00905805        0.00174020        0.00015040
       -9.66966967        0.25485690        0.02185227        0.22369097        0.00765471        0.00154654        0.00011242
       -9.65965966        0.12136057        0.00427711        0.11365599        0.00277845        0.00049802        0.00015100
       -9.64964965        0.18098121        0.00581915        0.16967134        0.00444208        0.00081138        0.00023726
       -9.63963964        0.24056764        0.00752547        0.22517510        0.00635767        0.00118647        0.00032293
       -9.62962963        0.31253379        0.01015907        0.29113352        0.00909488        0.00172760        0.00041872
       -9.61961962        0.38105210        0.01265022        0.35368730        0.01190913        0.00229238        0.00051306
       -9.60960961        0.40831417        0.01519388        0.37580862        0.01429155        0.00253002        0.00049011
       -9.59959960        0.52758507        0.02264434        0.48093284        0.02008492        0.00337861        0.00054436
       -9.58958959        0.52707961        0.02407480        0.47757477        0.02156249        0.00337300        0.00049455
       -9.57957958        0.75572724        0.03670166        0.68270466        0.03081925        0.00482769        0.00067397
       -9.56956957        0.57665130        0.02487778        0.52267475        0.02490739        0.00361430        0.00057709
       -9.55955956        2.84146683        0.12563820        2.56129272        0.13145276        0.02010133        0.00298183
       -9.54954955        0.71414944        0.02709000        0.64674652        0.03385509        0.00553032        0.00092750
       -9.53953954        0.85262611        0.03057622        0.77993252        0.03569280        0.00525319        0.00117138
       -9.52952953        0.56183577        0.02171874        0.51248268        0.02370814        0.00318144        0.00074476
       -9.51951952        0.38778647        0.01589082        0.35258484        0.01656189        0.00224651        0.00050242
       -9.50950951        0.29637058        0.01208791        0.26910186        0.01294775        0.00185047        0.00038259
       -9.49949950        0.43775757        0.01152210        0.40235130        0.02057645        0.00262914        0.00067858
       -9.48948949        0.43141195        0.01087907        0.39595476        0.02118452        0.00267639        0.00071721
       -9.47947948        0.31056742        0.00879968        0.28374023        0.01549295        0.00199005        0.00054451
       -9.46946947        0.18393075        0.00581943        0.16698262        0.00953468        0.00124068        0.00035334
       -9.45945946        0.81935536        0.03398303        0.74242151        0.03589220        0.00517035        0.00188827
       -9.44944945        0.61498828        0.02769500        0.55353610        0.02812415        0.00425204        0.00138099
       -9.43943944        0.85303565        0.02832702        0.77127044        0.04578833        0.00582367        0.00182620
       -9.42942943        0.80237021        0.02766795        0.73004985        0.03778086        0.00544594        0.00142560
       -9.41941942        0.95121382        0.03208903        0.86527097        0.04612702        0.00610130        0.00162551
       -9.40940941        0.88424212        0.02600204        0.80938752        0.04230450        0.00509978        0.00144827
       -9.39939940        0.85826753        0.02159065        0.78580460        0.04408012        0.00537973        0.00141243
       -9.38938939        0.78023896        0.02128597        0.71153335        0.04109981        0.00482589        0.00149394
       -9.37937938        0.85793329        0.02057057        0.78522074        0.04508696        0.00544726        0.00160776
       -9.36936937        1.24634217        0.03052995        1.14083449        0.06407078        0.00849081        0.00241616
       -9.35935936        0.88171328        0.02099593        0.81809972        0.03632014        0.00471911        0.00157838
       -9.34934935        1.50999670        0.04209921        1.39647394        0.06103523        0.00791718        0.00247114
       -9.33933934        1.81299007        0.04744293        1.68952846        0.06553996        0.00828026        0.00219846
       -9.32932933        1.91350511        0.04019444        1.79704153        0.06460139        0.00895285        0.00271490
       -9.31931932        1.13661807        0.02410907        1.06370232        0.04169807        0.00569039        0.00141822
       -9.30930931        1.24828365        0.02232765        1.16583629        0.05117751        0.00709779        0.00184442
       -9.29929930        1.29573203        0.02687681        1.21033252        0.04871991        0.00773368        0.00206910
       -9.28928929        2.46928072        0.04957648        2.30944267        0.09291008        0.01343834        0.00391316
       -9.27927928        1.94439390        0.03131609        1.81599188        0.07999739        0.01407409        0.00301444
       -9.26926927        1.71119546        0.02379323        1.59942279        0.06572648        0.01904463        0.00320833
       -9.25925926        1.29575566        0.01423450        1.22465196        0.04309354        0.01174719        0.00202847
       -9.24924925        2.02321962        0.02337518        1.90894434        0.06778180        0.01973450        0.00338380
       -9.23923924        2.26862400        0.02978388        2.13033213        0.07914740        0.02527532        0.00408526
       -9.22922923        1.73467556        0.01718044        1.62063066        0.07026736        0.02332708        0.00327002
       -9.21921922        0.37859567        0.00274526        0.35545510        0.01414195        0.00554399        0.00070937
       -9.20920921        1.04610220        0.00873793        0.98740841        0.03335853        0.01481407        0.00178326
       -9.19919920        0.74119293        0.00897145        0.69765557        0.02600637        0.00744799        0.00111155
       -9.18918919       41.97925682        0.62253398       39.09638324        1.93196481        0.28010745        0.04826734
       -9.17917918        0.51389330        0.00987081        0.46965749        0.02858164        0.00499736        0.00078601
       -9.16916917        0.40963179        0.00808936        0.37517147        0.02173488        0.00400765        0.00062844
       -9.15915916        0.92666670        0.01583797        0.86268851        0.03858885        0.00805666        0.00149470
       -9.14914915        1.21981838        0.02354755        1.12640728        0.05735372        0.01065084        0.00185898
       -9.13913914        1.41099430        0.01952120        1.31456590        0.06223726        0.01238509        0.00228484
       -9.12912913        0.72276216        0.01300579        0.67664545        0.02748239        0.00462045        0.00100809
       -9.11911912        1.77035385        0.02190334        1.66505854        0.06552498        0.01510215        0.00276484
       -9.10910911        1.63296442        0.02374154        1.53242893        0.06153714        0.01272209        0.00253472
       -9.09909910        1.12072534        0.01872506        1.05193335        0.04211896        0.00644490        0.00150307
       -9.08908909        0.99364897        0.01490250        0.93999372        0.03278408        0.00469206        0.00127660
