#  aims_uuid : F597D26E-B45D-436A-A7F5-8AD891046F93                                
#  angular momentum projected density of states for species W as calculated by FHI-aims 
# The energy reference for this output is the vacuum level =       0.000000 eV
#      Energy (eV)         total dos     l= 0              l= 1              l= 2              l= 3              l= 4
      -10.00000000        0.34398158        0.03823620        0.06954394        0.22680964        0.00848551        0.00090629
       -9.98998999        1.14433457        0.04504403        0.09888190        0.96375450        0.03502151        0.00163264
       -9.97997998        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
       -9.96996997        0.17929853        0.00750464        0.02648562        0.14043630        0.00449601        0.00037597
       -9.95995996        0.83461850        0.01519885        0.07855783        0.71620816        0.02362131        0.00103235
       -9.94994995        0.17570545        0.01713038        0.01665923        0.13582982        0.00581737        0.00026865
       -9.93993994        0.18070633        0.02214451        0.01618496        0.13642635        0.00565104        0.00029948
       -9.92992993        0.18556003        0.02659030        0.01570283        0.13744601        0.00549119        0.00032970
       -9.91991992        0.19026653        0.03046774        0.01521283        0.13888880        0.00533784        0.00035932
       -9.90990991        0.19482583        0.03377683        0.01471496        0.14075471        0.00519098        0.00038835
       -9.89989990        0.24082677        0.03771392        0.01667304        0.17975923        0.00623612        0.00044447
       -9.88988989        0.33605790        0.04235506        0.02272419        0.26140782        0.00902946        0.00054137
       -9.87987988        0.42296142        0.04886520        0.02814103        0.33370551        0.01158025        0.00066945
       -9.86986987        0.49283048        0.05742507        0.03102377        0.39058083        0.01297508        0.00082572
       -9.85985986        0.56798879        0.06825246        0.03371648        0.45074054        0.01425571        0.00102360
       -9.84984985        0.64843638        0.08134739        0.03621916        0.51418462        0.01542212        0.00126309
       -9.83983984        0.73417322        0.09670984        0.03853180        0.58091309        0.01647432        0.00154418
       -9.82982983        0.52806839        0.05028761        0.02761788        0.43696521        0.01222707        0.00097062
       -9.81981982        0.54257809        0.04998560        0.02698308        0.45266148        0.01192405        0.00102387
       -9.80980981        0.55863507        0.05030795        0.02635660        0.46935753        0.01152119        0.00109181
       -9.79979980        0.57623935        0.05125464        0.02573843        0.48705333        0.01101851        0.00117443
       -9.78978979        0.34054876        0.02467421        0.01496041        0.29299179        0.00734862        0.00057373
       -9.77977978        0.28528746        0.01907512        0.01213894        0.24740479        0.00621089        0.00045771
       -9.76976977        0.22808499        0.01407265        0.00945048        0.19916568        0.00504811        0.00034807
       -9.75975976        0.16894136        0.00966679        0.00689502        0.14827448        0.00386029        0.00024479
       -9.74974975        0.10785657        0.00585755        0.00447256        0.09473117        0.00264741        0.00014788
       -9.73973974        0.05406336        0.00288858        0.00240993        0.04705282        0.00164684        0.00006519
       -9.72972973        0.32390050        0.00891319        0.03437335        0.26977904        0.01021208        0.00062284
       -9.71971972        0.61854941        0.02069239        0.04000652        0.53554675        0.02137043        0.00093332
       -9.70970971        0.17165311        0.01267463        0.00839175        0.14639818        0.00381857        0.00036998
       -9.69969970        0.31003437        0.01279206        0.01656343        0.27122347        0.00896924        0.00048616
       -9.68968969        0.26415509        0.00936505        0.01605760        0.23156556        0.00671318        0.00045370
       -9.67967968        0.22959440        0.00620444        0.01586557        0.20121976        0.00589904        0.00040559
       -9.66966967        0.19974489        0.00322049        0.01578678        0.17444303        0.00595925        0.00033534
       -9.65965966        0.07545372        0.00140811        0.00769121        0.06164637        0.00461439        0.00009363
       -9.64964965        0.11360379        0.00229299        0.01308399        0.09121524        0.00685778        0.00015379
       -9.63963964        0.15861010        0.00334454        0.01974115        0.12622461        0.00907358        0.00022621
       -9.62962963        0.22403856        0.00463773        0.02866878        0.17866439        0.01173932        0.00032834
       -9.61961962        0.29180006        0.00618272        0.03877477        0.23220627        0.01419606        0.00044024
       -9.60960961        0.31619610        0.00819003        0.04467097        0.24913251        0.01367779        0.00052480
       -9.59959960        0.42035776        0.01318457        0.06569951        0.32527245        0.01546039        0.00074085
       -9.58958959        0.41119896        0.01335817        0.07016634        0.31301388        0.01386086        0.00079972
       -9.57957958        0.57878228        0.01857496        0.10172661        0.43843860        0.01884762        0.00119449
       -9.56956957        0.43693274        0.01338995        0.08417726        0.32427312        0.01407826        0.00101416
       -9.55955956        2.17940005        0.14056012        0.32129861        1.64341262        0.06708231        0.00704639
       -9.54954955        0.63344262        0.03740792        0.07861381        0.49682163        0.01884295        0.00175631
       -9.53953954        0.71673205        0.02764849        0.08917161        0.57514621        0.02314273        0.00162301
       -9.52952953        0.44934441        0.01483259        0.07651368        0.34348781        0.01345400        0.00105632
       -9.51951952        0.30699775        0.00897641        0.06487249        0.22353433        0.00888856        0.00072596
       -9.50950951        0.24057130        0.00733957        0.05230879        0.17352897        0.00682720        0.00056677
       -9.49949950        0.38071916        0.01105627        0.05840914        0.29749401        0.01301653        0.00074320
       -9.48948949        0.40492496        0.01053541        0.05025596        0.33028103        0.01316981        0.00068277
       -9.47947948        0.30183855        0.00726883        0.03734174        0.24779418        0.00890945        0.00052435
       -9.46946947        0.19047506        0.00385111        0.02219325        0.15894308        0.00515663        0.00033100
       -9.45945946        0.78209903        0.00998151        0.09640313        0.65443606        0.01938753        0.00189080
       -9.44944945        0.64024862        0.01564442        0.05889741        0.55237917        0.01178216        0.00154546
       -9.43943944        0.90340396        0.02199808        0.09755743        0.76033353        0.02119880        0.00231613
       -9.42942943        0.74150091        0.02605178        0.09179785        0.60470015        0.01662500        0.00232612
       -9.41941942        0.89939950        0.02924167        0.11488254        0.73484280        0.01774092        0.00269157
       -9.40940941        0.83476586        0.01831987        0.11215350        0.68694781        0.01482660        0.00251807
       -9.39939940        0.88893486        0.02327784        0.11104581        0.73801933        0.01384285        0.00274903
       -9.38938939        0.94378490        0.02031838        0.08862942        0.81866009        0.01383410        0.00234292
       -9.37937938        1.00390636        0.02424718        0.08953178        0.87267088        0.01498482        0.00247169
       -9.36936937        1.51675395        0.03061718        0.13007019        1.32801171        0.02484467        0.00321019
       -9.35935936        0.88213674        0.00405167        0.10676605        0.75160071        0.01764343        0.00207487
       -9.34934935        1.30788108        0.00753516        0.25758229        1.01432002        0.02432911        0.00411450
       -9.33933934        1.26791113        0.01162980        0.25975192        0.96116641        0.02973526        0.00562775
       -9.32932933        1.37325970        0.00912870        0.20285640        1.12387204        0.02973327        0.00766929
       -9.31931932        0.83876888        0.00512613        0.14009852        0.67168164        0.01751026        0.00435233
       -9.30930931        1.14022090        0.00415498        0.18707049        0.92427297        0.02044260        0.00427986
       -9.29929930        1.24776661        0.00383207        0.19553943        1.02280760        0.02135309        0.00423443
       -9.28928929        2.03410071        0.00804100        0.27111728        1.70016693        0.04486816        0.00990734
       -9.27927928        1.86751059        0.00478642        0.20629886        1.61836088        0.02841559        0.00964884
       -9.26926927        2.45040224        0.00237994        0.12936088        2.28486208        0.02633820        0.00746115
       -9.25925926        1.29302441        0.00158183        0.09167579        1.17275605        0.02012191        0.00688884
       -9.24924925        2.10300837        0.00158401        0.12374769        1.94097024        0.02462369        0.01208274
       -9.23923924        2.88681632        0.00130727        0.16422110        2.68680475        0.02307164        0.01141156
       -9.22922923        2.46108859        0.00157836        0.07325653        2.35731434        0.01884913        0.01009022
       -9.21921922        0.68523235        0.00013742        0.04553920        0.63367255        0.00402858        0.00185459
       -9.20920921        1.24686404        0.00054129        0.06692396        1.16646686        0.00672211        0.00620982
       -9.19919920        0.70132632        0.00432918        0.08093760        0.60658204        0.00561389        0.00386360
       -9.18918919       27.33157663        0.15515436        3.95801619       22.67029201        0.44736274        0.10075133
       -9.17917918        0.53321366        0.02127154        0.04626438        0.45671427        0.00665027        0.00231320
       -9.16916917        0.46394561        0.01545377        0.02521502        0.41619041        0.00510298        0.00198343
       -9.15915916        1.02547640        0.00631909        0.06997281        0.93219070        0.01169994        0.00529387
       -9.14914915        1.26349681        0.01178932        0.10926965        1.12040362        0.01512876        0.00690545
       -9.13913914        1.51585048        0.00955208        0.08917087        1.38928768        0.02010259        0.00773726
       -9.12912913        0.58080160        0.00098737        0.06745571        0.49788896        0.01130039        0.00316917
       -9.11911912        1.98989206        0.00228423        0.13193593        1.80858817        0.03914456        0.00793917
       -9.10910911        1.63026052        0.00244189        0.23074314        1.35417622        0.03599430        0.00690496
       -9.09909910        0.93639140        0.00287788        0.16073272        0.74807561        0.02063231        0.00407289
       -9.08908909        0.69540222        0.00254865        0.14834221        0.52198604        0.01889218        0.00363313
       -9.07907908        0.78519594        0.00775607        0.13053964        0.62533099        0.01769971        0.00386953
       -9.06906907        0.68937470        0.01024579        0.08480211        0.58038777        0.01073825        0.00320077
       -9.05905906        0.65539131        0.00723461        0.09441190        0.54125030        0.00961619        0.00287830
       -9.04904905        0.76131398        0.00966393        0.11500391        0.62219951        0.01065485        0.00379177
       -9.03903904        0.71554846        0.00860744        0.08702329        0.60632180        0.01016702        0.00342891
       -9.02902903        0.80820930        0.00833924        0.08514347        0.69741631        0.01369744        0.00361284
       -9.01901902        0.55131612        0.00214396        0.04358961        0.48945841        0.01296852        0.00315562
       -9.00900901        0.37009191        0.00262864        0.04084285        0.31287618        0.01068732        0.00305692
       -8.99899900        0.34606370        0.00480161        0.06073134        0.26694803        0.01199437        0.00158836
       -8.98898899        0.81626226        0.00072934        0.02142389        0.78537014        0.00788173        0.00085716
       -8.97897898        1.05937775        0.00854012        0.09210236        0.93010024        0.02535220        0.00328282
       -8.96896897        0.13894244        0.00044053        0.00504126        0.12629906        0.00668009        0.00048150
       -8.95895896        0.28371797        0.00035926        0.03430249        0.24610301        0.00244689        0.00050633
       -8.94894895        0.39643225        0.00128833        0.05978265        0.32891853        0.00581379        0.00062896
       -8.93893894        0.38753122        0.00277172        0.06751293        0.30735676        0.00912087        0.00076893
       -8.92892893        0.41947008        0.00426168        0.07260636        0.32863942        0.01297312        0.00098950
       -8.91891892        0.49231067        0.00571031        0.07345713        0.39457062        0.01729902        0.00127359
       -8.90890891        0.58963611        0.00658353        0.06329515        0.49653237        0.02163258        0.00159247
       -8.89889890        0.32069288        0.00377322        0.03774852        0.27246207        0.00578980        0.00091926
       -8.88888889        1.17739357        0.01254084        0.05515516        1.09218548        0.01292343        0.00458866
       -8.87887888        0.89537894        0.01080832        0.07039862        0.79834275        0.01274223        0.00308702
       -8.86886887        0.66814860        0.00840104        0.06965207        0.57636616        0.01174129        0.00198804
       -8.85885886        0.49570257        0.00531902        0.05291551        0.42625571        0.00992060        0.00129173
       -8.84884885        0.39665874        0.00336115        0.03827547        0.34563903        0.00841020        0.00097290
       -8.83883884        0.59790015        0.01685060        0.18172751        0.37700983        0.02126696        0.00104526
       -8.82882883        0.57508550        0.00942277        0.11521723        0.43152854        0.01756355        0.00135342
       -8.81881882        0.42157946        0.00375433        0.04899824        0.35857271        0.00898595        0.00126823
       -8.80880881        0.35265026        0.00426360        0.05700058        0.28312184        0.00731211        0.00095213
       -8.79879880        1.31887055        0.01030449        0.13587408        1.14992923        0.01968611        0.00307664
       -8.78878879        1.71381540        0.03396561        0.40977227        1.23359893        0.03285434        0.00362425
       -8.77877878        0.02270834        0.00011602        0.00358758        0.01765466        0.00128434        0.00006574
       -8.76876877        0.14122170        0.00026396        0.00501024        0.13085885        0.00482089        0.00026776
