#  aims_uuid : FCA6E72B-4F37-4A8E-A02C-385934037429                                
#  angular momentum projected density of states for species W as calculated by FHI-aims 
# The energy reference for this output is the chemical potential, mu =      -5.078412 eV
#      Energy (eV)         total dos     l= 0              l= 1              l= 2              l= 3
       -4.92158828        0.26803155        0.00281060        0.02365927        0.23361322        0.00794846
       -4.91158828        0.30338185        0.00329232        0.02654610        0.26453389        0.00900954
       -4.90158828        0.73070913        0.01731779        0.11610961        0.57712953        0.02015221
       -4.89158828        1.26567178        0.02248422        0.15066798        1.06555834        0.02696125
       -4.88158828        0.79294767        0.01522749        0.11360254        0.64087978        0.02323785
       -4.87158828        0.38640174        0.00595963        0.04748001        0.32048872        0.01247338
       -4.86158828        0.35729076        0.00787009        0.06665887        0.27092358        0.01183822
       -4.85158828        0.37324850        0.00716387        0.06931660        0.28531297        0.01145506
       -4.84158828        0.44207141        0.00795737        0.08602441        0.33383815        0.01425149
       -4.83158828        0.59715301        0.00994880        0.11826092        0.44900676        0.01993653
       -4.82158828        0.56411634        0.00699719        0.08189560        0.45606582        0.01915773
       -4.81158828        0.51786273        0.00332457        0.03630480        0.46029611        0.01793725
       -4.80158828        0.25868758        0.00053706        0.00727176        0.24587452        0.00500424
       -4.79158828        0.01683437        0.00005829        0.00037216        0.01630690        0.00009702
       -4.78158828        0.02225800        0.00010177        0.00065906        0.02134871        0.00014847
       -4.77158828        4.35869415        0.00953602       -0.19025185        3.70980427        0.82960571
       -4.76158828        0.26211210        0.00153366        0.01149545        0.23896361        0.01011938
       -4.75158828        0.40839700        0.00299440        0.02638511        0.36615207        0.01286541
       -4.74158828        0.53219343        0.00408913        0.03720950        0.47557738        0.01531741
       -4.73158828        0.53077625        0.00464320        0.04124581        0.47077965        0.01410759
       -4.72158828        0.62147247        0.00520149        0.04574408        0.55537701        0.01514989
       -4.71158828        0.44097179        0.00546025        0.04822023        0.37497743        0.01231388
       -4.70158828        0.45440938        0.00566734        0.04940357        0.38708578        0.01225269
       -4.69158828        0.46542420        0.00568606        0.04856346        0.39905303        0.01212166
       -4.68158828        0.43120517        0.00541183        0.04523907        0.37034280        0.01021147
       -4.67158828        0.39386211        0.00315610        0.02811847        0.35491335        0.00767419
       -4.66158828        0.30495804        0.00307949        0.02720175        0.26855332        0.00612348
       -4.65158828        0.29569802        0.00309157        0.02707940        0.25983525        0.00569181
       -4.64158828        0.28639230        0.00311564        0.02710730        0.25090124        0.00526811
       -4.63158828        0.28009957        0.00190430        0.02137847        0.25179425        0.00502256
       -4.62158828        0.42026181        0.00348007        0.03533068        0.37142540        0.01002567
       -4.61158828        0.53572054        0.00569460        0.05438729        0.45935761        0.01628104
       -4.60158828        0.45130199        0.00614323        0.04233135        0.38984456        0.01298285
       -4.59158828        0.36119159        0.00791513        0.04211241        0.29691547        0.01424858
       -4.58158828        0.24289055        0.00361425        0.02940753        0.20178681        0.00808196
       -4.57158828        0.23169568        0.00346493        0.02906833        0.19146415        0.00769826
       -4.56158828        0.22103976        0.00329915        0.02879049        0.18166326        0.00728685
       -4.55158828        2.54614017        0.03540971        0.40324260        2.06065007        0.04683780
       -4.54158828        0.31467299        0.00218704        0.01641270        0.28260658        0.01346667
       -4.53158828        1.35694445        0.02477794        0.09631376        1.17765708        0.05819568
       -4.52158828        0.49794534        0.00861957        0.04739730        0.41876944        0.02315903
       -4.51158828        0.64372524        0.01015212        0.03940116        0.57850069        0.01567126
       -4.50158828        1.45652390        0.01733389        0.18116788        1.21648526        0.04153687
       -4.49158828        3.89300650        0.04068351        0.82298852        2.94331364        0.08602084
       -4.48158828        2.42882204        0.01338844        0.10466012        2.25145208        0.05932139
       -4.47158828        0.36886106        0.00643497        0.04333256        0.30675646        0.01233708
       -4.46158828        0.24545026        0.00314581        0.02135537        0.21294437        0.00800471
       -4.45158828        0.13209008        0.00107113        0.00771443        0.11914839        0.00415614
       -4.44158828        0.67919270        0.01031354        0.07456808        0.56915895        0.02515214
       -4.43158828        0.25112205        0.00703969        0.04872500        0.18522403        0.01013332
       -4.42158828        0.04071442        0.00076776        0.00631493        0.03229703        0.00133470
       -4.41158828        0.03792950        0.00069184        0.00588409        0.03013737        0.00121620
       -4.40158828        0.46128965        0.00188557        0.01539615        0.43411948        0.00988845
       -4.39158828        1.05298036        0.00719164        0.05968384        0.96013150        0.02597337
       -4.38158828        0.68615391        0.01270381        0.09361248        0.56046987        0.01936774
       -4.37158828        0.29106326        0.00786071        0.05632297        0.21782481        0.00905477
       -4.36158828        0.11085770        0.00322122        0.02268347        0.08132243        0.00363058
       -4.35158828        0.09873823        0.00285006        0.01913675        0.07360227        0.00314915
       -4.34158828        0.16212061        0.00265209        0.01775195        0.13425971        0.00745686
       -4.33158828        0.18704565        0.00236187        0.01507203        0.16190559        0.00770617
       -4.32158828        0.33800728        0.00235823        0.01420328        0.30613784        0.01530793
       -4.31158828        0.57318007        0.00244463        0.01602155        0.53689030        0.01782358
       -4.30158828        0.85999749        0.00263852        0.01723759        0.81979992        0.02032146
       -4.29158828        1.04268560        0.00269969        0.01966073        0.99969021        0.02063496
       -4.28158828        0.76082538        0.00212848        0.01997118        0.72571386        0.01301187
       -4.27158828        0.54091745        0.00194130        0.02322804        0.50496239        0.01078572
       -4.26158828        0.54466206        0.00222531        0.03228102        0.49780195        0.01235378
       -4.25158828        0.57986707        0.00898421        0.04937356        0.50531650        0.01619280
       -4.24158828        0.44500594        0.00979185        0.05240290        0.36912780        0.01368339
       -4.23158828        0.45227970        0.01165878        0.07081661        0.35429133        0.01551298
       -4.22158828        0.47003519        0.01126631        0.06907711        0.37277845        0.01691333
       -4.21158828        0.51124500        0.01037435        0.06910658        0.41283774        0.01892634
       -4.20158828        0.57590913        0.00898289        0.07090503        0.47446919        0.02155201
       -4.19158828        0.63780888        0.00817245        0.08903433        0.51586463        0.02473748
       -4.18158828        1.83214728        0.02914137        0.29970318        1.44314639        0.06015634
       -4.17158828        1.83413890        0.03178785        0.28769536        1.44931541        0.06534029
       -4.16158828        0.90046621        0.01314391        0.13268292        0.72603374        0.02860564
       -4.15158828        0.54413759        0.00801954        0.08864427        0.42965146        0.01782232
       -4.14158828        0.54298981        0.00433667        0.04587375        0.47756063        0.01521876
       -4.13158828        0.54463515        0.00295202        0.02830669        0.49875923        0.01461721
       -4.12158828        0.52129933        0.00230777        0.02510074        0.47915271        0.01473811
       -4.11158828        0.58317940        0.00286210        0.03775309        0.52346153        0.01910267
       -4.10158828        0.56980743        0.00332818        0.04778521        0.49880841        0.01988564
       -4.09158828        0.54438041        0.00336430        0.05469057        0.46828016        0.01804538
       -4.08158828        0.61455053        0.00443190        0.06721228        0.52017670        0.02272965
       -4.07158828        0.73007281        0.00571106        0.08289201        0.61030041        0.03116933
       -4.06158828        0.96405806        0.00762195        0.12534417        0.79202534        0.03906660
       -4.05158828        0.86016835        0.01350144        0.12536168        0.68601821        0.03528703
       -4.04158828        0.69508400        0.01295999        0.10485266        0.54717142        0.03009993
       -4.03158828        0.94746236        0.01267244        0.11181997        0.78454410        0.03842585
       -4.02158828        0.87303241        0.01372747        0.12551168        0.69368338        0.04010989
       -4.01158828        0.80880690        0.01475859        0.13406979        0.62285559        0.03712293
       -4.00158828        0.59323611        0.00880762        0.10967571        0.44944201        0.02531077
       -3.99158828        0.61590975        0.01048009        0.11571059        0.46208968        0.02762939
       -3.98158828        0.59369214        0.00927053        0.12283446        0.43424628        0.02734086
       -3.97158828        0.52061074        0.00593922        0.10489610        0.38703931        0.02273611
       -3.96158828        0.74431601        0.00808905        0.12049158        0.58184627        0.03388910
       -3.95158828        0.90625794        0.00857554        0.14493970        0.71143376        0.04130894
       -3.94158828        0.75626896        0.00415994        0.12252527        0.59553145        0.03405230
       -3.93158828        0.86702831        0.00261639        0.10963176        0.71626680        0.03851337
       -3.92158828        1.15862324        0.00397829        0.16742171        0.93447531        0.05274792
       -3.91158828        1.19585062        0.00327417        0.17976409        0.96188342        0.05092895
       -3.90158828        1.17004198        0.00292462        0.15038955        0.96636639        0.05036143
       -3.89158828        1.00278209        0.00263337        0.12814052        0.82900682        0.04300138
       -3.88158828        1.16966723        0.00311489        0.14651459        0.97163442        0.04840333
       -3.87158828        0.56584915        0.00286671        0.10217317        0.43292830        0.02788097
       -3.86158828        0.59691525        0.00321775        0.10885705        0.45508106        0.02975939
       -3.85158828        0.53421610        0.00292780        0.10348569        0.40068068        0.02712194
       -3.84158828        0.60892683        0.00336370        0.11157660        0.46335289        0.03063364
       -3.83158828        0.83347857        0.00459318        0.14133178        0.64869542        0.03885820
       -3.82158828        0.72308655        0.00419058        0.12092960        0.56299860        0.03496777
       -3.81158828        0.69435836        0.00377449        0.09206356        0.56472480        0.03379550
       -3.80158828        0.77029023        0.00432871        0.09740874        0.63283166        0.03572112
       -3.79158828        1.00102383        0.00750826        0.12588530        0.82426114        0.04336913
       -3.78158828        1.16657582        0.00997616        0.15949010        0.94753654        0.04957302
       -3.77158828        1.03284161        0.00432771        0.11281572        0.86566775        0.05003043
       -3.76158828        0.93594307        0.00459680        0.11853965        0.76910442        0.04370220
       -3.75158828        1.04706650        0.00524217        0.13104296        0.86217764        0.04860373
       -3.74158828        1.01295846        0.00658599        0.14149623        0.81936828        0.04550797
       -3.73158828        1.05268250        0.00907385        0.16337516        0.83195827        0.04827523
       -3.72158828        0.98744214        0.00905609        0.15611370        0.77718985        0.04508249
       -3.71158828        0.84687491        0.00806793        0.13360401        0.66486588        0.04033709
       -3.70158828        0.84469280        0.00888487        0.14058211        0.65386427        0.04136155
       -3.69158828        0.79696240        0.00801369        0.13415904        0.61562357        0.03916610
       -3.68158828        0.63001106        0.00773154        0.10888167        0.48401427        0.02938358
       -3.67158828        0.64091200        0.01097888        0.10172147        0.49946254        0.02874911
       -3.66158828        0.40547411        0.00604549        0.07850500        0.30366306        0.01726055
       -3.65158828        0.53433899        0.01003025        0.12009458        0.38190327        0.02231089
       -3.64158828        0.17685906        0.00231163        0.02611000        0.13899855        0.00943888
       -3.63158828        0.16322221        0.00272338        0.02886135        0.12204765        0.00958983
       -3.62158828        0.31947474        0.00795624        0.06486339        0.22596306        0.02069205
       -3.61158828        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
       -3.60158828        0.53053020        0.01475442        0.16801188        0.32180026        0.02596365
       -3.59158828        0.47605473        0.00371269        0.17781207        0.25182205        0.04270792
       -3.58158828        0.13865331        0.00222359        0.04889139        0.07752093        0.01001739
       -3.57158828        0.55703168        0.00996724        0.16835648        0.34620512        0.03250284
       -3.56158828        0.44583586        0.00609178        0.11811516        0.29471932        0.02690961
       -3.55158828        0.26499267        0.00416848        0.07832255        0.16689268        0.01560897
       -3.54158828        0.24399840        0.00379273        0.07135928        0.15500022        0.01384616
       -3.53158828        0.50331414        0.00680174        0.11212112        0.35823172        0.02615956
       -3.52158828        0.25812967        0.00380701        0.06798328        0.17215675        0.01418264
       -3.51158828        2.34249765        0.03930939        0.58153400        1.60914210        0.11251217
       -3.50158828        0.31362219        0.00480398        0.07885955        0.21357990        0.01637875
       -3.49158828        0.36878095        0.00475883        0.08420168        0.26159486        0.01822557
       -3.48158828        0.51156566        0.00485197        0.08977759        0.39221530        0.02472080
       -3.47158828        0.67613325        0.00494546        0.08758570        0.55114879        0.03245331
       -3.46158828        0.45855995        0.00468549        0.07490900        0.35472377        0.02424169
