#  aims_uuid : DE70D2F1-A929-4EFA-A2CC-818C999698C2                                
#  angular momentum projected density of states for species S as calculated by FHI-aims 
# The energy reference for this output is the vacuum level =       0.000000 eV
#      Energy (eV)         total dos     l= 0              l= 1              l= 2              l= 3              l= 4
      -10.00000000       43.76263739        3.16601499       38.03800370        2.25209614        0.26883477        0.03768779
       -9.98998999       60.09365146        1.69683835       56.00110278        1.98516210        0.32379395        0.08675427
       -9.97997998      110.78265680        4.30911171      102.48650181        3.25440235        0.58240500        0.15023593
       -9.96996997        8.02201219        0.68881394        6.95379675        0.32673582        0.04612770        0.00653797
       -9.95995996        7.81877768        0.64356054        6.77759228        0.34172917        0.04882388        0.00707181
       -9.94994995        7.69872360        0.60481261        6.67089654        0.36294082        0.05235600        0.00771763
       -9.93993994        7.58821124        0.56834753        6.57232500        0.38342426        0.05577912        0.00833533
       -9.92992993        7.48724061        0.53416531        6.48187767        0.40317948        0.05909323        0.00892491
       -9.91991992       11.08547862        0.58861702        9.89130324        0.51563939        0.07449132        0.01542765
       -9.90990991       11.97146821        0.59288504       10.70973690        0.56869619        0.08272019        0.01742989
       -9.89989990       16.28028310        0.67020344       14.76478143        0.71670547        0.10338512        0.02520764
       -9.88988989       17.81682893        0.70194029       16.15394939        0.81404599        0.11849684        0.02839642
       -9.87987988       19.27622676        0.74058777       17.44342689        0.92477981        0.13593436        0.03149794
       -9.86986987       20.65847661        0.78614587       18.63321395        1.04890691        0.15569768        0.03451220
       -9.85985986       21.96357847        0.83861460       19.72331055        1.18642730        0.17778680        0.03743922
       -9.84984985       23.19153235        0.89799396       20.71371671        1.33734099        0.20220172        0.04027897
       -9.83983984       24.34233824        0.96428394       21.60443241        1.50164796        0.22894244        0.04303148
       -9.82982983       25.41599614        1.03748455       22.39545767        1.67934822        0.25800896        0.04569673
       -9.81981982       18.88370984        0.75149706       16.78833733        1.13834455        0.17272927        0.03280163
       -9.80980981       18.12649398        0.73448997       16.04489529        1.14193859        0.17336005        0.03181008
       -9.79979980       17.29978228        0.71291952       15.22524587        1.15532378        0.17536425        0.03092886
       -9.78978979        9.95067781        0.37430696        8.96380920        0.51711249        0.07891100        0.01653815
       -9.77977978        8.09840248        0.28331267        7.33170330        0.40761509        0.06209344        0.01367797
       -9.76976977        6.19594662        0.18536778        5.64958212        0.30412403        0.04592183        0.01095087
       -9.75975976        4.64860587        0.10724976        4.27832147        0.22140137        0.03291104        0.00872223
       -9.74974975        3.92931552        0.08423325        3.63954711        0.17277061        0.02547851        0.00728604
       -9.73973974        3.20288300        0.06319956        2.98987037        0.12581439        0.01817714        0.00582154
       -9.72972973       87.32452576        7.91791986       75.10046611        3.56229776        0.68528244        0.05855959
       -9.71971972        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
       -9.70970971        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
       -9.69969970        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
       -9.68968969        0.92843694        0.02991013        0.86508081        0.02753529        0.00469564        0.00121507
       -9.67967968        3.01457446        0.08037641        2.82882044        0.08621014        0.01489263        0.00427483
       -9.66966967        5.09792897        0.12857727        4.79005379        0.14655398        0.02539736        0.00734658
       -9.65965966        7.76857324        0.19407786        7.29823237        0.22578425        0.03927109        0.01120766
       -9.64964965       10.89486804        0.30366366       10.19151133        0.32752763        0.05702950        0.01513592
       -9.63963964       14.00219969        0.40637967       13.06805115        0.43344910        0.07518810        0.01913168
       -9.62962963       17.09056821        0.50222589       15.92785184        0.54354865        0.09374688        0.02319494
       -9.61961962       20.15997358        0.59120232       18.77091339        0.65782629        0.11270586        0.02732572
       -9.60960961       23.21041581        0.67330896       21.59723581        0.77628201        0.13206502        0.03152400
       -9.59959960       26.24189489        0.74854581       24.40681909        0.89891582        0.15182437        0.03578980
       -9.58958959       22.63412369        1.00487095       20.45190423        1.01361046        0.13956193        0.02417612
       -9.57957958       22.46059359        0.91691425       20.38202226        0.99829996        0.13709459        0.02626253
       -9.56956957       22.29561270        0.84451369       20.29473106        0.99226065        0.13628605        0.02782126
       -9.55955956       22.13918103        0.78766927       20.19003064        0.99549251        0.13713631        0.02885231
       -9.54954955       71.28029182        2.00801285       65.05611125        3.58570843        0.51493608        0.11552321
       -9.53953954       47.48357408        1.49026019       43.13461872        2.45411271        0.33089661        0.07368585
       -9.52952953       30.36936017        1.01970388       27.52798341        1.56905851        0.20958589        0.04302848
       -9.51951952       20.96964150        0.69522009       19.01290734        1.08726178        0.14730058        0.02695170
       -9.50950951       14.22622159        0.50154186       12.84609608        0.76431918        0.09689803        0.01736644
       -9.49949950       30.85869264        0.81614482       28.30073023        1.49251454        0.20162159        0.04768146
       -9.48948949       25.13614466        0.68159176       23.04875967        1.21401272        0.15381552        0.03796498
       -9.47947948       19.24779964        0.53413257       17.64529909        0.92968249        0.11018615        0.02849934
       -9.46946947       37.28904158        1.83282348       33.45082776        1.76943600        0.20399257        0.03196176
       -9.45945946       28.40672988        1.33903903       25.57031227        1.32324073        0.14675960        0.02737824
       -9.44944945       69.83673052        2.25007533       64.31249548        2.88375315        0.28478915        0.10561742
       -9.43943944       46.89587245        1.40403957       43.19735131        2.00093216        0.22606208        0.06748733
