#  aims_uuid : DE70D2F1-A929-4EFA-A2CC-818C999698C2                                
#  angular momentum projected density of states for species S as calculated by FHI-aims 
# The energy reference for this output is the chemical potential, mu =      -5.703870 eV
#      Energy (eV)         total dos     l= 0              l= 1              l= 2              l= 3              l= 4
       -4.29613043        1.09322350        0.09359740        0.93898941        0.05241015        0.00750212        0.00072442
       -4.28612042        1.32116848        0.05068007        1.21849268        0.04166203        0.00885225        0.00148146
       -4.27611041        2.33101075        0.08489609        2.16553082        0.06803770        0.00887199        0.00367415
       -4.26610040        0.16696891        0.01321379        0.14637642        0.00638949        0.00084926        0.00013994
       -4.25609039        0.16580098        0.01211597        0.14566461        0.00695106        0.00092595        0.00014338
       -4.24608038        0.16616969        0.01114880        0.14622378        0.00762764        0.00101997        0.00014951
       -4.23607037        0.16619194        0.01025092        0.14642694        0.00824937        0.00110885        0.00015586
       -4.22606036        0.16586773        0.00942236        0.14627408        0.00881623        0.00119261        0.00016245
       -4.21605035        0.22352413        0.01003599        0.20001528        0.01169408        0.00150924        0.00026954
       -4.20604034        0.23822360        0.00995474        0.21326530        0.01299520        0.00170315        0.00030521
       -4.19603033        0.33928100        0.01090485        0.30940322        0.01629288        0.00219134        0.00048871
       -4.18602032        0.37052973        0.01137906        0.33760463        0.01844124        0.00254575        0.00055905
       -4.17601031        0.39956967        0.01205145        0.36315187        0.02079035        0.00294717        0.00062882
       -4.16600030        0.42640083        0.01292200        0.38604495        0.02334024        0.00339560        0.00069804
       -4.15599029        0.45102320        0.01399074        0.40628385        0.02609088        0.00389104        0.00076669
       -4.14598028        0.47343678        0.01525764        0.42386859        0.02904229        0.00443349        0.00083477
       -4.13597027        0.49364157        0.01672271        0.43879915        0.03219446        0.00502296        0.00090229
       -4.12596026        0.51163758        0.01838596        0.45107555        0.03554740        0.00565943        0.00096924
       -4.11595025        0.34135623        0.01616604        0.29906908        0.02186143        0.00355915        0.00070055
       -4.10594024        0.31179232        0.01702615        0.26950048        0.02108779        0.00349564        0.00068225
       -4.09593023        0.28112015        0.01778532        0.23875382        0.02047362        0.00344459        0.00066281
       -4.08592022        0.18007180        0.00854076        0.15901860        0.01032034        0.00180351        0.00038860
       -4.07591021        0.15027838        0.00654175        0.13374530        0.00822429        0.00144303        0.00032401
       -4.06590020        0.12055867        0.00430202        0.10873241        0.00619639        0.00107069        0.00025716
       -4.05589019        0.09608712        0.00244467        0.08810855        0.00457253        0.00076150        0.00019986
       -4.04588018        0.08179377        0.00184214        0.07554438        0.00364597        0.00059648        0.00016480
       -4.03587017        0.06644660        0.00128967        0.06193926        0.00267260        0.00041792        0.00012715
       -4.02586016        1.80391104        0.18336192        1.53573429        0.06956413        0.01428758        0.00096312
       -4.01585015        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
       -4.00584014        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
       -3.99583013        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
       -3.98582012        0.02472087        0.00105705        0.02283251        0.00073184        0.00006884        0.00003062
       -3.97581011        0.07124368        0.00256074        0.06637278        0.00197301        0.00024275        0.00009440
       -3.96580010        0.11490100        0.00383214        0.10732089        0.00317280        0.00041969        0.00015549
       -3.95579009        0.17173644        0.00527201        0.16088863        0.00471965        0.00063009        0.00022605
       -3.94578008        0.23677075        0.00757682        0.22128875        0.00669466        0.00091592        0.00029460
       -3.93577007        0.29734175        0.00954241        0.27758967        0.00863994        0.00120822        0.00036151
       -3.92576006        0.35344943        0.01116877        0.32979141        0.01055549        0.00150699        0.00042677
       -3.91575005        0.40509381        0.01245590        0.37789395        0.01244131        0.00181224        0.00049040
       -3.90574004        0.45227487        0.01340380        0.42189730        0.01429742        0.00212395        0.00055240
       -3.89573003        0.49499263        0.01401248        0.46180146        0.01612379        0.00244214        0.00061275
       -3.88572002        0.37524607        0.01809805        0.33606284        0.01839419        0.00233370        0.00035728
       -3.87571001        0.35806634        0.01646677        0.32202455        0.01701417        0.00219306        0.00036779
       -3.86570000        0.34439952        0.01515658        0.31067018        0.01609478        0.00210052        0.00037747
       -3.85568999        0.33424561        0.01416747        0.30199973        0.01563600        0.00205608        0.00038632
       -3.84567998        0.94644089        0.02912534        0.84666243        0.06069256        0.00818959        0.00177097
       -3.83566997        0.61292315        0.02551632        0.54234163        0.03907456        0.00491244        0.00107820
       -3.82565996        0.42107930        0.02020538        0.37447312        0.02285603        0.00297726        0.00056751
       -3.81564995        0.31991610        0.01382745        0.28631910        0.01721222        0.00217807        0.00037926
       -3.80563994        0.25520021        0.01099386        0.22959468        0.01271275        0.00162669        0.00027222
       -3.79562993        0.66834810        0.02610289        0.61353610        0.02405413        0.00374153        0.00091345
       -3.78561992        0.50649915        0.02053983        0.46359695        0.01883871        0.00279902        0.00072464
