#  aims_uuid : DE70D2F1-A929-4EFA-A2CC-818C999698C2                                
#  angular momentum projected density of states for species S as calculated by FHI-aims 
# The energy reference for this output is the vacuum level =       0.000000 eV
#      Energy (eV)         total dos     l= 0              l= 1              l= 2              l= 3              l= 4
      -10.00000000        1.00378964        0.08107418        0.86883018        0.04813165        0.00504603        0.00070759
       -9.98998999        1.30998194        0.03922563        1.22134515        0.04256492        0.00499568        0.00185056
       -9.97997998        2.02328637        0.09347392        1.86105731        0.05038683        0.01576341        0.00260489
       -9.96996997        0.15872756        0.01515002        0.13637283        0.00598570        0.00110278        0.00011622
       -9.95995996        0.15337232        0.01439096        0.13163782        0.00610844        0.00110682        0.00012829
       -9.94994995        0.14953162        0.01378817        0.12811154        0.00636033        0.00112897        0.00014261
       -9.93993994        0.14613553        0.01321304        0.12498159        0.00663084        0.00115367        0.00015639
       -9.92992993        0.14318402        0.01266554        0.12224797        0.00691996        0.00118092        0.00016963
       -9.91991992        0.19017989        0.01280092        0.16679392        0.00881494        0.00147229        0.00029783
       -9.90990991        0.20224697        0.01289506        0.17759590        0.00980627        0.00161214        0.00033759
       -9.89989990        0.28090370        0.01433834        0.25144811        0.01261691        0.00199842        0.00050192
       -9.88988989        0.30740051        0.01514094        0.27484593        0.01457910        0.00226500        0.00056954
       -9.87987988        0.33389808        0.01618225        0.29763211        0.01687077        0.00257715        0.00063578
       -9.86986987        0.36039641        0.01746229        0.31980666        0.01949193        0.00293487        0.00070066
       -9.85985986        0.38689551        0.01898104        0.34136957        0.02244257        0.00333816        0.00076417
       -9.84984985        0.41339537        0.02073851        0.36232083        0.02572269        0.00378702        0.00082631
       -9.83983984        0.43989598        0.02273470        0.38266046        0.02933230        0.00428145        0.00088707
       -9.82982983        0.46639736        0.02496961        0.40238845        0.03327139        0.00482144        0.00094647
       -9.81981982        0.37732352        0.01417952        0.33403614        0.02481625        0.00360625        0.00068536
       -9.80980981        0.37410750        0.01250754        0.33161065        0.02561737        0.00370196        0.00066997
       -9.79979980        0.36942419        0.01068112        0.32771549        0.02655849        0.00381052        0.00065857
       -9.78978979        0.18869988        0.00602892        0.16902560        0.01166502        0.00162365        0.00035669
       -9.77977978        0.15158828        0.00428532        0.13656215        0.00919401        0.00124465        0.00030215
       -9.76976977        0.11396392        0.00243721        0.10365774        0.00674835        0.00087059        0.00025003
       -9.75975976        0.08320410        0.00104811        0.07665154        0.00472750        0.00057196        0.00020499
       -9.74974975        0.06846665        0.00083417        0.06345159        0.00357949        0.00043261        0.00016880
       -9.73973974        0.05480667        0.00065398        0.05124077        0.00247354        0.00030830        0.00013007
       -9.72972973        1.71005734        0.15349005        1.46816808        0.07056661        0.01645857        0.00137403
       -9.71971972        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
       -9.70970971        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
       -9.69969970        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
       -9.68968969        0.01395549        0.00052493        0.01302600        0.00027229        0.00011343        0.00001885
       -9.67967968        0.04777147        0.00165974        0.04475414        0.00096231        0.00032708        0.00006820
       -9.66966967        0.08319711        0.00278661        0.07799137        0.00176626        0.00053420        0.00011867
       -9.65965966        0.13522876        0.00418866        0.12707340        0.00299866        0.00078285        0.00018519
       -9.64964965        0.19880055        0.00659847        0.18606128        0.00479361        0.00109359        0.00025361
       -9.63963964        0.26298861        0.00891461        0.24561442        0.00673648        0.00139864        0.00032446
       -9.62962963        0.32779292        0.01113710        0.30573281        0.00882728        0.00169801        0.00039772
       -9.61961962        0.39321348        0.01326592        0.36641645        0.01106600        0.00199170        0.00047341
       -9.60960961        0.45925030        0.01530107        0.42766535        0.01345265        0.00227971        0.00055151
       -9.59959960        0.52590338        0.01724257        0.48947951        0.01598723        0.00256204        0.00063204
       -9.58958959        0.41027871        0.02126455        0.36830267        0.01779815        0.00245760        0.00045574
       -9.57957958        0.40130721        0.01877132        0.36207814        0.01766735        0.00230651        0.00048389
       -9.56956957        0.39563664        0.01688163        0.35844176        0.01759853        0.00220795        0.00050677
