#  aims_uuid : DE70D2F1-A929-4EFA-A2CC-818C999698C2                                
#  angular momentum projected density of states for species W as calculated by FHI-aims 
# The energy reference for this output is the chemical potential, mu =      -5.703870 eV
#      Energy (eV)         total dos     l= 0              l= 1              l= 2              l= 3              l= 4
       -4.29613043        0.78702772        0.04020437        0.08912574        0.63040379        0.02615408        0.00113975
       -4.28612042        1.01279725        0.02556755        0.10467159        0.83784017        0.04368569        0.00103225
       -4.27611041        1.87011770        0.06860542        0.16301890        1.55712530        0.07992812        0.00143997
       -4.26610040        0.11755176        0.01285692        0.01208351        0.08749968        0.00497804        0.00013362
       -4.25609039        0.12308402        0.01521398        0.01174005        0.09111794        0.00485139        0.00016066
       -4.24608038        0.13091076        0.01788929        0.01153640        0.09652678        0.00476563        0.00019266
       -4.23607037        0.13869331        0.02028120        0.01132922        0.10217907        0.00467965        0.00022417
       -4.22606036        0.14643166        0.02238970        0.01111850        0.10807482        0.00459345        0.00025518
       -4.21605035        0.20380336        0.02447469        0.01457734        0.15771802        0.00670697        0.00032633
       -4.20604034        0.22773149        0.02677875        0.01603878        0.17735999        0.00717169        0.00038228
       -4.19603033        0.31703816        0.02992480        0.02562640        0.25076246        0.01024767        0.00047683
       -4.18602032        0.36170741        0.03396031        0.02855666        0.28744791        0.01116801        0.00057451
       -4.17601031        0.41022937        0.03890004        0.03131954        0.32732683        0.01199119        0.00069176
       -4.16600030        0.46260405        0.04474398        0.03391505        0.37039924        0.01271720        0.00082859
       -4.15599029        0.51883145        0.05149214        0.03634317        0.41666511        0.01334603        0.00098498
       -4.14598028        0.57891156        0.05914451        0.03860393        0.46612447        0.01387770        0.00116095
       -4.13597027        0.64284439        0.06770110        0.04069730        0.51877730        0.01431219        0.00135649
       -4.12596026        0.71062993        0.07716191        0.04262330        0.57462361        0.01464951        0.00157160
       -4.11595025        0.49253913        0.04248094        0.03594455        0.40194313        0.01109398        0.00107653
       -4.10594024        0.48967345        0.04281604        0.03468795        0.40054618        0.01051354        0.00110973
       -4.09593023        0.48971888        0.04425160        0.03231264        0.40213091        0.00987124        0.00115249
       -4.08592022        0.22365840        0.01557950        0.02074799        0.18059461        0.00626506        0.00047124
       -4.07591021        0.17573258        0.01166230        0.01581625        0.14261738        0.00527446        0.00036218
       -4.06590020        0.13100482        0.00852601        0.01006930        0.10792705        0.00422473        0.00025774
       -4.05589019        0.09586038        0.00622797        0.00534860        0.08078527        0.00332441        0.00017414
       -4.04588018        0.07617154        0.00438600        0.00430914        0.06453527        0.00281311        0.00012802
       -4.03587017        0.05798180        0.00265172        0.00338692        0.04960068        0.00225786        0.00008462
       -4.02586016        1.52168014        0.05212202        0.24677473        1.18376353        0.03544958        0.00357029
       -4.01585015        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
       -4.00584014        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
       -3.99583013        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
       -3.98582012        0.01550510        0.00011000        0.00238932        0.01232780        0.00066340        0.00001459
       -3.97581011        0.05348729        0.00033774        0.00703920        0.04404222        0.00201752        0.00005061
       -3.96580010        0.08995396        0.00058928        0.01161621        0.07433061        0.00332847        0.00008939
       -3.95579009        0.13589940        0.00091535        0.01786042        0.11210745        0.00487038        0.00014581
       -3.94578008        0.18667024        0.00138665        0.02510955        0.15339931        0.00655294        0.00022179
       -3.93577007        0.23602976        0.00199794        0.03225179        0.19329501        0.00818283        0.00030219
       -3.92576006        0.28397798        0.00274921        0.03928716        0.23179455        0.00976007        0.00038699
       -3.91575005        0.33051489        0.00364047        0.04621564        0.26889793        0.01128464        0.00047621
       -3.90574004        0.37564049        0.00467171        0.05303724        0.30460515        0.01275655        0.00056984
       -3.89573003        0.41935478        0.00584293        0.05975196        0.33891622        0.01417580        0.00066788
       -3.88572002        0.31947174        0.00764627        0.06876322        0.23275365        0.00964881        0.00065978
