#  aims_uuid : DE70D2F1-A929-4EFA-A2CC-818C999698C2                                
#  angular momentum projected density of states for species W as calculated by FHI-aims 
# The energy reference for this output is the vacuum level =       0.000000 eV
#      Energy (eV)         total dos     l= 0              l= 1              l= 2              l= 3              l= 4
      -10.00000000        0.77940017        0.03961461        0.04081944        0.67829154        0.01994612        0.00072845
       -9.98998999        1.33749196        0.01753112        0.04317522        1.24131644        0.03463003        0.00083915
       -9.97997998        1.53853127        0.01788722        0.24093339        1.18501858        0.09256063        0.00213145
       -9.96996997        0.14015075        0.00342643        0.01650425        0.11445698        0.00553546        0.00022763
       -9.95995996        0.15358326        0.00565701        0.01550641        0.12687906        0.00526752        0.00027326
       -9.94994995        0.16981873        0.00830668        0.01471453        0.14142079        0.00505143        0.00032531
       -9.93993994        0.18494055        0.01081641        0.01395036        0.15494752        0.00485253        0.00037373
       -9.92992993        0.19894875        0.01318621        0.01321390        0.16745927        0.00467084        0.00041853
       -9.91991992        0.27240440        0.01562406        0.02004588        0.22975322        0.00650600        0.00047524
       -9.90990991        0.30272852        0.01811839        0.02167301        0.25550683        0.00689144        0.00053885
       -9.89989990        0.38812562        0.02130149        0.02838818        0.32762309        0.01015115        0.00066171
       -9.88988989        0.43766450        0.02517975        0.03059128        0.37007398        0.01104308        0.00077641
       -9.87987988        0.49051820        0.02994351        0.03253102        0.41528029        0.01185279        0.00091059
       -9.86986987        0.54668670        0.03559277        0.03420738        0.46324203        0.01258026        0.00106425
       -9.85985986        0.60617001        0.04212753        0.03562037        0.51395921        0.01322550        0.00123739
       -9.84984985        0.66896813        0.04954779        0.03676999        0.56743182        0.01378851        0.00143002
       -9.83983984        0.73508106        0.05785356        0.03765623        0.62365987        0.01426929        0.00164212
       -9.82982983        0.80450880        0.06704482        0.03827910        0.68264334        0.01466783        0.00187371
       -9.81981982        0.48319086        0.05844743        0.03208250        0.37992311        0.01174233        0.00099549
       -9.80980981        0.45420680        0.06435155        0.03111987        0.34656274        0.01124263        0.00093002
       -9.79979980        0.42989068        0.07106554        0.02935765        0.31796183        0.01063188        0.00087378
       -9.78978979        0.22281308        0.02476869        0.01830549        0.17284241        0.00645418        0.00044231
       -9.77977978        0.18127288        0.01924510        0.01363633        0.14274074        0.00530195        0.00034877
       -9.76976977        0.14366633        0.01431492        0.00832720        0.11667517        0.00408909        0.00025996
       -9.75975976        0.11385074        0.01015503        0.00415595        0.09627237        0.00307806        0.00018932
       -9.74974975        0.09265257        0.00683867        0.00358847        0.07947977        0.00260020        0.00014546
       -9.73973974        0.07024382        0.00393359        0.00318982        0.06089799        0.00212524        0.00009718
       -9.72972973        1.41383856        0.08639581        0.22386109        1.06107069        0.03992311        0.00258785
       -9.71971972        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
       -9.70970971        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
       -9.69969970        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
       -9.68968969        0.01407667        0.00010945        0.00255020        0.01061854        0.00078361        0.00001486
       -9.67967968        0.05312694        0.00031379        0.00730790        0.04306710        0.00239131        0.00004684
       -9.66966967        0.09006374        0.00053446        0.01207618        0.07347284        0.00390011        0.00008016
       -9.65965966        0.13158079        0.00081015        0.01845560        0.10658273        0.00560278        0.00012954
       -9.64964965        0.17805035        0.00119844        0.02636169        0.14293944        0.00735584        0.00019494
       -9.63963964        0.22303587        0.00170924        0.03430696        0.17776099        0.00899586        0.00026282
       -9.62962963        0.26653735        0.00234253        0.04229142        0.21104737        0.01052285        0.00033318
       -9.61961962        0.30855479        0.00309833        0.05031506        0.24279859        0.01193680        0.00040601
       -9.60960961        0.34908819        0.00397662        0.05837789        0.27301465        0.01323772        0.00048132
       -9.59959960        0.38813756        0.00497742        0.06647990        0.30169554        0.01442560        0.00055911
       -9.58958959        0.32679161        0.00693900        0.08398998        0.22558065        0.00974509        0.00053689
       -9.57957958        0.31451575        0.00705158        0.07039510        0.22747880        0.00902803        0.00056223
       -9.56956957        0.30619713        0.00746861        0.06020925        0.22944586        0.00848410        0.00058930
       -9.55955956        0.30183575        0.00819009        0.05343241        0.23148184        0.00811329        0.00061812
       -9.54954955        1.24917367        0.06407855        0.10908159        1.04622015        0.02712828        0.00266509
       -9.53953954        0.79397098        0.03656736        0.09796715        0.64148499        0.01631038        0.00164110
       -9.52952953        0.50427302        0.01931331        0.08425882        0.38878435        0.01092079        0.00099576
       -9.51951952        0.30878020        0.01222483        0.06156083        0.22701142        0.00726823        0.00071489
       -9.50950951        0.24042701        0.00824654        0.05377922        0.17248678        0.00546485        0.00044962
