#  aims_uuid : 26222898-DD6D-4968-AC89-0A917FAFC489                                
#  angular momentum projected density of states for species S as calculated by FHI-aims 
# The energy reference for this output is the vacuum level =       0.000000 eV
#      Energy (eV)         total dos     l= 0              l= 1              l= 2              l= 3              l= 4
      -10.00000000        1.67999612        0.12076484        1.47965742        0.07026423        0.00781406        0.00149557
       -9.98998999        1.43901333        0.14327057        1.20498556        0.08202268        0.00823096        0.00050356
       -9.97997998        0.86156138        0.08884402        0.71788341        0.04972749        0.00486953        0.00023693
       -9.96996997        0.29614131        0.02368059        0.25107369        0.01973326        0.00160093        0.00005285
       -9.95995996        0.63905911        0.05443744        0.53349569        0.04667738        0.00427345        0.00017514
       -9.94994995        0.61317976        0.05299010        0.51040591        0.04538757        0.00419529        0.00020089
       -9.93993994        0.59335788        0.05354722        0.49222345        0.04328205        0.00408761        0.00021754
       -9.92992993        0.57959346        0.05610879        0.47894831        0.04036083        0.00395044        0.00022509
       -9.91991992        0.39538901        0.04207873        0.32634147        0.02420928        0.00258508        0.00017444
       -9.90990991        0.79885698        0.06969423        0.68519356        0.03873194        0.00469944        0.00053781
       -9.89989990        1.25520815        0.03948526        1.14589809        0.05867863        0.00921201        0.00193416
       -9.88988989        0.19841289        0.01390528        0.17401706        0.00884734        0.00138239        0.00026082
       -9.87987988        0.35484006        0.01469672        0.32437381        0.01300266        0.00222211        0.00054476
       -9.86986987        1.15938700        0.02493321        1.09340785        0.03299049        0.00618499        0.00187045
       -9.85985986        0.16885381        0.01347799        0.14551330        0.00841899        0.00125410        0.00018942
       -9.84984985        0.16399961        0.01261296        0.14103790        0.00882111        0.00132699        0.00020064
       -9.83983984        0.15958106        0.01180272        0.13696227        0.00920839        0.00139649        0.00021119
       -9.82982983        0.15559817        0.01104727        0.13328640        0.00958084        0.00146261        0.00022106
       -9.81981982        0.15205092        0.01034660        0.13001030        0.00993844        0.00152533        0.00023025
       -9.80980981        0.22765684        0.01127659        0.20203660        0.01212223        0.00184988        0.00037154
       -9.79979980        0.32942056        0.01303510        0.29795669        0.01553107        0.00233954        0.00055815
       -9.78978979        0.37789251        0.01395146        0.34203457        0.01845285        0.00279285        0.00066077
       -9.77977978        0.42269536        0.01509727        0.38145696        0.02202562        0.00335423        0.00076128
       -9.76976977        0.46382912        0.01647254        0.41622384        0.02624938        0.00402369        0.00085968
       -9.75975976        0.50129379        0.01807726        0.44633521        0.03112413        0.00480122        0.00095596
       -9.74974975        0.53508936        0.01991144        0.47179109        0.03664988        0.00568683        0.00105013
       -9.73973974        0.38863626        0.01316177        0.34734442        0.02370724        0.00368460        0.00073823
       -9.72972973        0.38547792        0.01314824        0.34294445        0.02476591        0.00387477        0.00074454
       -9.71971972        0.38175252        0.01322482        0.33776337        0.02593101        0.00408348        0.00074984
       -9.70970971        0.25016390        0.00726887        0.22590811        0.01426765        0.00224467        0.00047461
       -9.69969970        0.22027743        0.00594547        0.19996022        0.01205394        0.00190220        0.00041560
       -9.68968969        0.19011661        0.00473213        0.17364989        0.00982652        0.00155321        0.00035487
       -9.67967968        0.16527794        0.00385986        0.15162700        0.00818683        0.00129787        0.00030639
       -9.66966967        0.13992464        0.00304678        0.12901039        0.00656788        0.00104252        0.00025706
       -9.65965966        0.11398312        0.00228960        0.10573873        0.00496216        0.00078590        0.00020673
