#  aims_uuid : 26222898-DD6D-4968-AC89-0A917FAFC489                                
#  angular momentum projected density of states for species S as calculated by FHI-aims 
# The energy reference for this output is the chemical potential, mu =      -4.987120 eV
#      Energy (eV)         total dos     l= 0              l= 1              l= 2              l= 3              l= 4
       -5.01288034        1.68037179        0.12001387        1.48271846        0.06843170        0.00772958        0.00147818
       -5.00287033        1.45966306        0.14525965        1.22305386        0.08253641        0.00831909        0.00049406
       -4.99286032        0.88093797        0.09108501        0.73436537        0.05032019        0.00491890        0.00024850
       -4.98285031        0.28921674        0.02316192        0.24510971        0.01934451        0.00154057        0.00006004
       -4.97284030        0.63481610        0.05395606        0.53009336        0.04635729        0.00422893        0.00018045
       -4.96283029        0.61529468        0.05248824        0.51326519        0.04517073        0.00416191        0.00020861
       -4.95282028        0.60864248        0.05377441        0.50688247        0.04365422        0.00410268        0.00022870
       -4.94281027        0.61485949        0.05781457        0.51094521        0.04180776        0.00405124        0.00024072
       -4.93280026        0.32871890        0.03604186        0.27015371        0.02010569        0.00225295        0.00016469
       -4.92279025        0.75550756        0.06582737        0.64854880        0.03611335        0.00448704        0.00053101
       -4.91278024        1.10462768        0.04680343        1.00105719        0.04705333        0.00785015        0.00186358
       -4.90277023        0.22035767        0.01350741        0.19431346        0.01061313        0.00164761        0.00027607
       -4.89276022        0.37666789        0.01438503        0.34444299        0.01480118        0.00248123        0.00055747
       -4.88275021        1.16386702        0.02510410        1.09719526        0.03347546        0.00622592        0.00186629
       -4.87274020        0.17272579        0.01372185        0.14864662        0.00888985        0.00128420        0.00018326
       -4.86273019        0.16832128        0.01288989        0.14452458        0.00935251        0.00136058        0.00019372
       -4.85272018        0.16417660        0.01210360        0.14065776        0.00977928        0.00143220        0.00020376
       -4.84271017        0.16029176        0.01136297        0.13704614        0.01017018        0.00149908        0.00021339
       -4.83270016        0.15666674        0.01066799        0.13368974        0.01052520        0.00156120        0.00022261
       -4.82269015        0.23201352        0.01159347        0.20548983        0.01268231        0.00188374        0.00036418
       -4.81268014        0.33323855        0.01334930        0.30093473        0.01603356        0.00237000        0.00055097
       -4.80267013        0.38088966        0.01426499        0.34428271        0.01886976        0.00281853        0.00065368
       -4.79266012        0.42467644        0.01540295        0.38281147        0.02233379        0.00337376        0.00075447
       -4.78265011        0.46459890        0.01676319        0.41652103        0.02642565        0.00403568        0.00085335
       -4.77264010        0.50065702        0.01834569        0.44541138        0.03114533        0.00480431        0.00095031
       -4.76263009        0.53285082        0.02015047        0.46948252        0.03649285        0.00567963        0.00104535
       -4.75262008        0.38570129        0.01336244        0.34446672        0.02346202        0.00367598        0.00073413
       -4.74261007        0.38244348        0.01330291        0.34003553        0.02449338        0.00387063        0.00074103
       -4.73260006        0.37863699        0.01332685        0.33484488        0.02563378        0.00408443        0.00074706
       -4.72259005        0.24690733        0.00734578        0.22289129        0.01394890        0.00224944        0.00047191
       -4.71258004        0.21681945        0.00606001        0.19671749        0.01172361        0.00190671        0.00041164
       -4.70257003        0.18662494        0.00487009        0.17034953        0.00949776        0.00155744        0.00035011
       -4.69256002        0.16190593        0.00400912        0.14841624        0.00787760        0.00130165        0.00030132
       -4.68255001        0.13683811        0.00319332        0.12605493        0.00629189        0.00104581        0.00025217
       -4.67254000        0.11134808        0.00241938        0.10320453        0.00473302        0.00078868        0.00020246
       -4.66252999        0.08543581        0.00168729        0.07986503        0.00320101        0.00053026        0.00015221
       -4.65251998        0.05910132        0.00099706        0.05603643        0.00169586        0.00027055        0.00010141
       -4.64250997        1.38323012        0.10576159        1.22281630        0.04539661        0.00835063        0.00090499
       -4.63249996        0.66506902        0.01262678        0.63285237        0.01612903        0.00235522        0.00110562
       -4.62248995        0.22425065        0.00844240        0.20899621        0.00543243        0.00106674        0.00031286
       -4.61247994        0.19609901        0.01115696        0.17870757        0.00491072        0.00111200        0.00021176
       -4.60246993        0.17118977        0.01270183        0.15282385        0.00441687        0.00111125        0.00013597
       -4.59245992        0.18706710        0.01347594        0.16734161        0.00487201        0.00122518        0.00015237
       -4.58244991        0.20252427        0.01314725        0.18250942        0.00537693        0.00130593        0.00018474
       -4.57243990        0.13924080        0.00174024        0.13289777        0.00369479        0.00066689        0.00024111
       -4.56242989        0.18760726        0.00284858        0.17826458        0.00521670        0.00096325        0.00031415
       -4.55241988        0.24561631        0.00504133        0.23164375        0.00718388        0.00136123        0.00038613
       -4.54240987        0.30532276        0.00729682        0.28640762        0.00936762        0.00179241        0.00045829
       -4.53239986        0.37385602        0.01006801        0.34881770        0.01213801        0.00229971        0.00053259
       -4.52238985        0.34879074        0.01321544        0.31903687        0.01378198        0.00232924        0.00042721
       -4.51237984        0.39468636        0.01608374        0.35860861        0.01676264        0.00276751        0.00046387
       -4.50236983        0.43902602        0.01894490        0.39634920        0.01999884        0.00323208        0.00050099
       -4.49235982        0.48180971        0.02179891        0.43225864        0.02349060        0.00372297        0.00053859
       -4.48234981        0.52303743        0.02464578        0.46633694        0.02723790        0.00424017        0.00057665
       -4.47233980        0.70647988        0.03472914        0.62448877        0.04023671        0.00622226        0.00080299
       -4.46232979        2.16014796        0.12268982        1.91455671        0.10843537        0.01343448        0.00103157
       -4.45231978        0.41122997        0.02196005        0.36554944        0.02024684        0.00304839        0.00042525
       -4.44230977        0.40136142        0.01910927        0.35954608        0.01942685        0.00280643        0.00047279
       -4.43229976        0.74613408        0.02077030        0.69166693        0.02846305        0.00410847        0.00112534
