#  aims_uuid : 26222898-DD6D-4968-AC89-0A917FAFC489                                
#  angular momentum projected density of states for species W as calculated by FHI-aims 
# The energy reference for this output is the chemical potential, mu =      -4.987120 eV
#      Energy (eV)         total dos     l= 0              l= 1              l= 2              l= 3              l= 4
       -5.01288034        1.38543969        0.06405595        0.18522200        1.09397927        0.04060598        0.00157649
       -5.00287033        1.15439894        0.07265848        0.19182328        0.86074397        0.02753354        0.00163967
       -4.99286032        0.64400572        0.05083143        0.11986502        0.45556144        0.01682362        0.00092422
       -4.98285031        0.24058215        0.01499202        0.06002700        0.15928145        0.00601786        0.00026381
       -4.97284030        0.63564048        0.02347932        0.08954119        0.51164719        0.01014171        0.00083106
       -4.96283029        0.61067905        0.02931598        0.08026462        0.49002980        0.01023176        0.00083689
       -4.95282028        0.56409843        0.03610879        0.06972942        0.44705169        0.01040567        0.00080286
       -4.94281027        0.49589862        0.04385776        0.05793561        0.38271286        0.01066344        0.00072895
       -4.93280026        0.46979873        0.02472736        0.04038130        0.39409472        0.00985040        0.00074495
       -4.92279025        0.69873095        0.03696814        0.06928647        0.56993819        0.02156464        0.00097351
       -4.91278024        0.98107498        0.04338163        0.09139252        0.80966522        0.03530899        0.00132663
       -4.90277023        0.21712494        0.02677906        0.01694170        0.16658608        0.00643024        0.00038786
       -4.89276022        0.37448503        0.02896484        0.02716474        0.30546990        0.01235591        0.00052964
       -4.88275021        1.09265752        0.02590464        0.07571259        0.94757487        0.04245451        0.00101091
       -4.87274020        0.17756442        0.02175480        0.01068892        0.13961608        0.00518049        0.00032414
       -4.86273019        0.18844478        0.02387816        0.01039015        0.14881700        0.00499177        0.00036769
       -4.85272018        0.19833453        0.02573301        0.01010475        0.15727570        0.00481335        0.00040770
       -4.84271017        0.20723366        0.02731936        0.00983271        0.16499219        0.00464523        0.00044417
       -4.83270016        0.21514218        0.02863720        0.00957404        0.17196645        0.00448740        0.00047710
       -4.82269015        0.28886286        0.03071409        0.01558518        0.23502472        0.00698622        0.00055264
       -4.81268014        0.39215693        0.03452510        0.02332455        0.32336151        0.01027138        0.00067439
