#  aims_uuid : 14880550-F935-47AB-A6A9-F93BF720D089                                
#  angular momentum projected density of states for species S as calculated by FHI-aims 
# The energy reference for this output is the vacuum level =       0.000000 eV
#      Energy (eV)         total dos     l= 0              l= 1              l= 2              l= 3
      -10.00000000        0.31010372        0.00458365        0.28457283        0.01882026        0.00212699
       -9.99000000        0.32772706        0.00479348        0.30363796        0.01710735        0.00218828
       -9.98000000        0.34267686        0.00496681        0.31989045        0.01555881        0.00226079
       -9.97000000        0.35495312        0.00510366        0.33333030        0.01417463        0.00234452
       -9.96000000        0.36455585        0.00520402        0.34395753        0.01295482        0.00243948
       -9.95000000        0.13620573        0.00275045        0.12553607        0.00683446        0.00108476
       -9.94000000        0.10955586        0.00258172        0.09896745        0.00700691        0.00099978
       -9.93000000        0.12547232        0.00283420        0.11332886        0.00811871        0.00119055
       -9.92000000        0.14119019        0.00304961        0.12750644        0.00924260        0.00139153
       -9.91000000        0.15670946        0.00322796        0.14150019        0.01037859        0.00160273
       -9.90000000        0.17203014        0.00336924        0.15531010        0.01152667        0.00182414
       -9.89000000        0.18715224        0.00347346        0.16893617        0.01268685        0.00205576
       -9.88000000        0.20207573        0.00354062        0.18237841        0.01385912        0.00229759
       -9.87000000        0.48341280        0.01013484        0.43264801        0.03466611        0.00596384
       -9.86000000        0.64481363        0.01237496        0.58040353        0.04632426        0.00571088
       -9.85000000        0.60406625        0.01393601        0.54287048        0.04189570        0.00536406
       -9.84000000        0.60210675        0.01148162        0.54041344        0.04503867        0.00517301
       -9.83000000        0.46705067        0.00641212        0.41998148        0.03662763        0.00402943
       -9.82000000        0.42282676        0.00504919        0.38235706        0.03184147        0.00357904
       -9.81000000        0.33984150        0.00346378        0.30877317        0.02478751        0.00281704
       -9.80000000        0.32886032        0.00275640        0.30166038        0.02163288        0.00281067
       -9.79000000        0.32021277        0.00223087        0.29687766        0.01828911        0.00281512
       -9.78000000        0.30341774        0.00170267        0.28485310        0.01411729        0.00274469
       -9.77000000        0.99533486        0.00423216        0.94339505        0.03792566        0.00978198
       -9.76000000        1.04674099        0.00946673        1.00421538        0.02541307        0.00764580
       -9.75000000        0.19273781        0.00179850        0.17673799        0.01239708        0.00180423
       -9.74000000        0.25164213        0.00275655        0.22905511        0.01750709        0.00232339
       -9.73000000        0.30962780        0.00383379        0.28073203        0.02221451        0.00284747
       -9.72000000        0.36669482        0.00503023        0.33176876        0.02651934        0.00337649
       -9.71000000        0.25747583        0.00294318        0.23332767        0.01867649        0.00252848
       -9.70000000        0.26789084        0.00312700        0.24235028        0.01974836        0.00266520
       -9.69000000        0.27741942        0.00331668        0.25062108        0.02068495        0.00279672
       -9.68000000        0.28606159        0.00351222        0.25814006        0.02148625        0.00292306
       -9.67000000        0.29381733        0.00371364        0.26490721        0.02215227        0.00304420
       -9.66000000        0.30068665        0.00392092        0.27092255        0.02268302        0.00316016
       -9.65000000        0.22827894        0.00233525        0.20558216        0.01769773        0.00266380
       -9.64000000        0.22358364        0.00221077        0.20114237        0.01755156        0.00267894
       -9.63000000        0.21899085        0.00208386        0.19680318        0.01741150        0.00269230
       -9.62000000        0.21450056        0.00195452        0.19256461        0.01727755        0.00270388
       -9.61000000        0.21011278        0.00182274        0.18842665        0.01714971        0.00271367
       -9.60000000        0.20582749        0.00168853        0.18438930        0.01702798        0.00272168
       -9.59000000        0.20164471        0.00155188        0.18045256        0.01691236        0.00272791
       -9.58000000        0.19756444        0.00141280        0.17661643        0.01680285        0.00273235
       -9.57000000        0.12924988        0.00118378        0.11600629        0.01095180        0.00110800
       -9.56000000        0.18096437        0.00112712        0.16181224        0.01581961        0.00220540
       -9.55000000        0.30551142        0.00122280        0.27170387        0.02900726        0.00357749
       -9.54000000        0.70578271        0.00206070        0.62715578        0.06718550        0.00938074
       -9.53000000        0.30594586        0.00304178        0.27966280        0.01889205        0.00434923
       -9.52000000        1.64187598        0.02489296        1.50562250        0.09242950        0.01893102
       -9.51000000        1.53406952        0.02584957        1.38777343        0.10507514        0.01537138
       -9.50000000        0.51699561        0.00596866        0.46885887        0.03762753        0.00454055
       -9.49000000        0.74061360        0.00702234        0.67280764        0.05435326        0.00643036
       -9.48000000        0.78942711        0.00736180        0.70855964        0.06507774        0.00842793
       -9.47000000        0.44335207        0.00351423        0.40140075        0.03333047        0.00510661
