#  aims_uuid : D06ABAEF-911E-42AE-AFB2-D3FE1E5EE208                                
#  angular momentum projected density of states for species S as calculated by FHI-aims 
# The energy reference for this output is the chemical potential, mu =      -6.174269 eV
#      Energy (eV)         total dos     l= 0              l= 1              l= 2              l= 3
       -3.82573100        0.08573774        0.00116906        0.08029048        0.00372202        0.00055617
       -3.81573100        0.12987634        0.00191204        0.11921625        0.00782824        0.00091981
       -3.80573100        0.17404775        0.00259906        0.15870600        0.01146130        0.00128138
       -3.79573100        0.21825199        0.00323013        0.19875973        0.01462123        0.00164090
       -3.78573100        0.26248903        0.00380525        0.23937743        0.01730801        0.00199835
       -3.77573100        0.30675890        0.00432441        0.28055910        0.01952165        0.00235374
       -3.76573100        0.32447729        0.00445567        0.29658586        0.02088948        0.00254629
       -3.75573100        0.33450834        0.00446811        0.30530486        0.02204055        0.00269481
       -3.74573100        0.34427688        0.00446940        0.31385434        0.02310833        0.00284481
       -3.73573100        0.35378292        0.00445954        0.32223431        0.02409280        0.00299628
       -3.72573100        0.36302647        0.00443851        0.33044475        0.02499398        0.00314923
       -3.71573100        0.37200752        0.00440634        0.33848567        0.02581185        0.00330366
       -3.70573100        0.38072607        0.00436300        0.34635708        0.02654643        0.00345957
       -3.69573100        0.38918213        0.00430851        0.35405896        0.02719771        0.00361695
       -3.68573100        0.39737568        0.00424286        0.36159133        0.02776569        0.00377581
       -3.67573100        0.40530674        0.00416605        0.36895417        0.02825037        0.00393615
       -3.66573100        0.41297530        0.00407809        0.37614750        0.02865175        0.00409796
       -3.65573100        0.42038136        0.00397897        0.38317130        0.02896984        0.00426125
       -3.64573100        0.42752493        0.00386870        0.39002559        0.02920463        0.00442602
       -3.63573100        0.61872197        0.00496297        0.56113991        0.04446075        0.00815834
       -3.62573100        0.45624831        0.00406435        0.41956512        0.02842981        0.00418902
       -3.61573100        0.26874054        0.00204046        0.24837645        0.01635620        0.00196744
       -3.60573100        0.28099079        0.00198430        0.26036399        0.01659002        0.00205248
       -3.59573100        1.73459048        0.00629263        1.55730425        0.15721343        0.01378017
       -3.58573100       25.43337588        0.24387381       24.57418648        0.44824556        0.16707004
       -3.57573100        0.14546871        0.00029450        0.13094544        0.01251391        0.00171486
       -3.56573100        0.18025894        0.00065652        0.16363002        0.01376304        0.00220935
       -3.55573100        0.21576072        0.00123821        0.19652870        0.01534941        0.00264439
       -3.54573100        0.25197405        0.00203957        0.22964146        0.01727303        0.00301998
       -3.53573100        0.28889893        0.00306060        0.26296832        0.01953389        0.00333613
       -3.52573100        0.32653536        0.00430129        0.29650926        0.02213198        0.00359282
       -3.51573100        0.36488334        0.00576165        0.33026430        0.02506733        0.00379006
       -3.50573100        0.20052894        0.00241642        0.18089909        0.01455464        0.00265878
       -3.49573100        0.23231645        0.00251783        0.20803141        0.01813483        0.00363239
       -3.48573100        0.26206671        0.00234270        0.23333266        0.02165988        0.00473146
       -3.47573100        0.28977971        0.00189105        0.25680286        0.02512981        0.00595599
       -3.46573100        0.31545547        0.00116287        0.27844201        0.02854461        0.00730599
       -3.45573100        0.05560123        0.00080419        0.05044528        0.00383010        0.00052166
       -3.44573100        0.05520719        0.00079215        0.05012133        0.00377764        0.00051607
       -3.43573100        0.05476717        0.00077780        0.04975569        0.00372317        0.00051051
       -3.42573100        0.05428116        0.00076115        0.04934833        0.00366670        0.00050498
       -3.41573100        0.05374916        0.00074219        0.04889928        0.00360822        0.00049948
       -3.40573100        0.05317118        0.00072092        0.04840852        0.00354774        0.00049400
       -3.39573100        0.05254721        0.00069734        0.04787606        0.00348525        0.00048856
       -3.38573100        0.05187726        0.00067146        0.04730190        0.00342076        0.00048314
       -3.37573100        0.05116132        0.00064327        0.04668603        0.00335426        0.00047775
       -3.36573100        0.21191085        0.00076603        0.18987199        0.01693513        0.00433771
       -3.35573100        0.30349334        0.00161656        0.27719277        0.01955719        0.00512682
       -3.34573100        0.40222531        0.00275167        0.37176471        0.02208363        0.00562531
       -3.33573100        0.50810676        0.00417134        0.47358779        0.02451445        0.00583318
       -3.32573100        0.62113769        0.00587559        0.58266202        0.02684965        0.00575043
       -3.31573100        0.32983995        0.00271408        0.30436596        0.01920352        0.00355639
       -3.30573100        0.52702448        0.00415570        0.48375727        0.03284650        0.00626501
       -3.29573100        0.73175044        0.00637609        0.66673295        0.04984350        0.00879790
       -3.28573100        1.21778960        0.01031858        1.10451574        0.08880664        0.01414864
       -3.27573100        1.15744254        0.01401158        1.03900629        0.09160150        0.01282316
       -3.26573100        1.07920000        0.01629515        0.96217838        0.08956246        0.01116401
       -3.25573100        1.03125091        0.01893445        0.91869359        0.08398467        0.00963820
       -3.24573100        1.78941967        0.03351291        1.57015679        0.16909822        0.01665175
       -3.23573100        0.37508951        0.00519199        0.33218026        0.03402056        0.00369670
       -3.22573100        0.13666264        0.00121995        0.12107047        0.01300809        0.00136413
       -3.21573100        0.08391069        0.00068823        0.07523988        0.00718611        0.00079648
       -3.20573100        0.17330003        0.00148995        0.16117779        0.00916190        0.00147039
       -3.19573100        0.20340419        0.00171935        0.18914276        0.01076771        0.00177437
       -3.18573100        0.31612650        0.00192342        0.29081084        0.01940322        0.00398902
       -3.17573100        0.35751064        0.00210511        0.32838385        0.02242090        0.00460078
       -3.16573100        0.39798483        0.00226858        0.36485770        0.02564714        0.00521141
       -3.15573100        0.43754906        0.00241383        0.40023238        0.02908194        0.00582091
       -3.14573100        0.47620335        0.00254086        0.43450789        0.03272532        0.00642927
       -3.13573100        0.51394768        0.00264966        0.46768424        0.03657727        0.00703651
       -3.12573100        0.55078207        0.00274025        0.49976142        0.04063779        0.00764261
       -3.11573100        0.58670650        0.00281261        0.53073944        0.04490687        0.00824758
       -3.10573100        0.62172098        0.00286675        0.56061829        0.04938453        0.00885142
       -3.09573100        0.54489758        0.00292448        0.48963721        0.04535338        0.00698251
       -3.08573100        0.55793338        0.00302492        0.49952844        0.04844875        0.00693127
       -3.07573100        0.48243892        0.00260118        0.43219370        0.04162033        0.00602371
       -3.06573100        0.40452472        0.00208951        0.36280707        0.03450193        0.00512621
       -3.05573100        0.45975328        0.01501030        0.41306380        0.02734161        0.00433757
       -3.04573100        0.41260721        0.01664889        0.37124282        0.02114038        0.00357512
       -3.03573100        0.39799112        0.01808067        0.35879520        0.01793763        0.00317762
       -3.02573100        0.40018698        0.01917968        0.36151313        0.01651761        0.00297656
       -3.01573100        0.40228083        0.01974902        0.36407930        0.01563564        0.00281687
       -3.00573100        0.39992950        0.01978337        0.36252101        0.01499682        0.00262831
       -2.99573100        0.39136269        0.01925389        0.35524679        0.01444184        0.00242017
       -2.98573100        0.38186888        0.01815662        0.34710599        0.01431360        0.00229267
       -2.97573100        0.37144807        0.01649156        0.33809860        0.01461210        0.00224581
       -2.96573100        0.36010026        0.01425872        0.32822462        0.01533733        0.00227959
       -2.95573100        1.97664505        0.00710908        1.80346612        0.13449660        0.03157324
       -2.94573100        0.24096762        0.00654972        0.21950038        0.01177182        0.00314571
       -2.93573100        0.43611850        0.00847320        0.41090624        0.01245807        0.00428098
       -2.92573100        0.85559326        0.04521265        0.79298828        0.01278843        0.00460390
       -2.91573100        0.80552961        0.04189578        0.74641147        0.01277400        0.00444836
       -2.90573100        0.75550334        0.03852589        0.69997976        0.01270305        0.00429465
       -2.89573100        0.70551445        0.03510296        0.65369313        0.01257558        0.00414278
       -2.88573100        1.33175773        0.03759129        1.21602033        0.06786316        0.01028295
       -2.87573100        1.20381042        0.04485378        1.10397604        0.04685333        0.00812727
       -2.86573100        1.02970007        0.04328162        0.94764454        0.03230028        0.00647363
       -2.85573100        0.80942667        0.03287480        0.74702585        0.02420400        0.00532202
       -2.84573100        0.67792536        0.02415495        0.62679428        0.02209086        0.00488527
       -2.83573100        0.70132749        0.02602805        0.64931014        0.02112962        0.00485967
       -2.82573100        0.72711389        0.02802087        0.67413386        0.02010967        0.00484950
       -2.81573100        1.01578749        0.03362591        0.94184598        0.03214505        0.00817055
       -2.80573100        1.06392589        0.04228562        0.98890625        0.02517943        0.00755460
       -2.79573100        1.08969467        0.04742945        1.01301452        0.02213003        0.00712067
       -2.78573100        1.24118513        0.05819179        1.15405965        0.02159376        0.00733993
       -2.77573100        1.65651539        0.07847654        1.54004681        0.02897199        0.00902005
       -2.76573100        3.17686971        0.17836230        2.96532061        0.02087350        0.01231330
       -2.75573100        2.30308290        0.12479830        2.14441841        0.02420455        0.00966163
       -2.74573100        2.05593140        0.10566998        1.91092065        0.02971506        0.00962571
       -2.73573100        1.80527739        0.08628139        1.67400017        0.03541454        0.00958129
       -2.72573100        1.55112089        0.06663251        1.43365698        0.04130300        0.00952839
       -2.71573100        1.31981275        0.04819067        1.21463831        0.04741318        0.00957060
       -2.70573100        1.49133908        0.05123730        1.37417233        0.05462590        0.01130355
       -2.69573100        2.46737816        0.08670644        2.28846356        0.07404598        0.01816217
       -2.68573100        1.88508491        0.04676659        1.73473648        0.08652655        0.01705528
       -2.67573100        2.21239795        0.04383935        2.02589913        0.12078955        0.02186992
       -2.66573100        2.57562923        0.04605733        2.34750528        0.15556452        0.02650210
       -2.65573100        1.05113873        0.03469599        0.97829808        0.03055790        0.00758676
       -2.64573100        1.07636855        0.03650060        1.00127257        0.03108639        0.00750899
       -2.63573100        1.11040659        0.03891989        1.03258256        0.03147012        0.00743401
       -2.62573100        0.70072688        0.01406633        0.64684709        0.03339772        0.00641574
       -2.61573100        1.04575295        0.01838304        0.95904272        0.05830339        0.01002380
       -2.60573100        1.53706591        0.02956354        1.39815147        0.09420510        0.01514580
       -2.59573100        2.44941598        0.04641059        2.24995765        0.13114425        0.02190348
       -2.58573100        3.68363789        0.15108538        3.46228568        0.05214258        0.01812425
       -2.57573100        1.80072642        0.08701714        1.70094723        0.00635613        0.00640593
       -2.56573100        1.41117986        0.07231392        1.32999399        0.00488990        0.00398205
       -2.55573100        0.60209417        0.02910627        0.56665807        0.00452814        0.00180170
       -2.54573100        0.60430833        0.02960708        0.56736029        0.00553524        0.00180571
       -2.53573100        0.63998417        0.03068365        0.59997542        0.00720241        0.00212269
       -2.52573100        0.68503415        0.03095595        0.64183855        0.00952656        0.00271309
       -2.51573100        0.34919469        0.00848969        0.32666934        0.01099475        0.00304092
       -2.50573100        0.43285503        0.00829657        0.40481114        0.01552362        0.00422369
