#  aims_uuid : A532CE56-A3FB-4D0C-A701-8E20347B9087                                
#  angular momentum projected density of states for species S as calculated by FHI-aims 
# The energy reference for this output is the chemical potential, mu =      -5.646313 eV
#      Energy (eV)         total dos     l= 0              l= 1              l= 2              l= 3              l= 4
       -4.35368718        0.73735406        0.08532143        0.60029754        0.04603344        0.00539065        0.00031101
       -4.34367717        0.63873589        0.07354725        0.52101606        0.03942018        0.00452742        0.00022498
       -4.33366716        0.52546785        0.05825277        0.43058398        0.03283311        0.00363146        0.00016652
       -4.32365715        0.39754994        0.03943800        0.32900130        0.02627224        0.00270277        0.00013563
       -4.31364714        0.43245823        0.04142765        0.36009599        0.02802532        0.00274097        0.00016830
       -4.30363713        0.54095374        0.05241982        0.45161286        0.03344719        0.00324747        0.00022640
       -4.29362712        0.64860350        0.06228655        0.54324049        0.03898124        0.00380393        0.00029129
       -4.28361711        0.75540751        0.07102784        0.63497887        0.04462746        0.00441036        0.00036297
       -4.27360710        0.30514366        0.02035685        0.26792570        0.01494783        0.00163168        0.00028161
       -4.26359709        0.32277803        0.01478183        0.29322683        0.01285638        0.00151607        0.00039692
       -4.25358708        2.01008292        0.07625712        1.83517586        0.08201433        0.01364409        0.00299152
       -4.24357707        0.12993452        0.01227023        0.11131106        0.00536371        0.00087569        0.00011383
       -4.23356706        0.12662337        0.01190467        0.10792354        0.00574328        0.00092717        0.00012471
       -4.22355705        0.12372223        0.01154021        0.10494872        0.00611923        0.00097865        0.00013543
       -4.21354704        0.12123111        0.01117684        0.10238660        0.00649156        0.00103013        0.00014599
       -4.20353703        0.11915001        0.01081458        0.10023718        0.00686027        0.00108161        0.00015638
       -4.19352702        0.11747892        0.01045341        0.09850046        0.00722536        0.00113309        0.00016660
       -4.18351701        0.23199978        0.01197773        0.20796966        0.01015913        0.00151885        0.00037440
       -4.17350700        0.26678919        0.01229672        0.24064518        0.01166215        0.00174087        0.00044427
       -4.16349699        0.30034881        0.01272270        0.27163515        0.01346437        0.00201379        0.00051280
       -4.15348698        0.33267864        0.01325568        0.30093957        0.01556577        0.00233762        0.00058000
