#  aims_uuid : A532CE56-A3FB-4D0C-A701-8E20347B9087                                
#  angular momentum projected density of states for species W as calculated by FHI-aims 
# The energy reference for this output is the chemical potential, mu =      -5.646313 eV
#      Energy (eV)         total dos     l= 0              l= 1              l= 2              l= 3              l= 4
       -4.35368718        0.63448102        0.06535792        0.05834352        0.49757848        0.01204115        0.00115994
       -4.34367717        0.52367302        0.04436590        0.05027349        0.41774960        0.01033920        0.00094482
       -4.33366716        0.42789221        0.02692769        0.04326976        0.34819427        0.00873358        0.00076691
       -4.32365715        0.34713860        0.01304328        0.03733234        0.28891248        0.00722428        0.00062622
       -4.31364714        0.39576625        0.01678442        0.04001041        0.32919766        0.00910034        0.00067342
       -4.30363713        0.48618105        0.02668298        0.04757324        0.39869119        0.01246665        0.00076698
       -4.29362712        0.56510927        0.03605344        0.05686837        0.45545313        0.01590213        0.00083220
       -4.28361711        0.63255092        0.04489579        0.06789581        0.49948346        0.01940680        0.00086907
       -4.27360710        0.28222829        0.01662768        0.02921573        0.22605609        0.00994116        0.00038763
       -4.26359709        0.26625924        0.01217663        0.03175945        0.21046602        0.01153362        0.00032352
       -4.25358708        1.60446681        0.14442814        0.18650448        1.21142529        0.06037031        0.00173859
       -4.24357707        0.12040807        0.01237062        0.00748023        0.09641225        0.00397075        0.00017422
       -4.23356706        0.13160645        0.01457370        0.00732028        0.10558578        0.00391177        0.00021490
       -4.22355705        0.14239718        0.01662249        0.00717972        0.11448245        0.00385847        0.00025405
       -4.21354704        0.15278028        0.01851699        0.00705853        0.12310226        0.00381084        0.00029167
       -4.20353703        0.16275574        0.02025719        0.00695672        0.13144521        0.00376887        0.00032775
       -4.19352702        0.17232356        0.02184309        0.00687428        0.13951130        0.00373258        0.00036230
       -4.18351701        0.27538058        0.02333822        0.01583216        0.22816505        0.00760532        0.00043984
       -4.17350700        0.31760111        0.02605477        0.01837751        0.26395360        0.00870649        0.00050874
       -4.16349699        0.36306903        0.02978901        0.02070143        0.30226859        0.00971266        0.00059734
