#  aims_uuid : 8DAE7C4A-EC1D-4BFA-AF01-A443C9E3C0C6                                
#  angular momentum projected density of states for species Se as calculated by FHI-aims 
# The energy reference for this output is the vacuum level =       0.000000 eV
#      Energy (eV)         total dos     l= 0              l= 1              l= 2              l= 3
      -10.00000000        0.47495694        0.01581053        0.44519208        0.01112981        0.00282452
       -9.98998999        0.30405801        0.00972079        0.28479103        0.00755559        0.00199060
       -9.97997998        0.20945560        0.00406934        0.20012294        0.00416613        0.00109719
       -9.96996997        0.21030258        0.00511257        0.19943028        0.00475693        0.00100279
       -9.95995996        0.09838629        0.00247553        0.09273768        0.00258624        0.00058685
       -9.94994995        0.10955743        0.00272830        0.10352347        0.00271347        0.00059220
       -9.93993994        0.30128717        0.00554134        0.28622770        0.00813947        0.00137866
       -9.92992993        0.20371780        0.00451551        0.19235961        0.00582720        0.00101549
       -9.91991992        0.57478687        0.01302560        0.54285014        0.01622792        0.00268322
       -9.90990991        0.27616284        0.00650790        0.26072734        0.00763016        0.00129744
       -9.89989990        0.27963353        0.00680682        0.26404707        0.00750122        0.00127841
       -9.88988989        0.28190764        0.00712401        0.26611956        0.00740267        0.00126140
       -9.87987988        0.28298518        0.00745946        0.26694479        0.00733452        0.00124641
       -9.86986987        0.28286615        0.00781317        0.26652277        0.00729676        0.00123345
       -9.85985986        0.29431235        0.00924833        0.27541715        0.00820941        0.00143746
       -9.84984985        0.12091369        0.00342986        0.11289463        0.00381112        0.00077807
       -9.83983984        0.14991413        0.00522415        0.13930910        0.00443877        0.00094213
       -9.82982983        0.20983778        0.00810276        0.19465607        0.00581393        0.00126502
       -9.81981982        0.27123802        0.01047545        0.25181096        0.00734181        0.00160980
       -9.80980981        0.36404738        0.01450563        0.33671807        0.01047380        0.00234987
       -9.79979980        0.43978248        0.01648040        0.40768270        0.01276627        0.00285312
       -9.78978979        0.28613291        0.01388095        0.25987506        0.01009556        0.00228134
       -9.77977978        0.36899341        0.01701771        0.33679800        0.01241935        0.00275835
       -9.76976977        0.32783923        0.01361349        0.30093986        0.01078774        0.00249814
       -9.75975976        0.24193451        0.00748211        0.22288051        0.00944516        0.00212672
       -9.74974975        0.28184543        0.00743510        0.26128509        0.01077845        0.00234679
       -9.73973974        0.32759824        0.00809064        0.30513232        0.01185271        0.00252256
       -9.72972973        0.37919294        0.00944873        0.35442221        0.01266796        0.00265405
       -9.71971972        0.27259058        0.00751070        0.25449447        0.00874327        0.00184214
       -9.70970971        0.21241178        0.00611357        0.19842695        0.00652618        0.00134509
       -9.69969970        0.16201726        0.00497706        0.15123825        0.00481733        0.00098462
       -9.68968969        0.11622369        0.00381963        0.10825932        0.00342889        0.00071585
       -9.67967968        0.36480357        0.01013311        0.33421929        0.01815294        0.00229822
       -9.66966967        0.56190037        0.01778075        0.51599372        0.02494163        0.00318427
       -9.65965966        0.45650343        0.01724479        0.42186898        0.01518780        0.00220187
       -9.64964965        0.29764713        0.01384236        0.27512454        0.00742143        0.00125880
       -9.63963964        0.32673339        0.03658377        0.27905159        0.00969251        0.00140552
       -9.62962963        0.95858855        0.07352278        0.84455855        0.03697475        0.00353247
       -9.61961962        1.01996866        0.07009423        0.90148860        0.04452412        0.00386170
       -9.60960961        0.93033273        0.06456879        0.82282135        0.03958040        0.00336219
       -9.59959960        0.78028130        0.07094826        0.66966835        0.03585197        0.00381272
       -9.58958959        0.91412036        0.10460946        0.78274369        0.02334653        0.00342068
       -9.57957958        3.22633110        0.36520352        2.80069725        0.05076851        0.00966181
       -9.56956957        0.44288211        0.04211237        0.38103340        0.01768294        0.00205339
       -9.55955956        0.50449035        0.03574434        0.44276254        0.02345426        0.00252922
       -9.54954955        0.81245744        0.05084610        0.72011322        0.03740065        0.00409748
       -9.53953954        0.82501152        0.06346029        0.72751329        0.03045329        0.00358465
       -9.52952953        0.86318493        0.07240722        0.76034410        0.02704734        0.00338627
       -9.51951952        1.06363898        0.08587218        0.94046710        0.03312130        0.00417840
       -9.50950951        0.68081079        0.06813010        0.59141318        0.01871228        0.00255523
       -9.49949950        2.64691241        0.23314761        2.31258818        0.09090801        0.01026861
       -9.48948949        0.47757051        0.05488308        0.40506373        0.01557882        0.00204488
