#  aims_uuid : 8DAE7C4A-EC1D-4BFA-AF01-A443C9E3C0C6                                
#  angular momentum projected density of states for species W as calculated by FHI-aims 
# The energy reference for this output is the chemical potential, mu =      -4.531934 eV
#      Energy (eV)         total dos     l= 0              l= 1              l= 2              l= 3              l= 4
       -5.46806608        0.50489246        0.01645672        0.04349226        0.43761540        0.00687963        0.00044845
       -5.45805607        0.39025012        0.01095344        0.02803464        0.34605477        0.00489402        0.00031324
       -5.44804606        0.19698203        0.00580935        0.01160904        0.17637624        0.00301574        0.00017166
       -5.43803605        0.16973469        0.00439323        0.01516018        0.14726090        0.00277624        0.00014413
       -5.42802604        0.11377764        0.00387864        0.01135786        0.09657750        0.00187379        0.00008985
       -5.41801603        0.11016575        0.00408377        0.01325549        0.09078576        0.00195671        0.00008401
       -5.40800602        0.29980249        0.00667702        0.02850892        0.25937434        0.00497636        0.00026584
       -5.39799601        0.21584478        0.00577178        0.02633535        0.18002839        0.00353355        0.00017570
       -5.38798600        0.58276811        0.01149764        0.06094680        0.50135828        0.00844919        0.00051621
       -5.37797599        0.26833398        0.00786660        0.03715396        0.21854431        0.00455156        0.00021755
       -5.36796598        0.25677029        0.00861092        0.03953767        0.20377889        0.00463925        0.00020356
       -5.35795597        0.24701791        0.00942170        0.04218315        0.19047034        0.00475179        0.00019093
       -5.34794596        0.23907683        0.01029895        0.04509040        0.17861867        0.00488917        0.00017965
       -5.33793595        0.23294706        0.01124266        0.04825941        0.16822387        0.00505140        0.00016972
       -5.32792594        0.27481687        0.01331194        0.06175698        0.19385732        0.00568339        0.00020724
       -5.31791593        0.15814629        0.00565241        0.02403560        0.12630141        0.00200574        0.00015114
       -5.30790592        0.18593811        0.00869117        0.03141906        0.14323391        0.00239515        0.00019881
       -5.29789591        0.24056278        0.01348123        0.04347298        0.18017007        0.00315779        0.00028071
       -5.28788590        0.29992228        0.02073253        0.05485826        0.22000760        0.00397544        0.00034845
       -5.27787589        0.44451406        0.03682300        0.08660104        0.31493789        0.00568173        0.00047040
       -5.26786588        0.53900288        0.05620192        0.10239897        0.37294871        0.00692754        0.00052574
       -5.25785587        0.44838489        0.07134431        0.08819203        0.28272084        0.00569282        0.00043489
       -5.24784586        0.54015418        0.09895305        0.10155798        0.33205665        0.00708006        0.00050643
       -5.23783585        0.49373000        0.09631101        0.08866244        0.30160866        0.00668158        0.00046630
       -5.22782584        0.44497471        0.07115559        0.06986949        0.29723721        0.00626632        0.00044609
       -5.21781583        0.49854963        0.07741955        0.07225462        0.34116957        0.00720367        0.00050223
       -5.20780582        0.53811924        0.08737728        0.07294727        0.36934763        0.00790609        0.00054098
       -5.19779581        0.56368355        0.10102879        0.07194743        0.38177140        0.00837359        0.00056233
       -5.18778580        0.38295659        0.06753233        0.05082014        0.25873005        0.00550150        0.00037256
       -5.17777579        0.27632497        0.04206517        0.03574543        0.19441079        0.00385029        0.00025329
       -5.16776578        0.20018085        0.02847527        0.02650281        0.14233592        0.00269589        0.00017096
       -5.15775577        0.14554815        0.02436964        0.02103616        0.09809980        0.00192556        0.00011699
       -5.14774576        0.52130469        0.28305421        0.06161675        0.17013466        0.00603166        0.00046741
       -5.13773575        0.81184114        0.43001131        0.08608580        0.28592339        0.00909998        0.00072066
       -5.12772574        0.54211622        0.23863422        0.05955823        0.23717458        0.00627266        0.00047653
       -5.11771573        0.29811002        0.10481945        0.03547750        0.15386889        0.00369266        0.00025152
       -5.10770572        0.21567945        0.07292128        0.04033963        0.09840376        0.00372511        0.00028968
       -5.09769571        0.62200203        0.17891334        0.12951137        0.30237243        0.01033384        0.00087105
       -5.08768570        0.88623636        0.24760232        0.18605474        0.43926098        0.01221795        0.00110036
       -5.07767569        0.83573404        0.23388364        0.18526249        0.40594854        0.00967873        0.00096064
       -5.06766568        0.95464486        0.19839814        0.19401565        0.55075316        0.01044408        0.00103383
       -5.05765567        0.82684034        0.17391416        0.15865317        0.48449458        0.00901190        0.00076652
       -5.04764566        2.22177255        0.53020836        0.43203874        1.23843935        0.01939839        0.00168770
       -5.03763565        0.36945234        0.05580667        0.07688076        0.23087644        0.00535250        0.00053597
       -5.02762564        0.44385874        0.07047290        0.09951268        0.26720422        0.00604788        0.00062107
       -5.01761563        0.70979370        0.14279246        0.14057387        0.41509464        0.01039249        0.00094024
       -5.00760562        0.62261248        0.12292284        0.12136830        0.36887546        0.00868212        0.00076377
