#  aims_uuid : 4DE29229-6912-46EC-A576-404DF452603D                                
#  angular momentum projected density of states for species Se as calculated by FHI-aims 
# The energy reference for this output is the chemical potential, mu =      -4.594712 eV
#      Energy (eV)         total dos     l= 0              l= 1              l= 2              l= 3
       -5.40528808        0.26548734        0.01213214        0.24328765        0.00862320        0.00144435
       -5.39528808        0.28164083        0.01331968        0.25763729        0.00913086        0.00155301
       -5.38528808        0.26680046        0.01332190        0.24328849        0.00867514        0.00151494
       -5.37528808        0.25229075        0.01301777        0.22950394        0.00826879        0.00150025
       -5.36528808        0.23773881        0.01230622        0.21611839        0.00782907        0.00148513
       -5.35528808        0.23256347        0.01191661        0.21149357        0.00764997        0.00150333
       -5.34528808        0.24612427        0.01279525        0.22370828        0.00803678        0.00158396
       -5.33528808        0.25049756        0.01285001        0.22786708        0.00816956        0.00161091
       -5.32528808        0.24771149        0.01228794        0.22574410        0.00808726        0.00159218
       -5.31528808        0.29235320        0.01419620        0.26735501        0.00910488        0.00169712
       -5.30528808        0.29892264        0.01407999        0.27393727        0.00920046        0.00170492
       -5.29528808        0.30702033        0.01406546        0.28190421        0.00933251        0.00171815
       -5.28528808        0.31962970        0.01420670        0.29394427        0.00970509        0.00177364
       -5.27528808        0.34765507        0.01493024        0.31996028        0.01080662        0.00195792
       -5.26528808        0.33878425        0.01456032        0.31195333        0.01040891        0.00186170
       -5.25528808        0.45820566        0.02569462        0.41856255        0.01168073        0.00226776
       -5.24528808        0.49511898        0.02758747        0.45154221        0.01341982        0.00256947
       -5.23528808        0.53400376        0.02902222        0.48684159        0.01526185        0.00287811
       -5.22528808        0.44865619        0.02336436        0.40894235        0.01377240        0.00257709
       -5.21528808        0.36106695        0.01609797        0.32982775        0.01271002        0.00243120
       -5.20528808        0.31143285        0.01311098        0.28223423        0.01355792        0.00252971
       -5.19528808        0.50325903        0.01520128        0.46690425        0.01793914        0.00321435
       -5.18528808        0.69167208        0.01747468        0.64841948        0.02256705        0.00321087
       -5.17528808        0.26769121        0.00616896        0.25191696        0.00833190        0.00127340
       -5.16528808        0.23393470        0.00578224        0.21867969        0.00822029        0.00125248
       -5.15528808        0.24082178        0.00633601        0.22248270        0.01045231        0.00155076
       -5.14528808        0.28780145        0.00804311        0.26355214        0.01418732        0.00201889
       -5.13528808        0.34395071        0.00980064        0.31502252        0.01678101        0.00234653
       -5.12528808        0.40926953        0.01160860        0.37689385        0.01823340        0.00253368
       -5.11528808        0.47746019        0.01283032        0.44145339        0.02051393        0.00266256
       -5.10528808        0.53029044        0.01436222        0.49353742        0.02003753        0.00235327
       -5.09528808        0.79477289        0.02425505        0.73906185        0.02805096        0.00340503
       -5.08528808        0.73335114        0.02369634        0.67714251        0.02908222        0.00343007
       -5.07528808        1.34980673        0.03929776        1.25329678        0.05192959        0.00528260
       -5.06528808        0.56775034        0.01870116        0.52300442        0.02341278        0.00263197
       -5.05528808        0.52192800        0.01369831        0.48524440        0.02036298        0.00262231
       -5.04528808        0.45907109        0.01002377        0.43242008        0.01429008        0.00233717
       -5.03528808        0.57976132        0.01171433        0.54681110        0.01840677        0.00282911
       -5.02528808        1.01712384        0.01618655        0.96794736        0.02987808        0.00311186
       -5.01528808        0.41650469        0.00752470        0.39396291        0.01332258        0.00169450
       -5.00528808        0.86590300        0.01891718        0.80998139        0.03265559        0.00434884
       -4.99528808        0.68457191        0.01356461        0.63906974        0.02818655        0.00375101
       -4.98528808        0.72040508        0.01260739        0.67669972        0.02786062        0.00323734
       -4.97528808        0.98142302        0.01955138        0.91563477        0.04163898        0.00459789
       -4.96528808        1.21545462        0.02580746        1.14094168        0.04441711        0.00428838
       -4.95528808        0.99577545        0.02777661        0.92601483        0.03807889        0.00390512
       -4.94528808        1.12473226        0.02234630        1.05424265        0.04291181        0.00523148
       -4.93528808        0.87668752        0.01930354        0.80233602        0.05036157        0.00468639
       -4.92528808        0.72686938        0.01665819        0.67014640        0.03636080        0.00370399
       -4.91528808        0.71615864        0.01711916        0.66065267        0.03446798        0.00391883
       -4.90528808        0.71027555        0.01831075        0.65584794        0.03194661        0.00417026
       -4.89528808        0.84259464        0.02451846        0.77740453        0.03509014        0.00558152
       -4.88528808        0.66190668        0.02054992        0.61103590        0.02562299        0.00469787
       -4.87528808        0.63164965        0.01899728        0.58559686        0.02249799        0.00455751
       -4.86528808        0.95846999        0.02914199        0.88041018        0.04082862        0.00808920
       -4.85528808        1.77908495        0.05820248        1.66063001        0.05271673        0.00753573
       -4.84528808        1.07770274        0.02237483        0.99383876        0.05496036        0.00652879
       -4.83528808        0.61616635        0.01152578        0.57659847        0.02411446        0.00392764
       -4.82528808        1.26506305        0.02930261        1.17513076        0.05191348        0.00871620
       -4.81528808        0.83810507        0.01578249        0.78552832        0.03112686        0.00566741
       -4.80528808        0.74089813        0.01254357        0.69626994        0.02717850        0.00490612
       -4.79528808        1.14997876        0.02937443        1.07965100        0.03407963        0.00687369
       -4.78528808        0.93115114        0.01660667        0.87720378        0.03187533        0.00546537
       -4.77528808        1.39366750        0.02752708        1.30966157        0.04857091        0.00790794
       -4.76528808        1.07816468        0.02353758        1.00714439        0.04042657        0.00705614
       -4.75528808        0.81040300        0.01616512        0.75804738        0.03131176        0.00487874
       -4.74528808        0.52770981        0.01080264        0.49095349        0.02255015        0.00340353
       -4.73528808        0.47273240        0.00939623        0.43961580        0.02016000        0.00356037
       -4.72528808        0.66689236        0.02067235        0.61293633        0.02859307        0.00469062
       -4.71528808        0.69368288        0.01788838        0.64052562        0.03062005        0.00464883
       -4.70528808        1.44465486        0.05189862        1.32910566        0.05506794        0.00858263
       -4.69528808        1.00186605        0.02083345        0.92052213        0.05085760        0.00965288
       -4.68528808        0.59020255        0.01636613        0.54052818        0.02837435        0.00493388
       -4.67528808        0.49229320        0.01388947        0.44951613        0.02455363        0.00433398
       -4.66528808        0.47529008        0.01252177        0.43135408        0.02652934        0.00488489
       -4.65528808        0.46473911        0.01158209        0.42254306        0.02585254        0.00476142
       -4.64528808        0.39805155        0.00952236        0.36269330        0.02185091        0.00398498
       -4.63528808        0.31678989        0.00729451        0.28884701        0.01751271        0.00313566
       -4.62528808        0.25899508        0.00561860        0.23661305        0.01426275        0.00250068
       -4.61528808        0.27663097        0.00503987        0.24658465        0.02135381        0.00365264
       -4.60528808        0.92983139        0.01470618        0.85809035        0.04876577        0.00826909
       -4.59528808        0.73030398        0.00870964        0.67755431        0.03813948        0.00590054
       -4.58528808        0.36468926        0.00482947        0.33811701        0.01903221        0.00271055
       -4.57528808        0.81320649        0.01131533        0.73762065        0.05562867        0.00864184
       -4.56528808        1.84316008        0.02957148        1.70490531        0.09258744        0.01609586
       -4.55528808        0.23740889        0.00304730        0.22214078        0.00995512        0.00226569
       -4.54528808        0.47487455        0.00593281        0.44094456        0.02299916        0.00499803
       -4.53528808        0.51473338        0.00717904        0.47540536        0.02613122        0.00601776
       -4.52528808        0.33242294        0.00546577        0.30583240        0.01715292        0.00397185
       -4.51528808        0.64948953        0.01172404        0.59487938        0.03506355        0.00782256
       -4.50528808        0.89135209        0.01780622        0.79859530        0.06369244        0.01125813
       -4.49528808        0.75697774        0.01636966        0.68591608        0.04679535        0.00789665
       -4.48528808        1.64152189        0.03518326        1.48973932        0.09969031        0.01690900
       -4.47528808        0.70351135        0.01179620        0.64619517        0.03874724        0.00677274
       -4.46528808        0.52032675        0.00730622        0.48192640        0.02613010        0.00496403
       -4.45528808        0.30641602        0.00379016        0.28475388        0.01474941        0.00312257
       -4.44528808        0.19470420        0.00237395        0.18050630        0.00980435        0.00201960
       -4.43528808        0.16694305        0.00231787        0.15407418        0.00879993        0.00175107
       -4.42528808        1.58359037        0.07052625        1.41950649        0.06855230        0.02500533
       -4.41528808        0.34937949        0.00642574        0.32084217        0.01696493        0.00514665
       -4.40528808        0.41469683        0.00801128        0.38150891        0.01935689        0.00581975
       -4.39528808        0.50248272        0.01017096        0.46178671        0.02372641        0.00679864
       -4.38528808        0.19492186        0.00561755        0.17773428        0.00832807        0.00324196
       -4.37528808        0.49386818        0.00754468        0.45430427        0.02468365        0.00733557
       -4.36528808        0.40307526        0.00824635        0.36920828        0.02048936        0.00513128
       -4.35528808        1.16017315        0.03591051        1.07134075        0.04106261        0.01185928
       -4.34528808        0.39046590        0.00380503        0.36204643        0.02060499        0.00400945
       -4.33528808        0.45700105        0.00615918        0.42564386        0.02080631        0.00439171
       -4.32528808        0.61632917        0.01246426        0.57412802        0.02475817        0.00497873
       -4.31528808        0.63820704        0.01368768        0.59377472        0.02560445        0.00514019
       -4.30528808        0.62936064        0.01313315        0.58341901        0.02726716        0.00554132
       -4.29528808        0.65583378        0.01299126        0.60568937        0.03086391        0.00628924
       -4.28528808        0.69533112        0.01299134        0.64088470        0.03438487        0.00707021
       -4.27528808        0.68810013        0.01250354        0.63412633        0.03422273        0.00724753
       -4.26528808        0.64974143        0.01208529        0.59921731        0.03141104        0.00702778
       -4.25528808        0.61498974        0.01179019        0.56750935        0.02882881        0.00686139
       -4.24528808        0.53996258        0.01081918        0.49829397        0.02468073        0.00616869
       -4.23528808        0.43368511        0.00929202        0.40032391        0.01903337        0.00503581
       -4.22528808        0.96309383        0.02632990        0.89046442        0.03710070        0.00919881
       -4.21528808        0.44236533        0.01055220        0.40851004        0.01802769        0.00527540
       -4.20528808        0.41057052        0.01029057        0.38011547        0.01524510        0.00491939
