#  aims_uuid : 4E105A33-815D-4295-AA5B-76A4DA9746FA                                
#  angular momentum projected density of states for species Se as calculated by FHI-aims 
# The energy reference for this output is the chemical potential, mu =      -4.297903 eV
#      Energy (eV)         total dos     l= 0              l= 1              l= 2              l= 3
       -5.70209742        0.26264990        0.01206621        0.24073799        0.00869208        0.00115361
       -5.69209742        0.23931486        0.00987344        0.22038315        0.00800901        0.00104926
       -5.68209742        0.23668124        0.00956175        0.21817616        0.00787797        0.00106535
       -5.67209742        0.23352534        0.00918662        0.21551850        0.00774317        0.00107705
       -5.66209742        0.23070528        0.00881168        0.21315710        0.00764564        0.00109086
       -5.65209742        0.22822107        0.00843693        0.21109198        0.00758538        0.00110679
       -5.64209742        0.22607271        0.00806237        0.20932312        0.00756239        0.00112483
       -5.63209742        0.22426020        0.00768800        0.20785053        0.00757667        0.00114500
       -5.62209742        0.22278353        0.00731383        0.20667420        0.00762823        0.00116727
       -5.61209742        0.22164272        0.00693984        0.20579415        0.00771705        0.00119167
       -5.60209742        0.32081758        0.01106509        0.29714242        0.01069689        0.00191317
       -5.59209742        0.34464171        0.01142225        0.31956918        0.01161921        0.00203106
       -5.58209742        0.37133779        0.01207179        0.34441905        0.01268694        0.00216000
       -5.57209742        0.44579292        0.01665411        0.40948534        0.01691245        0.00274103
       -5.56209742        0.52966468        0.02086200        0.48430748        0.02120051        0.00329468
       -5.55209742        0.53117292        0.02327225        0.48371862        0.02106152        0.00312054
       -5.54209742        0.61984017        0.02678796        0.56474623        0.02476374        0.00354224
       -5.53209742        0.66827077        0.02954996        0.60775719        0.02725162        0.00371200
       -5.52209742        0.71822955        0.03171540        0.65419178        0.02856870        0.00375368
       -5.51209742        0.41436912        0.02683714        0.37172769        0.01378640        0.00201789
       -5.50209742        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
       -5.49209742        0.00055873        0.00001032        0.00053547        0.00001088        0.00000206
       -5.48209742        0.07174953        0.00188075        0.06759184        0.00187892        0.00039803
       -5.47209742        0.14677908        0.00404582        0.13720839        0.00463512        0.00088975
       -5.46209742        0.21926037        0.00632546        0.20335000        0.00814659        0.00143832
       -5.45209742        0.33084837        0.00979606        0.30331545        0.01505650        0.00268036
       -5.44209742        0.75774148        0.02466288        0.68641423        0.03983470        0.00682967
       -5.43209742        0.61618618        0.01701149        0.56179060        0.03233459        0.00504950
       -5.42209742        0.37581538        0.00892385        0.34365813        0.01997458        0.00325882
       -5.41209742        0.49544705        0.01116269        0.45492573        0.02558524        0.00377339
       -5.40209742        1.78274579        0.03941933        1.63960284        0.09111562        0.01260800
       -5.39209742        0.54658944        0.01052260        0.51099183        0.02188631        0.00318870
       -5.38209742        0.95409306        0.01394699        0.90357332        0.03266945        0.00390330
       -5.37209742        0.26200479        0.00774765        0.24213788        0.01111335        0.00100591
       -5.36209742        0.20377336        0.00590277        0.18838846        0.00878314        0.00069898
       -5.35209742        1.74269968        0.02847415        1.65544349        0.05475986        0.00402218
       -5.34209742        0.97972994        0.03123177        0.91012879        0.03658002        0.00178935
       -5.33209742        0.15294248        0.00583877        0.13956067        0.00720268        0.00034035
       -5.32209742        0.12458718        0.00545706        0.11313739        0.00570876        0.00028398
       -5.31209742        0.08843641        0.00433420        0.07997210        0.00392655        0.00020356
       -5.30209742        1.31559774        0.03218234        1.23436413        0.04476537        0.00428590
       -5.29209742        2.42563440        0.07189762        2.26953061        0.07723102        0.00697516
       -5.28209742        0.10058573        0.00196842        0.09511023        0.00331836        0.00018872
       -5.27209742        0.29093364        0.00568339        0.27472130        0.00967345        0.00085550
       -5.26209742        3.89344923        0.06833196        3.67134948        0.13345702        0.02031077
       -5.25209742        0.83532700        0.01792810        0.78722727        0.02635693        0.00381471
       -5.24209742        0.56882732        0.01190501        0.53512009        0.01897039        0.00283184
       -5.23209742        0.30254011        0.00751215        0.28450000        0.00923131        0.00129665
       -5.22209742        0.41961101        0.01013008        0.39343182        0.01375199        0.00229713
       -5.21209742        0.70141570        0.01741431        0.65858307        0.02101098        0.00440734
       -5.20209742        1.48448706        0.06034834        1.38021895        0.03733634        0.00658344
       -5.19209742        0.92659508        0.02663078        0.86539941        0.02937925        0.00518565
       -5.18209742        0.61224458        0.01658704        0.57168511        0.02027973        0.00369269
       -5.17209742        0.33083868        0.00704537        0.31194532        0.00983323        0.00201477
       -5.16209742        0.85548476        0.03052030        0.79691506        0.02496784        0.00308155
       -5.15209742        0.51958468        0.01555076        0.48775361        0.01474104        0.00153928
       -5.14209742        0.87111344        0.02183873        0.81087505        0.03477428        0.00362537
       -5.13209742        0.42169343        0.01182376        0.39165921        0.01633026        0.00188019
       -5.12209742        0.68694726        0.01491302        0.63945517        0.02911459        0.00346449
       -5.11209742        0.77449661        0.01505591        0.72285184        0.03246843        0.00412044
       -5.10209742        4.38390072        0.03457341        4.14112980        0.18686531        0.02133220
       -5.09209742        0.62832945        0.01060124        0.58511606        0.02853313        0.00407901
       -5.08209742        0.51265228        0.00977708        0.47263397        0.02629205        0.00394919
       -5.07209742        0.40701191        0.00785209        0.37467883        0.02102977        0.00345122
       -5.06209742        0.42865679        0.00834018        0.39013678        0.02535582        0.00482401
       -5.05209742        0.95163448        0.04096767        0.86059117        0.04160009        0.00847556
       -5.04209742        0.38531032        0.01224194        0.35288129        0.01684953        0.00333756
       -5.03209742        0.36909296        0.01174459        0.33854751        0.01561931        0.00318155
       -5.02209742        1.28877132        0.03703190        1.19733697        0.04473617        0.00966628
       -5.01209742        0.66716904        0.01780889        0.61768712        0.02607776        0.00559528
       -5.00209742        0.62648661        0.01732323        0.57992320        0.02410215        0.00513803
       -4.99209742        0.59076798        0.01672458        0.54677576        0.02255382        0.00471381
       -4.98209742        0.56001314        0.01601295        0.51824481        0.02143276        0.00432262
       -4.97209742        0.56646661        0.01597026        0.52501986        0.02144882        0.00402766
       -4.96209742        0.70498169        0.01922885        0.65080723        0.02978589        0.00515973
       -4.95209742        0.70092944        0.01919404        0.64864777        0.02860792        0.00447971
       -4.94209742        0.78414545        0.02113092        0.72621616        0.03226527        0.00453309
       -4.93209742        0.73466005        0.01897844        0.68121223        0.03031741        0.00415197
       -4.92209742        0.84882552        0.02000677        0.78995910        0.03403570        0.00482395
       -4.91209742        0.73813747        0.01531990        0.68455866        0.03364619        0.00461272
       -4.90209742        0.81816704        0.01612931        0.75225583        0.04361319        0.00616871
       -4.89209742        0.96388875        0.01723266        0.88479010        0.05366485        0.00820114
       -4.88209742        0.76405497        0.01338842        0.69575006        0.04773201        0.00718448
       -4.87209742        0.65564154        0.01135291        0.59291074        0.04374848        0.00762941
       -4.86209742        0.25048104        0.00417348        0.22987226        0.01364219        0.00279311
       -4.85209742        0.17529572        0.00313186        0.16413658        0.00643748        0.00158980
       -4.84209742        0.11128024        0.00169075        0.10304998        0.00545279        0.00108671
       -4.83209742        0.13574008        0.00158246        0.12649638        0.00637518        0.00128607
       -4.82209742        0.16136400        0.00141549        0.15132784        0.00714807        0.00147261
       -4.81209742        0.18815199        0.00118983        0.17754436        0.00777147        0.00164633
       -4.80209742        2.22284456        0.04677073        2.03658440        0.11956519        0.01992424
       -4.79209742        0.95685802        0.01864974        0.88953485        0.04135674        0.00731669
       -4.78209742        0.72488803        0.01150005        0.68699571        0.02141864        0.00497363
       -4.77209742        0.30596727        0.00363946        0.29304789        0.00719513        0.00208480
       -4.76209742        0.08338120        0.00063871        0.07910775        0.00287704        0.00075771
       -4.75209742        0.17641593        0.00170991        0.16813456        0.00527907        0.00129238
       -4.74209742        0.37986647        0.00445275        0.35855259        0.01365624        0.00320489
       -4.73209742        0.36630439        0.00586199        0.34408446        0.01369942        0.00265851
       -4.72209742        0.34645485        0.00695129        0.32381346        0.01348505        0.00220506
       -4.71209742        0.35034297        0.00814466        0.32612788        0.01405461        0.00201582
       -4.70209742        0.39985332        0.00937330        0.37180597        0.01638062        0.00229343
       -4.69209742        0.46365095        0.01024777        0.43105512        0.01945613        0.00289194
       -4.68209742        0.39305251        0.00616183        0.36770140        0.01635165        0.00283762
       -4.67209742        0.36990057        0.00566447        0.34636075        0.01522304        0.00265232
       -4.66209742        0.34089288        0.00515522        0.31953589        0.01380239        0.00239938
       -4.65209742        0.57922494        0.00624966        0.54561861        0.02295621        0.00440045
       -4.64209742        0.33130148        0.00586112        0.30560617        0.01568461        0.00414958
       -4.63209742        0.59109022        0.00972224        0.55033157        0.02423041        0.00680600
       -4.62209742        0.45755134        0.00711233        0.42385353        0.02119799        0.00538749
       -4.61209742        0.48408054        0.00709606        0.44808519        0.02344812        0.00545117
       -4.60209742        0.54476616        0.00768014        0.50392259        0.02753419        0.00562924
       -4.59209742        0.66749860        0.01122442        0.61648667        0.03360610        0.00618141
       -4.58209742        0.65420160        0.01129675        0.60446981        0.03231503        0.00611999
       -4.57209742        0.64084513        0.01132583        0.59238507        0.03108863        0.00604560
       -4.56209742        0.64248000        0.01190041        0.59392387        0.03055123        0.00610449
       -4.55209742        0.65704065        0.01290179        0.60717606        0.03068781        0.00627498
       -4.54209742        0.67060696        0.01380774        0.61962596        0.03076543        0.00640782
       -4.53209742        0.68317894        0.01461825        0.63127358        0.03078410        0.00650301
       -4.52209742        0.63923259        0.01414881        0.59217550        0.02723332        0.00567497
       -4.51209742        0.57930198        0.01352602        0.53631190        0.02450849        0.00495556
       -4.50209742        0.72051824        0.01500478        0.66648813        0.03269393        0.00633140
       -4.49209742        0.69167564        0.01679110        0.64208516        0.02713105        0.00566832
       -4.48209742        0.89437788        0.02629593        0.83176574        0.02976314        0.00655307
       -4.47209742        0.63928891        0.02000595        0.59452564        0.01995798        0.00479934
       -4.46209742        0.49133459        0.01593766        0.45737676        0.01412790        0.00389227
       -4.45209742        0.27242068        0.00937702        0.25295711        0.00755427        0.00253227
       -4.44209742        0.23722632        0.00793373        0.21983049        0.00712936        0.00233274
       -4.43209742        0.21567852        0.00709870        0.19906815        0.00736106        0.00215061
       -4.42209742        0.19733870        0.00635397        0.18132223        0.00772630        0.00193620
       -4.41209742        0.18220687        0.00569955        0.16659275        0.00822506        0.00168951
       -4.40209742        0.14296574        0.00430337        0.12875457        0.00868548        0.00122232
       -4.39209742        0.20621750        0.00618662        0.18612926        0.01211569        0.00178594
       -4.38209742        0.27153012        0.00789168        0.24575283        0.01546336        0.00242225
       -4.37209742        0.33890361        0.00941856        0.30762528        0.01872849        0.00313127
       -4.36209742        0.40833796        0.01076726        0.37174661        0.02191109        0.00391299
       -4.35209742        0.98550172        0.02241369        0.89313817        0.05655143        0.01339843
       -4.34209742        0.09489158        0.00254894        0.08570129        0.00550668        0.00113467
       -4.33209742        0.17846993        0.00463662        0.16118157        0.01074066        0.00191108
       -4.32209742        0.28272265        0.00713776        0.25546353        0.01737163        0.00274973
       -4.31209742        0.40764973        0.01005235        0.36854716        0.02539961        0.00365061
       -4.30209742        0.18509907        0.00337561        0.16730828        0.01237532        0.00203986
       -4.29209742        0.19227405        0.00298981        0.17387010        0.01321900        0.00219514
       -4.28209742        0.45474633        0.01053987        0.42401630        0.01647027        0.00371989
       -4.27209742        0.88787226        0.02318033        0.82548896        0.03216751        0.00703546
       -4.26209742        1.17250845        0.02801649        1.06575575        0.06686228        0.01187393
       -4.25209742        1.25730067        0.01977244        1.15311522        0.07103274        0.01338027
       -4.24209742        0.58430465        0.01593152        0.54023377        0.02343792        0.00470144
       -4.23209742        0.65839585        0.01525796        0.60700851        0.03026955        0.00585983
       -4.22209742        0.76543807        0.01868610        0.70583631        0.03409737        0.00681829
       -4.21209742        0.80004732        0.01949707        0.73770884        0.03577156        0.00706984
       -4.20209742        0.74455910        0.01917740        0.68078756        0.03703373        0.00756041
       -4.19209742        0.57304618        0.01682723        0.52089931        0.02876979        0.00654985
       -4.18209742        0.47406638        0.01567698        0.43234473        0.02076681        0.00527785
       -4.17209742        0.60808225        0.01653121        0.56765389        0.01919263        0.00470452
       -4.16209742        0.57685074        0.02134601        0.52234273        0.02657250        0.00658950
       -4.15209742        0.42097602        0.01556999        0.38978537        0.01220639        0.00341428
       -4.14209742        0.43138026        0.01628817        0.39941266        0.01223974        0.00343969
       -4.13209742        0.42083762        0.01592472        0.39008545        0.01157404        0.00325341
       -4.12209742        0.40180627        0.01518373        0.37283341        0.01075288        0.00303625
       -4.11209742        0.56600712        0.01765792        0.52392725        0.02002843        0.00439352
       -4.10209742        1.18515990        0.03544392        1.09739028        0.04260090        0.00972481
       -4.09209742        0.62650229        0.01919121        0.57214040        0.02852854        0.00664213
       -4.08209742        0.72512779        0.02305888        0.66298270        0.03149856        0.00758765
       -4.07209742        0.79815176        0.02811801        0.73116552        0.03084815        0.00802008
       -4.06209742        0.46261679        0.02232295        0.42113149        0.01528025        0.00388211
       -4.05209742        0.49647352        0.02511131        0.45230042        0.01514282        0.00391898
       -4.04209742        0.88238889        0.03505568        0.81159045        0.02991549        0.00582728
       -4.03209742        0.73704659        0.03311565        0.67383532        0.02461476        0.00548087
       -4.02209742        1.43339165        0.05908313        1.33827265        0.02801926        0.00801662
       -4.01209742        0.67046548        0.02880036        0.61634968        0.02091248        0.00440296
       -4.00209742        0.74803841        0.03245491        0.68674629        0.02411435        0.00472286
       -3.99209742        0.53789144        0.02042569        0.49682368        0.01727600        0.00336606
       -3.98209742        0.29726870        0.01178897        0.27435374        0.00902332        0.00210266
       -3.97209742        0.25535962        0.01020255        0.23596940        0.00734804        0.00183963
       -3.96209742        0.73275372        0.01351295        0.68520542        0.02726946        0.00676589
       -3.95209742        0.48262194        0.01252685        0.45066756        0.01530813        0.00411940
       -3.94209742        0.52459265        0.02318691        0.48350947        0.01382599        0.00407029
       -3.93209742        0.53077201        0.01722189        0.49128154        0.01759928        0.00466929
       -3.92209742        0.50789665        0.01773297        0.47091686        0.01495498        0.00429184
       -3.91209742        1.19788026        0.07014959        1.10281406        0.01829384        0.00662278
       -3.90209742        1.01539311        0.04877949        0.93865094        0.02067554        0.00728714
       -3.89209742        0.89000084        0.04017672        0.82176065        0.02174848        0.00631499
       -3.88209742        0.99386237        0.04409528        0.91801223        0.02538251        0.00637234
       -3.87209742        1.43976143        0.07820295        1.33798694        0.01619523        0.00737631
       -3.86209742        1.57374857        0.08567933        1.46520477        0.01557868        0.00728579
       -3.85209742        1.27035661        0.06643012        1.18093722        0.01656511        0.00642416
       -3.84209742        1.07535319        0.05350883        0.99915175        0.01676281        0.00592979
       -3.83209742        2.05796053        0.10191693        1.90985343        0.03683322        0.00935695
       -3.82209742        0.92379338        0.04602848        0.84924910        0.02279054        0.00572526
       -3.81209742        0.71489422        0.03429195        0.65362099        0.02174528        0.00523601
