#  aims_uuid : 4E105A33-815D-4295-AA5B-76A4DA9746FA                                
#  angular momentum projected density of states for species W as calculated by FHI-aims 
# The energy reference for this output is the vacuum level =       0.000000 eV
#      Energy (eV)         total dos     l= 0              l= 1              l= 2              l= 3
      -10.00000000        0.19975313        0.02287394        0.02156961        0.14860650        0.00670308
       -9.99000000        0.19225429        0.02668863        0.01444408        0.14423491        0.00688667
       -9.98000000        0.20100580        0.03482170        0.01470946        0.14434794        0.00712670
       -9.97000000        0.20730657        0.04229254        0.01497451        0.14276142        0.00727810
       -9.96000000        0.21331359        0.04869344        0.01520719        0.14198072        0.00743224
       -9.95000000        0.21902686        0.05402439        0.01540750        0.14200585        0.00758912
       -9.94000000        0.22444640        0.05828541        0.01557543        0.14283681        0.00774874
       -9.93000000        0.22957218        0.06147649        0.01571099        0.14447359        0.00791110
       -9.92000000        0.23440422        0.06359763        0.01581418        0.14691621        0.00807620
       -9.91000000        0.23894251        0.06464883        0.01588500        0.15016464        0.00824404
       -9.90000000        0.35968972        0.06735811        0.03608115        0.24648219        0.00976827
       -9.89000000        0.37169209        0.06632213        0.04101622        0.25398805        0.01036569
       -9.88000000        0.38335208        0.06413488        0.04740390        0.26082803        0.01098526
       -9.87000000        0.43501386        0.06170482        0.05983027        0.30155553        0.01192324
       -9.86000000        0.49149378        0.05990670        0.07599831        0.34233490        0.01325388
       -9.85000000        0.41531196        0.02535766        0.08868294        0.28974099        0.01153037
       -9.84000000        0.47980918        0.03291805        0.11149025        0.32172537        0.01367552
       -9.83000000        0.51847123        0.04031968        0.13698718        0.32723422        0.01393015
       -9.82000000        0.53911171        0.04461909        0.16461358        0.31519771        0.01468133
       -9.81000000        0.23713698        0.00027529        0.14311016        0.08913847        0.00461306
       -9.80000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
       -9.79000000        0.00114376        0.00000011        0.00000109        0.00114093        0.00000163
       -9.78000000        0.17552419        0.00106242        0.00313397        0.17082904        0.00049877
       -9.77000000        0.31609028        0.00465432        0.01339952        0.29649557        0.00154087
       -9.76000000        0.40217510        0.01079260        0.03083037        0.35744980        0.00310234
       -9.75000000        0.47087977        0.03152000        0.06083186        0.37154996        0.00697795
       -9.74000000        0.77373102        0.09659932        0.16471671        0.49305708        0.01935793
       -9.73000000        0.62498024        0.05891264        0.16027724        0.39116970        0.01462066
       -9.72000000        0.40899513        0.03339543        0.07907499        0.28872917        0.00779555
       -9.71000000        0.56575666        0.02384747        0.11580821        0.41794847        0.00815251
       -9.70000000        2.23762997        0.03906752        0.40891513        1.76686140        0.02278592
       -9.69000000        0.59517099        0.05899802        0.03943419        0.48525382        0.01148497
       -9.68000000        0.79872195        0.04519155        0.07728030        0.65900637        0.01724372
       -9.67000000        0.37465561        0.00311520        0.03012822        0.33429291        0.00711928
       -9.66000000        0.28821549        0.00275784        0.02912724        0.24991174        0.00641866
       -9.65000000        1.42528119        0.01448007        0.20714012        1.17311289        0.03054811
       -9.64000000        1.72825187        0.00535794        0.09715392        1.59988076        0.02585925
       -9.63000000        0.24043824        0.00191183        0.02187402        0.21070442        0.00594797
       -9.62000000        0.13848488        0.00152206        0.01695885        0.11602810        0.00397586
       -9.61000000        0.06320575        0.00097100        0.01059440        0.04946652        0.00217383
       -9.60000000        0.91946311        0.00272572        0.06541136        0.83940983        0.01191620
       -9.59000000        2.56419647        0.01242639        0.03659210        2.46993003        0.04524796
       -9.58000000        0.04436672        0.00008266        0.00706231        0.03678845        0.00043329
       -9.57000000        0.17398674        0.00082637        0.06973467        0.10173752        0.00168817
       -9.56000000        1.99108109        0.00920438        0.41985924        1.52071963        0.04129783
       -9.55000000        0.75515922        0.00641070        0.33707976        0.40298874        0.00868002
       -9.54000000        0.56618658        0.00450911        0.25658485        0.29744891        0.00764371
       -9.53000000        0.31769712        0.00399072        0.10120959        0.20635525        0.00614156
       -9.52000000        0.54209345        0.00708808        0.22686923        0.29754933        0.01058681
       -9.51000000        1.13996134        0.01091543        0.45557634        0.64811419        0.02535539
       -9.50000000        2.04857663        0.00676490        0.31754444        1.70083831        0.02342898
       -9.49000000        1.67819071        0.00424466        0.20721811        1.45137243        0.01535551
       -9.48000000        1.23234289        0.00255994        0.10268669        1.12024285        0.00685340
       -9.47000000        0.39162103        0.00215425        0.02010527        0.36751245        0.00184905
       -9.46000000        1.06423470        0.00234259        0.02226722        1.03332983        0.00629506
       -9.45000000        0.58708059        0.00012007        0.00616729        0.57813798        0.00265525
       -9.44000000        1.30684077        0.03468098        0.07298900        1.18728962        0.01188116
       -9.43000000        0.45786100        0.01326861        0.04146052        0.39633143        0.00680044
       -9.42000000        0.79852925        0.02506026        0.05166865        0.70901998        0.01278036
       -9.41000000        1.12418849        0.01948368        0.04840211        1.04475850        0.01154420
       -9.40000000        2.98032492        0.04150861        0.66211878        2.14646005        0.13023747
       -9.39000000        1.10814933        0.01303688        0.05515593        1.02600055        0.01395597
       -9.38000000        1.29328568        0.01034352        0.04331873        1.22635654        0.01326689
       -9.37000000        1.18701614        0.00861236        0.03148549        1.13624774        0.01067055
       -9.36000000        1.58571676        0.00933340        0.02335465        1.53993915        0.01308955
       -9.35000000        1.33041046        0.04795434        0.04530361        1.22054214        0.01661036
       -9.34000000        0.86620095        0.00656560        0.02120326        0.82975915        0.00867295
       -9.33000000        0.77659482        0.00625924        0.02249826        0.73947518        0.00836214
       -9.32000000        1.34684699        0.03104309        0.09960169        1.19493691        0.02126531
       -9.31000000        1.04750218        0.01638182        0.05157455        0.96639338        0.01315244
       -9.30000000        0.92911611        0.01461317        0.05072721        0.85116039        0.01261534
       -9.29000000        0.81429969        0.01326413        0.05106976        0.73792510        0.01204070
       -9.28000000        0.70305293        0.01233470        0.05260221        0.62668753        0.01142850
       -9.27000000        0.61114018        0.01182534        0.06978804        0.51865793        0.01086888
       -9.26000000        0.80229407        0.01421853        0.10047590        0.67427448        0.01332516
       -9.25000000        0.60928277        0.01306434        0.11833399        0.46568227        0.01220217
       -9.24000000        0.56349307        0.01523033        0.15516089        0.38034462        0.01275723
       -9.23000000        0.48476268        0.01243274        0.13827338        0.32172438        0.01233219
       -9.22000000        0.55773797        0.01201250        0.12142002        0.40858071        0.01572474
       -9.21000000        0.51205995        0.00908142        0.09325721        0.39426329        0.01545803
       -9.20000000        0.68332242        0.01908262        0.09496969        0.54951305        0.01975705
       -9.19000000        1.05123949        0.03302620        0.09910496        0.90013818        0.01897014
