#  aims_uuid : D66CFDFC-6683-4D26-A59B-78F01ECCBF43                                
#  angular momentum projected density of states for species Se as calculated by FHI-aims 
# The energy reference for this output is the chemical potential, mu =      -4.719899 eV
#      Energy (eV)         total dos     l= 0              l= 1              l= 2              l= 3
       -5.28010131        0.09628473        0.00203720        0.09161579        0.00205654        0.00057521
       -5.27009130        0.10870501        0.00242647        0.10363972        0.00205777        0.00058105
       -5.26008129        0.11973812        0.00278051        0.11429704        0.00207467        0.00058590
       -5.25007128        0.12938404        0.00309931        0.12358774        0.00210724        0.00058975
       -5.24006127        0.13764278        0.00338288        0.13151182        0.00215547        0.00059261
       -5.23005126        0.49035394        0.00727360        0.46892040        0.01245207        0.00170787
       -5.22004125        0.23518295        0.00499712        0.22455295        0.00474345        0.00088942
       -5.21003124        0.23874123        0.00538469        0.22762829        0.00482431        0.00090394
       -5.20002123        0.24062040        0.00571549        0.22907536        0.00491443        0.00091512
       -5.19001122        0.24082046        0.00598953        0.22889417        0.00501381        0.00092295
       -5.18000121        0.23934142        0.00620680        0.22708472        0.00512245        0.00092745
       -5.16999120        0.23618326        0.00636731        0.22364701        0.00524035        0.00092859
       -5.15998119        0.23134600        0.00647105        0.21858103        0.00536751        0.00092640
       -5.14997118        0.07528129        0.00216876        0.07055592        0.00220937        0.00034725
       -5.13996117        0.09755808        0.00261842        0.09132998        0.00318112        0.00042856
       -5.12995116        0.18783209        0.00517217        0.17481645        0.00694485        0.00089862
       -5.11994115        0.24527860        0.00759795        0.22731982        0.00919963        0.00116120
       -5.10993114        0.30850145        0.01084130        0.28466926        0.01154641        0.00144449
       -5.09992113        0.37750066        0.01490220        0.34686475        0.01398519        0.00174851
       -5.08991112        0.45227622        0.01978067        0.41390631        0.01651598        0.00207325
       -5.07990111        0.32125160        0.01641584        0.29105696        0.01253853        0.00124027
       -5.06989110        0.46528098        0.02458547        0.42247489        0.01651972        0.00170090
       -5.05988109        0.26522718        0.01328802        0.24228357        0.00849884        0.00115676
       -5.04987108        0.27520337        0.01351040        0.25241929        0.00795128        0.00132240
       -5.03986107        0.29279388        0.01415537        0.26960513        0.00747461        0.00155878
       -5.02985106        0.31799873        0.01522293        0.29384110        0.00706881        0.00186589
       -5.01984105        0.24446230        0.00905107        0.22954516        0.00466059        0.00120548
       -5.00983104        0.22866256        0.00722205        0.21656534        0.00386866        0.00100651
       -4.99982103        0.21652474        0.00638451        0.20552565        0.00371557        0.00089901
       -4.98981102        0.31217552        0.01245068        0.27968833        0.01773872        0.00229779
       -4.97980101        0.85519750        0.08661523        0.72054938        0.04233473        0.00569816
       -4.96979100        0.48657187        0.03607347        0.42719114        0.02045433        0.00285293
