#  aims_uuid : D66CFDFC-6683-4D26-A59B-78F01ECCBF43                                
#  angular momentum projected density of states for species W as calculated by FHI-aims 
# The energy reference for this output is the vacuum level =       0.000000 eV
#      Energy (eV)         total dos     l= 0              l= 1              l= 2              l= 3              l= 4
      -10.00000000        0.12872238        0.00356835        0.01449575        0.10807156        0.00254002        0.00004669
       -9.98998999        0.12477185        0.00327566        0.01454494        0.10423931        0.00266696        0.00004497
       -9.97997998        0.12136693        0.00301465        0.01469773        0.10082750        0.00278367        0.00004337
       -9.96996997        0.11850763        0.00278532        0.01495411        0.09783613        0.00289016        0.00004191
       -9.95995996        0.11619393        0.00258765        0.01531409        0.09526520        0.00298641        0.00004058
       -9.94994995        0.53786806        0.01782407        0.09660217        0.41075741        0.01244330        0.00024112
       -9.93993994        0.21476029        0.00580686        0.03696057        0.16663982        0.00527035        0.00008269
       -9.92992993        0.21225748        0.00554415        0.03795241        0.16341164        0.00526977        0.00007951
       -9.91991992        0.21008394        0.00531510        0.03893538        0.16049770        0.00525922        0.00007654
       -9.90990991        0.20823966        0.00511971        0.03990949        0.15789799        0.00523868        0.00007380
       -9.89989990        0.20672465        0.00495799        0.04087473        0.15561250        0.00520816        0.00007127
       -9.88988989        0.20553891        0.00482994        0.04183110        0.15364125        0.00516766        0.00006897
       -9.87987988        0.20468244        0.00473555        0.04277860        0.15198422        0.00511718        0.00006689
       -9.86986987        0.08423206        0.00244089        0.02050150        0.05959496        0.00166425        0.00003047
       -9.85985986        0.10547878        0.00281986        0.02627053        0.07440394        0.00194660        0.00003784
       -9.84984985        0.24121509        0.00813147        0.04565966        0.18251144        0.00482029        0.00009222
       -9.83983984        0.30891002        0.01437799        0.05796844        0.23030956        0.00613436        0.00011967
       -9.82982983        0.37897920        0.02297585        0.07043718        0.27786808        0.00754972        0.00014836
       -9.81981982        0.45142263        0.03392506        0.08306589        0.32518700        0.00906638        0.00017830
       -9.80980981        0.52624031        0.04722560        0.09585457        0.37226633        0.01068433        0.00020949
       -9.79979980        0.37296565        0.05665075        0.04652335        0.26243390        0.00719653        0.00016114
       -9.78978979        0.52819620        0.08269682        0.06330291        0.37196533        0.00998851        0.00024264
       -9.77977978        0.34573910        0.04778015        0.04250927        0.24886673        0.00641163        0.00017132
       -9.76976977        0.37098893        0.04685886        0.04557640        0.27156261        0.00680864        0.00018243
       -9.75975976        0.40663398        0.04494410        0.04884342        0.30522608        0.00742672        0.00019366
       -9.74974975        0.45267423        0.04203587        0.05231031        0.34985715        0.00826588        0.00020502
       -9.73973974        0.27970165        0.02278922        0.03415063        0.21685285        0.00578471        0.00012425
       -9.72972973        0.22128948        0.01292960        0.02742808        0.17576907        0.00507046        0.00009228
       -9.71971972        0.18893023        0.01014918        0.02428499        0.14984544        0.00457398        0.00007665
       -9.70970971        0.57297567        0.16575586        0.08475386        0.31376177        0.00837232        0.00033186
       -9.69969970        1.26559245        0.35559284        0.19499258        0.69398524        0.02027974        0.00074205
       -9.68968969        0.67405686        0.14119210        0.12197978        0.39929329        0.01125415        0.00033754
       -9.67967968        0.42999375        0.06688290        0.08678180        0.26883744        0.00730681        0.00018480
       -9.66966967        0.20538195        0.02734899        0.04120896        0.13325890        0.00348731        0.00007778
       -9.65965966        0.08528415        0.01986292        0.01051314        0.05334381        0.00152818        0.00003610
       -9.64964965        0.91421316        0.32613424        0.16711686        0.40552971        0.01411207        0.00132027
       -9.63963964        0.63531804        0.19719875        0.13437312        0.29372640        0.00895894        0.00106083
       -9.62962963        0.40286720        0.11140839        0.09691930        0.18850480        0.00527668        0.00075803
       -9.61961962        0.96898086        0.24978347        0.20032750        0.49916801        0.01857675        0.00112513
       -9.60960961        0.13184473        0.03215928        0.02679902        0.06950595        0.00327040        0.00011008
       -9.59959960        0.10246115        0.02436462        0.02106791        0.05431445        0.00262928        0.00008488
       -9.58958959        0.59839606        0.09362418        0.13704497        0.35734022        0.00938821        0.00099847
       -9.57957958        1.37728117        0.27951358        0.26729300        0.80871926        0.01937172        0.00238361
       -9.56956957        0.75882314        0.13745370        0.15637871        0.45355869        0.01028026        0.00115179
       -9.55955956        0.59364007        0.11113490        0.12804091        0.34585533        0.00774024        0.00086869
       -9.54954955        0.72798335        0.18734052        0.14744776        0.38389831        0.00843430        0.00086247
       -9.53953954        0.61755120        0.20430963        0.10867638        0.29674476        0.00720061        0.00061982
       -9.52952953        0.68800955        0.22486260        0.12771291        0.32586811        0.00889943        0.00066650
       -9.51951952        0.57798928        0.17356698        0.13125149        0.26344983        0.00907297        0.00064801
       -9.50950951        0.41600824        0.11453874        0.09310120        0.20100001        0.00689772        0.00047057
       -9.49949950        0.20500326        0.04980038        0.04451614        0.10670964        0.00374407        0.00023302
       -9.48948949        0.07989212        0.01670135        0.02209662        0.03875611        0.00223233        0.00010571
       -9.47947948        0.60490888        0.11803045        0.15658665        0.31804068        0.01147598        0.00077512
       -9.46946947        1.99852276        0.27393226        0.29712201        1.38198860        0.04395643        0.00152346
       -9.45945946        1.18172798        0.22159781        0.15552787        0.78468851        0.01858251        0.00133129
       -9.44944945        1.70900451        0.22516574        0.27909236        1.17636291        0.02660867        0.00177483
       -9.43943944        1.48346084        0.13720420        0.31333762        1.01328015        0.01771696        0.00192190
       -9.42942943        0.93645225        0.09909929        0.18466134        0.63941182        0.01222456        0.00105525
       -9.41941942        0.25721131        0.02097313        0.04898441        0.18445807        0.00252446        0.00027123
       -9.40940941        0.38883680        0.03103276        0.08076515        0.27262272        0.00401461        0.00040156
       -9.39939940        0.87424958        0.07263203        0.15946353        0.63107190        0.00996808        0.00111404
       -9.38938939        1.37240014        0.10358517        0.21901358        1.03291515        0.01510596        0.00178027
       -9.37937938        1.42361456        0.08837257        0.23718583        1.07942746        0.01656880        0.00205990
       -9.36936937        0.93781186        0.04333658        0.12101305        0.75841493        0.01408546        0.00096185
       -9.35935936        2.24763937        0.36459799        0.33281976        1.52364976        0.02425570        0.00231616
       -9.34934935        0.24469685        0.04931351        0.05355358        0.13707914        0.00436651        0.00038411
       -9.33933934        4.81607101        0.40964782        0.77200258        3.58911292        0.04046337        0.00484431
       -9.32932933        1.42265537        0.21252398        0.27590157        0.91305868        0.01961297        0.00155818
       -9.31931932        0.74875230        0.05928634        0.15789646        0.52200011        0.00892111        0.00064829
       -9.30930931        3.34497814        0.57283314        0.65249170        2.07111437        0.04454468        0.00399425
       -9.29929930        6.81289665        0.41003568        0.98801028        5.36594379        0.04305026        0.00585663
       -9.28928929        0.21608594        0.01482699        0.02908251        0.17076374        0.00122388        0.00018882
       -9.27927928        2.96813227        0.12476539        0.45577339        2.35494999        0.03015477        0.00248873
       -9.26926927        0.75357743        0.02971105        0.11149082        0.60557442        0.00614928        0.00065187
       -9.25925926        2.06301317        0.15152784        0.31303220        1.57639410        0.02024141        0.00181762
       -9.24924925        1.40617940        0.06684736        0.19858878        1.12277029        0.01685505        0.00111792
       -9.23923924        1.40875428        0.06723800        0.18343452        1.13001956        0.02705300        0.00100921
       -9.22922923        1.17898915        0.07454956        0.17168767        0.91358679        0.01807722        0.00108791
       -9.21921922        1.50998632        0.08866869        0.22750285        1.17514112        0.01693123        0.00174243
       -9.20920921        0.94172609        0.07291520        0.12894053        0.72654763        0.01240962        0.00091311
       -9.19919920        0.42158236        0.03237564        0.06099833        0.32025405        0.00758584        0.00036851
       -9.18918919        1.76280577        0.09763736        0.23187062        1.40614807        0.02540296        0.00174677
       -9.17917918        2.79118501        0.15270656        0.29887525        2.30742783        0.02980298        0.00237239
       -9.16916917        0.99739789        0.09002163        0.10141425        0.79337730        0.01171674        0.00086798
       -9.15915916        0.72613660        0.09417438        0.07508818        0.54571620        0.01055092        0.00060692
       -9.14914915        0.68402625        0.09028282        0.06979565        0.51236776        0.01098685        0.00059317
       -9.13913914        0.50308356        0.03931735        0.05860795        0.39598542        0.00865919        0.00051366
       -9.12912913        0.33853351        0.03370011        0.03644710        0.26248379        0.00551545        0.00038706
       -9.11911912        0.38451065        0.04439954        0.03897071        0.29468947        0.00596940        0.00048154
       -9.10910911        0.44451638        0.06283015        0.03929806        0.33536143        0.00641904        0.00060770
       -9.09909910        0.45394577        0.06273595        0.03720065        0.34694100        0.00644764        0.00062053
       -9.08908909        0.48749363        0.05777125        0.04472458        0.37697290        0.00731973        0.00070518
       -9.07907908        0.53194294        0.06344177        0.04895948        0.41062582        0.00809965        0.00081622
       -9.06906907        0.58729369        0.07974752        0.04990537        0.44789975        0.00878741        0.00095365
       -9.05905906        0.27354695        0.02819201        0.02097908        0.22015364        0.00386473        0.00035750
