#  aims_uuid : 271AE969-3FDB-443A-AE2F-A954A7657C49                                
#  angular momentum projected density of states for species Se as calculated by FHI-aims 
# The energy reference for this output is the vacuum level =       0.000000 eV
#      Energy (eV)         total dos     l= 0              l= 1              l= 2              l= 3
      -10.00000000        0.31077419        0.01453338        0.28407277        0.01045297        0.00171506
       -9.99000000        0.32289332        0.01601416        0.29353221        0.01151907        0.00182788
       -9.98000000        0.34955454        0.01883505        0.31466722        0.01373461        0.00231766
       -9.97000000        0.34324796        0.01765821        0.30835288        0.01476154        0.00247534
       -9.96000000        0.31926887        0.01490717        0.28788625        0.01413688        0.00233857
       -9.95000000        0.36923938        0.01683197        0.33264531        0.01689776        0.00286434
       -9.94000000        0.39364113        0.01720182        0.35535454        0.01803795        0.00304682
       -9.93000000        0.41885444        0.01753025        0.37891031        0.01917982        0.00323406
       -9.92000000        0.44005486        0.01759107        0.39899370        0.02006660        0.00340348
       -9.91000000        0.43996827        0.01665391        0.40005531        0.01979675        0.00346230
       -9.90000000        0.44109449        0.01579311        0.40226355        0.01953565        0.00350219
       -9.89000000        0.43601077        0.01497767        0.39842567        0.01911705        0.00349038
       -9.88000000        0.42246703        0.01414309        0.38640700        0.01850273        0.00341421
       -9.87000000        0.40942133        0.01330282        0.37493523        0.01786537        0.00331791
       -9.86000000        0.25711619        0.00820693        0.23685669        0.01012806        0.00192451
       -9.85000000        0.25425930        0.00806141        0.23408710        0.01019049        0.00192030
       -9.84000000        0.25113185        0.00785803        0.23111612        0.01024140        0.00191630
       -9.83000000        0.24773384        0.00759679        0.22794374        0.01028081        0.00191250
       -9.82000000        0.29696265        0.00874021        0.27434723        0.01172328        0.00215192
       -9.81000000        0.22247557        0.00664734        0.20469174        0.00942655        0.00170994
       -9.80000000        0.54073784        0.01232440        0.49383842        0.03056258        0.00401244
       -9.79000000        0.31318963        0.00727175        0.28617016        0.01698314        0.00276458
       -9.78000000        0.38189547        0.00801430        0.34955300        0.02082164        0.00350653
       -9.77000000        0.41548706        0.00976747        0.38089823        0.02139861        0.00342275
       -9.76000000        0.39513291        0.01046186        0.36257523        0.01920310        0.00289272
       -9.75000000        0.36727822        0.01064408        0.33708692        0.01710208        0.00244513
       -9.74000000        0.34624069        0.01080205        0.31794812        0.01544179        0.00204873
       -9.73000000        0.33202035        0.01093576        0.30515884        0.01422222        0.00170353
       -9.72000000        0.42332177        0.01475912        0.39036463        0.01638096        0.00181705
       -9.71000000        0.46822930        0.01641834        0.43289579        0.01703868        0.00187649
       -9.70000000        0.51409717        0.01638806        0.47694875        0.01876639        0.00199397
       -9.69000000        0.57133514        0.01486377        0.53258213        0.02173745        0.00215179
       -9.68000000        0.95399478        0.02558142        0.88474778        0.03970254        0.00396305
       -9.67000000        0.56612111        0.01115520        0.53181948        0.02097614        0.00217029
       -9.66000000        0.39624818        0.00729886        0.37540118        0.01223472        0.00131342
       -9.65000000        0.45788326        0.00796211        0.43388630        0.01446449        0.00157036
       -9.64000000        0.61044308        0.01091682        0.57599499        0.02122962        0.00230165
       -9.63000000        0.92958810        0.01828615        0.87395098        0.03339447        0.00395649
       -9.62000000        0.75091140        0.01194259        0.71006953        0.02658063        0.00231865
       -9.61000000        0.88901301        0.01277757        0.84529710        0.02852901        0.00240933
       -9.60000000        0.64867999        0.00935082        0.61766221        0.01987672        0.00179023
       -9.59000000        1.65513598        0.03120223        1.56585120        0.05278108        0.00530147
       -9.58000000        0.41249690        0.00612501        0.39135023        0.01379829        0.00122337
       -9.57000000        1.24490436        0.02442997        1.16278634        0.05209615        0.00559191
       -9.56000000        0.82679835        0.01461268        0.77114501        0.03732070        0.00371995
       -9.55000000        0.52855799        0.00850321        0.49636747        0.02147967        0.00220764
       -9.54000000        1.08372496        0.02870932        1.00853622        0.04100679        0.00547263
       -9.53000000        0.65608277        0.01352603        0.61101438        0.02816336        0.00337900
       -9.52000000        0.99724080        0.02768069        0.91957381        0.04383029        0.00615601
       -9.51000000        0.88618737        0.02203446        0.81771264        0.04135050        0.00508977
       -9.50000000        1.30168173        0.02836594        1.21516938        0.05104456        0.00710184
       -9.49000000        0.79218589        0.01653642        0.73845856        0.03262407        0.00456683
       -9.48000000        0.72080688        0.01330492        0.67601058        0.02744128        0.00405010
       -9.47000000        0.67185896        0.01107669        0.63118270        0.02560041        0.00399915
       -9.46000000        1.69404066        0.02812089        1.58802811        0.06887234        0.00901932
       -9.45000000        0.78441203        0.01434396        0.73511686        0.03019744        0.00475377
       -9.44000000        1.78186801        0.02721531        1.67584368        0.06733091        0.01147812
