#  aims_uuid : 271AE969-3FDB-443A-AE2F-A954A7657C49                                
#  angular momentum projected density of states for species W as calculated by FHI-aims 
# The energy reference for this output is the chemical potential, mu =      -4.839313 eV
#      Energy (eV)         total dos     l= 0              l= 1              l= 2              l= 3
       -5.16068695        0.27745672        0.00611218        0.05829892        0.20487173        0.00817389
       -5.15068695        0.29596472        0.00767157        0.06017874        0.21985383        0.00826058
       -5.14068695        0.35924504        0.01009991        0.06200920        0.27938063        0.00775530
       -5.13068695        0.38488243        0.01396693        0.06019996        0.30314075        0.00757478
       -5.12068695        0.36274609        0.01485341        0.05405565        0.28635294        0.00748410
       -5.11068695        0.44165041        0.02016029        0.06344975        0.34947741        0.00856296
       -5.10068695        0.46812056        0.02165059        0.06882474        0.36830929        0.00933595
       -5.09068695        0.49649103        0.02300209        0.07418384        0.38919165        0.01011345
       -5.08068695        0.52323441        0.02402517        0.07768692        0.41069164        0.01083068
       -5.07068695        0.53340850        0.02400235        0.07332755        0.42482885        0.01124974
       -5.06068695        0.54167341        0.02371084        0.06996999        0.43631935        0.01167323
       -5.05068695        0.54565975        0.02312697        0.06672233        0.44406597        0.01174449
       -5.04068695        0.54261391        0.02223631        0.06289769        0.44613759        0.01134232
       -5.03068695        0.53503514        0.02106477        0.05980971        0.44322052        0.01094014
       -5.02068695        0.31356326        0.01160458        0.03205156        0.26168404        0.00822308
       -5.01068695        0.31273840        0.01188618        0.03174740        0.26104997        0.00805486
       -5.00068695        0.30989945        0.01215431        0.03131672        0.25854277        0.00788565
       -4.99068695        0.30504640        0.01240897        0.03075953        0.25416244        0.00771546
       -4.98068695        0.34938967        0.01299236        0.03845223        0.28836291        0.00958216
       -4.97068695        0.25836986        0.01043593        0.03272963        0.20901388        0.00619042
       -4.96068695        0.62738045        0.02036168        0.13687120        0.46023639        0.00991117
       -4.95068695        0.42641070        0.01333092        0.05331622        0.35353587        0.00622769
       -4.94068695        0.53064612        0.01496153        0.05182674        0.45682969        0.00702816
       -4.93068695        0.50817701        0.01246269        0.06342488        0.42519303        0.00709641
       -4.92068695        0.45717292        0.01109663        0.06711369        0.37252400        0.00643859
       -4.91068695        0.39500425        0.00991926        0.06494475        0.31429359        0.00584665
       -4.90068695        0.34110635        0.00944959        0.06438310        0.26182513        0.00544853
       -4.89068695        0.29547922        0.00968762        0.06542873        0.21511863        0.00524423
       -4.88068695        0.31753898        0.01091712        0.07879233        0.22125884        0.00657069
       -4.87068695        0.34547882        0.01120594        0.08957869        0.23655656        0.00813764
       -4.86068695        0.37648256        0.01195435        0.10697592        0.24800743        0.00954486
       -4.85068695        0.40656823        0.01314156        0.13291643        0.24948093        0.01102931
       -4.84068695        0.68235431        0.03874731        0.20484608        0.42030056        0.01846036
       -4.83068695        0.42148339        0.00643796        0.09781741        0.30587912        0.01134889
       -4.82068695        0.26084297        0.00149205        0.06549060        0.18576999        0.00809032
       -4.81068695        0.31005332        0.00202622        0.07332088        0.22547156        0.00923466
       -4.80068695        0.40162700        0.00394516        0.09671563        0.28922244        0.01174377
       -4.79068695        0.64364702        0.00711146        0.13167753        0.48640770        0.01845033
       -4.78068695        0.74684938        0.00400541        0.12180019        0.60664518        0.01439859
       -4.77068695        0.63414486        0.00258796        0.11688228        0.49814663        0.01652798
       -4.76068695        0.42871901        0.00193758        0.08985267        0.32412357        0.01280518
       -4.75068695        1.53251893        0.00657398        0.22073007        1.27344660        0.03176828
       -4.74068695        0.22653660        0.00229320        0.06027607        0.15739075        0.00657658
       -4.73068695        1.30321821        0.01904989        0.27557862        0.98906714        0.01952256
       -4.72068695        0.90630176        0.01262999        0.19923857        0.68174471        0.01268850
       -4.71068695        0.46627870        0.00585463        0.10283844        0.35099925        0.00658637
       -4.70068695        1.09332712        0.01743721        0.18061348        0.88346589        0.01181054
       -4.69068695        0.66055413        0.00964920        0.11738303        0.52585298        0.00766893
       -4.68068695        0.91092673        0.01962793        0.17696953        0.70201896        0.01231031
       -4.67068695        0.83613695        0.01627326        0.12669663        0.67924304        0.01392402
       -4.66068695        1.18373496        0.01711153        0.17726063        0.96700183        0.02236097
       -4.65068695        0.79753888        0.01262265        0.10136752        0.67199256        0.01155615
       -4.64068695        0.76578101        0.00926048        0.08015021        0.66546837        0.01090195
       -4.63068695        0.72888171        0.00920858        0.07568163        0.63345517        0.01053632
       -4.62068695        1.83507339        0.01048047        0.15628154        1.64800177        0.02030962
       -4.61068695        1.05412917        0.00491112        0.08066351        0.95621805        0.01233649
       -4.60068695        2.56363016        0.01330438        0.18754063        2.33422979        0.02855536
       -4.59068695        1.28443030        0.00942729        0.12116520        1.13971924        0.01411857
       -4.58068695        2.50974749        0.00385829        0.34674140        2.11855248        0.04059532
       -4.57068695        0.96648049        0.00203359        0.02823593        0.92641311        0.00979785
       -4.56068695        1.26524982        0.00574807        0.06112016        1.18464671        0.01373488
       -4.55068695        3.47614228        0.01372606        0.16971580        3.25145542        0.04124499
       -4.54068695        0.95570786        0.00740446        0.07698710        0.85728540        0.01403090
       -4.53068695        0.94433307        0.00511440        0.09643823        0.82977347        0.01300697
       -4.52068695        0.83863719        0.00465085        0.09680501        0.72549126        0.01169007
       -4.51068695        1.66685751        0.01400612        0.09813108        1.53778598        0.01693432
       -4.50068695        0.89454370        0.01104751        0.05600134        0.81515584        0.01233901
       -4.49068695        1.07396796        0.01167208        0.07016544        0.97505701        0.01707343
       -4.48068695        1.35201574        0.01138000        0.08811081        1.23312746        0.01939747
       -4.47068695        1.23908757        0.01081489        0.08624579        1.12660751        0.01541938
       -4.46068695        1.79326467        0.01651964        0.14076006        1.61571639        0.02026859
       -4.45068695        1.45784904        0.01795127        0.12642627        1.29672243        0.01674907
       -4.44068695        1.25026911        0.01946486        0.10391038        1.11310908        0.01378480
       -4.43068695        2.63547716        0.05822755        0.09070783        2.46477958        0.02176219
       -4.42068695        0.94342704        0.01392884        0.05631977        0.86412616        0.00905228
