#  aims_uuid : 271AE969-3FDB-443A-AE2F-A954A7657C49                                
#  angular momentum projected density of states for species W as calculated by FHI-aims 
# The energy reference for this output is the vacuum level =       0.000000 eV
#      Energy (eV)         total dos     l= 0              l= 1              l= 2              l= 3
      -10.00000000        0.27358514        0.00689680        0.04682496        0.21329863        0.00656475
       -9.99000000        0.31079544        0.00780193        0.04753956        0.24883056        0.00662338
       -9.98000000        0.32941050        0.01439344        0.05005102        0.25815557        0.00681047
       -9.97000000        0.33164508        0.02043636        0.05158838        0.25241352        0.00720681
       -9.96000000        0.31174902        0.02138492        0.04642113        0.23664638        0.00729660
       -9.95000000        0.36375362        0.02990771        0.05801784        0.26702456        0.00880350
       -9.94000000        0.38644518        0.03245869        0.06363746        0.28071796        0.00963106
       -9.93000000        0.40883875        0.03528694        0.06940371        0.29366474        0.01048335
       -9.92000000        0.42760965        0.03829612        0.07405099        0.30396779        0.01129476
       -9.91000000        0.43069255        0.04071042        0.07305109        0.30512086        0.01181017
       -9.90000000        0.43319435        0.04267210        0.07227581        0.30593025        0.01231618
       -9.89000000        0.42941764        0.04416306        0.07092670        0.30182861        0.01249927
       -9.88000000        0.41679485        0.04515818        0.06852603        0.29087343        0.01223721
       -9.87000000        0.40218867        0.04567228        0.06629329        0.27830445        0.01191865
       -9.86000000        0.27428146        0.02505281        0.03210783        0.20860317        0.00851766
       -9.85000000        0.27440785        0.02595723        0.03135977        0.20874528        0.00834557
       -9.84000000        0.27377015        0.02688713        0.03053696        0.20820670        0.00813936
       -9.83000000        0.27236838        0.02784250        0.02963940        0.20698742        0.00789905
       -9.82000000        0.32292422        0.02971899        0.03418498        0.24914486        0.00987539
       -9.81000000        0.23407429        0.02506326        0.02609731        0.17584424        0.00706948
       -9.80000000        0.51327955        0.04888649        0.07073542        0.38248061        0.01117703
       -9.79000000        0.32451513        0.04063979        0.03817965        0.23774286        0.00795283
       -9.78000000        0.44709748        0.05502992        0.04738914        0.33413151        0.01054692
       -9.77000000        0.61848812        0.04661535        0.06417200        0.49412501        0.01357577
       -9.76000000        0.59665092        0.02889438        0.07522621        0.47922107        0.01330924
       -9.75000000        0.58028877        0.01981926        0.07484268        0.47300589        0.01262094
       -9.74000000        0.56087140        0.01304607        0.07549645        0.46046503        0.01186385
       -9.73000000        0.53839878        0.00857480        0.07718752        0.44159849        0.01103796
       -9.72000000        0.68618944        0.00741381        0.09119517        0.57400887        0.01357159
       -9.71000000        0.72022171        0.00764521        0.09958279        0.59850792        0.01448579
       -9.70000000        0.68828766        0.00840546        0.11834845        0.54759982        0.01393393
       -9.69000000        0.59768122        0.00942063        0.14738389        0.42888629        0.01199041
       -9.68000000        0.80268201        0.02773997        0.22350979        0.53509059        0.01634165
       -9.67000000        0.52912083        0.00687854        0.10268231        0.40958648        0.00997350
       -9.66000000        0.36608257        0.00185935        0.07432670        0.28236457        0.00753195
       -9.65000000        0.44028394        0.00225462        0.08737088        0.34147444        0.00918401
       -9.64000000        0.69180775        0.00281873        0.12917589        0.54647440        0.01333873
       -9.63000000        1.17595666        0.00536063        0.22564771        0.92143437        0.02351395
       -9.62000000        0.87785137        0.00443631        0.18435426        0.67476274        0.01429806
       -9.61000000        0.80515703        0.00274773        0.19744763        0.59031078        0.01465089
       -9.60000000        0.53484381        0.00157648        0.13688175        0.38542355        0.01096203
       -9.59000000        1.12585732        0.00323910        0.36106085        0.72981165        0.03174573
       -9.58000000        0.29696726        0.00235519        0.05974474        0.22813911        0.00672821
       -9.57000000        1.17236691        0.03233441        0.24105492        0.88081496        0.01816261
       -9.56000000        0.83849600        0.01598951        0.19040163        0.61888982        0.01321505
       -9.55000000        0.43637224        0.00769187        0.08126460        0.34108429        0.00633148
       -9.54000000        1.01565080        0.01545991        0.16857765        0.81560834        0.01600490
       -9.53000000        0.65350279        0.00744961        0.11416935        0.52210967        0.00977417
       -9.52000000        1.12724409        0.01915144        0.13928740        0.94733518        0.02147007
       -9.51000000        1.09675704        0.01788800        0.11025230        0.95206396        0.01655278
       -9.50000000        1.31755134        0.01458413        0.11305891        1.16497307        0.02493523
       -9.49000000        0.88508489        0.01065162        0.08544029        0.77461180        0.01438118
       -9.48000000        0.83995947        0.00759169        0.05719125        0.76207383        0.01310271
       -9.47000000        0.81704830        0.00714215        0.05060287        0.74695489        0.01234839
       -9.46000000        2.15042387        0.00997676        0.07765450        2.03524363        0.02754898
       -9.45000000        1.15171739        0.00512345        0.04358954        1.08719850        0.01580590
       -9.44000000        2.23028316        0.01701976        0.18608229        1.99432348        0.03285763
       -9.43000000        1.21408112        0.00723874        0.06989974        1.12097271        0.01596992
