#  aims_uuid : DA8EDB40-9046-45DC-AC88-93865F6C42DE                                
#  angular momentum projected density of states for species Se as calculated by FHI-aims 
# The energy reference for this output is the vacuum level =       0.000000 eV
#      Energy (eV)         total dos     l= 0              l= 1              l= 2              l= 3
      -10.00000000        0.25568725        0.01180859        0.23541001        0.00709955        0.00136910
       -9.99000000        0.21927605        0.00903618        0.20278839        0.00629020        0.00116127
       -9.98000000        0.24925058        0.00941914        0.22856280        0.00953811        0.00173053
       -9.97000000        0.25125329        0.00943084        0.22999869        0.01003552        0.00178824
       -9.96000000        0.25412072        0.00949146        0.23227836        0.01050714        0.00184377
       -9.95000000        0.25785289        0.00960100        0.23540182        0.01095296        0.00189711
       -9.94000000        0.26244979        0.00975946        0.23936906        0.01137300        0.00194827
       -9.93000000        0.26791143        0.00996685        0.24418009        0.01176724        0.00199725
       -9.92000000        0.27423779        0.01022315        0.24983491        0.01213570        0.00204403
       -9.91000000        0.28142889        0.01052839        0.25633351        0.01247836        0.00208864
       -9.90000000        0.28867481        0.01088175        0.26292041        0.01274608        0.00212657
       -9.89000000        0.29259101        0.01126478        0.26661145        0.01259876        0.00211603
       -9.88000000        0.29595130        0.01166157        0.26971785        0.01246878        0.00210310
       -9.87000000        0.29875569        0.01207214        0.27223962        0.01235615        0.00208778
       -9.86000000        0.30100418        0.01249647        0.27417676        0.01226087        0.00207008
       -9.85000000        0.19839561        0.00512340        0.18466279        0.00742589        0.00118353
       -9.84000000        0.19718413        0.00548754        0.18314502        0.00738840        0.00116318
       -9.83000000        0.19492916        0.00585309        0.18055510        0.00738040        0.00114057
       -9.82000000        0.22277287        0.00669326        0.20680880        0.00803678        0.00123402
       -9.81000000        0.21884024        0.00706701        0.20236766        0.00818985        0.00121572
       -9.80000000        0.13141562        0.00675954        0.11726683        0.00646042        0.00092884
       -9.79000000        0.17324171        0.00866528        0.15315462        0.00983268        0.00158912
       -9.78000000        0.30050469        0.01140248        0.26999190        0.01631765        0.00279266
       -9.77000000        0.49571448        0.01478154        0.45520572        0.02201428        0.00371294
       -9.76000000        0.71053175        0.01698785        0.66208226        0.02717258        0.00428906
       -9.75000000        3.58103407        0.04085939        3.41431838        0.11248910        0.01336719
       -9.74000000        0.47177050        0.01134017        0.44120517        0.01689849        0.00232666
       -9.73000000        0.49065836        0.00911387        0.45997492        0.01918530        0.00238427
       -9.72000000        1.09290732        0.01060340        1.03460546        0.04254260        0.00515586
       -9.71000000        0.76944607        0.00513944        0.72905591        0.03192703        0.00332368
       -9.70000000        0.33782293        0.00176632        0.32685236        0.00819094        0.00101330
       -9.69000000        0.43786543        0.00173101        0.42456224        0.01029364        0.00127854
       -9.68000000        0.53609442        0.00217083        0.51944486        0.01292453        0.00155420
       -9.67000000        0.63449033        0.00314361        0.61309716        0.01638864        0.00186092
       -9.66000000        0.72878450        0.00454992        0.70142538        0.02063189        0.00217732
       -9.65000000        1.47768984        0.00666632        1.42497725        0.04198495        0.00406133
       -9.64000000        0.26735748        0.00607321        0.24829664        0.01157369        0.00141393
       -9.63000000        0.28047398        0.00758713        0.26029277        0.01119695        0.00139713
       -9.62000000        3.76579592        0.16034275        3.36307348        0.21641501        0.02596468
       -9.61000000        0.55869414        0.02170037        0.50633200        0.02725017        0.00341160
       -9.60000000        1.32375373        0.02910900        1.24345045        0.04401075        0.00718353
       -9.59000000        0.45782597        0.01358785        0.42269014        0.01914166        0.00240632
       -9.58000000        0.29372785        0.00775314        0.27202337        0.01229274        0.00165861
       -9.57000000        0.16181208        0.00331071        0.15102895        0.00653001        0.00094241
       -9.56000000        0.06362442        0.00035084        0.06104125        0.00197094        0.00026139
       -9.55000000        1.57197231        0.04984275        1.42610974        0.08470549        0.01131433
       -9.54000000        1.01832511        0.00812780        0.97222569        0.03500849        0.00296312
       -9.53000000        1.21969114        0.01056428        1.16948147        0.03876793        0.00087745
       -9.52000000        0.94681841        0.00843058        0.91564112        0.02227498        0.00047172
       -9.51000000        0.92932504        0.01100632        0.88760965        0.02873900        0.00197008
       -9.50000000        0.80030830        0.01207341        0.75689827        0.02863764        0.00269898
       -9.49000000        0.69383411        0.01372537        0.64876407        0.02806333        0.00328134
       -9.48000000        0.60995012        0.01596321        0.56327569        0.02700858        0.00370264
       -9.47000000        1.32110889        0.02874053        1.18157277        0.09763214        0.01316344
       -9.46000000        1.23319900        0.02888544        1.13505541        0.06180628        0.00745188
       -9.45000000        0.63959018        0.01687263        0.59800624        0.02222610        0.00248521
       -9.44000000        1.22023776        0.02432257        1.15106028        0.04138089        0.00347402
       -9.43000000        0.56307560        0.00796639        0.52473324        0.02643557        0.00394040
       -9.42000000        1.09360400        0.01596063        1.01290414        0.05225086        0.01248837
