#  aims_uuid : B60B4F5F-6210-4AEA-A664-E2BA80CDCCC5                                
#  angular momentum projected density of states for species W as calculated by FHI-aims 
# The energy reference for this output is the vacuum level =       0.000000 eV
#      Energy (eV)         total dos     l= 0              l= 1              l= 2              l= 3              l= 4
      -10.00000000        0.17846297        0.00627714        0.04280365        0.12698666        0.00227281        0.00012271
       -9.98998999        0.53161120        0.00059564        0.14943367        0.37459927        0.00678977        0.00019285
       -9.97997998        0.18505932        0.00208186        0.05193000        0.12871109        0.00226952        0.00006686
       -9.96996997        0.19343452        0.00406056        0.05210023        0.13494193        0.00225920        0.00007260
       -9.95995996        0.34356588        0.00546121        0.07340220        0.25968959        0.00488905        0.00012382
       -9.94994995        0.35981886        0.00628383        0.07410740        0.27463907        0.00465587        0.00013268
       -9.93993994        0.37315335        0.00652841        0.07453808        0.28745972        0.00448901        0.00013813
       -9.92992993        0.38356935        0.00619495        0.07469423        0.29815155        0.00438845        0.00014015
       -9.91991992        0.39106685        0.00528345        0.07457586        0.30671456        0.00435421        0.00013876
       -9.90990991        0.39564586        0.00379392        0.07418297        0.31314875        0.00438628        0.00013395
       -9.89989990        0.39730639        0.00172634        0.07351556        0.31745411        0.00448466        0.00012572
       -9.88988989        0.17885484        0.00000000        0.02687199        0.15002810        0.00188562        0.00006913
       -9.87987988        0.16454679        0.00000000        0.02566081        0.13692273        0.00190190        0.00006135
       -9.86986987        0.15079980        0.00000000        0.02439872        0.12444933        0.00189763        0.00005413
       -9.85985986        0.13761387        0.00000000        0.02308570        0.11260790        0.00187281        0.00004746
       -9.84984985        0.15681250        0.00004191        0.02951663        0.12492247        0.00228145        0.00005003
       -9.83983984        0.17951388        0.00020009        0.03732452        0.13916831        0.00276378        0.00005718
       -9.82982983        0.20140542        0.00047597        0.04512462        0.15247440        0.00326241        0.00006802
       -9.81981982        0.57850876        0.00450904        0.10092002        0.46737351        0.00533658        0.00036960
       -9.80980981        0.58289159        0.01160744        0.11689339        0.44736851        0.00650556        0.00051668
       -9.79979980        0.58498034        0.01772157        0.13165921        0.42714453        0.00780445        0.00065058
       -9.78978979        0.33948800        0.02181022        0.09286973        0.21941533        0.00470989        0.00068282
       -9.77977978        0.32523026        0.02421224        0.10198786        0.19240786        0.00585443        0.00076785
       -9.76976977        0.30786337        0.02427634        0.10040854        0.17577995        0.00661675        0.00078180
       -9.75975976        0.30886876        0.02347206        0.09481756        0.18252670        0.00728055        0.00077189
       -9.74974975        0.23400712        0.00790950        0.05383863        0.16761576        0.00431069        0.00033254
       -9.73973974        0.30831667        0.00631056        0.05666930        0.23927849        0.00572942        0.00032890
       -9.72972973        0.23922534        0.00376444        0.04238334        0.18806002        0.00478666        0.00023088
       -9.71971972        0.72555503        0.00273709        0.20803464        0.49748659        0.01690790        0.00038880
       -9.70970971        0.61918354        0.00191903        0.16493435        0.43692999        0.01508195        0.00031822
       -9.69969970        0.47453843        0.00180872        0.12148674        0.33875120        0.01225059        0.00024118
       -9.68968969        0.33911234        0.00181042        0.08310913        0.24478189        0.00923727        0.00017363
       -9.67967968        0.21290525        0.00192412        0.04980151        0.15502205        0.00604200        0.00011557
       -9.66966967        0.09660428        0.00214969        0.02157519        0.07012239        0.00268946        0.00006754
       -9.65965966        0.12580280        0.00397271        0.02496253        0.09416746        0.00262392        0.00007618
       -9.64964965        0.42122144        0.06014176        0.08084506        0.27323466        0.00672417        0.00027579
       -9.63963964        0.71200438        0.19704803        0.15149805        0.35331200        0.00948722        0.00065908
       -9.62962963        1.02227262        0.41902017        0.24653300        0.34424125        0.01118343        0.00129477
       -9.61961962        0.60882082        0.14952853        0.13757349        0.31186392        0.00869698        0.00115790
       -9.60960961        0.98469864        0.18989350        0.22729444        0.55155756        0.01411120        0.00184194
       -9.59959960        0.59771555        0.10205993        0.12442010        0.35978494        0.01056686        0.00088372
       -9.58958959        0.52830747        0.05656570        0.09901017        0.36077228        0.01142442        0.00053490
       -9.57957958        3.77074203        1.27244167        1.09688090        1.37689208        0.02070742        0.00381995
       -9.56956957        0.73447976        0.17836438        0.21282077        0.33471910        0.00771383        0.00086168
       -9.55955956        0.56542082        0.11083246        0.17172366        0.27510698        0.00702087        0.00073683
       -9.54954955        0.44964306        0.06522571        0.13848186        0.23868473        0.00659674        0.00065402
       -9.53953954        0.22111707        0.02548363        0.06412562        0.12779488        0.00343275        0.00028020
       -9.52952953        0.44121885        0.13840137        0.08003458        0.21575584        0.00619794        0.00082912
       -9.51951952        0.62253494        0.17265310        0.12428495        0.31548916        0.00904030        0.00106742
       -9.50950951        1.40077942        0.21967030        0.32345595        0.83664704        0.01863540        0.00237073
       -9.49949950        1.95255184        0.37439696        0.46331816        1.08332669        0.02894078        0.00256925
       -9.48948949        0.49121838        0.14573604        0.07842278        0.26024373        0.00638887        0.00042696
       -9.47947948        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
       -9.46946947        0.39764299        0.12992002        0.05296921        0.21037840        0.00397862        0.00039675
       -9.45945946        1.04173878        0.15595987        0.16516941        0.69530735        0.02439589        0.00090627
       -9.44944945        0.98341285        0.21928890        0.14812910        0.60403095        0.01109027        0.00087364
       -9.43943944        1.24534235        0.24572423        0.25049202        0.73676736        0.01112371        0.00123503
       -9.42942943        0.96200333        0.19416108        0.20507896        0.55285615        0.00902855        0.00087860
       -9.41941942        1.72821240        0.35131323        0.37140308        0.98855507        0.01502061        0.00192041
       -9.40940941        0.66201308        0.05788006        0.12595602        0.46947656        0.00811274        0.00058771
       -9.39939940        0.76298583        0.04083821        0.14175287        0.57021659        0.00952891        0.00064925
       -9.38938939        0.85120378        0.03312735        0.15675125        0.65037326        0.01018028        0.00077165
       -9.37937938        2.08882276        0.07904610        0.35269566        1.61990134        0.03482294        0.00235672
       -9.36936937        2.47982183        0.31373389        0.33323128        1.80621666        0.02395391        0.00268609
       -9.35935936        0.03021819        0.00170534        0.00580235        0.02250949        0.00017408        0.00002693
       -9.34934935        3.66705744        0.16511329        0.54540506        2.91854605        0.03314480        0.00484824
       -9.33933934        1.07789185        0.04208404        0.13147367        0.89211916        0.01114310        0.00107188
       -9.32932933        1.79480913        0.10530480        0.20372475        1.46245987        0.02172918        0.00159053
       -9.31931932        2.44885183        0.06638161        0.44527172        1.90745974        0.02786112        0.00187763
       -9.30930931        1.18105474        0.10378650        0.24962243        0.81709207        0.00859833        0.00195541
       -9.29929930        2.05225144        0.21247896        0.39056914        1.42679443        0.02071431        0.00169460
       -9.28928929        1.41437701        0.21648937        0.25044231        0.93194920        0.01442348        0.00107265
       -9.27927928        2.25837407        0.06524011        0.17284159        2.00534307        0.01312281        0.00182648
       -9.26926927        1.14364735        0.04357531        0.09664934        0.99076240        0.01150777        0.00115253
       -9.25925926        0.57896702        0.04438646        0.04004670        0.48449441        0.00929045        0.00074900
       -9.24924925        1.03410810        0.08069502        0.15941995        0.78116826        0.01151753        0.00130735
       -9.23923924        0.38759886        0.01503522        0.07414412        0.29376911        0.00420385        0.00044657
       -9.22922923        0.78998905        0.01236904        0.11532428        0.65152839        0.01009682        0.00067051
       -9.21921922        3.43240236        0.10143827        0.43442857        2.84971580        0.04403556        0.00278417
