#  aims_uuid : ED999144-4C96-43A7-A231-21FB5B55EE4C                                
#  angular momentum projected density of states for species Se as calculated by FHI-aims 
# The energy reference for this output is the chemical potential, mu =      -4.703323 eV
#      Energy (eV)         total dos     l= 0              l= 1              l= 2              l= 3
       -5.29667702        1.02055851        0.02865537        0.98002404        0.00743555        0.00444355
       -5.28666701        1.05872617        0.01235014        1.03515341        0.00838380        0.00283883
       -5.27665700        0.97198082        0.02005985        0.93634402        0.01267883        0.00289811
       -5.26664699        0.76779395        0.03008134        0.71330647        0.02116998        0.00323616
       -5.25663698        2.51102050        0.01701293        2.47850847        0.01315640        0.00234270
       -5.24662697        0.46930632        0.00569532        0.44792313        0.01327807        0.00240980
       -5.23661696        0.33109003        0.00873504        0.31397351        0.00704648        0.00133501
       -5.22660695        0.15415841        0.00333035        0.14705374        0.00319739        0.00057693
       -5.21659694        0.14601438        0.00322125        0.13911509        0.00310515        0.00057290
       -5.20658693        0.13869596        0.00314378        0.13191025        0.00303195        0.00060998
       -5.19657692        0.13533170        0.00314157        0.12843156        0.00308393        0.00067464
       -5.18656691        0.17479037        0.00321599        0.16550793        0.00522025        0.00084620
       -5.17655690        0.21838589        0.00357060        0.20664595        0.00715540        0.00101395
       -5.16654689        0.36444284        0.00453954        0.34628740        0.01227175        0.00134415
       -5.15653688        0.35399414        0.00584617        0.33522163        0.01157312        0.00135322
       -5.14652687        0.39378447        0.00783754        0.37183768        0.01266259        0.00144666
       -5.13651686        0.41767385        0.01005709        0.39249821        0.01366460        0.00145395
       -5.12650685        0.42775250        0.01177981        0.40041932        0.01422440        0.00132897
       -5.11649684        0.38508438        0.01212851        0.35843316        0.01351791        0.00100480
       -5.10648683        0.49234109        0.01821280        0.45639304        0.01646339        0.00127186
       -5.09647682        0.37616115        0.01054228        0.35304549        0.01136652        0.00120686
       -5.08646681        0.23091603        0.00519937        0.21842181        0.00634800        0.00094685
       -5.07645680        0.11139216        0.00734817        0.09805656        0.00534365        0.00064379
       -5.06644679        0.22100884        0.01746953        0.19280984        0.00974900        0.00098047
       -5.05643678        0.36068523        0.02486196        0.31664083        0.01793447        0.00124797
       -5.04642677        0.50019729        0.03115597        0.44061408        0.02673651        0.00169072
       -5.03641676        0.37511259        0.02217919        0.33279359        0.01868157        0.00145825
       -5.02640675        0.26442826        0.01447455        0.23654961        0.01222687        0.00117723
       -5.01639674        0.16814432        0.00804206        0.15188215        0.00737243        0.00084768
       -5.00638673        0.07411625        0.00210343        0.06853313        0.00311339        0.00036629
       -4.99637672        0.26303397        0.01863971        0.23120225        0.01182432        0.00136770
       -4.98636671        0.57582549        0.04674519        0.50092735        0.02500357        0.00314938
       -4.97635670        0.52067242        0.03107897        0.46672423        0.02035055        0.00251867
       -4.96634669        0.34373491        0.01864886        0.30541327        0.01717303        0.00249975
       -4.95633668        0.33706669        0.02934790        0.27635916        0.02746188        0.00389774
       -4.94632667        0.44653131        0.03818632        0.36582182        0.03735653        0.00516664
       -4.93631666        0.30975951        0.02039008        0.26199822        0.02451209        0.00285911
       -4.92630665        0.12027134        0.01008875        0.10169746        0.00733141        0.00115373
       -4.91629664        0.38725544        0.01357284        0.35233000        0.01802575        0.00332685
       -4.90628663        0.55191138        0.02137875        0.49197695        0.03360942        0.00494626
       -4.89627662        0.36053777        0.01738101        0.32243959        0.01795209        0.00276508
       -4.88626661        0.32638366        0.01365562        0.29765504        0.01298635        0.00208664
       -4.87625660        0.47212023        0.05136015        0.40441456        0.01448283        0.00186269
       -4.86624659        1.24067379        0.09196472        1.11054198        0.03390571        0.00426139
       -4.85623658        0.95479745        0.08060885        0.84449906        0.02612843        0.00356111
       -4.84622657        1.07544646        0.07443498        0.96198963        0.03487768        0.00414416
       -4.83621656        0.76021000        0.07077755        0.66549173        0.02104626        0.00289446
       -4.82620655        0.91841908        0.07922741        0.81143868        0.02441662        0.00333637
       -4.81619654        1.41539468        0.13430962        1.23888568        0.03718785        0.00501153
       -4.80618653        2.88128328        0.26735006        2.51439193        0.08834377        0.01119753
       -4.79617652        0.70709515        0.07883601        0.59322991        0.03074831        0.00428091
       -4.78616651        1.01201320        0.13443452        0.84242951        0.02977672        0.00537244
       -4.77615650        0.63461624        0.07300260        0.53754987        0.02044035        0.00362342
       -4.76614649        0.20615349        0.02045614        0.17567122        0.00848191        0.00154422
       -4.75613648        0.14193346        0.01078194        0.12456429        0.00556814        0.00101909
       -4.74612647        0.10553475        0.00554254        0.09514893        0.00414095        0.00070233
       -4.73611646        1.01547496        0.05810737        0.91048675        0.04219862        0.00468222
       -4.72610645        0.89231136        0.04109042        0.80054297        0.04407510        0.00660287
       -4.71609644        0.77698376        0.05078800        0.69237774        0.02917803        0.00463998
       -4.70608643        0.87361038        0.05530032        0.77962894        0.03289962        0.00578150
       -4.69607642        0.94259822        0.07589837        0.82615281        0.03584667        0.00470037
       -4.68606641        1.47856072        0.09822527        1.30792248        0.06475290        0.00766007
       -4.67605640        1.36840937        0.10973626        1.19024073        0.06062655        0.00780583
       -4.66604639        0.94010337        0.06783950        0.82042559        0.04531957        0.00651872
       -4.65603638        1.14535551        0.10517956        0.98512103        0.04793566        0.00711926
       -4.64602637        0.61674434        0.06027794        0.52749238        0.02511955        0.00385448
       -4.63601636        0.32811433        0.02820907        0.28725350        0.01112587        0.00152588
       -4.62600635        1.42380922        0.14196555        1.23227247        0.04317766        0.00639353
       -4.61599634        1.19878967        0.11875279        1.03772564        0.03670464        0.00560660
       -4.60598633        2.06554730        0.17910873        1.80696305        0.06971008        0.00976544
       -4.59597632        1.64832655        0.14266179        1.42429109        0.07239802        0.00897565
       -4.58596631        3.25776056        0.22561705        2.81985322        0.18849239        0.02379789
       -4.57595630        0.13529199        0.00524091        0.11270801        0.01563537        0.00170770
       -4.56594629        1.49445171        0.07741530        1.27663693        0.12980571        0.01059377
       -4.55593628        1.85199325        0.12844138        1.57212640        0.13879865        0.01262683
       -4.54592627        1.27795240        0.08561691        1.10925841        0.07325924        0.00981784
       -4.53591626        1.58362067        0.10664198        1.38477861        0.08023599        0.01196409
       -4.52590625        0.92842240        0.06982749        0.79963984        0.05192244        0.00703264
       -4.51589624        1.74478012        0.14753285        1.48223594        0.10223192        0.01277941
       -4.50588623        1.10074426        0.09873764        0.92778254        0.06445581        0.00976827
       -4.49587622        1.20346190        0.11388533        1.03297477        0.04828082        0.00832099
       -4.48586621        1.05459898        0.10524117        0.90495291        0.03864398        0.00576092
       -4.47585620        0.50937476        0.04735208        0.44032267        0.01877748        0.00292253
       -4.46584619        1.79324447        0.09881446        1.58802827        0.09609695        0.01030479
       -4.45583618        0.46627512        0.03332913        0.40403586        0.02591420        0.00299593
       -4.44582617        0.71580722        0.05050641        0.62517963        0.03457557        0.00554560
       -4.43581616        0.97198048        0.08894054        0.83295058        0.04261088        0.00747848
       -4.42580615        0.79759806        0.05613290        0.69404502        0.04047454        0.00694561
       -4.41579614        0.68033996        0.04219160        0.59640724        0.03587720        0.00586392
       -4.40578613        0.89339844        0.04029353        0.80313955        0.04367133        0.00629404
       -4.39577612        0.26007635        0.00863956        0.23336576        0.01580185        0.00226918
       -4.38576611        0.36563495        0.01681405        0.32337428        0.02282004        0.00262657
       -4.37575610        0.55339621        0.01964920        0.50025462        0.02951816        0.00397423
       -4.36574609        0.79861018        0.05244082        0.70219488        0.03872920        0.00524528
       -4.35573608        0.64686656        0.06882484        0.54041851        0.03338289        0.00424032
       -4.34572607        0.62660358        0.06025693        0.52563046        0.03570167        0.00501453
       -4.33571606        0.34457038        0.02504230        0.29638645        0.02078055        0.00236108
       -4.32570605        0.22084009        0.01290045        0.19407988        0.01228958        0.00157017
       -4.31569604        0.35072901        0.01633809        0.30770341        0.02142909        0.00525843
       -4.30568603        0.39422912        0.02481427        0.34209612        0.02133839        0.00598034
       -4.29567602        0.25305138        0.01390884        0.22106504        0.01430730        0.00377020
       -4.28566601        0.24089451        0.01798136        0.20340922        0.01575985        0.00374407
       -4.27565600        0.22541408        0.01521317        0.19409782        0.01301479        0.00308830
       -4.26564599        0.19612236        0.01212306        0.17122905        0.01031290        0.00245735
       -4.25563598        0.26060236        0.02047965        0.22471112        0.01267442        0.00273718
       -4.24562597        0.24765851        0.01604777        0.21902845        0.01039132        0.00219097
       -4.23561596        0.26496602        0.01455977        0.23825423        0.01009257        0.00205945
       -4.22560595        0.28670975        0.01306643        0.26120296        0.01037333        0.00206703
       -4.21559594        0.35198045        0.01312069        0.32384548        0.01275410        0.00226018
       -4.20558593        0.35272865        0.01104759        0.32735021        0.01229245        0.00203840
       -4.19557592        0.42479276        0.01287475        0.39524152        0.01441898        0.00225750
       -4.18556591        0.32595694        0.00949888        0.30408559        0.01083175        0.00154071
       -4.17555590        0.36475878        0.01233608        0.33783485        0.01290091        0.00168694
       -4.16554589        0.39597318        0.01750254        0.36172507        0.01491602        0.00182955
       -4.15553588        0.44732175        0.02395693        0.40350830        0.01773463        0.00212188
       -4.14552587        0.59909509        0.02944474        0.54702147        0.02029525        0.00233364
       -4.13551586        0.62858380        0.02550803        0.58144392        0.01959587        0.00203599
       -4.12550585        1.01504166        0.02581973        0.96044131        0.02578044        0.00300018
       -4.11549584        0.40929369        0.01302406        0.38502645        0.01027510        0.00096808
       -4.10548583        0.29262065        0.00949342        0.27449922        0.00776652        0.00086149
       -4.09547582        0.26550183        0.00832601        0.24861523        0.00765826        0.00090233
       -4.08546581        0.38935086        0.01159318        0.36436887        0.01193593        0.00145288
       -4.07545580        0.39860827        0.01125335        0.37255410        0.01293188        0.00186894
       -4.06544579        0.40317611        0.01183670        0.37596895        0.01316603        0.00220443
       -4.05543578        0.50221168        0.01880256        0.46395622        0.01630600        0.00314690
       -4.04542577        0.49623988        0.01883870        0.45751194        0.01642742        0.00346182
       -4.03541576        0.45911230        0.01572145        0.42340701        0.01679158        0.00319226
       -4.02540575        0.38040449        0.01151205        0.35094367        0.01531536        0.00263341
       -4.01539574        0.42946224        0.01442247        0.39372439        0.01824033        0.00307505
       -4.00538573        0.46587442        0.01777472        0.42374224        0.02086938        0.00348808
       -3.99537572        0.54151282        0.02410266        0.48711233        0.02632739        0.00397045
       -3.98536571        0.32350019        0.01133296        0.29324431        0.01681003        0.00211289
       -3.97535570        0.31587382        0.01058858        0.28317398        0.01953112        0.00258014
       -3.96534569        0.33248992        0.01076335        0.29574795        0.02305548        0.00292314
       -3.95533568        0.30794071        0.00919272        0.27365399        0.02232694        0.00276706
       -3.94532567        0.92963074        0.02790081        0.83783384        0.05749606        0.00640003
       -3.93531566        1.91284342        0.05097895        1.72201591        0.12676946        0.01307910
       -3.92530565        0.65835923        0.01971927        0.60591496        0.02997760        0.00274740
       -3.91529564        0.85873736        0.02093043        0.79314775        0.04096520        0.00369399
       -3.90528563        0.99751102        0.02765457        0.92193046        0.04363472        0.00429127
       -3.89527562        0.63724174        0.01713234        0.58982761        0.02733900        0.00294279
       -3.88526561        0.45953736        0.00608435        0.42854179        0.02239509        0.00251613
       -3.87525560        0.96419454        0.02489724        0.88556042        0.04741844        0.00631844
       -3.86524559        1.03993369        0.03405189        0.95056543        0.05041648        0.00489989
       -3.85523558        0.80568151        0.02251402        0.74621907        0.03358670        0.00336173
       -3.84522557        0.84799091        0.03219301        0.77176218        0.03760781        0.00642790
       -3.83521556        0.95254700        0.02976214        0.87945166        0.03777584        0.00555736
       -3.82520555        0.67262086        0.01840226        0.61642737        0.03300894        0.00478230
       -3.81519554        0.69584210        0.01558680        0.64420520        0.03136644        0.00468366
       -3.80518553        0.68119574        0.01509914        0.62859948        0.03241321        0.00508391
       -3.79517552        1.24218215        0.02226101        1.16953622        0.04472167        0.00566325
       -3.78516551        1.00991377        0.01964698        0.94636045        0.03819854        0.00570779
       -3.77515550        0.95249054        0.01744664        0.88857835        0.04083503        0.00563052
