#  aims_uuid : 8716F29A-4C5D-4E52-A8FF-C1530F6F71A7                                
#  angular momentum projected density of states for species Se as calculated by FHI-aims 
# The energy reference for this output is the vacuum level =       0.000000 eV
#      Energy (eV)         total dos     l= 0              l= 1              l= 2              l= 3
      -10.00000000        0.98857676        0.01683023        0.94256088        0.02510318        0.00408247
       -9.99000000        0.56263541        0.00968664        0.53767757        0.01339108        0.00188012
       -9.98000000        0.43782994        0.00803928        0.41942291        0.00915691        0.00121084
       -9.97000000        0.58368616        0.00887878        0.56135615        0.01199490        0.00145634
       -9.96000000        0.88144705        0.01353345        0.84799808        0.01789007        0.00202545
       -9.95000000        1.03936631        0.01620882        0.99919446        0.02139610        0.00256693
       -9.94000000        0.73038534        0.01840406        0.69244005        0.01702835        0.00251287
       -9.93000000        0.37233917        0.01257218        0.34900466        0.00938552        0.00137681
       -9.92000000        0.34451112        0.01036204        0.32320434        0.00944153        0.00150321
       -9.91000000        0.35323810        0.00948839        0.33164160        0.01048004        0.00162808
       -9.90000000        0.47900616        0.01216792        0.44990398        0.01459850        0.00233576
       -9.89000000        0.43837819        0.00941943        0.41248639        0.01432565        0.00214673
       -9.88000000        0.44092186        0.00874009        0.41495492        0.01502948        0.00219737
       -9.87000000        0.44948763        0.00816730        0.42307546        0.01594303        0.00230184
       -9.86000000        0.63767436        0.00908457        0.60496665        0.02091987        0.00270327
       -9.85000000        0.55497142        0.00757953        0.52908914        0.01628170        0.00202105
       -9.84000000        0.46745620        0.00649592        0.44673783        0.01263617        0.00158628
       -9.83000000        0.66763429        0.01162495        0.63802291        0.01612090        0.00186553
       -9.82000000        0.79252679        0.01458433        0.75560837        0.01978488        0.00254921
       -9.81000000        0.83854335        0.01607292        0.79787785        0.02172827        0.00286430
       -9.80000000        0.84444193        0.01731953        0.80151007        0.02254370        0.00306864
       -9.79000000        0.58668636        0.01504015        0.55517118        0.01460189        0.00187314
       -9.78000000        0.48181645        0.01218093        0.45590855        0.01211159        0.00161537
       -9.77000000        0.57376119        0.01534782        0.54156712        0.01477537        0.00207088
       -9.76000000        0.82910627        0.03453845        0.76959411        0.02127979        0.00369393
       -9.75000000        0.76777935        0.04188858        0.70219698        0.01946845        0.00422534
       -9.74000000        0.22915274        0.00771740        0.21568240        0.00481029        0.00094265
       -9.73000000        1.30094246        0.02423585        1.24944904        0.02436345        0.00289412
       -9.72000000        0.35724819        0.01202589        0.33485194        0.00895715        0.00141321
       -9.71000000        0.30584218        0.01169568        0.28387929        0.00883215        0.00143506
       -9.70000000        0.25360235        0.01094367        0.23237509        0.00874649        0.00153709
       -9.69000000        0.55086427        0.01324481        0.52149997        0.01358921        0.00253028
       -9.68000000        0.65766025        0.01636839        0.62222825        0.01618723        0.00287638
       -9.67000000        0.79875404        0.01841797        0.75758341        0.01946437        0.00328828
       -9.66000000        0.96533383        0.02182150        0.91930288        0.02093743        0.00327201
       -9.65000000        0.70665603        0.02025412        0.66635419        0.01721549        0.00283223
       -9.64000000        0.89222001        0.02318157        0.84628215        0.01967820        0.00307810
       -9.63000000        0.74997337        0.02070942        0.70922180        0.01755877        0.00248339
       -9.62000000        0.97499221        0.02676622        0.92111569        0.02378316        0.00332714
       -9.61000000        0.84044607        0.01830371        0.79850413        0.02070058        0.00293765
       -9.60000000        0.46983752        0.00727252        0.44850341        0.01199925        0.00206234
       -9.59000000        0.87079976        0.02034960        0.82594128        0.02100716        0.00350171
       -9.58000000        0.90647652        0.02949978        0.85175219        0.02212190        0.00310264
       -9.57000000        1.07040123        0.03603754        1.00590287        0.02475895        0.00370187
       -9.56000000        1.07360039        0.03486078        1.00855287        0.02636396        0.00382278
       -9.55000000        0.69976908        0.02099559        0.65742941        0.01868924        0.00265484
       -9.54000000        1.21905647        0.02692441        1.16168903        0.02629221        0.00415082
       -9.53000000        0.74996168        0.01286459        0.71564156        0.01849111        0.00296442
       -9.52000000        0.67860123        0.01455700        0.64672623        0.01480439        0.00251361
       -9.51000000        0.96736540        0.03022244        0.91545269        0.01882500        0.00286527
       -9.50000000        0.74428611        0.01848392        0.70396123        0.01920894        0.00263202
       -9.49000000        0.79845307        0.02063007        0.75006786        0.02441123        0.00334391
       -9.48000000        1.20556731        0.02913130        1.14034755        0.03137187        0.00471658
       -9.47000000        1.41901458        0.02719534        1.34929020        0.03722701        0.00530202
       -9.46000000        1.14644856        0.02086606        1.09252126        0.02877521        0.00428603
       -9.45000000        0.94624194        0.01951341        0.89824713        0.02462446        0.00385695
       -9.44000000        0.53858835        0.01475607        0.50581331        0.01535577        0.00266319
       -9.43000000        0.50740557        0.01422239        0.47600296        0.01447202        0.00270819
       -9.42000000        0.88357303        0.02025151        0.82985827        0.02724463        0.00621862
       -9.41000000        0.68540442        0.01856947        0.63780168        0.02433511        0.00469815
       -9.40000000        0.81335557        0.02099558        0.76713107        0.02101481        0.00421411
       -9.39000000        1.84398292        0.04698618        1.72803232        0.05719450        0.01176992
       -9.38000000        0.96966746        0.02009432        0.91162340        0.03296948        0.00498027
       -9.37000000        1.03857038        0.02341434        0.97945100        0.03049634        0.00520869
       -9.36000000        0.76573393        0.01417030        0.72311377        0.02468905        0.00376080
       -9.35000000        1.13026645        0.02364742        1.05574189        0.04362164        0.00725550
       -9.34000000        0.72550163        0.01696918        0.67837961        0.02585007        0.00430277
       -9.33000000        0.71158034        0.01859458        0.66500317        0.02391726        0.00406533
       -9.32000000        0.82159931        0.01695949        0.77200865        0.02839231        0.00423885
       -9.31000000        0.72707435        0.01381339        0.68157650        0.02783397        0.00385049
       -9.30000000        0.66799588        0.01326989        0.62622058        0.02481952        0.00368589
       -9.29000000        0.72344987        0.01338272        0.68219557        0.02373503        0.00413656
       -9.28000000        1.32562374        0.02132083        1.26127999        0.03598157        0.00704135
       -9.27000000        1.11582230        0.02400907        1.05668578        0.03027320        0.00485425
       -9.26000000        1.41353688        0.02564076        1.35306935        0.03009667        0.00473010
       -9.25000000        0.79666138        0.01663196        0.75815945        0.01878497        0.00308501
       -9.24000000        1.08871141        0.02788394        1.03235274        0.02481227        0.00366245
       -9.23000000        1.44263925        0.04196978        1.36342742        0.03284807        0.00439398
       -9.22000000        1.10742470        0.03104402        1.04765792        0.02528139        0.00344137
       -9.21000000        0.74812317        0.01783674        0.70854184        0.01904468        0.00269991
       -9.20000000        0.89249415        0.01646854        0.84989659        0.02294308        0.00318595
       -9.19000000        1.23728005        0.02810421        1.17509266        0.02958604        0.00449714
       -9.18000000        1.06107467        0.02225890        1.00236922        0.03163058        0.00481596
       -9.17000000        0.96967384        0.01961892        0.92078088        0.02538454        0.00388950
       -9.16000000        1.15070840        0.01863764        1.10179937        0.02616684        0.00410454
       -9.15000000        0.84027627        0.01313397        0.80311067        0.02029513        0.00373651
       -9.14000000        0.54501507        0.00799468        0.51806568        0.01605428        0.00290044
       -9.13000000        0.38395713        0.00612213        0.36353608        0.01237055        0.00192838
       -9.12000000        0.60989356        0.00973671        0.57805066        0.01914195        0.00296424
       -9.11000000        1.18862861        0.01838824        1.13013674        0.03525957        0.00484407
       -9.10000000        0.97464045        0.01414505        0.92672259        0.02894435        0.00482846
       -9.09000000        0.77246831        0.00857999        0.73824079        0.02171016        0.00393737
       -9.08000000        0.87016239        0.00377603        0.84376282        0.01971548        0.00290807
       -9.07000000        1.04571904        0.00951214        1.00271768        0.02850943        0.00497979
       -9.06000000        0.88749302        0.00946875        0.84691236        0.02677922        0.00433269
       -9.05000000        0.88600973        0.00884624        0.84368529        0.02916009        0.00431811
       -9.04000000        1.27848783        0.01187976        1.22306013        0.03837089        0.00517705
       -9.03000000        1.20024912        0.01395765        1.14479515        0.03579015        0.00570617
