#  aims_uuid : 8716F29A-4C5D-4E52-A8FF-C1530F6F71A7                                
#  angular momentum projected density of states for species Se as calculated by FHI-aims 
# The energy reference for this output is the chemical potential, mu =      -4.579706 eV
#      Energy (eV)         total dos     l= 0              l= 1              l= 2              l= 3
       -5.42029408        0.69849557        0.02498459        0.63881104        0.03009327        0.00460666
       -5.41029408        0.32950278        0.01694234        0.29894039        0.01154956        0.00207049
       -5.40029408        0.20393459        0.01259859        0.18201269        0.00778540        0.00153791
       -5.39029408        0.28605574        0.01424488        0.25792208        0.01159273        0.00229605
       -5.38029408        0.43756103        0.01787737        0.39819632        0.01802709        0.00346024
       -5.37029408        0.53315960        0.01967099        0.48802260        0.02142052        0.00404549
       -5.36029408        0.38914271        0.01447070        0.35425864        0.01743849        0.00297488
       -5.35029408        0.19621650        0.00919781        0.17568144        0.00958439        0.00175287
       -5.34029408        0.20806550        0.01052279        0.18589155        0.00984349        0.00180767
       -5.33029408        0.21738093        0.01150051        0.19372393        0.01023982        0.00191666
       -5.32029408        0.29214094        0.01754759        0.25830525        0.01371718        0.00257092
       -5.31029408        0.26383622        0.01527962        0.23365390        0.01248389        0.00241881
       -5.30029408        0.27100717        0.01558018        0.24037023        0.01259146        0.00246531
       -5.29029408        0.27750356        0.01573805        0.24642667        0.01281097        0.00252787
       -5.28029408        0.32013825        0.01639381        0.28643621        0.01441820        0.00289003
       -5.27029408        0.26893020        0.01190194        0.24395641        0.01088924        0.00218262
       -5.26029408        0.26565588        0.01071942        0.24411714        0.00907556        0.00174377
       -5.25029408        0.36124263        0.01263745        0.33538685        0.01116965        0.00204868
       -5.24029408        0.48312234        0.02115199        0.44510077        0.01412983        0.00273975
       -5.23029408        0.56600822        0.02338861        0.52306093        0.01649568        0.00306301
       -5.22029408        0.62745975        0.02464098        0.58092191        0.01858852        0.00330834
       -5.21029408        0.39558406        0.01695088        0.36370989        0.01271403        0.00220926
       -5.20029408        0.30617047        0.01356624        0.28083950        0.01002186        0.00174288
       -5.19029408        0.39083802        0.01605244        0.35930645        0.01322656        0.00225257
       -5.18029408        0.47827984        0.02014940        0.43817517        0.01688097        0.00307430
       -5.17029408        0.35849800        0.01666973        0.32700197        0.01219798        0.00262832
       -5.16029408        0.24224943        0.00503332        0.22859482        0.00737810        0.00124319
       -5.15029408        0.68508340        0.01701442        0.64036178        0.02361495        0.00409226
       -5.14029408        0.31405324        0.00824983        0.29357591        0.01064200        0.00158551
       -5.13029408        0.28152250        0.00809736        0.26189736        0.01004133        0.00148645
       -5.12029408        0.25155833        0.00781050        0.23277561        0.00950220        0.00147001
       -5.11029408        0.46722942        0.01250722        0.43682300        0.01528687        0.00261233
       -5.10029408        0.53780771        0.01470920        0.50218749        0.01791301        0.00299801
       -5.09029408        0.63907463        0.01746500        0.59648425        0.02175148        0.00337390
       -5.08029408        0.72366422        0.01996062        0.67573401        0.02464808        0.00332152
       -5.07029408        0.70794443        0.02095316        0.66045085        0.02344668        0.00309374
       -5.06029408        0.82328573        0.02151528        0.77040565        0.02808864        0.00327616
       -5.05029408        0.59714470        0.01458589        0.56013445        0.01963457        0.00278978
       -5.04029408        0.73967842        0.01822631        0.69171989        0.02618065        0.00355156
       -5.03029408        0.71237399        0.01505140        0.66830092        0.02571610        0.00330557
       -5.02029408        0.52041994        0.00927860        0.49226212        0.01650394        0.00237529
       -5.01029408        0.98375258        0.02408910        0.92602322        0.02893746        0.00470279
       -5.00029408        0.87705450        0.02059327        0.82123195        0.03063576        0.00459352
       -4.99029408        0.87780599        0.01994141        0.82257469        0.03091322        0.00437667
       -4.98029408        0.85570701        0.01910789        0.80228945        0.03005457        0.00425510
       -4.97029408        0.53448493        0.01305057        0.49924562        0.01928896        0.00289978
       -4.96029408        1.16245484        0.03939809        1.07948032        0.03901854        0.00455789
       -4.95029408        0.67694444        0.01549288        0.63248787        0.02569117        0.00327253
       -4.94029408        0.65853437        0.01191625        0.61930669        0.02451584        0.00279559
       -4.93029408        1.03919891        0.01940872        0.97568882        0.03983897        0.00426240
       -4.92029408        0.78193719        0.01346316        0.73114260        0.03342123        0.00391020
       -4.91029408        0.99982025        0.01654841        0.93489997        0.04335613        0.00501574
       -4.90029408        1.07793665        0.02393901        0.99994085        0.04811937        0.00593742
       -4.89029408        1.24098245        0.03109359        1.15138078        0.05138033        0.00712775
       -4.88029408        1.14327573        0.02640397        1.06777071        0.04294391        0.00615715
       -4.87029408        1.03372184        0.02225514        0.96915198        0.03634078        0.00597393
       -4.86029408        0.69182233        0.01508600        0.64606372        0.02603783        0.00463478
       -4.85029408        0.53703474        0.01046879        0.50010524        0.02254575        0.00391496
       -4.84029408        0.97433406        0.01975853        0.91070388        0.03780947        0.00606218
       -4.83029408        0.87415404        0.01356471        0.82234293        0.03308671        0.00515970
       -4.82029408        1.17429677        0.02601563        1.10123624        0.04019069        0.00685421
       -4.81029408        3.02032831        0.04944268        2.85758144        0.09928124        0.01402295
       -4.80029408        1.12005672        0.01978705        1.04674968        0.04625080        0.00726919
       -4.79029408        1.16251466        0.01960388        1.08664589        0.04940321        0.00686169
       -4.78029408        0.85365778        0.01262529        0.80030102        0.03586094        0.00487053
       -4.77029408        1.56349336        0.03549844        1.44459142        0.07373190        0.00967160
       -4.76029408        0.95527963        0.01567273        0.89197294        0.04237441        0.00525955
       -4.75029408        0.79020708        0.01058931        0.73976963        0.03479062        0.00505752
       -4.74029408        0.90022680        0.01271472        0.84293249        0.03902446        0.00555512
       -4.73029408        0.79976415        0.01152705        0.74726655        0.03568042        0.00529013
       -4.72029408        0.72850864        0.00965941        0.67986728        0.03376954        0.00521241
       -4.71029408        0.69677315        0.01145381        0.64611358        0.03414183        0.00506393
       -4.70029408        0.82864020        0.02173689        0.76434617        0.03674802        0.00580912
       -4.69029408        0.72338133        0.01659389        0.66749188        0.03375356        0.00554199
       -4.68029408        0.71457140        0.01271230        0.66487820        0.03145646        0.00552444
       -4.67029408        0.46006876        0.00912476        0.42611776        0.02103560        0.00379064
       -4.66029408        0.57709696        0.01418930        0.53333934        0.02436529        0.00520304
       -4.65029408        0.73974294        0.02004934        0.68249517        0.03078964        0.00640879
       -4.64029408        0.58308019        0.01610265        0.53644212        0.02542661        0.00510882
       -4.63029408        0.46328964        0.01341828        0.42371395        0.02206911        0.00408830
       -4.62029408        0.49157364        0.01276469        0.44776865        0.02644454        0.00459576
       -4.61029408        0.65960664        0.01528900        0.59684043        0.04124303        0.00623418
       -4.60029408        0.76356420        0.01779981        0.69515849        0.04367939        0.00692650
       -4.59029408        0.65446333        0.01375981        0.60011129        0.03500908        0.00558315
       -4.58029408        0.75844909        0.01508989        0.69711595        0.03981483        0.00642842
       -4.57029408        0.65904004        0.01220108        0.60402093        0.03751150        0.00530653
       -4.56029408        0.51183566        0.01014628        0.46514973        0.03180184        0.00473781
       -4.55029408        0.32182791        0.00643960        0.29457131        0.01753028        0.00328673
       -4.54029408        0.47773944        0.00806811        0.43772516        0.02708660        0.00485958
       -4.53029408        0.68152673        0.01290214        0.61820341        0.04356001        0.00686118
       -4.52029408        0.54256251        0.01002723        0.49691106        0.03067848        0.00494575
       -4.51029408        0.36387885        0.00655941        0.33312041        0.02079915        0.00339989
       -4.50029408        0.48205858        0.00838610        0.44874813        0.02072507        0.00419928
       -4.49029408        0.59816125        0.01182764        0.55335373        0.02767163        0.00530825
       -4.48029408        0.49057945        0.00908931        0.45122814        0.02549512        0.00476688
       -4.47029408        0.53562031        0.00992346        0.49180247        0.02850445        0.00538992
       -4.46029408        0.74122093        0.01505450        0.68204618        0.03766811        0.00645215
       -4.45029408        0.81817998        0.01718755        0.75288539        0.04090563        0.00720140
       -4.44029408        0.71868281        0.01512749        0.66155550        0.03505771        0.00694211
       -4.43029408        0.39237554        0.00573973        0.35807275        0.02383698        0.00472609
       -4.42029408        0.35656444        0.00484649        0.32506734        0.02206115        0.00458945
       -4.41029408        0.44173318        0.00778535        0.39688142        0.03029881        0.00676759
       -4.40029408        0.49435706        0.01018479        0.44193784        0.03460658        0.00762786
       -4.39029408        0.45166323        0.01239944        0.40507234        0.02761043        0.00658102
       -4.38029408        0.63744054        0.01236018        0.58960164        0.02890341        0.00657532
       -4.37029408        0.86975985        0.01512532        0.81290381        0.03363438        0.00809634
       -4.36029408        0.71574519        0.01193031        0.67164100        0.02534857        0.00682530
       -4.35029408        1.21927072        0.01742228        1.14640817        0.04299870        0.01244157
       -4.34029408        0.73146001        0.01047632        0.68130151        0.03095407        0.00872811
       -4.33029408        0.44248973        0.00582108        0.41032730        0.02117917        0.00516217
       -4.32029408        0.46236143        0.00688542        0.42803411        0.02223236        0.00520954
       -4.31029408        0.43862551        0.00708386        0.40571575        0.02085719        0.00496871
       -4.30029408        0.43560930        0.00749902        0.40247669        0.02066740        0.00496620
       -4.29029408        0.46242352        0.00843105        0.42631766        0.02234813        0.00532668
       -4.28029408        0.49920123        0.00938503        0.45966196        0.02430181        0.00585244
       -4.27029408        0.48729312        0.00998192        0.44840556        0.02322110        0.00568453
       -4.26029408        0.44102373        0.00899565        0.40554229        0.02122491        0.00526088
       -4.25029408        0.47922831        0.00980348        0.44098090        0.02217464        0.00626929
       -4.24029408        0.48954546        0.00914179        0.45159120        0.02223240        0.00658007
       -4.23029408        0.45499994        0.00889701        0.41986959        0.02010541        0.00612794
       -4.22029408        0.40559955        0.00794623        0.37432779        0.01770314        0.00562239
       -4.21029408        0.37814507        0.00774239        0.34923252        0.01595154        0.00521862
       -4.20029408        0.33553938        0.00715229        0.30951878        0.01426836        0.00459995
       -4.19029408        0.28082411        0.00686315        0.25793094        0.01229209        0.00373793
       -4.18029408        0.28120715        0.00747575        0.25794653        0.01221651        0.00356836
       -4.17029408        0.60868511        0.01536410        0.56398367        0.02154349        0.00779385
       -4.16029408        0.32172886        0.00864495        0.29168370        0.01723542        0.00416479
       -4.15029408        0.48200946        0.01155623        0.43673933        0.02717151        0.00654239
       -4.14029408        0.41663958        0.00891992        0.37974850        0.02292210        0.00504906
       -4.13029408        0.54278630        0.00866265        0.49781156        0.02989134        0.00642075
       -4.12029408        0.22582913        0.00395100        0.20439644        0.01443950        0.00304218
       -4.11029408        0.45020323        0.00802769        0.40855594        0.02794437        0.00567523
       -4.10029408        0.39136901        0.00641311        0.36403927        0.01664327        0.00427336
       -4.09029408        0.28303081        0.00313573        0.26407137        0.01295360        0.00287010
       -4.08029408        0.81591679        0.01387238        0.74915580        0.04224029        0.01064832
       -4.07029408        0.66537495        0.01286945        0.61809125        0.02831551        0.00609874
       -4.06029408        0.52494876        0.01143522        0.48501235        0.02308798        0.00541321
       -4.05029408        0.33757475        0.00874814        0.31071206        0.01468931        0.00342523
       -4.04029408        0.35411522        0.00915719        0.32502405        0.01617656        0.00375742
       -4.03029408        0.21415832        0.00553918        0.19537091        0.01089645        0.00235177
       -4.02029408        0.59162087        0.01245122        0.53680766        0.03628424        0.00607776
       -4.01029408        0.45445677        0.00910910        0.41554976        0.02504088        0.00475702
       -4.00029408        0.33416321        0.00504886        0.30720113        0.01854292        0.00337029
       -3.99029408        0.38237600        0.00490310        0.35197688        0.02169041        0.00380561
       -3.98029408        0.62163450        0.01024103        0.56920844        0.03592128        0.00626375
       -3.97029408        0.62034535        0.01185724        0.57153749        0.03083676        0.00611386
       -3.96029408        0.54657151        0.01148367        0.50384729        0.02580821        0.00543234
       -3.95029408        0.66970562        0.01216230        0.61798100        0.03231948        0.00724285
       -3.94029408        0.59086346        0.00919767        0.54633383        0.02889969        0.00643227
       -3.93029408        0.53173467        0.00907498        0.49049381        0.02647476        0.00569112
       -3.92029408        0.36154353        0.00586551        0.33355619        0.01806736        0.00405448
       -3.91029408        0.37363826        0.00834432        0.34404433        0.01723513        0.00401448
       -3.90029408        0.48277024        0.01150016        0.44402918        0.02216200        0.00507891
       -3.89029408        0.48442321        0.00991033        0.44493221        0.02412604        0.00545463
       -3.88029408        0.67947599        0.01127513        0.61725477        0.04223643        0.00870967
       -3.87029408        0.41665903        0.00812990        0.38010941        0.02338437        0.00503535
       -3.86029408        0.30580507        0.00670301        0.28199280        0.01398000        0.00312926
       -3.85029408        0.35700576        0.00749657        0.32865141        0.01706932        0.00378846
       -3.84029408        0.41509075        0.00895986        0.38210738        0.01980836        0.00421515
       -3.83029408        0.46016368        0.00870473        0.42433075        0.02275308        0.00437513
       -3.82029408        0.33593176        0.00628372        0.30904975        0.01735433        0.00324396
       -3.81029408        0.37319792        0.00984337        0.34197431        0.01754100        0.00383925
       -3.80029408        0.38393708        0.00971316        0.34926201        0.02041143        0.00455047
       -3.79029408        0.37204255        0.01144096        0.33626930        0.02002942        0.00430286
       -3.78029408        0.34298582        0.01206815        0.30943437        0.01772382        0.00375948
       -3.77029408        0.54660488        0.01778528        0.49462456        0.02849301        0.00570204
       -3.76029408        0.72367633        0.02291104        0.65899631        0.03434869        0.00742030
       -3.75029408        0.45153314        0.01670970        0.41126788        0.01996000        0.00359556
       -3.74029408        0.55625847        0.02167570        0.50808901        0.02251757        0.00397619
       -3.73029408        0.68589455        0.02874506        0.62392503        0.02800965        0.00521482
       -3.72029408        0.82835300        0.03481916        0.75217209        0.03487193        0.00648983
       -3.71029408        0.85303322        0.04115859        0.77375029        0.03190143        0.00622292
