#  aims_uuid : 87323F37-79E7-45F4-A618-CD6764335175                                
#  angular momentum projected density of states for species Se as calculated by FHI-aims 
# The energy reference for this output is the vacuum level =       0.000000 eV
#      Energy (eV)         total dos     l= 0              l= 1              l= 2              l= 3
      -10.00000000        0.45952012        0.01371855        0.42505761        0.01732626        0.00341770
       -9.99000000        0.22567411        0.00881089        0.20542415        0.01012044        0.00131863
       -9.98000000        0.57180709        0.01984111        0.51767087        0.02993278        0.00436233
       -9.97000000        0.11184705        0.00603662        0.10086701        0.00436514        0.00057828
       -9.96000000        0.18098223        0.01048018        0.16010163        0.00930401        0.00109641
       -9.95000000        0.15032012        0.00871173        0.13296591        0.00770011        0.00094237
       -9.94000000        0.15040383        0.00937224        0.13291376        0.00720113        0.00091670
       -9.93000000        0.16002890        0.01017644        0.14145667        0.00740804        0.00098775
       -9.92000000        0.16581733        0.01056123        0.14648281        0.00770600        0.00106729
       -9.91000000        0.17165523        0.01057443        0.15160807        0.00829003        0.00118270
       -9.90000000        0.16407670        0.00938318        0.14459647        0.00881778        0.00127928
       -9.89000000        0.28426262        0.01211411        0.25269688        0.01738970        0.00206193
       -9.88000000        0.23841255        0.01145659        0.21155968        0.01348742        0.00190886
       -9.87000000        0.25685801        0.01210157        0.22816444        0.01447134        0.00212066
       -9.86000000        0.25106042        0.01116034        0.22525953        0.01269010        0.00195044
       -9.85000000        0.37650527        0.02159674        0.33945789        0.01361041        0.00184023
       -9.84000000        0.42081712        0.02461657        0.37917363        0.01493636        0.00209057
       -9.83000000        0.46450010        0.02735661        0.41842021        0.01636082        0.00236246
       -9.82000000        0.50755422        0.02981686        0.45719765        0.01788379        0.00265592
       -9.81000000        0.57091105        0.03404639        0.51380655        0.02001074        0.00304737
       -9.80000000        0.63387042        0.03820988        0.56990885        0.02227555        0.00347615
       -9.79000000        0.38654528        0.01998511        0.34997725        0.01425431        0.00232861
       -9.78000000        0.29953584        0.01624446        0.26796085        0.01332537        0.00200515
       -9.77000000        0.29312900        0.01651539        0.26028548        0.01402762        0.00230050
       -9.76000000        0.27826116        0.01831220        0.24339341        0.01391763        0.00263792
       -9.75000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
       -9.74000000        0.37415575        0.00692780        0.34669930        0.01815056        0.00237808
       -9.73000000        0.50486050        0.00995192        0.45903183        0.03241956        0.00345719
       -9.72000000        0.59364214        0.01192477        0.53776602        0.03984301        0.00410834
       -9.71000000        0.85921761        0.01633569        0.77793001        0.05940298        0.00554892
       -9.70000000        0.09711836        0.00316972        0.08878343        0.00411224        0.00105297
       -9.69000000        0.34928767        0.01159045        0.32144218        0.01441280        0.00184223
       -9.68000000        0.80300357        0.01796518        0.74728800        0.03462482        0.00312557
       -9.67000000        1.14259387        0.01959441        1.06859926        0.05028371        0.00411648
       -9.66000000        1.40392698        0.02093225        1.31192386        0.06533808        0.00573279
       -9.65000000        1.13325727        0.01850679        1.05927622        0.05150232        0.00397194
       -9.64000000        0.62505581        0.01874970        0.58269054        0.02122526        0.00239030
       -9.63000000        1.08070562        0.03984883        1.00301034        0.03422382        0.00362263
       -9.62000000        0.82102024        0.02497577        0.77077315        0.02313400        0.00213731
       -9.61000000        0.42586454        0.01782086        0.39212072        0.01464133        0.00128163
       -9.60000000        1.98012501        0.03461730        1.87685242        0.06441696        0.00423833
       -9.59000000        1.73719776        0.03048086        1.65015058        0.05302611        0.00354021
       -9.58000000        1.78025883        0.03714993        1.67063210        0.06851828        0.00395851
       -9.57000000        1.25667653        0.02919812        1.17187914        0.05196177        0.00363749
       -9.56000000        0.70243508        0.01282417        0.65809351        0.02912331        0.00239409
       -9.55000000        0.90037009        0.01618778        0.84758362        0.03341745        0.00318123
       -9.54000000        1.91663557        0.06475344        1.76504496        0.07702072        0.00981646
       -9.53000000        0.68761090        0.01839235        0.63001458        0.03375302        0.00545095
       -9.52000000        0.70365270        0.01693388        0.65441429        0.02845660        0.00384793
       -9.51000000        0.76086861        0.01300627        0.72008082        0.02488720        0.00289431
       -9.50000000        1.18233108        0.02001293        1.11763091        0.04038008        0.00430716
       -9.49000000        1.20475428        0.01742928        1.14182196        0.04085721        0.00464583
       -9.48000000        0.48050879        0.00806424        0.44195634        0.02782027        0.00266794
       -9.47000000        0.59136396        0.00800028        0.54580563        0.03392571        0.00363234
       -9.46000000        1.11420370        0.01557859        1.03959527        0.05347760        0.00555223
       -9.45000000        1.28340084        0.02301308        1.18875911        0.06376655        0.00786210
       -9.44000000        1.08661344        0.02310285        0.99955371        0.05783140        0.00612548
       -9.43000000        1.19584539        0.03202541        1.10180018        0.05509407        0.00692572
       -9.42000000        0.94580568        0.02130751        0.88458089        0.03499768        0.00491960
       -9.41000000        0.52382291        0.01075355        0.48974267        0.02000229        0.00332439
       -9.40000000        0.57117951        0.01038153        0.53506207        0.02097431        0.00476160
       -9.39000000        0.89094823        0.01653728        0.83194121        0.03360410        0.00886564
       -9.38000000        0.44333511        0.01324078        0.41073943        0.01395380        0.00540110
