#  aims_uuid : 87323F37-79E7-45F4-A618-CD6764335175                                
#  angular momentum projected density of states for species W as calculated by FHI-aims 
# The energy reference for this output is the chemical potential, mu =      -4.498546 eV
#      Energy (eV)         total dos     l= 0              l= 1              l= 2              l= 3
       -5.50145431        0.65689282        0.03391524        0.08516726        0.52640426        0.01140605
       -5.49145431        0.38139697        0.01434018        0.06188748        0.29873004        0.00643927
       -5.48145431        0.80150995        0.03463820        0.12182831        0.63173039        0.01331305
       -5.47145431        0.22268867        0.01340631        0.04080729        0.16542299        0.00305208
       -5.46145431        0.37208085        0.02837118        0.06132396        0.27706819        0.00531753
       -5.45145431        0.30877086        0.02232861        0.05549572        0.22592003        0.00502649
       -5.44145431        0.28436941        0.02212347        0.04400031        0.21351806        0.00472756
       -5.43145431        0.28790534        0.02324905        0.04122110        0.21846954        0.00496564
       -5.42145431        0.28868675        0.02453095        0.03859075        0.22042836        0.00513669
       -5.41145431        0.29559588        0.02612029        0.03691608        0.22730732        0.00525219
       -5.40145431        0.29035278        0.02759853        0.03394597        0.22372934        0.00507895
       -5.39145431        0.57829703        0.05847285        0.07939164        0.43124565        0.00918689
       -5.38145431        0.47999537        0.04123661        0.06538665        0.36591987        0.00745224
       -5.37145431        0.50572640        0.04278606        0.06639906        0.38882058        0.00772070
       -5.36145431        0.47285325        0.03198039        0.06371185        0.37024808        0.00691293
       -5.35145431        0.54325550        0.02872844        0.07009426        0.43749652        0.00693627
       -5.34145431        0.58502076        0.03052694        0.07172829        0.47517976        0.00758577
       -5.33145431        0.61905139        0.03264918        0.07243272        0.50575375        0.00821574
       -5.32145431        0.64534737        0.03509515        0.07220754        0.52921849        0.00882619
       -5.31145431        0.68933925        0.03807945        0.07384666        0.56765497        0.00975817
       -5.30145431        0.72832117        0.04101339        0.07567020        0.60093699        0.01070060
       -5.29145431        0.42011510        0.02309567        0.05494937        0.33462209        0.00744798
       -5.28145431        0.31953553        0.01888864        0.06000812        0.23422785        0.00641092
       -5.27145431        0.38302662        0.03234533        0.07128222        0.27100763        0.00839144
       -5.26145431        0.50730592        0.06449782        0.08159263        0.34891578        0.01229968
       -5.25145431        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
       -5.24145431        0.31797313        0.01205884        0.04990872        0.24794004        0.00806554
       -5.23145431        0.51287484        0.02331420        0.09002357        0.38897489        0.01056218
       -5.22145431        0.65684216        0.03000414        0.12606126        0.48950754        0.01126923
       -5.21145431        0.88538564        0.03707474        0.16109516        0.67288902        0.01432672
       -5.20145431        0.17264523        0.00881367        0.02111768        0.14009541        0.00261847
       -5.19145431        0.30042861        0.01298823        0.04183095        0.24006332        0.00554611
       -5.18145431        0.54608769        0.02090853        0.09553978        0.41950701        0.01013237
       -5.17145431        0.77522503        0.02931311        0.15334545        0.57906465        0.01350182
       -5.16145431        1.18193638        0.05644342        0.22234974        0.88490817        0.01823505
       -5.15145431        0.83143281        0.02605175        0.18557973        0.60777943        0.01202189
       -5.14145431        0.44538345        0.01805460        0.07428490        0.34652343        0.00652053
       -5.13145431        0.70772718        0.02534052        0.08943866        0.58246607        0.01048193
       -5.12145431        0.51147858        0.01272211        0.06916658        0.42206650        0.00752338
       -5.11145431        0.19942598        0.01320775        0.01620929        0.16732458        0.00268436
       -5.10145431        0.75426894        0.01515614        0.19250808        0.53562383        0.01098089
       -5.09145431        0.91705490        0.01420214        0.17861486        0.71233756        0.01190034
       -5.08145431        0.97631571        0.01660001        0.20441671        0.74441625        0.01088274
       -5.07145431        0.75615679        0.01771399        0.16732930        0.56348004        0.00763346
       -5.06145431        0.55756253        0.01394602        0.14108489        0.39814148        0.00439014
       -5.05145431        0.73779853        0.01703606        0.19340371        0.52186808        0.00549067
       -5.04145431        1.38873091        0.03361022        0.23543705        1.10150228        0.01818136
       -5.03145431        0.53088805        0.01092130        0.09999446        0.41211422        0.00785806
