#  aims_uuid : 2267E2A8-C98B-4FA7-A740-1C2EE6C0793A                                
#  angular momentum projected density of states for species Se as calculated by FHI-aims 
# The energy reference for this output is the chemical potential, mu =      -4.839739 eV
#      Energy (eV)         total dos     l= 0              l= 1              l= 2              l= 3
       -5.16026099        0.12802070        0.00441207        0.11978417        0.00329506        0.00052940
       -5.15025098        0.02951686        0.00101794        0.02794942        0.00043953        0.00010997
       -5.14024097        0.18923279        0.00373731        0.18205722        0.00303201        0.00040626
       -5.13023096        0.18172472        0.00349052        0.17494889        0.00289180        0.00039352
       -5.12022095        0.17425184        0.00325341        0.16786294        0.00275482        0.00038068
       -5.11021094        0.16681416        0.00302597        0.16079938        0.00262106        0.00036775
       -5.10020093        0.15941167        0.00280821        0.15375821        0.00249053        0.00035472
       -5.09019092        0.21783843        0.00414051        0.20917228        0.00400557        0.00052006
       -5.08018091        0.34736580        0.00676935        0.33258128        0.00704108        0.00097409
       -5.07017090        0.46388662        0.00857691        0.44438265        0.00940242        0.00152465
       -5.06016089        0.35021343        0.00609998        0.33712332        0.00596435        0.00102577
       -5.05015088        0.38645932        0.00630022        0.37302078        0.00594621        0.00119210
       -5.04014087        0.31124887        0.00488114        0.30071550        0.00485184        0.00080040
       -5.03013086        0.31217054        0.00483380        0.30186106        0.00468304        0.00079264
       -5.02012085        0.45146607        0.00926094        0.43524064        0.00576578        0.00119871
       -5.01011084        0.62094332        0.01202854        0.59925996        0.00802939        0.00162542
       -5.00010083        0.82076295        0.01313517        0.79403976        0.01151772        0.00207030
       -4.99009082        0.40426600        0.00821358        0.39029044        0.00479764        0.00096434
       -4.98008081        0.46969215        0.01032839        0.45255944        0.00568568        0.00111864
       -4.97007080        0.53326836        0.01299374        0.51227548        0.00671537        0.00128377
       -4.96006079        0.59499462        0.01620963        0.56943856        0.00788670        0.00145973
       -4.95005078        0.34161398        0.01399043        0.32053516        0.00628335        0.00080504
       -4.94004077        0.37347176        0.01813238        0.34694900        0.00743811        0.00095227
       -4.93003076        0.40240553        0.02287931        0.36972988        0.00868635        0.00110998
       -4.92002075        0.42841529        0.02823122        0.38887782        0.01002809        0.00127816
       -4.91001074        0.19739398        0.00862390        0.18451864        0.00373214        0.00051931
       -4.90000073        0.97832357        0.06514938        0.88783647        0.02142012        0.00391760
       -4.88999072        0.54006052        0.03531615        0.49147057        0.01099282        0.00228098
       -4.87998071        0.47938433        0.03142007        0.43638879        0.00958928        0.00198619
       -4.86997070        0.41912917        0.02775217        0.38140278        0.00827795        0.00169628
       -4.85996069        0.44749810        0.03062009        0.40667276        0.00824338        0.00196188
       -4.84995068        1.15298852        0.06242824        1.06479020        0.02189792        0.00387216
       -4.83994067        1.06738665        0.07489808        0.96683526        0.02250723        0.00314609
       -4.82993066        0.86459839        0.06342348        0.78030492        0.01843137        0.00243861
       -4.81992065        0.49999615        0.03602792        0.45240581        0.01012394        0.00143848
       -4.80991064        1.87661313        0.15918335        1.62183389        0.08614928        0.00944661
       -4.79990063        0.95949186        0.06907436        0.83821405        0.04754359        0.00465987
       -4.78989062        0.47061350        0.03937114        0.40822061        0.02092404        0.00209770
       -4.77988061        0.70498081        0.04483876        0.62030656        0.03614718        0.00368831
       -4.76987060        0.86261251        0.05017656        0.76686069        0.04108619        0.00448907
       -4.75986059        1.08120565        0.06113355        0.96739932        0.04716652        0.00550625
       -4.74985058        0.66605186        0.04231512        0.58734257        0.03260451        0.00378965
       -4.73984057        0.52332352        0.03875273        0.45638688        0.02527538        0.00290853
       -4.72983056        0.99546803        0.08994002        0.86101792        0.03950649        0.00500359
       -4.71982055        0.99426328        0.06057658        0.87062777        0.05693966        0.00611927
       -4.70981054        0.20726998        0.01486247        0.18524431        0.00629912        0.00086408
       -4.69980053        0.13720800        0.00936588        0.12199461        0.00510263        0.00074488
       -4.68979052        0.23625083        0.01940106        0.20676457        0.00890912        0.00117609
       -4.67978051        0.54675090        0.04637003        0.47782950        0.02005183        0.00249954
       -4.66977050        0.97484770        0.06535355        0.86815253        0.03689852        0.00444310
       -4.65976049        1.11241760        0.06630094        0.99442446        0.04634321        0.00534900
       -4.64975048        0.75351718        0.03836967        0.68058637        0.03015679        0.00440434
       -4.63974047        0.69679373        0.04624422        0.62145098        0.02548410        0.00361443
       -4.62973046        0.97028509        0.06752936        0.85763270        0.03947373        0.00564930
       -4.61972045        0.77253479        0.04593578        0.69055190        0.03114108        0.00490604
       -4.60971044        0.90548963        0.05324758        0.80334717        0.04278429        0.00611059
       -4.59970043        2.58460380        0.07234454        2.40676433        0.09274620        0.01274874
       -4.58969042        1.55530889        0.10940467        1.35335190        0.08176337        0.01078895
       -4.57968041        1.28331770        0.10034947        1.11613557        0.05873790        0.00809475
       -4.56967040        0.91046537        0.07721322        0.78867857        0.03903697        0.00553662
       -4.55966039        0.96697708        0.08791486        0.83097750        0.04208499        0.00599974
       -4.54965038        2.62411392        0.15859735        2.33804526        0.10958849        0.01788282
       -4.53964037        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
       -4.52963036        2.31784351        0.18519890        2.02198203        0.09441541        0.01624718
       -4.51962035        0.75465649        0.05318367        0.67143256        0.02467567        0.00536459
       -4.50961034        0.64403745        0.05257580        0.56169365        0.02584209        0.00392592
       -4.49960033        0.71380670        0.05744091        0.61772895        0.03403835        0.00459849
       -4.48959032        0.42834330        0.03098869        0.36393689        0.02942250        0.00399523
       -4.47958031        0.10661551        0.00845008        0.09166839        0.00575763        0.00073941
       -4.46957030        0.76958621        0.06991291        0.65489765        0.03977156        0.00500410
       -4.45956029        1.06391412        0.09528492        0.91103711        0.05072406        0.00686803
       -4.44955028        0.39287443        0.02384259        0.34673827        0.01989481        0.00239876
       -4.43954027        2.28488716        0.18729954        1.97076135        0.11196067        0.01486560
       -4.42953026        0.63638548        0.02802381        0.56137456        0.04246045        0.00452666
       -4.41952025        0.30451568        0.02252911        0.26165283        0.01817414        0.00215960
       -4.40951024        0.41848291        0.02477548        0.37068331        0.02032582        0.00269829
       -4.39950023        1.36185935        0.07213171        1.21526699        0.06586670        0.00859394
