#  aims_uuid : 910732AB-C844-4150-AB55-E765764D4D1C                                
#  angular momentum projected density of states for species Se as calculated by FHI-aims 
# The energy reference for this output is the chemical potential, mu =      -5.267473 eV
#      Energy (eV)         total dos     l= 0              l= 1              l= 2              l= 3
       -4.73252657        0.36263359        0.01923006        0.33327984        0.00875682        0.00136687
       -4.72252657        0.31911994        0.01639115        0.29399479        0.00756068        0.00117332
       -4.71252657        0.28433787        0.01426068        0.26239292        0.00667012        0.00101415
       -4.70252657        0.25828738        0.01283867        0.23847423        0.00608512        0.00088937
       -4.69252657        0.72402117        0.03603751        0.66756778        0.01703912        0.00337675
       -4.68252657        0.56433007        0.02777329        0.51778083        0.01517053        0.00360543
       -4.67252657        0.34307718        0.02155759        0.30879569        0.01120839        0.00151553
       -4.66252657        0.78345939        0.04617143        0.70834036        0.02557010        0.00337750
       -4.65252657        0.69477606        0.03774367        0.63122323        0.02281581        0.00299334
       -4.64252657        0.66406495        0.03211894        0.60753824        0.02157818        0.00282959
       -4.63252657        0.66699697        0.02807176        0.61496328        0.02115671        0.00280521
       -4.62252657        0.64667443        0.02464924        0.59964779        0.01971410        0.00266329
       -4.61252657        0.59624902        0.02275406        0.55268593        0.01838427        0.00242476
       -4.60252657        0.58359776        0.02430347        0.53773276        0.01923147        0.00233005
       -4.59252657        0.69325661        0.03304430        0.63264813        0.02494157        0.00262262
       -4.58252657        0.93255241        0.04965365        0.84500168        0.03463823        0.00325885
       -4.57252657        1.28051179        0.07236785        1.15582945        0.04802761        0.00428687
       -4.56252657        0.77121551        0.04124546        0.69788037        0.02940473        0.00268495
       -4.55252657        0.77276106        0.04234519        0.69798645        0.02972880        0.00270062
       -4.54252657        0.74033523        0.04140927        0.66760941        0.02867938        0.00263717
       -4.53252657        0.88703439        0.05804613        0.79373728        0.03176873        0.00348226
       -4.52252657        1.20832256        0.08630072        1.07745158        0.03949289        0.00507738
       -4.51252657        1.90459138        0.12326512        1.70688297        0.06624208        0.00820120
       -4.50252657        2.55516219        0.16989400        2.29449668        0.08063757        0.01013395
       -4.49252657        4.10123154        0.25481302        3.71019458        0.12074637        0.01547757
       -4.48252657        1.67326737        0.09679503        1.51444777        0.05424468        0.00777989
       -4.47252657        1.53850183        0.08858104        1.38741320        0.05570431        0.00680329
       -4.46252657        0.84733674        0.02504079        0.79278282        0.02603472        0.00347841
       -4.45252657        0.46604867        0.01295259        0.43487347        0.01577836        0.00244424
       -4.44252657        0.60001613        0.03057786        0.53783274        0.02685748        0.00474806
       -4.43252657        0.50064346        0.02225923        0.45206869        0.02275189        0.00356365
       -4.42252657        0.27319124        0.01301212        0.24772111        0.01096531        0.00149270
       -4.41252657        0.88409939        0.03491587        0.80356718        0.04011984        0.00549650
       -4.40252657        1.15977791        0.04704962        1.07592927        0.03292715        0.00387186
       -4.39252657        0.91142932        0.04198161        0.84169645        0.02494590        0.00280536
       -4.38252657        0.27262858        0.01380386        0.24239282        0.01311427        0.00331762
       -4.37252657        0.66474823        0.02998531        0.59773567        0.02976885        0.00725841
       -4.36252657        0.28882363        0.01677856        0.25544808        0.01427969        0.00231729
       -4.35252657        0.80012333        0.03415789        0.73042238        0.02993686        0.00560620
       -4.34252657        0.68192993        0.02866312        0.61782642        0.03122772        0.00421268
       -4.33252657        2.33886792        0.08490710        2.17355947        0.07339620        0.00700515
       -4.32252657        2.41045176        0.09946446        2.22197215        0.07967845        0.00933670
       -4.31252657        3.52717795        0.16797109        3.28346641        0.06518163        0.01055882
       -4.30252657        2.23206040        0.10280149        2.07905103        0.04375598        0.00645190
       -4.29252657        1.41332386        0.06428069        1.31836959        0.02702194        0.00365164
       -4.28252657        1.31925626        0.05230444        1.22828784        0.03449119        0.00417279
       -4.27252657        1.34186303        0.05355395        1.25316744        0.03104965        0.00409199
       -4.26252657        1.16606354        0.04846249        1.08352418        0.02899270        0.00508417
       -4.25252657        0.78842331        0.03687282        0.72183402        0.02470202        0.00501444
       -4.24252657        0.72528619        0.03690163        0.66293019        0.02087133        0.00458304
       -4.23252657        0.73262981        0.04325008        0.65881656        0.02544533        0.00511784
       -4.22252657        0.52602226        0.02337516        0.48156503        0.01697066        0.00411140
       -4.21252657        0.38199656        0.01614929        0.34892762        0.01349244        0.00342721
       -4.20252657        0.32958709        0.01299950        0.30218462        0.01136997        0.00303299
       -4.19252657        0.88999329        0.02233908        0.82472604        0.03875612        0.00417205
       -4.18252657        0.52602093        0.01658184        0.48776218        0.01773120        0.00394570
       -4.17252657        0.49567111        0.01283494        0.46192201        0.01755895        0.00335521
       -4.16252657        0.71372393        0.01219361        0.66803316        0.02815807        0.00533909
       -4.15252657        0.55390544        0.00971716        0.51537132        0.02461080        0.00420616
       -4.14252657        0.33789887        0.00654391        0.31100580        0.01747758        0.00287159
       -4.13252657        0.37693749        0.01092960        0.33967938        0.02116067        0.00516784
       -4.12252657        0.35669824        0.01170607        0.32284592        0.01757255        0.00457370
       -4.11252657        0.36218977        0.01135975        0.32475527        0.02118452        0.00489023
       -4.10252657        0.33876966        0.01080610        0.30255672        0.02091705        0.00448980
       -4.09252657        0.28744251        0.00937556        0.25803436        0.01685185        0.00318074
       -4.08252657        0.25570027        0.00811373        0.23091192        0.01428296        0.00239166
       -4.07252657        0.24234619        0.00732432        0.21983188        0.01322297        0.00196702
       -4.06252657        0.42192454        0.01380854        0.38178923        0.02292624        0.00340053
       -4.05252657        0.09750143        0.00231654        0.09144280        0.00315187        0.00059021
       -4.04252657        0.33639348        0.01216768        0.31249942        0.01012056        0.00160582
       -4.03252657        2.09811874        0.07977144        1.96079447        0.04810785        0.00944498
       -4.02252657        2.26693567        0.04779051        2.15180198        0.05650254        0.01084064
       -4.01252657        0.86628239        0.01631304        0.80630503        0.03618196        0.00748236
       -4.00252657        0.36957440        0.00853073        0.34300819        0.01454819        0.00348729
       -3.99252657        0.24223124        0.00671409        0.22331859        0.00957911        0.00261945
       -3.98252657        0.76079530        0.02495640        0.71056080        0.02072127        0.00455684
       -3.97252657        0.61962551        0.02114788        0.57402193        0.02019970        0.00425600
       -3.96252657        0.74801705        0.02635953        0.69028929        0.02566863        0.00569960
       -3.95252657        0.83951814        0.04131004        0.75803453        0.03337823        0.00679535
       -3.94252657        0.50679572        0.02224746        0.46194817        0.01859892        0.00400118
       -3.93252657        1.16622449        0.03869286        1.07613791        0.04413508        0.00725865
       -3.92252657        1.00494341        0.03048739        0.92804019        0.04112713        0.00528869
       -3.91252657        1.00710359        0.02749563        0.93798824        0.03522289        0.00639683
       -3.90252657        1.32276818        0.02184887        1.23139251        0.06158563        0.00794118
       -3.89252657        1.64104936        0.03868956        1.53215990        0.06016334        0.01003656
       -3.88252657        0.81965236        0.02114602        0.76855100        0.02493052        0.00502482
       -3.87252657        0.64962058        0.01063867        0.61024981        0.02400575        0.00472635
       -3.86252657        1.38046537        0.01740978        1.30069766        0.05172440        0.01063353
       -3.85252657        1.23575285        0.00787351        1.18499770        0.03484924        0.00803240
       -3.84252657        0.80184599        0.00923502        0.75500141        0.03119049        0.00641907
       -3.83252657        0.89082879        0.01761592        0.81943875        0.04358699        0.01018715
       -3.82252657        2.33651816        0.03057431        2.18676246        0.10179395        0.01738743
       -3.81252657        0.92769224        0.01415309        0.87345800        0.03336857        0.00671258
       -3.80252657        0.59222826        0.01002615        0.55161281        0.02408018        0.00650911
       -3.79252657        0.32993090        0.00512221        0.30358900        0.01681673        0.00440296
       -3.78252657        0.15131913        0.00344659        0.13697588        0.00897499        0.00192166
       -3.77252657        0.16404023        0.00351110        0.14905433        0.00942661        0.00204819
       -3.76252657        0.19248652        0.00375817        0.17547413        0.01089104        0.00236318
       -3.75252657        0.21938008        0.00371325        0.20087457        0.01194418        0.00284807
       -3.74252657        0.34082465        0.00470231        0.31491258        0.01699098        0.00421878
       -3.73252657        0.31274311        0.00709144        0.28892954        0.01379932        0.00292281
       -3.72252657        0.47969042        0.01095336        0.44500938        0.01915856        0.00456913
       -3.71252657        0.75118865        0.01484359        0.70357918        0.02397024        0.00879564
