#  aims_uuid : 910732AB-C844-4150-AB55-E765764D4D1C                                
#  angular momentum projected density of states for species W as calculated by FHI-aims 
# The energy reference for this output is the vacuum level =       0.000000 eV
#      Energy (eV)         total dos     l= 0              l= 1              l= 2              l= 3
      -10.00000000        0.22596581        0.00380358        0.01797141        0.19685194        0.00733888
       -9.99000000        0.21685902        0.00314107        0.01557992        0.19077621        0.00736183
       -9.98000000        0.20885549        0.00255216        0.01348022        0.18544612        0.00737698
       -9.97000000        0.20195521        0.00203686        0.01167230        0.18086169        0.00738435
       -9.96000000        0.53314843        0.00192558        0.01680229        0.50263383        0.01178674
       -9.95000000        0.76732486        0.00315855        0.03340922        0.70436783        0.02638926
       -9.94000000        0.12253575        0.00667100        0.02420227        0.08771079        0.00395168
       -9.93000000        0.26031909        0.01070451        0.04342513        0.19873310        0.00745634
       -9.92000000        0.26337499        0.01421790        0.03930552        0.20237776        0.00747381
       -9.91000000        0.29333969        0.01925769        0.03843373        0.22777475        0.00787352
       -9.90000000        0.33620364        0.02444312        0.03739310        0.26606581        0.00830161
       -9.89000000        0.35916249        0.02729627        0.03262844        0.29184524        0.00739254
       -9.88000000        0.39058643        0.02724150        0.02925946        0.32625314        0.00783234
       -9.87000000        0.40665174        0.02451195        0.02773272        0.34600794        0.00839913
       -9.86000000        0.42575654        0.02189386        0.03402661        0.36021353        0.00962254
       -9.85000000        0.45243197        0.02038080        0.04612196        0.37544982        0.01047940
       -9.84000000        0.48758240        0.02151620        0.06133305        0.39397277        0.01076038
       -9.83000000        0.40715813        0.01501795        0.04812164        0.33578374        0.00823481
       -9.82000000        0.41466067        0.01408634        0.05426041        0.33807791        0.00823600
       -9.81000000        0.42499025        0.01342458        0.06053852        0.34261672        0.00841042
       -9.80000000        0.48107599        0.01735490        0.07089867        0.38315080        0.00967163
       -9.79000000        0.59954007        0.02474458        0.09069515        0.47145380        0.01264653
       -9.78000000        0.88852677        0.05030410        0.13274737        0.68565858        0.01981671
       -9.77000000        0.93014029        0.06014723        0.14120394        0.70772814        0.02106099
       -9.76000000        1.52043408        0.04862995        0.27419911        1.15851868        0.03908633
       -9.75000000        0.96016658        0.02476490        0.12525689        0.79022375        0.01992104
       -9.74000000        1.52889822        0.04668789        0.23609359        1.21273196        0.03338477
       -9.73000000        0.51547893        0.02166857        0.14364833        0.33431947        0.01584256
       -9.72000000        0.33865436        0.01020299        0.11864498        0.19915703        0.01064935
       -9.71000000        0.71717903        0.00774402        0.21444838        0.47177120        0.02321543
       -9.70000000        0.63538601        0.00824274        0.15110466        0.46225307        0.01378553
       -9.69000000        0.23429457        0.00364126        0.07125216        0.15592134        0.00347981
       -9.68000000        0.95779261        0.05965825        0.20881709        0.66876173        0.02055554
       -9.67000000        0.82173864        0.04806059        0.19867476        0.55909530        0.01590799
       -9.66000000        0.61207689        0.03326602        0.15987993        0.40882504        0.01010589
       -9.65000000        0.74756336        0.00872508        0.12586589        0.60286982        0.01010257
       -9.64000000        1.42169717        0.02021566        0.26812299        1.11319594        0.02016259
       -9.63000000        0.41774292        0.00439539        0.10607624        0.30027740        0.00699389
       -9.62000000        0.75416573        0.01798687        0.29184845        0.42848669        0.01584372
       -9.61000000        0.51434330        0.00353195        0.18212246        0.31786686        0.01082203
       -9.60000000        1.43923187        0.09098931        0.22028072        1.10813589        0.01982595
       -9.59000000        2.28376951        0.04067311        0.18494809        2.02439084        0.03375746
       -9.58000000        0.98634528        0.05952112        0.19796386        0.71379806        0.01506225
       -9.57000000        0.87958364        0.05692193        0.12812606        0.68296788        0.01156777
       -9.56000000        0.66911187        0.04647025        0.08072350        0.53311783        0.00880030
       -9.55000000        1.13280407        0.04945569        0.11692334        0.94988057        0.01654448
       -9.54000000        1.05336490        0.02689794        0.11457856        0.89676115        0.01512724
       -9.53000000        0.81572628        0.01696963        0.07929960        0.70692429        0.01253276
       -9.52000000        0.72780442        0.00875735        0.06427282        0.64063204        0.01414222
       -9.51000000        0.62501197        0.00916364        0.05593699        0.54847051        0.01144084
       -9.50000000        0.94315315        0.01341217        0.06497014        0.84525485        0.01951599
       -9.49000000        0.54021838        0.00950486        0.05233940        0.46857250        0.00980162
       -9.48000000        0.45761804        0.00757927        0.04488415        0.39668627        0.00846834
       -9.47000000        0.41508499        0.00619093        0.03819122        0.36316311        0.00753973
       -9.46000000        1.28896689        0.01394478        0.07908704        1.17118891        0.02474616
       -9.45000000        0.76378451        0.00540893        0.04131975        0.70074897        0.01630686
       -9.44000000        0.76699680        0.00534768        0.04023144        0.70690297        0.01451471
       -9.43000000        1.10482691        0.00620873        0.08194016        0.99926032        0.01741770
       -9.42000000        1.22239070        0.00621147        0.06771864        1.13185736        0.01660322
       -9.41000000        0.93301472        0.00351065        0.04443175        0.87313911        0.01193322
       -9.40000000        1.26505086        0.00337574        0.04585629        1.19789271        0.01792613
       -9.39000000        1.15745122        0.00343216        0.04017224        1.09928630        0.01456052
       -9.38000000        1.04184384        0.00348379        0.04203461        0.98407893        0.01224650
       -9.37000000        1.04037626        0.00327693        0.04212897        0.98504420        0.00992615
       -9.36000000        0.83037830        0.00300242        0.03841543        0.78170107        0.00725939
       -9.35000000        0.63735517        0.00276174        0.03823957        0.59057153        0.00578233
       -9.34000000        0.49938245        0.00264557        0.03990854        0.45228158        0.00454677
       -9.33000000        0.88294992        0.00410080        0.06377814        0.80807612        0.00699485
       -9.32000000        0.15169106        0.00918048        0.04028858        0.09959519        0.00262681
       -9.31000000        0.26148494        0.01576515        0.05047466        0.19028667        0.00495846
       -9.30000000        1.52613368        0.04967470        0.10738748        1.34442615        0.02464534
       -9.29000000        2.03767923        0.03763683        0.05994303        1.90587859        0.03422077
       -9.28000000        1.43340446        0.01319237        0.05961198        1.34478039        0.01581973
       -9.27000000        0.58409777        0.00582158        0.02310971        0.54799734        0.00716914
       -9.26000000        0.38939677        0.00289791        0.01397509        0.36730809        0.00521567
       -9.25000000        0.99688337        0.02962682        0.12893520        0.82363970        0.01468164
       -9.24000000        1.10971611        0.01946589        0.09419629        0.98052060        0.01553333
       -9.23000000        1.30124115        0.01418790        0.08033436        1.18786005        0.01885884
       -9.22000000        1.14017190        0.00699864        0.05062643        1.06255372        0.01999311
       -9.21000000        0.85398654        0.01546370        0.06236778        0.75972915        0.01642591
       -9.20000000        1.50342197        0.04817859        0.12990653        1.29967947        0.02565738
       -9.19000000        1.18036816        0.03735291        0.10711814        1.01259510        0.02330201
       -9.18000000        0.98867351        0.01961921        0.05638900        0.89028566        0.02237964
       -9.17000000        1.70248345        0.01701185        0.06737088        1.59190366        0.02619706
       -9.16000000        1.58759627        0.02367113        0.16108172        1.36873278        0.03411065
       -9.15000000        0.95642840        0.01762366        0.08543250        0.83411223        0.01926000
       -9.14000000        0.85887838        0.01896258        0.07127567        0.75219406        0.01644607
       -9.13000000        1.62218703        0.04478117        0.10254411        1.44801479        0.02684697
       -9.12000000        0.65376001        0.01455461        0.07747698        0.55018399        0.01154443
       -9.11000000        0.63090578        0.01059641        0.05182338        0.55667739        0.01180860
       -9.10000000        1.11086900        0.00982163        0.08704416        0.99267480        0.02132841
       -9.09000000        1.99328471        0.06034635        0.09159690        1.81145969        0.02988178
       -9.08000000        0.99852733        0.01419803        0.06303802        0.90435150        0.01693978
       -9.07000000        1.27684582        0.00850834        0.04739844        1.20005824        0.02088081
       -9.06000000        0.63289893        0.00359179        0.03534731        0.58301057        0.01094927
       -9.05000000        0.32128922        0.00101037        0.01449832        0.29987234        0.00590819
       -9.04000000        0.33084080        0.00104204        0.01448050        0.30944214        0.00587612
       -9.03000000        0.37237401        0.00111487        0.01464909        0.34990288        0.00670716
       -9.02000000        0.38726738        0.00107674        0.01468745        0.36352113        0.00798207
       -9.01000000        0.43170282        0.00287053        0.02425700        0.39240921        0.01216608
       -9.00000000        0.28251915        0.00402106        0.02013960        0.25153966        0.00681882
       -8.99000000        0.47955738        0.00457630        0.02678518        0.43628624        0.01190965
       -8.98000000        0.79693271        0.00441452        0.03108648        0.73936845        0.02206325
       -8.97000000        0.76871935        0.00298341        0.02526674        0.71687839        0.02359082
       -8.96000000        0.60659558        0.00171569        0.01836418        0.56760137        0.01891434
       -8.95000000        0.53760831        0.00237871        0.02109296        0.49704773        0.01708891
       -8.94000000        0.29731495        0.00304266        0.02239688        0.26372538        0.00815003
       -8.93000000        0.27899783        0.00285834        0.02286417        0.24533048        0.00794484
       -8.92000000        0.28215903        0.00276341        0.02576264        0.24538843        0.00824455
       -8.91000000        0.29976018        0.00272980        0.02946403        0.25899472        0.00857164
       -8.90000000        0.33269057        0.00300520        0.03407109        0.28667722        0.00893706
       -8.89000000        0.37556016        0.00331916        0.03946249        0.32349223        0.00928628
       -8.88000000        0.41739267        0.00364145        0.04559837        0.35856727        0.00958558
       -8.87000000        0.45818812        0.00397209        0.05247872        0.39190235        0.00983496
       -8.86000000        0.66575845        0.00494690        0.06556311        0.57983577        0.01541267
       -8.85000000        0.47687857        0.00505608        0.07349272        0.39010244        0.00822734
       -8.84000000        0.53458387        0.00574160        0.08021935        0.43901775        0.00960517
       -8.83000000        0.53165790        0.00567648        0.06793021        0.44808084        0.00997037
       -8.82000000        0.53568512        0.00573179        0.05857492        0.46099788        0.01038053
       -8.81000000        0.53867438        0.00590467        0.05209455        0.46994254        0.01073262
       -8.80000000        0.60457898        0.00733010        0.06417876        0.52111918        0.01195093
       -8.79000000        0.63777198        0.00855480        0.06005534        0.55647540        0.01268645
       -8.78000000        0.62977564        0.00880688        0.04877223        0.55917266        0.01302387
       -8.77000000        0.55898413        0.00837820        0.03959058        0.49889774        0.01211761
       -8.76000000        0.67292617        0.01067440        0.02634634        0.62089263        0.01501280
       -8.75000000        0.39483116        0.00692243        0.00973605        0.37185995        0.00631273
       -8.74000000        0.43139622        0.00776784        0.01155106        0.40511787        0.00695945
       -8.73000000        0.46641739        0.00924002        0.01397091        0.43526753        0.00793892
       -8.72000000        0.37962890        0.00721865        0.01328645        0.35166601        0.00745780
       -8.71000000        0.45291032        0.00746762        0.01770767        0.41839616        0.00933887
       -8.70000000        0.55555155        0.00716623        0.02418929        0.51258474        0.01161128
       -8.69000000        0.40746195        0.00616669        0.02441631        0.36729966        0.00957930
       -8.68000000        0.42912755        0.00616457        0.03032129        0.38196840        0.01067330
       -8.67000000        0.44413053        0.00631402        0.03702526        0.38905916        0.01173210
       -8.66000000        0.45165655        0.00681487        0.04243464        0.39012635        0.01228069
       -8.65000000        0.44096797        0.00743316        0.04576857        0.37556268        0.01220357
