#  aims_uuid : 44261A72-2FE5-4B98-A882-A6C889A3BFA5                                
#  angular momentum projected density of states for species Se as calculated by FHI-aims 
# The energy reference for this output is the vacuum level =       0.000000 eV
#      Energy (eV)         total dos     l= 0              l= 1              l= 2              l= 3
      -10.00000000        0.25451267        0.01732361        0.22431474        0.01167015        0.00120417
       -9.98998999        0.16371441        0.00903149        0.14646591        0.00750046        0.00071655
       -9.97997998        0.10004657        0.00610581        0.08895441        0.00449638        0.00048997
       -9.96996997        0.09216534        0.00583530        0.08177234        0.00407186        0.00048585
       -9.95995996        0.11837893        0.00565883        0.10778907        0.00430209        0.00062894
       -9.94994995        0.24758102        0.00602834        0.23392337        0.00636961        0.00125970
       -9.93993994        0.35329039        0.00675454        0.33686586        0.00782588        0.00184411
       -9.92992993        0.43550704        0.00783744        0.41661654        0.00867088        0.00238218
       -9.91991992        0.22435349        0.00618405        0.21169143        0.00517367        0.00130434
       -9.90990991        0.20416056        0.00612825        0.19211221        0.00468429        0.00123580
       -9.89989990        0.18508207        0.00605665        0.17362534        0.00423216        0.00116791
       -9.88988989        0.21541012        0.00654467        0.20355714        0.00393102        0.00137730
       -9.87987988        0.25091328        0.00775763        0.23758949        0.00389632        0.00166984
       -9.86986987        0.32349996        0.01145950        0.30452928        0.00520191        0.00230928
       -9.85985986        0.33610787        0.01472231        0.31276389        0.00601393        0.00260773
       -9.84984985        0.32560819        0.01854156        0.29711485        0.00710566        0.00284612
       -9.83983984        0.21481134        0.01074191        0.19754667        0.00493149        0.00159128
       -9.82982983        0.22558350        0.01230065        0.20601910        0.00559409        0.00166966
       -9.81981982        0.23508599        0.01384484        0.21317202        0.00633960        0.00172952
       -9.80980981        0.13012002        0.00782199        0.11761234        0.00370480        0.00098089
       -9.79979980        0.13344263        0.00883543        0.11929729        0.00425507        0.00105484
       -9.78978979        0.13426558        0.00985843        0.11844666        0.00483821        0.00112227
       -9.77977978        0.13258886        0.01089099        0.11506045        0.00545422        0.00118320
       -9.76976977        0.12841248        0.01193310        0.10913866        0.00610310        0.00123761
       -9.75975976        0.12173643        0.01298476        0.10068130        0.00678485        0.00128551
       -9.74974975        0.88734458        0.02927813        0.83489390        0.01916361        0.00400894
       -9.73973974        0.62573179        0.01345966        0.59666196        0.01331611        0.00229406
       -9.72972973        0.61600729        0.01093043        0.58955879        0.01326627        0.00225180
       -9.71971972        1.31559839        0.02193519        1.25461792        0.03089441        0.00815087
       -9.70970971        0.68377039        0.05110417        0.60693472        0.02144441        0.00428709
       -9.69969970        0.42031576        0.03432059        0.36877999        0.01441009        0.00280510
       -9.68968969        0.21663961        0.01907904        0.18766120        0.00832047        0.00157890
       -9.67967968        0.07138682        0.00533572        0.06231795        0.00313717        0.00059597
       -9.66966967        0.12017299        0.01077542        0.10322604        0.00544480        0.00072673
       -9.65965966        0.11795238        0.00658161        0.10330050        0.00724679        0.00082348
       -9.64964965        0.13521731        0.00518810        0.12031903        0.00859395        0.00111625
       -9.63963964        0.15832292        0.00645610        0.14157164        0.00899976        0.00129542
       -9.62962963        0.21206096        0.00896405        0.19085794        0.01054611        0.00169286
       -9.61961962        0.28359606        0.01204645        0.25748109        0.01191703        0.00215150
       -9.60960961        0.37292819        0.01570329        0.34144106        0.01311252        0.00267132
       -9.59959960        0.56996341        0.03920089        0.51569829        0.01213859        0.00292563
       -9.58958959        2.22040604        0.04379927        2.11344998        0.05208990        0.01106689
       -9.57957958        0.02246747        0.00328885        0.01746406        0.00150575        0.00020881
       -9.56956957        0.01508053        0.00199800        0.01202628        0.00093142        0.00012483
       -9.55955956        0.00906129        0.00102715        0.00747776        0.00049407        0.00006232
       -9.54954955        0.13932642        0.02381261        0.10636331        0.00786007        0.00129042
       -9.53953954        0.46644977        0.04364535        0.40345842        0.01668276        0.00266324
       -9.52952953        0.14315566        0.01654338        0.11953111        0.00627047        0.00081069
       -9.51951952        0.22327053        0.02418879        0.18570418        0.01196871        0.00140886
       -9.50950951        0.57902045        0.05542560        0.48141530        0.03821543        0.00396412
       -9.49949950        0.55087323        0.04170596        0.47991511        0.02659519        0.00265697
