#  aims_uuid : 44261A72-2FE5-4B98-A882-A6C889A3BFA5                                
#  angular momentum projected density of states for species Se as calculated by FHI-aims 
# The energy reference for this output is the chemical potential, mu =      -4.812388 eV
#      Energy (eV)         total dos     l= 0              l= 1              l= 2              l= 3
       -5.18761210        0.51888932        0.00876487        0.50131145        0.00791831        0.00089468
       -5.17760209        0.30110684        0.00554241        0.29018225        0.00483110        0.00055108
       -5.16759208        0.19544183        0.00347870        0.18853739        0.00306834        0.00035740
       -5.15758207        0.18517833        0.00326587        0.17868263        0.00288712        0.00034271
       -5.14757206        0.19424278        0.00347790        0.18714928        0.00323266        0.00038294
       -5.13756205        0.27170568        0.00497238        0.26094743        0.00514205        0.00064382
       -5.12755204        0.35231237        0.00619214        0.33852459        0.00664162        0.00095401
       -5.11754203        0.43606285        0.00713719        0.41988079        0.00773138        0.00131350
       -5.10753202        0.27815059        0.00460171        0.26820544        0.00460284        0.00074060
       -5.09752201        0.27022721        0.00437984        0.26085941        0.00426594        0.00072202
       -5.08751200        0.26228078        0.00416949        0.25346324        0.00394556        0.00070249
       -5.07750199        0.28902615        0.00568856        0.27863221        0.00390667        0.00079872
       -5.06749198        0.33902684        0.00745392        0.32645458        0.00417336        0.00094499
       -5.05748197        0.50936610        0.00964568        0.49228943        0.00619061        0.00124039
       -5.04747196        0.61366863        0.01133532        0.59346697        0.00742193        0.00144440
       -5.03746195        0.72496220        0.01302588        0.70131202        0.00897429        0.00165000
       -5.02745194        0.48409248        0.01021781        0.46730346        0.00548517        0.00108603
       -5.01744193        0.53820860        0.01373309        0.51678427        0.00647315        0.00121809
       -5.00743192        0.59079133        0.01792949        0.56389293        0.00761213        0.00135679
       -4.99742191        0.31266951        0.01829568        0.28737049        0.00635478        0.00064855
       -4.98741190        0.34081880        0.02345682        0.30907766        0.00753159        0.00075273
       -4.97740189        0.36744679        0.02927279        0.32849570        0.00881519        0.00086311
       -4.96739188        0.39255346        0.03574359        0.34562462        0.01020556        0.00097970
       -4.95738187        0.41613883        0.04286922        0.36046441        0.01170272        0.00110248
       -4.94737186        0.43820288        0.05064968        0.37301507        0.01330665        0.00123147
       -4.93736185        0.84957524        0.03542664        0.79255526        0.01755378        0.00403956
       -4.92735184        0.51162766        0.03162736        0.46833532        0.00923196        0.00243302
