#  aims_uuid : E8356939-EC9E-469C-AB06-1D729543CF2A                                
#  angular momentum projected density of states for species Se as calculated by FHI-aims 
# The energy reference for this output is the vacuum level =       0.000000 eV
#      Energy (eV)         total dos     l= 0              l= 1              l= 2              l= 3
      -10.00000000        0.34747255        0.01764373        0.31773518        0.01038186        0.00171179
       -9.98998999        0.47604369        0.02244741        0.43736202        0.01402678        0.00220747
       -9.97997998        0.54289865        0.02679812        0.49691235        0.01664580        0.00254237
       -9.96996997        0.47343511        0.02008573        0.43734224        0.01381684        0.00219030
       -9.95995996        0.42366244        0.01487725        0.39529374        0.01152328        0.00196816
       -9.94994995        0.50654181        0.01895428        0.47093809        0.01429602        0.00235342
       -9.93993994        0.51693623        0.02001516        0.48072034        0.01408724        0.00211349
       -9.92992993        0.65957502        0.02685722        0.61130606        0.01871159        0.00270015
       -9.91991992        0.54728418        0.02281683        0.50551145        0.01679916        0.00215673
       -9.90990991        0.48917681        0.01805824        0.45559639        0.01362703        0.00189515
       -9.89989990        0.58983641        0.02097334        0.55135112        0.01526163        0.00225032
       -9.88988989        0.30107294        0.01360089        0.27606199        0.01005946        0.00135060
       -9.87987988        0.31637950        0.01401929        0.29054626        0.01036724        0.00144672
       -9.86986987        0.33362253        0.01411004        0.30748161        0.01048650        0.00154437
       -9.85985986        0.35280202        0.01387315        0.32686805        0.01041724        0.00164357
       -9.84984985        0.27622550        0.01205032        0.25485227        0.00805054        0.00127236
       -9.83983984        0.24098455        0.01159283        0.22133430        0.00695366        0.00110377
       -9.82982983        0.20551145        0.01086962        0.18783623        0.00587040        0.00093520
       -9.81981982        0.42136405        0.04249394        0.36243210        0.01454073        0.00189728
       -9.80980981        0.40026458        0.04294226        0.34189468        0.01366841        0.00175923
       -9.79979980        0.37838634        0.04278910        0.32121540        0.01276528        0.00161656
       -9.78978979        0.36054255        0.04220490        0.30490418        0.01194185        0.00149162
       -9.77977978        0.54233133        0.05673765        0.46618982        0.01730332        0.00210054
       -9.76976977        0.79588150        0.08663730        0.68017791        0.02595918        0.00310711
       -9.75975976        0.96545814        0.10058404        0.83021277        0.03095870        0.00370264
       -9.74974975        0.88601376        0.07040011        0.78368552        0.02808370        0.00384443
       -9.73973974        0.53053693        0.04037133        0.46928900        0.01868130        0.00219531
       -9.72972973        0.20899177        0.02129409        0.18086574        0.00601958        0.00081236
       -9.71971972        0.17180259        0.01810689        0.14788154        0.00513606        0.00067811
       -9.70970971        0.13460645        0.01461275        0.11525592        0.00419629        0.00054150
       -9.69969970        0.55502191        0.04564921        0.48388684        0.02290504        0.00258082
       -9.68968969        0.65037468        0.05523748        0.56587703        0.02627253        0.00298764
       -9.67967968        0.61839867        0.05516861        0.53626794        0.02409021        0.00287190
       -9.66966967        0.59728454        0.05582709        0.51634478        0.02231213        0.00280054
       -9.65965966        0.55951360        0.05364785        0.48322926        0.01999978        0.00263670
       -9.64964965        0.33715058        0.02760745        0.29255080        0.01488262        0.00210971
       -9.63963964        0.44157625        0.03277513        0.38447308        0.02128884        0.00303920
       -9.62962963        0.60908439        0.04249061        0.53169768        0.03061976        0.00427633
       -9.61961962        0.88631685        0.05502281        0.78113332        0.04476090        0.00539982
       -9.60960961        1.60514061        0.09929755        1.42263690        0.07513007        0.00807610
       -9.59959960        1.22493660        0.08231625        1.08013547        0.05602708        0.00645779
       -9.58958959        0.70219751        0.04305872        0.62231442        0.03289737        0.00392700
       -9.57957958        0.53275963        0.03220176        0.47279724        0.02460394        0.00315669
       -9.56956957        0.67334726        0.04500179        0.59908167        0.02581610        0.00344770
       -9.55955956        0.89868494        0.06086007        0.80216693        0.03132180        0.00433615
       -9.54954955        1.08992479        0.07274414        0.97602476        0.03607519        0.00508070
       -9.53953954        2.07022035        0.13742471        1.85414709        0.06889291        0.00975564
       -9.52952953        1.48345514        0.10585675        1.31887443        0.05141186        0.00731209
       -9.51951952        0.58222394        0.05183158        0.50248095        0.02431039        0.00360103
       -9.50950951        0.38864511        0.03572980        0.33309616        0.01742418        0.00239497
       -9.49949950        0.49190520        0.04454075        0.42039478        0.02393697        0.00303271
       -9.48948949        0.52964101        0.04814457        0.45140033        0.02684305        0.00325307
       -9.47947948        0.65941156        0.05853620        0.56247082        0.03433347        0.00407108
