#  aims_uuid : E8356939-EC9E-469C-AB06-1D729543CF2A                                
#  angular momentum projected density of states for species Se as calculated by FHI-aims 
# The energy reference for this output is the chemical potential, mu =      -4.729495 eV
#      Energy (eV)         total dos     l= 0              l= 1              l= 2              l= 3
       -5.27050506        0.35789958        0.00826398        0.34110636        0.00720641        0.00132284
       -5.26049505        0.43636000        0.01061698        0.41444967        0.00943147        0.00186188
       -5.25048504        0.46958739        0.01126940        0.44527565        0.01097594        0.00206639
       -5.24047503        0.46350794        0.01064665        0.44093446        0.01006751        0.00185932
       -5.23046502        0.49145572        0.01082227        0.46886099        0.01002171        0.00175075
       -5.22045501        0.55559901        0.01233862        0.52936481        0.01189827        0.00199731
       -5.21044500        0.51292208        0.01357939        0.48690668        0.01069684        0.00173916
       -5.20043499        0.63443833        0.01764041        0.60093372        0.01366943        0.00219477
       -5.19042498        0.46735670        0.01342742        0.44045998        0.01175759        0.00171171
       -5.18041497        0.45212646        0.01145884        0.42897316        0.01001125        0.00168321
       -5.17040496        0.56863536        0.01396186        0.54057408        0.01200725        0.00209218
       -5.16039495        0.28411409        0.00727132        0.26816841        0.00755626        0.00111810
       -5.15038494        0.30530517        0.00744144        0.28843069        0.00821622        0.00121682
       -5.14037493        0.33170903        0.00759444        0.31386018        0.00892512        0.00132929
       -5.13036492        0.36332568        0.00773031        0.34445689        0.00968298        0.00145551
       -5.12035491        0.27881010        0.00617026        0.26370098        0.00780569        0.00113317
       -5.11034490        0.23948791        0.00541495        0.22606177        0.00701968        0.00099150
       -5.10033489        0.20098912        0.00464020        0.18933418        0.00616645        0.00084829
       -5.09032488        0.44781262        0.03979079        0.38966012        0.01656235        0.00179936
       -5.08031487        0.41024945        0.03660137        0.35577717        0.01617323        0.00169768
       -5.07030486        0.37312276        0.03302142        0.32288132        0.01562690        0.00159312
       -5.06029485        0.34005650        0.02918123        0.29433506        0.01503681        0.00150341
       -5.05028484        0.48379255        0.03785125        0.42182653        0.02193115        0.00218363
       -5.04027483        0.69900030        0.05262215        0.61212480        0.03103977        0.00321358
       -5.03026482        0.86723250        0.05737021        0.77010873        0.03585971        0.00389385
       -5.02025481        1.14006918        0.06775462        1.03547328        0.03283278        0.00400850
       -5.01024480        0.71666254        0.05550798        0.63793044        0.02076942        0.00245471
       -5.00023479        0.21037637        0.01748870        0.18599265        0.00611492        0.00078009
       -4.99022478        0.17991351        0.01596111        0.15788424        0.00541045        0.00065772
       -4.98021477        0.14662222        0.01372550        0.12779970        0.00456751        0.00052951
       -4.97020476        0.54957099        0.04192108        0.48328579        0.02206125        0.00230287
       -4.96019475        0.60255706        0.04733441        0.52575192        0.02668964        0.00278109
       -4.95018474        0.57679155        0.04614645        0.50220225        0.02563392        0.00280893
