#  aims_uuid : 39837A84-9F11-45EC-A491-BFB05AFE7EE3                                
#  angular momentum projected density of states for species Se as calculated by FHI-aims 
# The energy reference for this output is the chemical potential, mu =      -4.877070 eV
#      Energy (eV)         total dos     l= 0              l= 1              l= 2              l= 3
       -5.12293043        0.27108886        0.01975039        0.23846915        0.01069665        0.00217267
       -5.11293043        0.25257472        0.01922721        0.22067291        0.01056611        0.00210849
       -5.10293043        0.23426613        0.01862884        0.20328728        0.01031585        0.00203416
       -5.09293043        0.21616309        0.01795530        0.18631228        0.00994587        0.00194965
       -5.08293043        0.18469035        0.01103173        0.16406433        0.00809714        0.00149716
       -5.07293043        0.36402657        0.01686415        0.32780240        0.01668854        0.00267148
       -5.06293043        0.38963752        0.01792792        0.34946212        0.01922456        0.00302292
       -5.05293043        0.30590402        0.01171259        0.27708749        0.01469242        0.00241151
       -5.04293043        0.30182502        0.00712396        0.28035392        0.01243470        0.00191244
       -5.03293043        0.34419929        0.00764152        0.32016867        0.01424279        0.00214630
       -5.02293043        0.38720257        0.00833212        0.36045832        0.01606359        0.00234854
       -5.01293043        0.43083487        0.00919576        0.40122285        0.01789710        0.00251916
       -5.00293043        0.35061679        0.00712192        0.32525939        0.01585409        0.00238139
       -4.99293043        0.43572481        0.00842130        0.40286211        0.02117441        0.00326699
       -4.98293043        0.47140778        0.00952904        0.43651199        0.02234672        0.00302003
       -4.97293043        0.31122175        0.00761643        0.28979736        0.01217669        0.00163128
       -4.96293043        0.48883878        0.02968010        0.43321363        0.02218630        0.00375876
       -4.95293043        2.67793883        0.13478602        2.41533915        0.11397945        0.01383422
       -4.94293043        0.64404157        0.03015896        0.58037930        0.03057034        0.00293297
       -4.93293043        0.58252146        0.01573277        0.53868431        0.02626069        0.00184369
       -4.92293043        0.56171500        0.01053129        0.52541623        0.02337841        0.00238907
       -4.91293043        1.22446410        0.01877000        1.15921542        0.04162505        0.00485363
       -4.90293043        0.24937929        0.00438470        0.23540404        0.00837121        0.00121933
       -4.89293043        0.37895333        0.00984300        0.35391595        0.01374811        0.00144627
       -4.88293043        0.91576193        0.02821051        0.85476616        0.02899866        0.00378660
