#  aims_uuid : 39837A84-9F11-45EC-A491-BFB05AFE7EE3                                
#  angular momentum projected density of states for species Se as calculated by FHI-aims 
# The energy reference for this output is the vacuum level =       0.000000 eV
#      Energy (eV)         total dos     l= 0              l= 1              l= 2              l= 3
      -10.00000000        0.32050564        0.01868719        0.28596672        0.01344464        0.00240709
       -9.99000000        0.30252086        0.01777501        0.26882533        0.01354071        0.00237981
       -9.98000000        0.28521821        0.01685420        0.25260442        0.01343553        0.00232408
       -9.97000000        0.26859771        0.01592476        0.23730398        0.01312909        0.00223988
       -9.96000000        0.23755798        0.00786564        0.21741700        0.01027736        0.00199797
       -9.95000000        0.44540881        0.01370938        0.40979229        0.01881252        0.00309463
       -9.94000000        0.47830397        0.02049568        0.43511136        0.01931871        0.00337823
       -9.93000000        0.35495428        0.01168730        0.32549872        0.01529399        0.00247428
       -9.92000000        0.28065523        0.00978379        0.25905908        0.01029697        0.00151540
       -9.91000000        0.29539650        0.01027307        0.27198041        0.01147875        0.00166427
       -9.90000000        0.30319894        0.01050293        0.27824804        0.01263029        0.00181768
       -9.89000000        0.30406254        0.01047337        0.27786194        0.01375158        0.00197565
       -9.88000000        0.24602890        0.00888532        0.22347066        0.01184322        0.00182970
       -9.87000000        0.27380258        0.01094073        0.24539551        0.01500018        0.00246615
       -9.86000000        0.26723998        0.01091566        0.24033848        0.01375815        0.00222769
       -9.85000000        0.18603727        0.00503589        0.17187627        0.00795789        0.00116722
       -9.84000000        0.42945738        0.01025554        0.38716655        0.02830438        0.00373091
       -9.83000000        2.75676250        0.12007632        2.48091272        0.14227949        0.01349398
       -9.82000000        0.66599540        0.01921118        0.60394356        0.03987809        0.00296257
       -9.81000000        0.54225076        0.02222590        0.49329406        0.02511605        0.00161475
       -9.80000000        0.42276110        0.01588855        0.38366629        0.02084609        0.00236017
       -9.79000000        0.99910266        0.02295260        0.93549211        0.03638365        0.00427430
       -9.78000000        0.16488711        0.00598818        0.15359754        0.00464399        0.00065740
       -9.77000000        0.30657942        0.01114856        0.28470739        0.00968591        0.00103755
       -9.76000000        0.75975067        0.01849246        0.71148384        0.02707597        0.00269840
       -9.75000000        0.56216271        0.01617665        0.51828469        0.02505448        0.00264689
       -9.74000000        0.95837741        0.03908443        0.87991845        0.03517069        0.00420384
       -9.73000000        0.69805177        0.02700454        0.64042471        0.02736671        0.00325581
       -9.72000000        0.76033777        0.01751470        0.70849776        0.03070312        0.00362220
