#  aims_uuid : 39837A84-9F11-45EC-A491-BFB05AFE7EE3                                
#  angular momentum projected density of states for species W as calculated by FHI-aims 
# The energy reference for this output is the vacuum level =       0.000000 eV
#      Energy (eV)         total dos     l= 0              l= 1              l= 2              l= 3
      -10.00000000        0.30742090        0.01179761        0.04321112        0.24540991        0.00700226
       -9.99000000        0.30649748        0.01169005        0.04233396        0.24610440        0.00636907
       -9.98000000        0.30406496        0.01135771        0.04136214        0.24552281        0.00582230
       -9.97000000        0.30012336        0.01080060        0.04029567        0.24366514        0.00536195
       -9.96000000        0.34548800        0.00754614        0.02275020        0.30845105        0.00674060
       -9.95000000        0.58184296        0.01228041        0.07076366        0.48690572        0.01189316
       -9.94000000        0.59376490        0.01801140        0.12412885        0.44000962        0.01161504
       -9.93000000        0.47106582        0.01871876        0.06208107        0.37995117        0.01031482
       -9.92000000        0.33477255        0.02035733        0.05771168        0.24727282        0.00943072
       -9.91000000        0.38043155        0.02575677        0.06202824        0.28223074        0.01041579
       -9.90000000        0.42990798        0.03107659        0.06680145        0.32088003        0.01114992
       -9.89000000        0.48320187        0.03631679        0.07203128        0.36322070        0.01163309
       -9.88000000        0.42322427        0.03991049        0.04884355        0.32419656        0.01027367
       -9.87000000        0.55153931        0.06106755        0.04943645        0.42852397        0.01251133
       -9.86000000        0.68164152        0.05258781        0.06241679        0.55126130        0.01537563
       -9.85000000        0.43830020        0.01882888        0.04333495        0.36566667        0.01046969
       -9.84000000        0.86274915        0.03604175        0.07200147        0.74171282        0.01299311
       -9.83000000        2.58847463        0.10073021        0.48479508        1.94587999        0.05706935
       -9.82000000        0.79790858        0.02416535        0.12760763        0.63274575        0.01338985
       -9.81000000        0.56338299        0.01195214        0.05620990        0.48378945        0.01143150
       -9.80000000        0.65226147        0.01850142        0.06498838        0.55515922        0.01361245
       -9.79000000        1.46305255        0.02662154        0.12819007        1.27201123        0.03622971
       -9.78000000        0.49006569        0.00619782        0.04500104        0.42604023        0.01282660
       -9.77000000        0.45998590        0.00624745        0.04617817        0.39731761        0.01024266
       -9.76000000        0.76600601        0.01275335        0.07293922        0.65835250        0.02196093
       -9.75000000        0.74593981        0.03386222        0.07954148        0.61474364        0.01779247
       -9.74000000        0.95044681        0.03488961        0.09584262        0.79973286        0.01998172
       -9.73000000        0.69505610        0.02806479        0.07190155        0.58230672        0.01278303
       -9.72000000        0.73296998        0.02746207        0.13544244        0.55600963        0.01405585
       -9.71000000        0.93664779        0.02554643        0.18422750        0.71098142        0.01589244
       -9.70000000        0.90493899        0.02210104        0.15677190        0.71136635        0.01469970
       -9.69000000        1.33685209        0.02625078        0.22892452        1.06095633        0.02072047
       -9.68000000        1.18161585        0.01862423        0.19645761        0.94894828        0.01758573
       -9.67000000        1.62154647        0.02790118        0.26412188        1.30306430        0.02645911
       -9.66000000        1.10228255        0.01121933        0.13341845        0.94171797        0.01592680
       -9.65000000        0.78065706        0.00728080        0.09881373        0.66313554        0.01142700
       -9.64000000        1.28222229        0.01737008        0.32691306        0.91572409        0.02221506
       -9.63000000        0.63110000        0.00482470        0.06457306        0.55257806        0.00912418
       -9.62000000        0.70137874        0.00612530        0.06777730        0.61746750        0.01000865
       -9.61000000        0.74961931        0.00650399        0.06209066        0.67036023        0.01066443
       -9.60000000        0.80712175        0.00624669        0.04832240        0.74092504        0.01162762
       -9.59000000        0.92650505        0.00598760        0.05078691        0.85605901        0.01367153
       -9.58000000        0.67720372        0.00466152        0.03747381        0.62318816        0.01188023
       -9.57000000        0.73795207        0.00473317        0.05902632        0.65966642        0.01452617
       -9.56000000        1.50588973        0.01505934        0.10546439        1.35292415        0.03244186
       -9.55000000        0.88372187        0.00670625        0.06144668        0.79767445        0.01789449
       -9.54000000        1.73236892        0.03896597        0.09792407        1.55796098        0.03751790
       -9.53000000        1.04099321        0.01737627        0.05990119        0.94507959        0.01863615
       -9.52000000        0.95862662        0.01592899        0.04995370        0.87619085        0.01655309
       -9.51000000        1.02269582        0.01583930        0.05340763        0.93676023        0.01668866
       -9.50000000        1.08652435        0.01612061        0.06251056        0.99124487        0.01664831
