#  aims_uuid : 37213A57-4D86-46C3-AECD-6D96A76B21EB                                
#  angular momentum projected density of states for species Se as calculated by FHI-aims 
# The energy reference for this output is the chemical potential, mu =      -4.603768 eV
#      Energy (eV)         total dos     l= 0              l= 1              l= 2              l= 3
       -5.39623160        0.26942151        0.00635148        0.25757699        0.00454942        0.00094361
       -5.38622159        0.26482859        0.00617072        0.25348152        0.00425856        0.00091780
       -5.37621158        0.26102393        0.00598238        0.25011688        0.00403112        0.00089355
       -5.36620157        0.25800753        0.00578646        0.24748308        0.00386711        0.00087088
       -5.35619156        0.17123533        0.00358293        0.16439012        0.00267802        0.00058426
       -5.34618155        0.18618553        0.00394738        0.17886977        0.00273786        0.00063053
       -5.33617154        0.20055890        0.00428938        0.19277415        0.00281887        0.00067649
       -5.32616153        0.21435542        0.00460895        0.20610326        0.00292106        0.00072215
       -5.31615152        0.22757510        0.00490608        0.21885710        0.00304443        0.00076750
       -5.30614151        0.24021794        0.00518077        0.23103567        0.00318897        0.00081254
       -5.29613150        0.25228395        0.00543302        0.24263897        0.00335469        0.00085727
       -5.28612149        0.31880551        0.00656112        0.30657645        0.00455381        0.00111412
       -5.27611148        0.35273815        0.00719857        0.33914667        0.00515013        0.00124277
       -5.26610147        0.38638235        0.00787346        0.37139991        0.00574080        0.00136817
       -5.25609146        0.41973810        0.00858579        0.40333618        0.00632582        0.00149032
       -5.24608145        0.45280541        0.00933555        0.43495546        0.00690519        0.00160921
       -5.23607144        0.48558428        0.01012275        0.46625777        0.00747890        0.00172486
       -5.22606143        0.58854621        0.01229152        0.56475408        0.00940119        0.00209942
       -5.21605142        0.47263452        0.00960974        0.45333672        0.00798245        0.00170561
       -5.20604141        0.22541768        0.00449058        0.21619409        0.00391351        0.00081950
       -5.19603140        0.23518633        0.00459658        0.22554156        0.00418165        0.00086655
       -5.18602139        0.24481279        0.00468545        0.23474881        0.00446303        0.00091551
       -5.17601138        0.25429705        0.00475718        0.24381582        0.00475767        0.00096639
       -5.16600137        0.26363911        0.00481177        0.25274262        0.00506555        0.00101917
       -5.15599136        0.27283898        0.00484923        0.26152919        0.00538669        0.00107387
       -5.14598135        0.28189664        0.00486955        0.27017553        0.00572107        0.00113049
       -5.13597134        0.29081210        0.00487274        0.27868165        0.00606870        0.00118902
       -5.12596133        0.22752477        0.00410285        0.21784644        0.00465801        0.00091746
       -5.11595132        0.19736934        0.00377194        0.18872809        0.00407321        0.00079610
       -5.10594131        0.16706231        0.00339263        0.15950030        0.00349399        0.00067540
       -5.09593130        0.34180605        0.02764194        0.30099881        0.01158391        0.00158139
       -5.08592129        0.32771468        0.02829821        0.28635594        0.01154526        0.00151527
       -5.07591128        0.31341277        0.02838431        0.27219724        0.01138957        0.00144166
