#  aims_uuid : 37213A57-4D86-46C3-AECD-6D96A76B21EB                                
#  angular momentum projected density of states for species W as calculated by FHI-aims 
# The energy reference for this output is the chemical potential, mu =      -4.603768 eV
#      Energy (eV)         total dos     l= 0              l= 1              l= 2              l= 3              l= 4
       -5.39623160        0.25886529        0.00084506        0.03928630        0.21454634        0.00411984        0.00006774
       -5.38622159        0.25106123        0.00046625        0.03952767        0.20694229        0.00406016        0.00006486
       -5.37621158        0.24341096        0.00023242        0.03995123        0.19917220        0.00399214        0.00006296
       -5.36620157        0.23591448        0.00014357        0.04055698        0.19123606        0.00391580        0.00006207
       -5.35619156        0.15820714        0.00009940        0.02629504        0.12910584        0.00266272        0.00004414
       -5.34618155        0.16740177        0.00010356        0.02984494        0.13451027        0.00289719        0.00004582
       -5.33617154        0.17678116        0.00010897        0.03308222        0.14040873        0.00313339        0.00004785
       -5.32616153        0.18634530        0.00011563        0.03600688        0.14680122        0.00337133        0.00005024
       -5.31615152        0.19609419        0.00012354        0.03861894        0.15368773        0.00361100        0.00005299
       -5.30614151        0.20602784        0.00013269        0.04091837        0.16106826        0.00385242        0.00005609
       -5.29613150        0.21614623        0.00014310        0.04290520        0.16894282        0.00409556        0.00005956
       -5.28612149        0.27935768        0.00020685        0.05126558        0.22247580        0.00532478        0.00008467
       -5.27611148        0.31110384        0.00024019        0.05569666        0.24908341        0.00598704        0.00009654
       -5.26610147        0.34247204        0.00027439        0.06013203        0.27530487        0.00665310        0.00010765
       -5.25609146        0.37346227        0.00030944        0.06457170        0.30114017        0.00732296        0.00011799
       -5.24608145        0.40407453        0.00034535        0.06901567        0.32658933        0.00799661        0.00012758
       -5.23607144        0.43430884        0.00038211        0.07346393        0.35165233        0.00867407        0.00013640
       -5.22606143        0.53436233        0.00046321        0.08717834        0.43591950        0.01063305        0.00016823
       -5.21605142        0.43916579        0.00043899        0.06703982        0.36285901        0.00868312        0.00014486
       -5.20604141        0.21196256        0.00015738        0.03091844        0.17664621        0.00416975        0.00007078
       -5.19603140        0.22361631        0.00015524        0.03166163        0.18731318        0.00441003        0.00007622
       -5.18602139        0.23549797        0.00015197        0.03229264        0.19831676        0.00465462        0.00008198
       -5.17601138        0.24760751        0.00014756        0.03281145        0.20965694        0.00490351        0.00008805
       -5.16600137        0.25994495        0.00014202        0.03321808        0.22133372        0.00515670        0.00009444
       -5.15599136        0.27251028        0.00013534        0.03351252        0.23334710        0.00541420        0.00010113
       -5.14598135        0.28530350        0.00012752        0.03369477        0.24569708        0.00567599        0.00010814
       -5.13597134        0.29832462        0.00011856        0.03376483        0.25838367        0.00594210        0.00011546
       -5.12596133        0.22808529        0.00081016        0.02763191        0.19491962        0.00463646        0.00008715
       -5.11595132        0.19640846        0.00173405        0.02451525        0.16604496        0.00403898        0.00007522
       -5.10594131        0.16541106        0.00254511        0.02119774        0.13816741        0.00343713        0.00006367
       -5.09593130        0.34616665        0.10854671        0.05318627        0.17795350        0.00613493        0.00034523
       -5.08592129        0.32977465        0.11029160        0.05333822        0.16009020        0.00570582        0.00034880
       -5.07591128        0.31371375        0.10948224        0.05311410        0.14547227        0.00529774        0.00034740
       -5.06590127        0.29798395        0.10611862        0.05251391        0.13409973        0.00491069        0.00034101
       -5.05589126        0.66188360        0.29266023        0.10586541        0.25210467        0.01038614        0.00086716
       -5.04588125        0.74050503        0.29708011        0.12667198        0.30407898        0.01174147        0.00093250
       -5.03587124        1.05295160        0.28851307        0.20117561        0.54384293        0.01838997        0.00103002
       -5.02586123        4.28250484        1.19659867        0.98161226        2.03850877        0.06055658        0.00522855
       -5.01585122        0.44908321        0.10397620        0.11859449        0.21905333        0.00709109        0.00036810
       -5.00584121        0.50281816        0.13335227        0.14518686        0.21713540        0.00661535        0.00052828
       -4.99583120        0.59253784        0.16045894        0.15201535        0.27212918        0.00711703        0.00081733
       -4.98582119        0.68143838        0.17806593        0.16434732        0.33011555        0.00789784        0.00101174
       -4.97581118        0.76951980        0.18617322        0.18218276        0.39109451        0.00895779        0.00111151
       -4.96580117        0.27820989        0.06510756        0.05123571        0.15741331        0.00409151        0.00036181
       -4.95579116        0.60579532        0.16828683        0.11190450        0.31757720        0.00704751        0.00097928
       -4.94578115        0.67407104        0.18560444        0.12164939        0.35777388        0.00797340        0.00106992
