#  aims_uuid : 83556427-5490-4F79-A9AA-36F195F45186                                
#  angular momentum projected density of states for species W as calculated by FHI-aims 
# The energy reference for this output is the chemical potential, mu =      -4.553497 eV
#      Energy (eV)         total dos     l= 0              l= 1              l= 2              l= 3
       -5.44650336        0.23858994        0.00765129        0.03770362        0.18617631        0.00705872
       -5.43650336        0.25105142        0.01086001        0.03760012        0.19517342        0.00741788
       -5.42650336        0.26391987        0.01356908        0.03726085        0.20528022        0.00780972
       -5.41650336        0.27719530        0.01577850        0.03668582        0.21649672        0.00823425
       -5.40650336        0.29087770        0.01748828        0.03587504        0.22882293        0.00869146
       -5.39650336        0.30971829        0.01865809        0.03688155        0.24491677        0.00926188
       -5.38650336        0.33089233        0.01918055        0.03884981        0.26297150        0.00989048
       -5.37650336        0.35207521        0.01905005        0.04084567        0.28164303        0.01053646
       -5.36650336        0.46352342        0.01864111        0.05505604        0.37706987        0.01275639
       -5.35650336        0.44436379        0.01749923        0.04831350        0.36537262        0.01317844
       -5.34650336        0.35471362        0.01591497        0.04207856        0.28688246        0.00983763
       -5.33650336        0.30036137        0.01772605        0.03998339        0.23533869        0.00731324
       -5.32650336        0.29483124        0.01988371        0.04051250        0.22784735        0.00658768
       -5.31650336        0.28740536        0.02164870        0.04057184        0.21930741        0.00587741
       -5.30650336        0.27930191        0.02300541        0.04017616        0.21086889        0.00525146
       -5.29650336        0.27695716        0.02397631        0.03969719        0.20827758        0.00500608
       -5.28650336        0.39562724        0.02565392        0.05408559        0.30622668        0.00966104
       -5.27650336        0.51730368        0.02842342        0.08578843        0.39023484        0.01285698
       -5.26650336        0.57444971        0.03052434        0.10691835        0.42383891        0.01316811
       -5.25650336        0.46952353        0.03382521        0.05871200        0.36681131        0.01017500
       -5.24650336        0.49524884        0.03849259        0.05638399        0.39017716        0.01019509
       -5.23650336        0.52061557        0.04296343        0.05274202        0.41461956        0.01029056
       -5.22650336        0.38939244        0.02476741        0.04458963        0.31134583        0.00868957
       -5.21650336        0.42054322        0.02956272        0.03896612        0.34301629        0.00899809
       -5.20650336        0.45209226        0.03443613        0.03198159        0.37631679        0.00935776
       -5.19650336        0.43399270        0.03030429        0.02672798        0.36775983        0.00920060
       -5.18650336        1.05757450        0.02231396        0.05483489        0.93636117        0.04406447
       -5.17650336        0.53030164        0.01447951        0.04687029        0.45880941        0.01014243
       -5.16650336        0.37271896        0.00851046        0.02753204        0.33159762        0.00507883
       -5.15650336        0.25742744        0.00413281        0.01590739        0.23386901        0.00351823
       -5.14650336        1.30041693        0.07469664        0.48947322        0.70297588        0.03327119
       -5.13650336        0.78141930        0.03178514        0.18106342        0.55639007        0.01218067
       -5.12650336        0.26888474        0.00192711        0.08311444        0.17914723        0.00469595
       -5.11650336        0.73198930        0.00240776        0.09451641        0.61157667        0.02348846
       -5.10650336        0.57271467        0.00179017        0.03626049        0.51135659        0.02330742
       -5.09650336        0.31943827        0.00448312        0.01809218        0.28630608        0.01055689
       -5.08650336        0.75981695        0.01831645        0.03146367        0.68591090        0.02412593
       -5.07650336        1.03814045        0.01921754        0.06831794        0.92680431        0.02380066
       -5.06650336        0.87664883        0.01677445        0.06734499        0.77427893        0.01825046
       -5.05650336        0.73553644        0.01453266        0.07028447        0.63695831        0.01376100
       -5.04650336        0.72664947        0.01317397        0.10211135        0.59961327        0.01175088
