#  aims_uuid : 1277C871-F61B-457C-A39F-A600D213EFB3                                
#  angular momentum projected density of states for species Se as calculated by FHI-aims 
# The energy reference for this output is the vacuum level =       0.000000 eV
#      Energy (eV)         total dos     l= 0              l= 1              l= 2              l= 3
      -10.00000000        0.29528766        0.02063601        0.26542486        0.00762246        0.00160434
       -9.99000000        0.30803825        0.02079212        0.27735947        0.00820656        0.00168010
       -9.98000000        0.30959845        0.01961901        0.27960474        0.00866314        0.00171156
       -9.97000000        0.31301557        0.01863516        0.28354814        0.00908928        0.00174299
       -9.96000000        0.31828960        0.01784055        0.28918969        0.00948496        0.00177440
       -9.95000000        0.32542055        0.01723521        0.29652938        0.00985020        0.00180577
       -9.94000000        0.33440842        0.01681912        0.30556721        0.01018499        0.00183711
       -9.93000000        0.34525321        0.01659228        0.31630318        0.01048933        0.00186842
       -9.92000000        0.35795492        0.01655470        0.32873729        0.01076322        0.00189971
       -9.91000000        0.37251354        0.01670637        0.34286955        0.01100666        0.00193096
       -9.90000000        0.25579382        0.01425056        0.23185418        0.00820357        0.00148550
       -9.89000000        0.26789290        0.01475990        0.24289386        0.00869414        0.00154500
       -9.88000000        0.28014373        0.01529238        0.25405440        0.00919305        0.00160390
       -9.87000000        0.29181905        0.01582947        0.26463820        0.00969101        0.00166037
       -9.86000000        0.30972515        0.01635541        0.28113095        0.01047752        0.00176127
       -9.85000000        0.32737987        0.01679361        0.29731538        0.01139648        0.00187439
       -9.84000000        0.34449815        0.01713956        0.31291629        0.01244355        0.00199875
       -9.83000000        0.36108000        0.01739327        0.32793368        0.01361871        0.00213434
       -9.82000000        0.37712542        0.01755473        0.34236756        0.01492197        0.00228116
       -9.81000000        0.39263441        0.01762394        0.35621792        0.01635334        0.00243922
       -9.80000000        0.22159852        0.00492653        0.20466927        0.01050329        0.00149942
       -9.79000000        0.25062040        0.00591112        0.22997718        0.01293304        0.00179907
       -9.78000000        0.27905501        0.00696684        0.25437118        0.01559661        0.00212039
       -9.77000000        0.30690234        0.00809368        0.27785127        0.01849402        0.00246337
       -9.76000000        0.66584670        0.01971691        0.58982374        0.04880481        0.00750123
       -9.75000000        0.59009276        0.01784759        0.52443853        0.04202628        0.00578036
       -9.74000000        0.49944527        0.01545790        0.44500706        0.03470289        0.00427743
       -9.73000000        0.39390424        0.01254782        0.35152935        0.02683463        0.00299243
       -9.72000000        0.27346965        0.00911737        0.24400539        0.01842151        0.00192537
