#  aims_uuid : 5CEEBBE8-6943-496D-A753-7A291FF67C0E                                
#  angular momentum projected density of states for species Se as calculated by FHI-aims 
# The energy reference for this output is the chemical potential, mu =      -3.583975 eV
#      Energy (eV)         total dos     l= 0              l= 1              l= 2              l= 3
       -6.41602523        0.14523941        0.00311410        0.13949620        0.00215403        0.00047509
       -6.40601522        0.15496284        0.00348796        0.14878148        0.00218662        0.00050678
       -6.39600521        0.16461571        0.00384485        0.15800400        0.00222887        0.00053799
       -6.38599520        0.17419802        0.00418477        0.16716377        0.00228077        0.00056871
       -6.37598519        0.18370977        0.00450772        0.17626077        0.00234233        0.00059895
       -6.36597518        0.19315097        0.00481369        0.18529502        0.00241356        0.00062870
       -6.35596517        0.20252162        0.00510270        0.19426652        0.00249443        0.00065797
       -6.34595516        0.21182170        0.00537473        0.20317525        0.00258497        0.00068676
       -6.33594515        0.22105123        0.00562978        0.21202123        0.00268516        0.00071506
       -6.32593514        0.23021021        0.00586787        0.22080445        0.00279501        0.00074287
       -6.31592513        0.23929862        0.00608898        0.22952491        0.00291452        0.00077021
       -6.30591512        0.24831648        0.00629312        0.23818262        0.00304369        0.00079705
       -6.29590511        0.35889330        0.00825031        0.34440013        0.00503984        0.00120303
       -6.28589510        0.40383806        0.00904391        0.38755627        0.00587122        0.00136666
       -6.27588509        0.44841464        0.00978153        0.43036439        0.00673572        0.00153300
       -6.26587508        0.49262302        0.01046318        0.47282447        0.00763335        0.00170202
       -6.25586507        0.27120120        0.00431748        0.26036110        0.00544312        0.00107949
       -6.24585506        0.30896207        0.00481952        0.29662472        0.00627483        0.00124300
       -6.23584505        0.34656607        0.00528451        0.33274002        0.00713127        0.00141027
       -6.22583504        0.38401320        0.00571246        0.36870700        0.00801244        0.00158131
       -6.21582503        0.42130346        0.00610337        0.40452566        0.00891834        0.00175610
       -6.20581502        0.45843686        0.00645723        0.44019600        0.00984897        0.00193466
       -6.19580501        0.25463500        0.00429268        0.24409484        0.00522831        0.00101918
       -6.18579500        0.23464368        0.00430080        0.22458167        0.00482531        0.00093589
       -6.17578499        0.21473522        0.00426810        0.20518769        0.00442568        0.00085375
       -6.16577498        0.19490961        0.00419458        0.18591289        0.00402942        0.00077273
       -6.15576497        0.17516685        0.00408023        0.16675726        0.00363652        0.00069284
       -6.14575496        0.15550694        0.00392506        0.14772082        0.00324699        0.00061408
       -6.13574495        0.13592989        0.00372906        0.12880355        0.00286082        0.00053645
       -6.12573494        0.11643569        0.00349225        0.11000547        0.00247802        0.00045996
       -6.11572493        0.09702435        0.00321461        0.09132656        0.00209858        0.00038459
       -6.10571492        0.82380167        0.09217935        0.69525294        0.03245101        0.00391837
       -6.09570491        0.96264896        0.09738760        0.82530734        0.03567829        0.00427574
       -6.08569490        1.11472882        0.09471760        0.97848045        0.03700111        0.00452967
       -6.07568489        2.69503488        0.12672787        2.49804502        0.06111682        0.00914517
       -6.06567488        0.67190930        0.04581391        0.60509570        0.01868860        0.00231110
       -6.05566487        0.70988079        0.05463145        0.62935014        0.02337518        0.00252402
       -6.04565486        0.73257573        0.06077226        0.64267050        0.02647358        0.00265938
       -6.03564485        0.74959778        0.06530253        0.65272381        0.02879444        0.00277701
       -6.02563484        0.76094694        0.06822225        0.65951004        0.03033773        0.00287691
       -6.01562483        0.28753293        0.02571536        0.24970504        0.01098992        0.00112261
       -6.00561482        0.49181597        0.04131801        0.42662849        0.02165101        0.00221846
       -5.99560481        0.55279952        0.04624612        0.47887841        0.02508033        0.00259466
       -5.98559480        0.61726845        0.05210818        0.53382867        0.02836367        0.00296793
       -5.97558479        0.68522277        0.05890420        0.59147928        0.03150103        0.00333826
       -5.96557478        1.10674345        0.10650052        0.94634310        0.04854649        0.00535333
       -5.95556477        1.60343800        0.15500247        1.37202462        0.06892948        0.00748143
       -5.94555476        0.52243031        0.04585129        0.44956254        0.02425938        0.00275710
