#  aims_uuid : 7CDA01C6-B7A9-4AFE-A551-A02111945B48                                
#  angular momentum projected density of states for species Mo as calculated by FHI-aims 
# The energy reference for this output is the vacuum level =       0.000000 eV
#      Energy (eV)         total dos     l= 0              l= 1              l= 2              l= 3
      -10.00000000        3.57370547        0.00786376        0.19066150        3.34864535        0.02653485
       -9.99749937        0.52491494        0.00513839        0.04275069        0.47126091        0.00576494
       -9.99499875        0.49981368        0.00486548        0.03861566        0.45069728        0.00563526
       -9.99249812        0.47978799        0.00447972        0.03487210        0.43493032        0.00550585
       -9.98999750        0.45412664        0.00398024        0.03153044        0.41329023        0.00532573
       -9.98749687        0.46441701        0.00358828        0.03181228        0.42316964        0.00584682
       -9.98499625        0.44253020        0.00296460        0.03029578        0.40341245        0.00585737
       -9.98249562        0.46029798        0.00251517        0.03363125        0.41749242        0.00665913
       -9.97999500        0.45551195        0.00223780        0.03423249        0.41199939        0.00704228
       -9.97749437        0.45165894        0.00229047        0.03510781        0.40671601        0.00754465
       -9.97499375        0.44559839        0.00233732        0.03614537        0.39898586        0.00812985
       -9.97249312        0.43733032        0.00237834        0.03734517        0.38880894        0.00879787
       -9.96999250        0.42685471        0.00241354        0.03870721        0.37618525        0.00954871
       -9.96749187        0.51367916        0.00279315        0.04967271        0.44728495        0.01392834
       -9.96499125        0.47414013        0.00301217        0.04830742        0.41101636        0.01180418
       -9.96249062        0.43527902        0.00310966        0.04604937        0.37614025        0.00997975
       -9.95999000        0.39709583        0.00308562        0.04289854        0.34265662        0.00845505
       -9.95748937        0.35959055        0.00294006        0.03885494        0.31056549        0.00723007
       -9.95498875        0.36356938        0.00315783        0.04069279        0.31257021        0.00714855
       -9.95248812        0.34343708        0.00305972        0.03824657        0.29552564        0.00660515
       -9.94998750        0.32330853        0.00293043        0.03562670        0.27862997        0.00612142
       -9.94748687        0.34109445        0.00314946        0.03819065        0.29310338        0.00665095
       -9.94498625        0.32453239        0.00302068        0.03580742        0.27941139        0.00629290
       -9.94248562        0.30762513        0.00288153        0.03342400        0.26538396        0.00593564
       -9.93998500        0.29037267        0.00273202        0.03104038        0.25102110        0.00557917
       -9.93748437        0.27277500        0.00257214        0.02865657        0.23632280        0.00522348
       -9.93498375        0.25483212        0.00240190        0.02627257        0.22128908        0.00486857
       -9.93248312        0.23654404        0.00222129        0.02388838        0.20591992        0.00451445
       -9.92998250        0.21791075        0.00203031        0.02150400        0.19021533        0.00416111
       -9.92748187        0.20490511        0.00188947        0.01977004        0.17930702        0.00393858
       -9.92498125        0.19727058        0.00178390        0.01854417        0.17311320        0.00382931
       -9.92248062        0.18961255        0.00165510        0.01720284        0.16704252        0.00371210
       -9.91997999        0.18263972        0.00152577        0.01584847        0.16167095        0.00359453
       -9.91747937        0.18053582        0.00145957        0.01497976        0.16058308        0.00351341
       -9.91497874       10.59332961        0.11249792        1.56199878        8.79256407        0.12626885
       -9.91247812        0.23453731        0.00157169        0.02128401        0.20754278        0.00413882
       -9.90997749        0.25386175        0.00152012        0.02189858        0.22607004        0.00437301
       -9.90747687        0.27587202        0.00144045        0.02208127        0.24770709        0.00464321
       -9.90497624        0.37956264        0.00207219        0.02998866        0.34131885        0.00618294
       -9.90247562        0.45673040        0.00227151        0.03301271        0.41416546        0.00728072
       -9.89997499        0.54303022        0.00237681        0.03505520        0.49710714        0.00849107
       -9.89747437        0.63805310        0.00238547        0.03608342        0.58977403        0.00981017
       -9.89497374        0.74180422        0.00229787        0.03609818        0.69216931        0.01123887
       -9.89247312        0.86375587        0.00218577        0.03548475        0.81309623        0.01298912
       -9.88997249        0.50561712        0.00121884        0.02190680        0.47427859        0.00821290
       -9.88747187        0.31440483        0.00085712        0.01350234        0.29416131        0.00588406
       -9.88497124        0.28647472        0.00071443        0.01113088        0.26900882        0.00562059
       -9.88247062        0.25799946        0.00058455        0.00898765        0.24313552        0.00529174
       -9.87996999        0.22897906        0.00046747        0.00707267        0.21654142        0.00489750
       -9.87746937        0.19941351        0.00036321        0.00538592        0.18922650        0.00443788
       -9.87496874        0.16930282        0.00027176        0.00392741        0.16119078        0.00391287
       -9.87246812        0.48750931        0.00262526        0.05664979        0.41743106        0.01080320
       -9.86996749        0.74935229        0.00471731        0.06813772        0.65742505        0.01907222
       -9.86746687        1.34322946        0.00935917        0.08770399        1.20909044        0.03707586
       -9.86496624        0.86320223        0.00653831        0.06364684        0.77462030        0.01839678
       -9.86246562        0.89579878        0.00685336        0.06296992        0.81003114        0.01594437
       -9.85996499        0.69324958        0.00422384        0.03922591        0.63775872        0.01204111
       -9.85746437        0.78441961        0.00519614        0.03155181        0.73651415        0.01115751
       -9.85496374        0.51368386        0.00360536        0.01954410        0.48297254        0.00756186
       -9.85246312        0.32992391        0.00289432        0.01522493        0.30646785        0.00533681
       -9.84996249        0.30256624        0.00258950        0.01467049        0.28002080        0.00528545
       -9.84746187        0.27750069        0.00233331        0.01427881        0.25571798        0.00517059
       -9.84496124        0.25472725        0.00212574        0.01404989        0.23355939        0.00499223
       -9.84246062        0.23424591        0.00196679        0.01398371        0.21354504        0.00475037
       -9.83995999        0.26408460        0.00338580        0.02104877        0.23486751        0.00478252
       -9.83745936        0.25050265        0.00334310        0.02152633        0.22118061        0.00445261
       -9.83495874        0.23930259        0.00334603        0.02215523        0.20972809        0.00407323
       -9.83245811        0.23417107        0.00336800        0.02280178        0.20412572        0.00387558
       -9.82995749        0.22903714        0.00337889        0.02330900        0.19865939        0.00368986
       -9.82745686        0.26494146        0.00401530        0.03719632        0.21943156        0.00429827
       -9.82495624        0.26304946        0.00402579        0.03770023        0.21712956        0.00419388
       -9.82245561        0.26121434        0.00402426        0.03803354        0.21505597        0.00410057
       -9.81995499        0.25943610        0.00401072        0.03819626        0.21321079        0.00401834
       -9.81745436        0.25771473        0.00398516        0.03818837        0.21159402        0.00394719
       -9.81495374        0.25605024        0.00394758        0.03800989        0.21020565        0.00388711
       -9.81245311        0.25444262        0.00389798        0.03766081        0.20904570        0.00383812
       -9.80995249        0.25432380        0.00386281        0.03752254        0.20912361        0.00381484
       -9.80745186        0.25723534        0.00387336        0.03806083        0.21147390        0.00382724
       -9.80495124        0.26702660        0.00403914        0.04001154        0.21905153        0.00392439
       -9.80245061        0.28027204        0.00427561        0.04264527        0.22928331        0.00406785
       -9.79994999        0.29347970        0.00449880        0.04519919        0.23956566        0.00421604
       -9.79744936        0.30664960        0.00470872        0.04767332        0.24989858        0.00436898
       -9.79494874        0.31978173        0.00490537        0.05006764        0.26028207        0.00452665
       -9.79244811        0.33287609        0.00508874        0.05238216        0.27071612        0.00468906
       -9.78994749        0.34593269        0.00525884        0.05461688        0.28120075        0.00485621
       -9.78744686        0.35895151        0.00541567        0.05677180        0.29173594        0.00502810
       -9.78494624        0.37193257        0.00555922        0.05884692        0.30232170        0.00520473
       -9.78244561        0.38487586        0.00568950        0.06084224        0.31295803        0.00538609
       -9.77994499        0.39778138        0.00580651        0.06275776        0.32364492        0.00557219
       -9.77744436        0.41064914        0.00591025        0.06459347        0.33438239        0.00576303
       -9.77494374        0.41675116        0.00595068        0.06570579        0.33925797        0.00583672
       -9.77244311        0.40301884        0.00585580        0.06505756        0.32653450        0.00557097
       -9.76994249        0.28444986        0.00365034        0.03999786        0.23690212        0.00389954
       -9.76744186        0.17010824        0.00125895        0.01409836        0.15267720        0.00207373
       -9.76494124        0.15083851        0.00106487        0.01187424        0.13612956        0.00176984
