#  aims_uuid : 7CDA01C6-B7A9-4AFE-A551-A02111945B48                                
#  angular momentum projected density of states for species S as calculated by FHI-aims 
# The energy reference for this output is the chemical potential, mu =      -5.691913 eV
#      Energy (eV)         total dos     l= 0              l= 1              l= 2              l= 3
       -4.30808745        3.22315188        0.02855798        3.06130654        0.11712252        0.01616484
       -4.30558682        0.41933443        0.00625626        0.39056408        0.01922648        0.00328761
       -4.30308620        0.38082849        0.00565327        0.35486844        0.01717110        0.00313567
       -4.30058557        0.34926470        0.00511538        0.32551688        0.01548997        0.00314248
       -4.29808495        0.32132270        0.00464919        0.29957534        0.01398953        0.00310865
       -4.29558432        0.32938897        0.00486716        0.30790049        0.01341469        0.00320663
       -4.29308370        0.31995424        0.00477996        0.29957082        0.01246613        0.00313732
       -4.29058307        0.34862046        0.00535630        0.32771810        0.01237822        0.00316784
       -4.28808245        0.36271060        0.00567347        0.34173789        0.01217884        0.00312040
       -4.28558182        0.38000178        0.00609179        0.35877361        0.01209670        0.00303969
       -4.28308120        0.39931144        0.00658936        0.37784048        0.01198854        0.00289306
       -4.28058057        0.42063957        0.00716618        0.39893852        0.01185437        0.00268052
       -4.27807995        0.44398618        0.00782224        0.42206771        0.01169418        0.00240205
       -4.27557932        0.60777287        0.01135121        0.57854710        0.01497358        0.00290098
       -4.27307870        0.54162338        0.00982897        0.51384169        0.01531837        0.00263435
       -4.27057807        0.47961378        0.00844468        0.45367443        0.01511653        0.00237813
       -4.26807745        0.42174406        0.00719834        0.39804534        0.01436805        0.00213233
       -4.26557682        0.36801422        0.00608995        0.34695440        0.01307294        0.00189694
       -4.26307620        0.37094570        0.00614058        0.34857474        0.01428535        0.00194503
       -4.26057557        0.34248592        0.00560668        0.32147072        0.01357446        0.00183407
       -4.25807495        0.31560870        0.00513092        0.29600875        0.01274293        0.00172610
       -4.25557432        0.32793153        0.00525792        0.30637125        0.01444876        0.00185360
       -4.25307370        0.30442248        0.00486142        0.28403200        0.01375873        0.00177033
       -4.25057307        0.28130268        0.00447410        0.26208697        0.01305666        0.00168495
       -4.24807245        0.25857213        0.00409593        0.24053618        0.01234255        0.00159747
       -4.24557182        0.23623083        0.00372693        0.21937962        0.01161640        0.00150788
       -4.24307120        0.21427877        0.00336709        0.19861730        0.01087821        0.00141618
       -4.24057057        0.19271597        0.00301642        0.17824920        0.01012798        0.00132237
       -4.23806994        0.17154242        0.00267491        0.15827534        0.00936571        0.00122646
       -4.23556932        0.15376390        0.00255238        0.14143036        0.00863909        0.00114207
       -4.23306869        0.13951223        0.00259052        0.12788438        0.00796568        0.00107164
       -4.23056807        0.12615457        0.00258436        0.11525785        0.00730856        0.00100380
       -4.22806744        0.11431783        0.00255985        0.10412384        0.00669246        0.00094168
       -4.22556682        0.10770622        0.00254402        0.09800151        0.00625611        0.00090458
       -4.22306619       12.77236903        0.05262127       11.94801388        0.67124612        0.10048776
       -4.22056557        0.15276998        0.00286508        0.13988074        0.00869682        0.00132735
       -4.21806494        0.16707503        0.00289954        0.15360308        0.00912990        0.00144252
       -4.21556432        0.18340661        0.00288335        0.16945056        0.00951315        0.00155956
       -4.21306369        0.24888773        0.00369834        0.22853888        0.01429469        0.00235582
       -4.21056307        0.30394790        0.00402557        0.28065140        0.01647581        0.00279512
       -4.20806244        0.36647079        0.00423559        0.34063305        0.01838182        0.00322033
       -4.20556182        0.43604279        0.00432813        0.40808390        0.02000065        0.00363011
       -4.20306119        0.51267129        0.00430345        0.48300786        0.02133527        0.00402471
       -4.20056057        0.59773702        0.00420657        0.56614957        0.02290765        0.00447323
       -4.19805994        0.35609384        0.00369153        0.33603319        0.01355886        0.00281026
       -4.19555932        0.22475109        0.00378347        0.20998272        0.00905695        0.00192795
       -4.19305869        0.20514652        0.00386800        0.19160981        0.00790555        0.00176317
       -4.19055807        0.18509166        0.00385656        0.17282795        0.00681333        0.00159382
       -4.18805744        0.16458652        0.00374917        0.15363716        0.00578029        0.00141989
       -4.18555682        0.14363110        0.00354583        0.13403742        0.00480645        0.00124140
       -4.18305619        0.12222540        0.00324652        0.11402874        0.00389179        0.00105834
       -4.18055557        0.38253300        0.00578210        0.35600883        0.01786650        0.00287557
       -4.17805494        0.56021955        0.00871484        0.52288029        0.02483886        0.00378556
